* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: Aug 6, 2023 3:59:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 5128 In Room Flat (Struck)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	0.001
20.299999	0.002
20.600000	0.004
20.900000	0.005
21.200001	0.007
21.400000	0.008
21.799999	0.010
22.000000	0.011
22.400000	0.013
22.700001	0.015
23.000000	0.016
23.299999	0.018
23.600000	0.020
24.000000	0.022
24.299999	0.023
24.700001	0.025
25.000000	0.027
25.400000	0.029
25.799999	0.031
26.200001	0.033
26.500000	0.035
26.900000	0.037
27.200001	0.039
27.600000	0.041
28.000000	0.043
28.500000	0.046
29.000000	0.048
29.500000	0.051
30.000000	0.054
30.400000	0.056
30.700001	0.058
31.100000	0.061
31.500000	0.063
32.000000	0.066
32.500000	0.068
33.000000	0.071
33.500000	0.073
34.000000	0.076
34.500000	0.079
35.000000	0.081
35.500000	0.084
36.000000	0.087
36.500000	0.090
37.000000	0.093
37.500000	0.095
38.200001	0.099
38.700001	0.101
39.500000	0.105
40.000000	0.108
40.599998	0.111
41.200001	0.114
41.799999	0.118
42.500000	0.121
43.099998	0.125
43.700001	0.128
44.400002	0.131
45.000000	0.134
45.500000	0.137
46.200001	0.141
46.799999	0.144
47.500000	0.147
48.200001	0.151
48.700001	0.153
49.400002	0.157
50.000000	0.160
50.799999	0.164
51.500000	0.167
52.200001	0.170
53.000000	0.173
53.799999	0.177
54.500000	0.181
55.200001	0.184
56.000000	0.188
57.000000	0.192
58.000000	0.196
59.000000	0.200
60.000000	0.204
60.799999	0.208
61.500000	0.212
62.200001	0.215
63.000000	0.219
64.000000	0.223
65.000000	0.227
66.000000	0.231
67.000000	0.235
68.000000	0.239
69.000000	0.243
70.000000	0.247
71.000000	0.252
72.000000	0.256
73.000000	0.260
74.000000	0.264
75.000000	0.268
76.199997	0.273
77.500000	0.277
78.800003	0.282
80.000000	0.286
81.199997	0.291
82.500000	0.296
83.800003	0.302
85.000000	0.306
86.199997	0.311
87.500000	0.316
88.500000	0.320
90.000000	0.326
91.199997	0.331
92.500000	0.336
93.800003	0.341
95.000000	0.346
96.199997	0.351
97.500000	0.356
98.800003	0.361
100.000000	0.366
101.500000	0.371
103.000000	0.377
104.400002	0.382
106.000000	0.387
107.500000	0.393
109.000000	0.399
110.599998	0.405
112.000000	0.411
113.800003	0.418
115.000000	0.423
117.199997	0.432
118.000000	0.435
120.599998	0.445
122.000000	0.450
124.099998	0.458
125.000000	0.462
126.500000	0.468
128.000000	0.474
131.500000	0.489
132.000000	0.491
134.000000	0.499
136.000000	0.507
138.000000	0.515
140.000000	0.523
143.000000	0.535
145.000000	0.542
147.500000	0.552
150.000000	0.562
152.500000	0.573
155.000000	0.584
157.500000	0.596
160.000000	0.607
162.500000	0.618
165.000000	0.630
167.500000	0.641
170.000000	0.653
172.500000	0.665
175.000000	0.677
177.500000	0.689
180.000000	0.701
182.500000	0.712
185.000000	0.725
187.500000	0.737
190.000000	0.749
192.500000	0.761
195.000000	0.774
197.500000	0.786
200.000000	0.799
203.000000	0.817
206.000000	0.836
209.000000	0.856
212.000000	0.876
214.000000	0.889
218.000000	0.914
220.000000	0.927
224.000000	0.951
227.000000	0.970
230.000000	0.989
233.000000	1.009
236.000000	1.030
240.000000	1.057
243.000000	1.078
247.000000	1.106
250.000000	1.126
254.000000	1.153
258.000000	1.179
262.000000	1.204
265.000000	1.222
269.000000	1.246
272.000000	1.262
276.000000	1.284
280.000000	1.304
285.000000	1.327
290.000000	1.348
295.000000	1.366
300.000000	1.383
304.000000	1.393
307.000000	1.399
311.000000	1.408
315.000000	1.419
320.000000	1.437
325.000000	1.460
330.000000	1.488
335.000000	1.521
340.000000	1.558
345.000000	1.598
350.000000	1.640
355.000000	1.681
360.000000	1.722
365.000000	1.763
370.000000	1.803
375.000000	1.845
382.000000	1.904
387.000000	1.948
395.000000	2.018
400.000000	2.062
406.000000	2.115
412.000000	2.168
418.000000	2.220
425.000000	2.280
431.000000	2.329
437.000000	2.376
444.000000	2.427
450.000000	2.469
455.000000	2.503
462.000000	2.547
468.000000	2.582
475.000000	2.622
482.000000	2.658
487.000000	2.682
494.000000	2.716
500.000000	2.744
508.000000	2.780
515.000000	2.813
522.000000	2.845
530.000000	2.882
538.000000	2.918
545.000000	2.951
552.000000	2.985
560.000000	3.025
570.000000	3.079
580.000000	3.133
590.000000	3.186
600.000000	3.238
608.000000	3.278
615.000000	3.311
622.000000	3.344
630.000000	3.381
640.000000	3.424
650.000000	3.466
660.000000	3.508
670.000000	3.552
680.000000	3.598
690.000000	3.647
700.000000	3.700
710.000000	3.755
720.000000	3.812
730.000000	3.871
740.000000	3.931
750.000000	3.994
762.000000	4.075
775.000000	4.161
788.000000	4.238
800.000000	4.298
812.000000	4.341
825.000000	4.374
838.000000	4.397
850.000000	4.414
862.000000	4.430
875.000000	4.444
885.000000	4.453
900.000000	4.467
912.000000	4.478
925.000000	4.492
938.000000	4.507
950.000000	4.522
962.000000	4.537
975.000000	4.554
988.000000	4.575
1000.000000	4.599
1015.000000	4.638
1030.000000	4.681
1044.000000	4.722
1060.000000	4.766
1075.000000	4.803
1090.000000	4.835
1106.000000	4.865
1120.000000	4.887
1138.000000	4.906
1150.000000	4.916
1172.000000	4.929
1180.000000	4.932
1206.000000	4.940
1220.000000	4.948
1241.000000	4.977
1250.000000	4.998
1265.000000	5.048
1280.000000	5.114
1315.000000	5.303
1320.000000	5.333
1340.000000	5.456
1360.000000	5.584
1380.000000	5.715
1400.000000	5.844
1430.000000	6.029
1450.000000	6.150
1475.000000	6.301
1500.000000	6.454
1525.000000	6.611
1550.000000	6.772
1575.000000	6.938
1600.000000	7.110
1625.000000	7.290
1650.000000	7.478
1675.000000	7.672
1700.000000	7.873
1725.000000	8.082
1750.000000	8.298
1775.000000	8.522
1800.000000	8.754
1825.000000	8.994
1850.000000	9.241
1875.000000	9.491
1900.000000	9.743
1925.000000	9.994
1950.000000	10.241
1975.000000	10.479
2000.000000	10.708
2030.000000	10.968
2060.000000	11.217
2090.000000	11.460
2120.000000	11.697
2140.000000	11.852
2180.000000	12.159
2200.000000	12.312
2240.000000	12.625
2270.000000	12.866
2300.000000	13.108
2330.000000	13.352
2360.000000	13.601
2400.000000	13.947
2430.000000	14.209
2470.000000	14.538
2500.000000	14.750
2540.000000	14.966
2580.000000	15.133
2620.000000	15.273
2650.000000	15.375
2690.000000	15.519
2720.000000	15.628
2760.000000	15.767
2800.000000	15.897
2850.000000	16.043
2900.000000	16.174
2950.000000	16.291
3000.000000	16.391
3040.000000	16.456
3070.000000	16.492
3110.000000	16.524
3150.000000	16.537
3200.000000	16.532
3250.000000	16.508
3300.000000	16.469
3350.000000	16.416
3400.000000	16.344
3450.000000	16.259
3500.000000	16.166
3550.000000	16.070
3600.000000	15.976
3650.000000	15.880
3700.000000	15.780
3750.000000	15.671
3820.000000	15.506
3870.000000	15.384
3950.000000	15.196
4000.000000	15.088
4060.000000	14.975
4120.000000	14.873
4180.000000	14.778
4250.000000	14.665
4310.000000	14.562
4370.000000	14.459
4440.000000	14.350
4500.000000	14.277
4550.000000	14.239
4620.000000	14.205
4680.000000	14.179
4750.000000	14.133
4820.000000	14.053
4870.000000	13.984
4940.000000	13.886
5000.000000	13.813
5080.000000	13.742
5150.000000	13.691
5220.000000	13.640
5300.000000	13.572
5380.000000	13.484
5450.000000	13.394
5520.000000	13.299
5600.000000	13.186
5700.000000	13.046
5800.000000	12.903
5900.000000	12.756
6000.000000	12.599
6080.000000	12.461
6150.000000	12.339
6220.000000	12.224
6300.000000	12.113
6400.000000	12.015
6500.000000	11.948
6600.000000	11.896
6700.000000	11.851
6800.000000	11.804
6900.000000	11.750
7000.000000	11.686
7100.000000	11.602
7200.000000	11.493
7300.000000	11.368
7400.000000	11.236
7500.000000	11.110
7620.000000	10.980
7750.000000	10.842
7880.000000	10.689
8000.000000	10.524
8120.000000	10.325
8250.000000	10.069
8380.000000	9.770
8500.000000	9.440
8620.000000	9.039
8750.000000	8.569
8850.000000	8.212
9000.000000	7.735
9120.000000	7.445
9250.000000	7.215
9380.000000	7.058
9500.000000	6.976
9620.000000	6.954
9750.000000	6.999
9880.000000	7.114
10000.000000	7.292
10150.000000	7.611
10300.000000	7.969
10440.000000	8.284
10600.000000	8.562
10750.000000	8.684
10900.000000	8.710
11060.000000	8.671
11200.000000	8.594
11380.000000	8.453
11500.000000	8.354
11720.000000	8.214
11800.000000	8.193
12060.000000	8.243
12200.000000	8.301
12410.000000	8.394
12500.000000	8.436
12650.000000	8.511
12800.000000	8.588
13150.000000	8.723
13200.000000	8.731
13400.000000	8.721
13600.000000	8.652
13800.000000	8.522
14000.000000	8.317
14300.000000	7.855
14500.000000	7.508
14750.000000	7.081
15000.000000	6.735
15250.000000	6.565
15500.000000	6.457
15750.000000	6.313
16000.000000	6.053
16250.000000	5.590
16500.000000	4.963
16750.000000	4.206
17000.000000	3.319
17250.000000	2.287
17500.000000	1.157
17750.000000	-0.015
18000.000000	-1.174
18250.000000	-2.255
18500.000000	-3.277
18750.000000	-4.278
19000.000000	-5.365
19250.000000	-6.728
19500.000000	-8.266
19750.000000	-10.071
20000.000000	-13.154
