
Frequency	dB	Unweighted
20.600000	80.105835	0
21.200001	80.110466	0
21.799999	80.115501	0
22.400000	80.120689	0
23.000000	80.125679	0
23.600000	80.130188	0
24.299999	80.134399	0
25.000000	80.137123	0
25.799999	80.138016	0
26.500000	80.136635	0
27.200001	80.133110	0
28.000000	80.126434	0
29.000000	80.114120	0
30.000000	80.097580	0
30.700001	80.083588	0
31.500000	80.065315	0
32.500000	80.039291	0
33.500000	80.010010	0
34.500000	79.977806	0
35.500000	79.943024	0
36.500000	79.905945	0
37.500000	79.866867	0
38.700001	79.817650	0
40.000000	79.761879	0
41.200001	79.708481	0
42.500000	79.648918	0
43.700001	79.592697	0
45.000000	79.530792	0
46.200001	79.473038	0
47.500000	79.410103	0
48.700001	79.351883	0
50.000000	79.288864	0
51.500000	79.216385	0
53.000000	79.144241	0
54.500000	79.072441	0
56.000000	79.000969	0
58.000000	78.906090	0
60.000000	78.811523	0
61.500000	78.740799	0
63.000000	78.670189	0
65.000000	78.576317	0
67.000000	78.482803	0
69.000000	78.389755	0
71.000000	78.297295	0
73.000000	78.205505	0
75.000000	78.114494	0
77.500000	78.001923	0
80.000000	77.890762	0
82.500000	77.781136	0
85.000000	77.673096	0
87.500000	77.566795	0
90.000000	77.462379	0
92.500000	77.360046	0
95.000000	77.260063	0
97.500000	77.162674	0
100.000000	77.068077	0
103.000000	76.957718	0
106.000000	76.850258	0
109.000000	76.746040	0
112.000000	76.645309	0
115.000000	76.548195	0
118.000000	76.454735	0
122.000000	76.335678	0
125.000000	76.250359	0
128.000000	76.168274	0
132.000000	76.063515	0
136.000000	75.963654	0
140.000000	75.868202	0
145.000000	75.754425	0
150.000000	75.646156	0
155.000000	75.542831	0
160.000000	75.444160	0
165.000000	75.349983	0
170.000000	75.260292	0
175.000000	75.175095	0
180.000000	75.094475	0
185.000000	75.018501	0
190.000000	74.947258	0
195.000000	74.880852	0
200.000000	74.819359	0
206.000000	74.752090	0
212.000000	74.691711	0
218.000000	74.637711	0
224.000000	74.589363	0
230.000000	74.545868	0
236.000000	74.506584	0
243.000000	74.465469	0
250.000000	74.429077	0
258.000000	74.392967	0
265.000000	74.365807	0
272.000000	74.342308	0
280.000000	74.319000	0
290.000000	74.293457	0
300.000000	74.269920	0
307.000000	74.253952	0
315.000000	74.236137	0
325.000000	74.215363	0
335.000000	74.197769	0
345.000000	74.184692	0
355.000000	74.176361	0
365.000000	74.171707	0
375.000000	74.169083	0
387.000000	74.167076	0
400.000000	74.166779	0
412.000000	74.170708	0
425.000000	74.182396	0
437.000000	74.200859	0
450.000000	74.227928	0
462.000000	74.257339	0
475.000000	74.291702	0
487.000000	74.324142	0
500.000000	74.358688	0
515.000000	74.396255	0
530.000000	74.430107	0
545.000000	74.459602	0
560.000000	74.484787	0
580.000000	74.512299	0
600.000000	74.533592	0
615.000000	74.545792	0
630.000000	74.555000	0
650.000000	74.563393	0
670.000000	74.569473	0
690.000000	74.577225	0
710.000000	74.591827	0
730.000000	74.618195	0
750.000000	74.659317	0
775.000000	74.731956	0
800.000000	74.824875	0
825.000000	74.933151	0
850.000000	75.053070	0
875.000000	75.183273	0
900.000000	75.324188	0
925.000000	75.476334	0
950.000000	75.639038	0
975.000000	75.810013	0
1000.000000	75.985870	0
1030.000000	76.198029	0
1060.000000	76.405838	0
1090.000000	76.604805	0
1120.000000	76.792259	0
1150.000000	76.967232	0
1180.000000	77.129860	0
1220.000000	77.328339	0
1250.000000	77.463882	0
1280.000000	77.587952	0
1320.000000	77.734543	0
1360.000000	77.857994	0
1400.000000	77.957581	0
1450.000000	78.051865	0
1500.000000	78.122437	0
1550.000000	78.182159	0
1600.000000	78.241402	0
1650.000000	78.306877	0
1700.000000	78.383293	0
1750.000000	78.474472	0
1800.000000	78.583008	0
1850.000000	78.709915	0
1900.000000	78.854759	0
1950.000000	79.016045	0
2000.000000	79.191246	0
2060.000000	79.415298	0
2120.000000	79.648872	0
2180.000000	79.887184	0
2240.000000	80.126846	0
2300.000000	80.365356	0
2360.000000	80.600037	0
2430.000000	80.864807	0
2500.000000	81.114517	0
2580.000000	81.374054	0
2650.000000	81.572411	0
2720.000000	81.738861	0
2800.000000	81.885139	0
2900.000000	81.997780	0
3000.000000	82.033417	0
3070.000000	82.016479	0
3150.000000	81.961082	0
3250.000000	81.850037	0
3350.000000	81.710220	0
3450.000000	81.560730	0
3550.000000	81.416550	0
3650.000000	81.285278	0
3750.000000	81.167229	0
3870.000000	81.036980	0
4000.000000	80.899292	0
4120.000000	80.765930	0
4250.000000	80.606255	0
4370.000000	80.439255	0
4500.000000	80.233810	0
4620.000000	80.021858	0
4750.000000	79.772873	0
4870.000000	79.533646	0
5000.000000	79.277748	0
5150.000000	79.007652	0
5300.000000	78.785324	0
5450.000000	78.622353	0
5600.000000	78.517365	0
5800.000000	78.447235	0
6000.000000	78.420517	0
6150.000000	78.403748	0
6300.000000	78.371613	0
6500.000000	78.282532	0
6700.000000	78.151184	0
6900.000000	78.013641	0
7100.000000	77.815475	0
7300.000000	77.591919	0
7500.000000	77.380814	0
7750.000000	77.174683	0
8000.000000	77.037727	0
8250.000000	76.927834	0
8500.000000	76.787720	0
8750.000000	76.581940	0
9000.000000	76.306290	0
9250.000000	75.976486	0
