* Measurement data measured by REW V5.20
* Source: /Users/mrs/Desktop/hbb.txt
* Format: Comma/Tab/Space delimited data
* Dated: Nov 28, 2022 8:20:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/mrs/Desktop/hbb.txt Format: Comma/Tab/Space delimited data 12 values loaded, 20 Hz to 20,000 Hz
* Measurement: hbb
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	108.049088	0
20.299999	108.058304	0
20.600000	108.091949	0
20.900000	108.132736	0
21.200001	108.175674	0
21.400000	108.204453	0
21.799999	108.261635	0
22.000000	108.289940	0
22.400000	108.345840	0
22.700001	108.387054	0
23.000000	108.427574	0
23.299999	108.467323	0
23.600000	108.506210	0
24.000000	108.556618	0
24.299999	108.593246	0
24.700001	108.640327	0
25.000000	108.674248	0
25.400000	108.717468	0
25.799999	108.758224	0
26.200001	108.796349	0
26.500000	108.823097	0
26.900000	108.856155	0
27.200001	108.878906	0
27.600000	108.906357	0
28.000000	108.930321	0
28.500000	108.954941	0
29.000000	108.972641	0
29.500000	108.981339	0
30.000000	108.978363	0
30.400000	108.967209	0
30.700001	108.954803	0
31.100000	108.934853	0
31.500000	108.912819	0
32.000000	108.884109	0
32.500000	108.854919	0
33.000000	108.825516	0
33.500000	108.795967	0
34.000000	108.766289	0
34.500000	108.736481	0
35.000000	108.706558	0
35.500000	108.676506	0
36.000000	108.646347	0
36.500000	108.616066	0
37.000000	108.585678	0
37.500000	108.555176	0
38.200001	108.512306	0
38.700001	108.481552	0
39.500000	108.432144	0
40.000000	108.401131	0
40.599998	108.363800	0
41.200001	108.326340	0
41.799999	108.288742	0
42.500000	108.244720	0
43.099998	108.206879	0
43.700001	108.168892	0
44.400002	108.124451	0
45.000000	108.086258	0
45.500000	108.054344	0
46.200001	108.009552	0
46.799999	107.971069	0
47.500000	107.926041	0
48.200001	107.880905	0
48.700001	107.848610	0
49.400002	107.803307	0
50.000000	107.764389	0
50.799999	107.712410	0
51.500000	107.666832	0
52.200001	107.621178	0
53.000000	107.568932	0
53.799999	107.516624	0
54.500000	107.470764	0
55.200001	107.424873	0
56.000000	107.372383	0
57.000000	107.306717	0
58.000000	107.241005	0
59.000000	107.175270	0
60.000000	107.109535	0
60.799999	107.056953	0
61.500000	107.010963	0
62.200001	106.964989	0
63.000000	106.912491	0
64.000000	106.846931	0
65.000000	106.781471	0
66.000000	106.716125	0
67.000000	106.650909	0
68.000000	106.585854	0
69.000000	106.520966	0
70.000000	106.456276	0
71.000000	106.391792	0
72.000000	106.327545	0
73.000000	106.263550	0
74.000000	106.199821	0
75.000000	106.136391	0
76.199997	106.060684	0
77.500000	105.979218	0
78.800003	105.898354	0
80.000000	105.824287	0
81.199997	105.750816	0
82.500000	105.671928	0
83.800003	105.593811	0
85.000000	105.522430	0
86.199997	105.451775	0
87.500000	105.376114	0
88.500000	105.318542	0
90.000000	105.233276	0
91.199997	105.166054	0
92.500000	105.094254	0
93.800003	105.023613	0
95.000000	104.959557	0
96.199997	104.896873	0
97.500000	104.831177	0
98.800003	104.768982	0
100.000000	104.715881	0
101.500000	104.655815	0
103.000000	104.601082	0
104.400002	104.552612	0
106.000000	104.498573	0
107.500000	104.448502	0
109.000000	104.398743	0
110.599998	104.345947	0
112.000000	104.299957	0
113.800003	104.241119	0
115.000000	104.202080	0
117.199997	104.130875	0
118.000000	104.105095	0
120.599998	104.021774	0
122.000000	103.977196	0
124.099998	103.910690	0
125.000000	103.882324	0
126.500000	103.835228	0
128.000000	103.788353	0
131.500000	103.679878	0
132.000000	103.664482	0
134.000000	103.603157	0
136.000000	103.542236	0
138.000000	103.481720	0
