* Measurement data measured by REW V5.20.13
* Source: C:\Users\mezab\Pictures\CammyFi IEM Target.csv
* Format: Comma/Tab/Space delimited data
* Dated: 09-Feb-2023 04:32:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\mezab\Pictures\CammyFi IEM Target.csv Format: Comma/Tab/Space delimited data 482 values loaded, 19 Hz to 19,873 Hz log spaced
* Measurement: CammyFi IEM Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	10.952
20.299999	10.984
20.600000	11.014
20.900000	11.042
21.200001	11.068
21.400000	11.083
21.799999	11.111
22.000000	11.123
22.400000	11.147
22.700001	11.164
23.000000	11.178
23.299999	11.190
23.600000	11.200
24.000000	11.209
24.299999	11.214
24.700001	11.218
25.000000	11.219
25.400000	11.219
25.799999	11.218
26.200001	11.215
26.500000	11.211
26.900000	11.202
27.200001	11.193
27.600000	11.178
28.000000	11.161
28.500000	11.137
29.000000	11.112
29.500000	11.084
30.000000	11.053
30.400000	11.025
30.700001	11.002
31.100000	10.971
31.500000	10.937
32.000000	10.893
32.500000	10.848
33.000000	10.799
33.500000	10.749
34.000000	10.698
34.500000	10.646
35.000000	10.593
35.500000	10.537
36.000000	10.479
36.500000	10.418
37.000000	10.357
37.500000	10.296
38.200001	10.210
38.700001	10.147
39.500000	10.044
40.000000	9.980
40.599998	9.902
41.200001	9.823
41.799999	9.745
42.500000	9.653
43.099998	9.572
43.700001	9.493
44.400002	9.400
45.000000	9.320
45.500000	9.253
46.200001	9.162
46.799999	9.083
47.500000	8.992
48.200001	8.901
48.700001	8.837
49.400002	8.748
50.000000	8.673
50.799999	8.574
51.500000	8.488
52.200001	8.404
53.000000	8.307
53.799999	8.211
54.500000	8.128
55.200001	8.047
56.000000	7.957
57.000000	7.846
58.000000	7.738
59.000000	7.631
60.000000	7.527
60.799999	7.444
61.500000	7.374
62.200001	7.305
63.000000	7.228
64.000000	7.135
65.000000	7.044
66.000000	6.954
67.000000	6.866
68.000000	6.779
69.000000	6.696
70.000000	6.615
71.000000	6.536
72.000000	6.459
73.000000	6.384
74.000000	6.312
75.000000	6.241
76.199997	6.157
77.500000	6.070
78.800003	5.985
80.000000	5.909
81.199997	5.835
82.500000	5.760
83.800003	5.688
85.000000	5.622
86.199997	5.557
87.500000	5.490
88.500000	5.440
90.000000	5.367
91.199997	5.311
92.500000	5.252
93.800003	5.195
95.000000	5.143
96.199997	5.093
97.500000	5.040
98.800003	4.989
100.000000	4.944
101.500000	4.888
103.000000	4.833
104.400002	4.785
106.000000	4.733
107.500000	4.685
109.000000	4.640
110.599998	4.593
112.000000	4.553
113.800003	4.503
115.000000	4.471
117.199997	4.414
118.000000	4.394
120.599998	4.331
122.000000	4.298
124.099998	4.251
125.000000	4.232
126.500000	4.201
128.000000	4.170
131.500000	4.102
132.000000	4.093
134.000000	4.057
136.000000	4.023
138.000000	3.989
140.000000	3.957
143.000000	3.911
145.000000	3.882
147.500000	3.847
150.000000	3.812
152.500000	3.780
155.000000	3.750
157.500000	3.720
160.000000	3.691
162.500000	3.664
165.000000	3.638
167.500000	3.614
170.000000	3.590
172.500000	3.567
175.000000	3.545
177.500000	3.525
180.000000	3.505
182.500000	3.486
185.000000	3.467
187.500000	3.449
190.000000	3.431
192.500000	3.413
195.000000	3.397
197.500000	3.382
200.000000	3.368
203.000000	3.351
206.000000	3.334
209.000000	3.319
212.000000	3.304
214.000000	3.294
218.000000	3.275
220.000000	3.266
224.000000	3.248
227.000000	3.236
230.000000	3.224
233.000000	3.212
236.000000	3.201
240.000000	3.187
243.000000	3.176
247.000000	3.162
250.000000	3.151
254.000000	3.139
258.000000	3.128
262.000000	3.118
265.000000	3.110
269.000000	3.101
272.000000	3.095
276.000000	3.088
280.000000	3.080
285.000000	3.070
290.000000	3.062
295.000000	3.054
300.000000	3.046
304.000000	3.040
307.000000	3.035
311.000000	3.029
315.000000	3.024
320.000000	3.018
325.000000	3.013
330.000000	3.009
335.000000	3.005
340.000000	3.001
345.000000	2.997
350.000000	2.993
355.000000	2.991
360.000000	2.990
365.000000	2.988
370.000000	2.986
375.000000	2.983
382.000000	2.981
387.000000	2.981
395.000000	2.983
400.000000	2.985
406.000000	2.988
412.000000	2.990
418.000000	2.991
425.000000	2.993
431.000000	2.997
437.000000	3.001
444.000000	3.006
450.000000	3.011
455.000000	3.015
462.000000	3.021
468.000000	3.027
475.000000	3.035
482.000000	3.045
487.000000	3.052
494.000000	3.062
500.000000	3.070
508.000000	3.082
515.000000	3.092
522.000000	3.103
530.000000	3.118
538.000000	3.132
545.000000	3.145
552.000000	3.159
560.000000	3.177
570.000000	3.198
580.000000	3.220
590.000000	3.245
600.000000	3.271
608.000000	3.291
615.000000	3.309
622.000000	3.328
630.000000	3.352
640.000000	3.383
650.000000	3.413
660.000000	3.444
670.000000	3.477
680.000000	3.510
690.000000	3.544
700.000000	3.579
710.000000	3.615
720.000000	3.652
730.000000	3.689
740.000000	3.727
750.000000	3.765
762.000000	3.812
775.000000	3.865
788.000000	3.918
800.000000	3.969
812.000000	4.021
825.000000	4.077
838.000000	4.135
850.000000	4.188
862.000000	4.240
875.000000	4.298
885.000000	4.344
900.000000	4.413
912.000000	4.468
925.000000	4.527
938.000000	4.585
