* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 27-Jun-2023 22:13:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic B to A
* Measurement: B to A at 6,000 Hz
* Smoothing: 1/12 octave
* Frequency Step: 1/96 octave
* Start Frequency: 21.037 Hz
*
* Freq(Hz)	SPL(dB)
21.036821	78.176
21.189262	78.165
21.342808	78.153
21.497467	78.142
21.653246	78.131
21.810154	78.119
21.968201	78.108
22.127390	78.097
22.287735	78.085
22.449242	78.074
22.611917	78.063
22.775772	78.051
22.940815	78.040
23.107054	78.028
23.274498	78.017
23.443153	78.006
23.613033	77.995
23.784142	77.983
23.956491	77.972
24.130091	77.960
24.304947	77.949
24.481071	77.938
24.658470	77.926
24.837156	77.915
25.017136	77.904
25.198421	77.892
25.381020	77.881
25.564941	77.870
25.750195	77.858
25.936790	77.847
26.124741	77.836
26.314051	77.824
26.504732	77.813
26.696796	77.801
26.890253	77.790
27.085112	77.779
27.281382	77.768
27.479073	77.756
27.678198	77.745
27.878765	77.733
28.080786	77.722
28.284271	77.711
28.489231	77.699
28.695675	77.688
28.903616	77.676
29.113064	77.664
29.324028	77.653
29.536524	77.640
29.750557	77.628
29.966141	77.614
30.183289	77.601
30.402010	77.586
30.622314	77.571
30.844217	77.556
31.067726	77.539
31.292856	77.522
31.519617	77.505
31.748020	77.487
31.978081	77.468
32.209808	77.449
32.443211	77.430
32.678310	77.411
32.915108	77.391
33.153625	77.372
33.393871	77.352
33.635857	77.332
33.879597	77.312
34.125103	77.293
34.372387	77.273
34.621464	77.253
34.872345	77.233
35.125042	77.214
35.379574	77.194
35.635948	77.174
35.894180	77.155
36.154285	77.135
36.416275	77.115
36.680161	77.095
36.945961	77.076
37.213688	77.056
37.483353	77.036
37.754974	77.017
38.028561	76.997
38.304131	76.977
38.581699	76.957
38.861279	76.938
39.142883	76.918
39.426529	76.898
39.712231	76.879
40.000000	76.859
40.289856	76.839
40.581814	76.819
40.875885	76.800
41.172089	76.780
41.470440	76.760
41.770950	76.741
42.073643	76.721
42.378525	76.701
42.685616	76.681
42.994934	76.662
43.306492	76.642
43.620308	76.622
43.936401	76.603
44.254780	76.583
44.575470	76.563
44.898483	76.543
45.223835	76.524
45.551544	76.504
45.881630	76.484
46.214108	76.465
46.548996	76.445
46.886307	76.425
47.226067	76.405
47.568283	76.386
47.912983	76.366
48.260181	76.346
48.609894	76.326
48.962143	76.306
49.316940	76.285
49.674313	76.265
50.034271	76.244
50.396843	76.222
50.762039	76.199
51.129883	76.176
51.500389	76.151
51.873581	76.125
52.249481	76.098
52.628101	76.070
53.009464	76.041
53.393593	76.010
53.780506	75.979
54.170223	75.946
54.562763	75.913
54.958145	75.880
55.356396	75.846
55.757530	75.812
56.161572	75.778
56.568542	75.744
56.978462	75.710
57.391350	75.675
57.807232	75.641
58.226128	75.606
58.648056	75.572
59.073048	75.537
59.501114	75.503
59.932281	75.468
60.366577	75.434
60.804020	75.400
61.244629	75.365
61.688435	75.331
62.135452	75.297
62.585712	75.262
63.039234	75.228
63.496040	75.193
63.956161	75.159
64.419617	75.124
64.886421	75.090
65.356621	75.055
65.830215	75.021
66.307251	74.987
66.787743	74.952
67.271713	74.918
67.759193	74.884
68.250206	74.849
68.744774	74.815
69.242928	74.780
69.744690	74.746
70.250084	74.711
70.759148	74.677
71.271896	74.642
71.788361	74.608
72.308571	74.573
72.832550	74.539
73.360321	74.505
73.891922	74.470
74.427376	74.436
74.966705	74.402
75.509949	74.367
76.057121	74.333
76.608261	74.298
77.163399	74.264
77.722557	74.229
78.285767	74.195
78.853058	74.160
79.424461	74.126
80.000000	74.092
80.579712	74.057
81.163628	74.023
81.751770	73.989
82.344177	73.954
82.940880	73.920
83.541901	73.885
84.147285	73.851
84.757050	73.816
85.371231	73.782
85.989868	73.747
86.612984	73.713
87.240616	73.679
87.872803	73.644
88.509560	73.610
89.150940	73.576
89.796967	73.541
90.447670	73.507
91.103088	73.472
91.763260	73.438
92.428215	73.403
93.097992	73.369
93.772614	73.334
94.452133	73.300
95.136566	73.265
95.825966	73.231
96.520363	73.197
97.219788	73.162
97.924286	73.128
98.633881	73.094
99.348625	73.059
100.068542	73.025
100.793686	72.990
101.524078	72.956
102.259766	72.921
103.000778	72.887
103.747162	72.852
104.498962	72.818
105.256203	72.784
106.018929	72.749
106.787186	72.715
107.561012	72.681
108.340446	72.646
109.125526	72.612
109.916290	72.577
110.712791	72.543
111.515060	72.508
112.323143	72.474
113.137085	72.439
113.956924	72.405
114.782700	72.371
115.614464	72.336
116.452255	72.302
117.296112	72.268
118.146095	72.233
119.002228	72.199
119.864563	72.164
120.733154	72.130
121.608040	72.095
122.489258	72.061
123.376869	72.026
124.270905	71.992
125.171425	71.957
126.078468	71.923
126.992081	71.889
127.912323	71.854
128.839233	71.820
129.772842	71.786
130.713242	71.751
131.660431	71.717
132.614502	71.683
133.575485	71.648
134.543427	71.614
135.518387	71.581
136.500412	71.547
137.489548	71.515
138.485855	71.483
139.489380	71.452
140.500168	71.423
141.518295	71.395
142.543793	71.368
143.576721	71.344
144.617142	71.321
145.665100	71.300
146.720642	71.281
147.783844	71.263
148.854752	71.246
149.933411	71.231
151.019897	71.216
152.114243	71.202
153.216522	71.189
154.326797	71.176
155.445114	71.163
156.571533	71.150
157.706116	71.137
158.848923	71.125
160.000000	71.112
161.159424	71.100
162.327255	71.087
163.503540	71.074
164.688354	71.062
165.881760	71.049
167.083801	71.036
168.294571	71.024
169.514099	71.011
170.742462	70.998
171.979736	70.986
173.225967	70.973
174.481232	70.960
175.745605	70.948
177.019119	70.935
178.301880	70.923
179.593933	70.910
180.895340	70.897
182.206177	70.885
183.526520	70.872
184.856430	70.859
186.195984	70.847
187.545227	70.834
188.904266	70.822
190.273132	70.810
191.651932	70.797
193.040726	70.785
194.439575	70.774
195.848572	70.762
197.267761	70.751
198.697250	70.741
200.137085	70.731
201.587372	70.722
203.048157	70.714
204.519531	70.706
206.001556	70.699
207.494324	70.693
208.997925	70.687
210.512405	70.681
212.037857	70.676
213.574371	70.671
215.122025	70.666
216.680893	70.661
218.251053	70.657
219.832581	70.652
221.425583	70.648
223.030121	70.643
224.646286	70.639
226.274170	70.634
227.913849	70.630
229.565399	70.625
231.228928	70.620
232.904510	70.616
234.592224	70.611
236.292191	70.607
238.004456	70.602
239.729126	70.597
241.466309	70.593
243.216080	70.588
244.978516	70.584
246.753738	70.579
248.541809	70.575
250.342850	70.570
252.156937	70.566
253.984161	70.561
255.824646	70.556
257.678467	70.552
259.545685	70.547
261.426483	70.543
263.320862	70.538
265.229004	70.533
267.150970	70.529
269.086853	70.524
271.036774	70.520
273.000824	70.515
274.979095	70.511
276.971710	70.506
278.978760	70.502
281.000336	70.497
283.036591	70.493
285.087585	70.488
287.153442	70.483
289.234283	70.479
291.330200	70.474
293.441284	70.470
295.567688	70.465
297.709503	70.460
299.866821	70.456
302.039795	70.451
304.228485	70.447
306.433044	70.442
308.653595	70.438
310.890228	70.433
313.143066	70.429
315.412231	70.424
317.697845	70.419
320.000000	70.415
322.318848	70.410
324.654510	70.406
327.007080	70.401
329.376709	70.396
331.763519	70.392
334.167603	70.387
336.589142	70.383
339.028198	70.378
341.484924	70.374
343.959473	70.369
346.451935	70.365
348.962463	70.360
351.491211	70.356
354.038239	70.351
356.603760	70.346
359.187866	70.342
361.790680	70.337
364.412354	70.333
367.053040	70.328
369.712860	70.323
372.391968	70.319
375.090454	70.314
377.808533	70.310
380.546265	70.305
383.303864	70.301
386.081451	70.296
388.879150	70.292
391.697144	70.287
394.535522	70.282
397.394501	70.278
400.274170	70.273
403.174744	70.269
406.096313	70.264
409.039062	70.259
412.003113	70.255
414.988647	70.250
417.995850	70.246
421.024811	70.241
424.075714	70.237
427.148743	70.232
430.244049	70.228
433.361786	70.223
436.502106	70.219
439.665161	70.214
442.851166	70.209
446.060242	70.205
449.292572	70.200
452.548340	70.196
455.827698	70.191
459.130798	70.186
462.457855	70.182
465.809021	70.177
469.184448	70.173
472.584381	70.168
476.008911	70.164
479.458252	70.159
482.932617	70.155
486.432159	70.150
489.957031	70.145
493.507477	70.141
497.083618	70.136
500.685699	70.132
504.313873	70.127
507.968323	70.122
511.649292	70.118
515.356934	70.113
519.091370	70.109
522.852966	70.104
526.641724	70.100
530.458008	70.095
534.301941	70.091
538.173706	70.087
542.073547	70.083
546.001648	70.080
549.958191	70.078
553.943420	70.076
557.957520	70.076
562.000671	70.076
566.073181	70.077
570.175171	70.077
574.306885	70.078
578.468567	70.079
582.660400	70.079
586.882568	70.078
591.135376	70.078
595.419006	70.076
599.733643	70.075
604.079590	70.072
608.456970	70.069
612.866089	70.066
617.307190	70.062
621.780457	70.057
626.286133	70.052
630.824463	70.047
635.395691	70.041
640.000000	70.034
644.637695	70.028
649.309021	70.020
654.014160	70.012
658.753418	70.004
663.527039	69.995
668.335205	69.986
673.178284	69.976
678.056396	69.966
682.969849	69.955
687.918945	69.944
692.903870	69.932
697.924927	69.920
702.982422	69.907
708.076477	69.894
713.207520	69.880
718.375732	69.866
723.581360	69.852
728.824707	69.837
734.106079	69.821
739.425720	69.805
744.783936	69.789
750.180908	69.772
755.617065	69.755
761.092529	69.738
766.607727	69.720
772.162903	69.702
777.758301	69.683
783.394287	69.664
789.071045	69.645
794.789001	69.625
800.548340	69.605
806.349487	69.585
812.192627	69.565
818.078125	69.544
824.006226	69.523
829.977295	69.503
835.991699	69.482
842.049622	69.461
848.151428	69.441
854.297485	69.420
860.488098	69.401
866.723572	69.381
873.004211	69.363
879.330322	69.346
885.702332	69.331
892.120483	69.317
898.585144	69.305
905.096680	69.294
911.655396	69.284
918.261597	69.275
924.915710	69.268
931.618042	69.262
938.368896	69.257
945.168762	69.253
952.017822	69.251
958.916504	69.250
965.865234	69.250
972.864319	69.252
979.914062	69.255
987.014954	69.260
994.167236	69.266
1001.371399	69.274
1008.627747	69.283
1015.936646	69.294
1023.298584	69.306
1030.713867	69.320
1038.182739	69.335
1045.705933	69.352
1053.283447	69.370
1060.916016	69.390
1068.603882	69.411
1076.347412	69.433
1084.147095	69.457
1092.003296	69.482
1099.916382	69.508
1107.886841	69.535
1115.915039	69.564
1124.001343	69.593
1132.146362	69.624
1140.350342	69.655
1148.613770	69.687
1156.937134	69.720
1165.320801	69.754
1173.765137	69.788
1182.270752	69.823
1190.838013	69.859
1199.467285	69.895
1208.159180	69.932
1216.913940	69.969
1225.732178	70.007
1234.614380	70.045
1243.560913	70.084
1252.572266	70.123
1261.648926	70.163
1270.791382	70.203
1280.000000	70.244
1289.275391	70.285
1298.618042	70.326
1308.028320	70.368
1317.506836	70.410
1327.054077	70.452
1336.670410	70.495
1346.356567	70.538
1356.112793	70.582
1365.939697	70.626
1375.837891	70.671
1385.807739	70.716
1395.849854	70.761
1405.964844	70.807
1416.152954	70.853
1426.415039	70.901
1436.751465	70.948
1447.162720	70.997
1457.649414	71.047
1468.212158	71.098
1478.851440	71.150
1489.567871	71.203
1500.361816	71.258
1511.234131	71.313
1522.185059	71.371
1533.215454	71.429
1544.325806	71.489
1555.516602	71.550
1566.788574	71.612
1578.142090	71.676
1589.578003	71.740
1601.096680	71.806
1612.698975	71.872
1624.385254	71.940
1636.156250	72.009
1648.012451	72.078
1659.954590	72.149
1671.983398	72.221
1684.099243	72.294
1696.302856	72.368
1708.594971	72.443
1720.976196	72.519
1733.447144	72.596
1746.008423	72.675
1758.660645	72.756
1771.404663	72.838
1784.240967	72.921
1797.170288	73.006
1810.193359	73.092
1823.310791	73.180
1836.523193	73.269
1849.831421	73.359
1863.236084	73.451
1876.737793	73.543
1890.337524	73.636
1904.035645	73.730
1917.833008	73.824
1931.730469	73.919
1945.728638	74.014
1959.828125	74.109
1974.029907	74.205
1988.334473	74.300
2002.742798	74.396
2017.255493	74.492
2031.873291	74.588
2046.597168	74.684
2061.427734	74.780
2076.365479	74.876
2091.411865	74.972
2106.566895	75.068
2121.832031	75.163
2137.207764	75.259
2152.694824	75.354
2168.294189	75.448
2184.006592	75.542
2199.832764	75.635
2215.773682	75.728
2231.830078	75.819
2248.002686	75.909
2264.292725	75.998
2280.700684	76.085
2297.227539	76.171
2313.874268	76.256
2330.641602	76.338
2347.530273	76.419
2364.541504	76.498
2381.676025	76.576
2398.934570	76.651
2416.318359	76.724
2433.827881	76.795
2451.464355	76.864
2469.228760	76.930
2487.121826	76.994
2505.144531	77.056
2523.297852	77.115
2541.582764	77.172
2560.000000	77.227
2578.550781	77.280
2597.236084	77.331
2616.056641	77.380
2635.013672	77.428
2654.108154	77.473
2673.340820	77.517
2692.713135	77.559
2712.225586	77.599
2731.879395	77.636
2751.675781	77.672
2771.615479	77.704
2791.699707	77.734
2811.929688	77.761
2832.305908	77.785
2852.830078	77.807
2873.502930	77.826
2894.325439	77.842
2915.298828	77.855
2936.424316	77.866
2957.702881	77.874
2979.135742	77.880
3000.723633	77.883
3022.468262	77.884
3044.370117	77.883
3066.430908	77.879
3088.651611	77.874
3111.033203	77.865
3133.577148	77.855
3156.284180	77.842
3179.156006	77.826
3202.193359	77.808
3225.397949	77.788
3248.770508	77.765
3272.312500	77.738
3296.024902	77.709
3319.909180	77.678
3343.966797	77.643
3368.198486	77.606
3392.605713	77.566
3417.189941	77.523
3441.952393	77.479
3466.894287	77.433
3492.016846	77.384
3517.321289	77.334
3542.809326	77.283
3568.481934	77.229
3594.340576	77.175
3620.386719	77.118
3646.621582	77.061
3673.046387	77.002
3699.662842	76.941
3726.472168	76.879
3753.475586	76.816
3780.675049	76.752
3808.071289	76.687
3835.666016	76.620
3863.460938	76.553
3891.457275	76.485
3919.656250	76.417
3948.059814	76.348
3976.668945	76.278
4005.485596	76.208
4034.510986	76.137
4063.746582	76.066
4093.194336	75.995
4122.855469	75.924
4152.730957	75.852
4182.823730	75.780
4213.133789	75.708
4243.664062	75.635
4274.415527	75.563
4305.389648	75.490
4336.588379	75.417
4368.013184	75.344
4399.665527	75.271
4431.547363	75.197
4463.660156	75.123
4496.005371	75.049
4528.585449	74.975
4561.401367	74.901
4594.455078	74.827
4627.748535	74.754
4661.283203	74.681
4695.060547	74.609
4729.083008	74.538
4763.352051	74.468
4797.869141	74.399
4832.636719	74.331
4867.655762	74.264
4902.928711	74.198
4938.457520	74.132
4974.243652	74.066
5010.289062	74.001
5046.595703	73.936
5083.165527	73.872
5120.000000	73.808
5157.101562	73.744
5194.472168	73.681
5232.113281	73.618
5270.027344	73.555
5308.216309	73.492
5346.681641	73.429
5385.426270	73.366
5424.451172	73.302
5463.758789	73.238
5503.351562	73.173
5543.230957	73.108
5583.399414	73.042
5623.859375	72.977
5664.611816	72.912
5705.660156	72.847
5747.005859	72.784
5788.650879	72.723
5830.597656	72.663
5872.848633	72.606
5915.405762	72.552
5958.271484	72.500
6001.447266	72.451
6044.936523	72.405
6088.740234	72.362
6132.861816	72.320
6177.303223	72.281
6222.066406	72.243
6267.154297	72.208
6312.568359	72.174
6358.312012	72.142
6404.386719	72.111
6450.795898	72.083
6497.541016	72.057
6544.625000	72.034
6592.049805	72.015
6639.818359	72.002
6687.933594	71.996
6736.396973	72.000
6785.211426	72.016
6834.379883	72.047
6883.904785	72.096
6933.788574	72.164
6984.033691	72.253
7034.642578	72.364
7085.618652	72.497
7136.963867	72.651
7188.681152	72.826
7240.773438	73.017
7293.243164	73.224
7346.092773	73.441
7399.325684	73.665
7452.944336	73.890
7506.951172	74.110
7561.350098	74.319
7616.142578	74.511
7671.332031	74.681
7726.921875	74.825
7782.914551	74.940
7839.312500	75.021
7896.119629	75.065
7953.337891	75.068
8010.971191	75.028
8069.021973	74.946
8127.493164	74.820
8186.388672	74.654
8245.710938	74.449
8305.461914	74.210
8365.647461	73.942
8426.267578	73.653
