* Measurement data measured by REW V5.20.13
* Source: Listener (Flat Bass) Target Filtered
* Format: 
* Dated: Jan 1, 2023 6:35:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/0 - REW Curves/Targets/IEM Targets/Listener/Listener (Flat Bass) Target.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced  LSQ      Fc   30.00 Hz  Gain  -0.40 dB Q  0.771 LSQ      Fc   140.0 Hz  Gain  10.10 dB Q  0.537 PK       Fc   315.0 Hz  Gain  -1.10 dB  BW Oct   1.50 HSQ      Fc    1200 Hz  Gain  -1.50 dB Q   1.05 HSQ      Fc    3000 Hz  Gain  -1.70 dB Q   1.17 HSQ      Fc    8000 Hz  Gain   3.20 dB Q  0.776 PK       Fc   10250 Hz  Gain   1.00 dB  BW Oct   1.69
* Measurement: EQ Listener (Flat Bass) Target
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	99.583
20.600000	99.581
21.200001	99.578
21.799999	99.575
22.400000	99.572
23.000000	99.570
23.600000	99.567
24.299999	99.564
25.000000	99.561
25.799999	99.558
26.500000	99.555
27.200001	99.551
28.000000	99.546
29.000000	99.539
30.000000	99.532
30.700001	99.525
31.500000	99.517
32.500000	99.506
33.500000	99.493
34.500000	99.478
35.500000	99.462
36.500000	99.445
37.500000	99.425
38.700001	99.400
40.000000	99.371
41.200001	99.341
42.500000	99.307
43.700001	99.273
45.000000	99.235
46.200001	99.198
47.500000	99.156
48.700001	99.116
50.000000	99.071
51.500000	99.017
53.000000	98.961
54.500000	98.904
56.000000	98.844
58.000000	98.763
60.000000	98.679
61.500000	98.615
63.000000	98.549
65.000000	98.460
67.000000	98.368
69.000000	98.275
71.000000	98.181
73.000000	98.085
75.000000	97.988
77.500000	97.865
80.000000	97.740
82.500000	97.614
85.000000	97.487
87.500000	97.360
90.000000	97.231
92.500000	97.103
95.000000	96.974
97.500000	96.845
100.000000	96.716
103.000000	96.562
106.000000	96.409
109.000000	96.256
112.000000	96.105
115.000000	95.955
118.000000	95.807
122.000000	95.611
125.000000	95.467
128.000000	95.324
132.000000	95.137
136.000000	94.954
140.000000	94.774
145.000000	94.556
150.000000	94.343
155.000000	94.137
160.000000	93.937
165.000000	93.744
170.000000	93.556
175.000000	93.375
180.000000	93.200
185.000000	93.030
190.000000	92.867
195.000000	92.709
200.000000	92.556
206.000000	92.380
212.000000	92.212
218.000000	92.051
224.000000	91.898
230.000000	91.752
236.000000	91.613
243.000000	91.460
250.000000	91.317
258.000000	91.165
265.000000	91.042
272.000000	90.929
280.000000	90.811
290.000000	90.680
300.000000	90.567
307.000000	90.497
315.000000	90.427
325.000000	90.353
335.000000	90.292
345.000000	90.242
355.000000	90.203
365.000000	90.172
375.000000	90.148
387.000000	90.128
400.000000	90.114
412.000000	90.106
425.000000	90.103
437.000000	90.103
450.000000	90.106
462.000000	90.110
475.000000	90.116
487.000000	90.122
500.000000	90.129
515.000000	90.138
530.000000	90.147
545.000000	90.155
560.000000	90.163
580.000000	90.174
600.000000	90.183
615.000000	90.189
630.000000	90.194
650.000000	90.200
670.000000	90.204
690.000000	90.207
710.000000	90.210
730.000000	90.216
750.000000	90.223
775.000000	90.228
800.000000	90.230
825.000000	90.232
850.000000	90.234
875.000000	90.239
900.000000	90.248
925.000000	90.262
950.000000	90.282
975.000000	90.310
1000.000000	90.344
1030.000000	90.389
1060.000000	90.445
1090.000000	90.512
1120.000000	90.594
1150.000000	90.688
1180.000000	90.790
1220.000000	90.935
1250.000000	91.051
1280.000000	91.176
1320.000000	91.351
1360.000000	91.537
1400.000000	91.736
1450.000000	91.991
1500.000000	92.251
1550.000000	92.521
1600.000000	92.801
1650.000000	93.086
1700.000000	93.373
1750.000000	93.657
1800.000000	93.933
1850.000000	94.198
1900.000000	94.446
1950.000000	94.674
2000.000000	94.873
2060.000000	95.073
2120.000000	95.243
2180.000000	95.389
2240.000000	95.512
2300.000000	95.612
2360.000000	95.687
2430.000000	95.745
2500.000000	95.773
2580.000000	95.771
2650.000000	95.744
2720.000000	95.694
2800.000000	95.609
2900.000000	95.474
3000.000000	95.312
3070.000000	95.185
3150.000000	95.034
3250.000000	94.838
3350.000000	94.633
3450.000000	94.423
3550.000000	94.215
3650.000000	94.009
3750.000000	93.811
3870.000000	93.586
4000.000000	93.360
4120.000000	93.165
4250.000000	92.967
4370.000000	92.796
4500.000000	92.625
4620.000000	92.479
4750.000000	92.333
4870.000000	92.210
5000.000000	92.087
5150.000000	91.958
5300.000000	91.837
5450.000000	91.721
5600.000000	91.612
5800.000000	91.477
6000.000000	91.359
6150.000000	91.283
6300.000000	91.216
6500.000000	91.136
6700.000000	91.065
6900.000000	91.004
7100.000000	90.952
7300.000000	90.907
7500.000000	90.868
7750.000000	90.822
8000.000000	90.771
8250.000000	90.716
8500.000000	90.660
8750.000000	90.599
9000.000000	90.532
9250.000000	90.455
9500.000000	90.369
9750.000000	90.275
10000.000000	90.168
10300.000000	90.017
10600.000000	89.840
10900.000000	89.639
11200.000000	89.416
11500.000000	89.176
11800.000000	88.926
12200.000000	88.588
12500.000000	88.331
12800.000000	88.067
13200.000000	87.703
13600.000000	87.329
14000.000000	86.957
14500.000000	86.517
15000.000000	86.123
15500.000000	85.770
16000.000000	85.430
16500.000000	85.063
17000.000000	84.656
17500.000000	84.251
18000.000000	83.901
18500.000000	83.569
19000.000000	83.124
19500.000000	82.267
20000.000000	81.260
