* Measurement data measured by REW V5.20 Beta 61
* Source: /Users/theolee/Desktop/Photos/FR Graphs/precogcurve4.txt
* Format: Comma/Tab/Space delimited data
* Dated: Mar 30, 2021 12:20:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/theolee/Desktop/Photos/FR Graphs/precogcurve4.txt Format: Comma/Tab/Space delimited data 61 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: precogcurve4
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.900002	12.2246
20.299999	84.897331	13.3877
20.600000	84.894836	14.5094
20.900000	84.892677	15.5675
21.200001	84.890953	16.5422
21.400000	84.890114	17.1366
21.799999	84.889290	18.1698
22.000000	84.889366	18.5994
22.400000	84.890915	19.2282
22.700001	84.896255	19.1370
23.000000	84.902573	18.8715
23.299999	84.909363	18.4917
23.600000	84.916412	18.0202
24.000000	84.925865	17.2849
24.299999	84.932800	16.6781
24.700001	84.941483	15.8289
25.000000	84.947357	15.1895
25.400000	84.951675	14.6019
25.799999	84.954887	14.0316
26.200001	84.957123	13.4723
26.500000	84.958153	13.0597
26.900000	84.958702	12.5187
27.200001	84.958511	12.1196
27.600000	84.957481	11.5960
28.000000	84.955559	11.0820
28.500000	84.951714	10.4512
29.000000	84.946716	9.8345
29.500000	84.940720	9.2315
30.000000	84.933769	8.6421
30.400000	84.927582	8.1801
30.700001	84.922600	7.8390
31.100000	84.915527	7.3915
31.500000	84.907990	6.9522
32.000000	84.898232	6.4181
32.500000	84.887856	5.8956
33.000000	84.876884	5.3841
33.500000	84.865326	4.8829
34.000000	84.853226	4.3913
34.500000	84.840622	3.9090
35.000000	84.827499	3.4354
35.500000	84.813927	2.9695
36.000000	84.800171	2.5069
36.500000	84.785965	2.0518
37.000000	84.771278	1.6045
37.500000	84.756104	1.1652
38.200001	84.734039	0.5634
38.700001	84.717667	0.1431
39.500000	84.690437	-0.5130
40.000000	84.672775	-0.9129
40.599998	84.650078	-1.3755
41.200001	84.626717	-1.8276
41.799999	84.602783	-2.2698
42.500000	84.574173	-2.7741
43.099998	84.549171	-3.1971
43.700001	84.523788	-3.6121
44.400002	84.493736	-4.0867
45.000000	84.467751	-4.4866
45.500000	84.446251	-4.8189
