
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	112.936310	0
20.299999	112.929092	0
20.600000	112.919449	0
20.900000	112.907745	0
21.200001	112.894402	0
21.400000	112.884735	0
21.799999	112.864059	0
22.000000	112.853195	0
22.400000	112.830704	0
22.700001	112.813416	0
23.000000	112.795906	0
23.299999	112.778297	0
23.600000	112.760635	0
24.000000	112.737152	0
24.299999	112.719643	0
24.700001	112.696465	0
25.000000	112.679260	0
25.400000	112.656555	0
25.799999	112.634140	0
26.200001	112.612038	0
26.500000	112.595657	0
26.900000	112.574081	0
27.200001	112.558105	0
27.600000	112.537064	0
28.000000	112.516312	0
28.500000	112.490776	0
29.000000	112.465668	0
29.500000	112.440964	0
30.000000	112.416672	0
30.400000	112.397491	0
30.700001	112.383240	0
31.100000	112.364456	0
31.500000	112.345863	0
32.000000	112.322861	0
32.500000	112.300095	0
33.000000	112.277527	0
33.500000	112.255035	0
34.000000	112.232605	0
34.500000	112.210083	0
35.000000	112.187378	0
35.500000	112.164337	0
36.000000	112.140793	0
36.500000	112.116585	0
37.000000	112.091469	0
37.500000	112.065262	0
38.200001	112.026314	0
38.700001	111.996628	0
39.500000	111.945496	0
40.000000	111.911148	0
40.599998	111.867516	0
41.200001	111.821419	0
41.799999	111.773140	0
42.500000	111.714508	0
43.099998	111.662712	0
43.700001	111.609901	0
44.400002	111.547379	0
45.000000	111.493347	0
45.500000	111.448181	0
46.200001	111.384972	0
46.799999	111.330963	0
47.500000	111.268295	0
48.200001	111.206131	0
48.700001	111.162079	0
49.400002	111.100975	0
50.000000	111.049141	0
50.799999	110.980835	0
51.500000	110.921852	0
52.200001	110.863602	0
53.000000	110.797928	0
53.799999	110.733177	0
54.500000	110.677284	0
55.200001	110.622093	0
56.000000	110.559860	0
57.000000	110.483292	0
58.000000	110.408020	0
59.000000	110.334053	0
60.000000	110.261322	0
60.799999	110.203995	0
61.500000	110.154449	0
62.200001	110.105461	0
63.000000	110.050148	0
64.000000	109.981987	0
65.000000	109.914879	0
66.000000	109.848793	0
67.000000	109.783707	0
68.000000	109.719574	0
69.000000	109.656372	0
70.000000	109.594070	0
71.000000	109.532654	0
72.000000	109.472084	0
73.000000	109.412338	0
74.000000	109.353371	0
75.000000	109.295197	0
76.199997	109.226372	0
77.500000	109.152985	0
78.800003	109.080772	0
80.000000	109.015106	0
81.199997	108.950386	0
