
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000	94.449	0
20.291	94.444	0
20.586	94.421	0
20.885	94.391	0
21.189	94.356	0
21.497	94.319	0
21.810	94.281	0
22.127	94.243	0
22.449	94.204	0
22.776	94.164	0
23.107	94.124	0
23.443	94.083	0
23.784	94.042	0
24.130	94.000	0
24.481	93.958	0
24.837	93.915	0
25.198	93.871	0
25.565	93.827	0
25.937	93.783	0
26.314	93.738	0
26.697	93.692	0
27.085	93.646	0
27.479	93.599	0
27.879	93.551	0
28.284	93.503	0
28.696	93.455	0
29.113	93.406	0
29.537	93.357	0
29.966	93.308	0
30.402	93.258	0
30.844	93.208	0
31.293	93.158	0
31.748	93.108	0
32.210	93.057	0
32.678	93.006	0
33.154	92.953	0
33.636	92.901	0
34.125	92.847	0
34.621	92.793	0
35.125	92.738	0
35.636	92.682	0
36.154	92.625	0
36.680	92.568	0
37.214	92.509	0
37.755	92.450	0
38.304	92.389	0
38.861	92.327	0
39.427	92.264	0
40.000	92.199	0
40.582	92.132	0
41.172	92.063	0
41.771	91.993	0
42.379	91.921	0
42.995	91.848	0
43.620	91.774	0
44.255	91.698	0
44.898	91.620	0
45.552	91.542	0
46.214	91.462	0
46.886	91.381	0
47.568	91.298	0
48.260	91.214	0
48.962	91.129	0
49.674	91.041	0
50.397	90.953	0
51.130	90.863	0
51.874	90.771	0
52.628	90.678	0
53.394	90.584	0
54.170	90.489	0
54.958	90.394	0
55.758	90.298	0
56.569	90.201	0
57.391	90.105	0
58.226	90.009	0
59.073	89.912	0
59.932	89.817	0
60.804	89.722	0
61.688	89.627	0
62.586	89.533	0
63.496	89.438	0
64.420	89.342	0
65.357	89.246	0
66.307	89.148	0
67.272	89.050	0
68.250	88.951	0
69.243	88.851	0
70.250	88.751	0
71.272	88.649	0
72.309	88.547	0
73.360	88.444	0
74.427	88.339	0
75.510	88.234	0
76.608	88.128	0
77.723	88.021	0
78.853	87.911	0
80.000	87.800	0
81.164	87.687	0
82.344	87.572	0
83.542	87.455	0
84.757	87.337	0
85.990	87.218	0
87.241	87.100	0
88.510	86.981	0
89.797	86.862	0
91.103	86.744	0
92.428	86.627	0
93.773	86.511	0
95.137	86.396	0
96.520	86.283	0
97.924	86.172	0
99.349	86.063	0
100.794	85.957	0
102.260	85.853	0
103.747	85.750	0
105.256	85.647	0
106.787	85.545	0
108.340	85.441	0
109.916	85.338	0
111.515	85.233	0
113.137	85.128	0
114.783	85.023	0
116.452	84.917	0
118.146	84.810	0
119.865	84.703	0
121.608	84.596	0
123.377	84.488	0
125.171	84.380	0
126.992	84.271	0
128.839	84.162	0
130.713	84.053	0
132.615	83.944	0
134.543	83.834	0
136.500	83.724	0
138.486	83.614	0
140.500	83.505	0
142.544	83.394	0
144.617	83.284	0
146.721	83.174	0
148.855	83.062	0
151.020	82.950	0
153.217	82.837	0
155.445	82.724	0
157.706	82.610	0
160.000	82.497	0
162.327	82.385	0
164.688	82.274	0
167.084	82.164	0
169.514	82.056	0
171.980	81.950	0
174.481	81.845	0
177.019	81.743	0
179.594	81.644	0
182.206	81.547	0
184.856	81.453	0
187.545	81.364	0
190.273	81.278	0
193.041	81.197	0
195.849	81.121	0
198.697	81.051	0
201.587	80.987	0
204.520	80.929	0
207.494	80.875	0
210.512	80.823	0
213.574	80.773	0
216.681	80.725	0
219.833	80.678	0
223.030	80.633	0
226.274	80.588	0
229.565	80.545	0
232.905	80.503	0
236.292	80.462	0
239.729	80.423	0
243.216	80.385	0
246.754	80.348	0
250.343	80.313	0
253.984	80.280	0
257.678	80.247	0
261.426	80.217	0
265.229	80.187	0
269.087	80.160	0
273.001	80.134	0
276.972	80.109	0
281.000	80.087	0
285.088	80.065	0
289.234	80.046	0
293.441	80.028	0
297.710	80.012	0
302.040	79.997	0
306.433	79.984	0
310.890	79.973	0
315.412	79.964	0
320.000	79.956	0
324.655	79.949	0
329.377	79.945	0
334.168	79.941	0
339.028	79.939	0
343.959	79.939	0
348.962	79.940	0
354.038	79.942	0
359.188	79.946	0
364.412	79.951	0
369.713	79.956	0
375.090	79.963	0
380.546	79.970	0
386.081	79.977	0
391.697	79.984	0
397.395	79.990	0
403.175	79.995	0
409.039	79.997	0
414.989	79.999	0
421.025	80.000	0
427.149	80.000	0
