* Measurement data measured by REW V5.20
* Source: /Users/mrs/Desktop/PEQ/(scaffold).txt
* Format: Comma/Tab/Space delimited data
* Dated: Apr 3, 2022 4:13:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/mrs/Desktop/PEQ/(scaffold).txt Format: Comma/Tab/Space delimited data 8 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: (scaffold)
* Smoothing: 1/3 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.959663	0
20.299999	104.955078	0
20.600000	104.948982	0
20.900000	104.941582	0
21.200001	104.933121	0
21.400000	104.927010	0
21.799999	104.913940	0
22.000000	104.907074	0
22.400000	104.892860	0
22.700001	104.881927	0
23.000000	104.870865	0
23.299999	104.859749	0
23.600000	104.848595	0
24.000000	104.833771	0
24.299999	104.822716	0
24.700001	104.808090	0
25.000000	104.797234	0
25.400000	104.782898	0
25.799999	104.768753	0
26.200001	104.754807	0
26.500000	104.744476	0
26.900000	104.730865	0
27.200001	104.720787	0
27.600000	104.707504	0
28.000000	104.694427	0
28.500000	104.678322	0
29.000000	104.662491	0
29.500000	104.646935	0
30.000000	104.631638	0
30.400000	104.619583	0
30.700001	104.610649	0
31.100000	104.598854	0
31.500000	104.587227	0
32.000000	104.572899	0
32.500000	104.558784	0
33.000000	104.544891	0
33.500000	104.531204	0
34.000000	104.517715	0
34.500000	104.504425	0
35.000000	104.491333	0
35.500000	104.478424	0
36.000000	104.465698	0
36.500000	104.453140	0
37.000000	104.440742	0
37.500000	104.428528	0
38.200001	104.411697	0
38.700001	104.399857	0
39.500000	104.381241	0
40.000000	104.369781	0
40.599998	104.356224	0
41.200001	104.342880	0
41.799999	104.329712	0
42.500000	104.314598	0
43.099998	104.301826	0
43.700001	104.289246	0
44.400002	104.274780	0
45.000000	104.262550	0
45.500000	104.252472	0
46.200001	104.238564	0
46.799999	104.226791	0
47.500000	104.213242	0
48.200001	104.199867	0
48.700001	104.190414	0
49.400002	104.177330	0
50.000000	104.166245	0
50.799999	104.151596	0
51.500000	104.138901	0
52.200001	104.126312	0
53.000000	104.112007	0
53.799999	104.097763	0
54.500000	104.085304	0
55.200001	104.072815	0
56.000000	104.058472	0
57.000000	104.040382	0
58.000000	104.021973	0
59.000000	104.003220	0
60.000000	103.984070	0
60.799999	103.968452	0
61.500000	103.954590	0
62.200001	103.940575	0
63.000000	103.924400	0
64.000000	103.904007	0
65.000000	103.883499	0
66.000000	103.862938	0
67.000000	103.842445	0
68.000000	103.822021	0
69.000000	103.801750	0
70.000000	103.781647	0
71.000000	103.761734	0
72.000000	103.742027	0
73.000000	103.722565	0
74.000000	103.703323	0
75.000000	103.684311	0
76.199997	103.661797	0
77.500000	103.637794	0
78.800003	103.614166	0
80.000000	103.592697	0
81.199997	103.571548	0
82.500000	103.548965	0
83.800003	103.526749	0
85.000000	103.506531	0
86.199997	103.486603	0
87.500000	103.465332	0
88.500000	103.449173	0
90.000000	103.425278	0
91.199997	103.406441	0
92.500000	103.386330	0
93.800003	103.366486	0
95.000000	103.348404	0
96.199997	103.330566	0
97.500000	103.311478	0
98.800003	103.292648	0
100.000000	103.275475	0
101.500000	103.254311	0
103.000000	103.233459	0
104.400002	103.214264	0
106.000000	103.192635	0
107.500000	103.172653	0
109.000000	103.152954	0
110.599998	103.132240	0
112.000000	103.114365	0
113.800003	103.091690	0
115.000000	103.076782	0
117.199997	103.049835	0
118.000000	103.040161	0
120.599998	103.009178	0
122.000000	102.992760	0
124.099998	102.968498	0
125.000000	102.958229	0
126.500000	102.941261	0
128.000000	102.924507	0
131.500000	102.886162	0
132.000000	102.880753	0
134.000000	102.859375	0
136.000000	102.838318	0
138.000000	102.817558	0
140.000000	102.797104	0
143.000000	102.766960	0
145.000000	102.747208	0
147.500000	102.722908	0
150.000000	102.699005	0
152.500000	102.675507	0
155.000000	102.652390	0
157.500000	102.629639	0
160.000000	102.607254	0
162.500000	102.585213	0
165.000000	102.563507	0
167.500000	102.542122	0
170.000000	102.521057	0
172.500000	102.500305	0
175.000000	102.479843	0
177.500000	102.459686	0
180.000000	102.439789	0
182.500000	102.420181	0
185.000000	102.400841	0
187.500000	102.381752	0
190.000000	102.362923	0
192.500000	102.344345	0
195.000000	102.325989	0
197.500000	102.307877	0
200.000000	102.290001	0
203.000000	102.268829	0
206.000000	102.247971	0
209.000000	102.227417	0
212.000000	102.207153	0
214.000000	102.193802	0
218.000000	102.167473	0
220.000000	102.154480	0
224.000000	102.128876	0
227.000000	102.109955	0
230.000000	102.091293	0
233.000000	102.072868	0
236.000000	102.054672	0
240.000000	102.030785	0
243.000000	102.013115	0
247.000000	101.989914	0
250.000000	101.972740	0
254.000000	101.950172	0
258.000000	101.927963	0
262.000000	101.906082	0
265.000000	101.889900	0
269.000000	101.868599	0
272.000000	101.852829	0
276.000000	101.832077	0
280.000000	101.811615	0
285.000000	101.786461	0
290.000000	101.761726	0
295.000000	101.737427	0
300.000000	101.713524	0
304.000000	101.694695	0
307.000000	101.680725	0
311.000000	101.662315	0
315.000000	101.644150	0
320.000000	101.621765	0
325.000000	101.599724	0
330.000000	101.578011	0
335.000000	101.556641	0
340.000000	101.535576	0
345.000000	101.514816	0
350.000000	101.494354	0
355.000000	101.474197	0
360.000000	101.454300	0
365.000000	101.434700	0
370.000000	101.415359	0
375.000000	101.396271	0
