* Measurement data measured by REW V5.20.13
* Source: EQ window target shape
* Format: 
* Dated: Apr 13, 2023 7:36:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Listener 5128 to 711
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB)
20.000000 55.495
20.144928 55.503
20.290907 55.512
20.437943 55.522
20.586044 55.533
20.735220 55.544
20.885475 55.555
21.036821 55.565
21.189262 55.575
21.342808 55.585
21.497467 55.594
21.653246 55.603
21.810154 55.612
21.968201 55.621
22.127390 55.630
22.287735 55.638
22.449242 55.647
22.611917 55.656
22.775772 55.664
22.940815 55.673
23.107054 55.682
23.274498 55.691
23.443153 55.699
23.613033 55.708
23.784142 55.716
23.956491 55.725
24.130091 55.733
24.304947 55.742
24.481071 55.750
24.658470 55.758
24.837156 55.767
25.017136 55.776
25.198421 55.784
25.381020 55.792
25.564941 55.801
25.750195 55.810
25.936790 55.818
26.124741 55.826
26.314051 55.835
26.504732 55.843
26.696796 55.852
26.890253 55.861
27.085112 55.869
27.281382 55.877
27.479073 55.885
27.678198 55.894
27.878765 55.902
28.080786 55.911
28.284271 55.919
28.489231 55.927
28.695675 55.936
28.903616 55.944
29.113064 55.953
29.324028 55.961
29.536524 55.969
29.750557 55.978
29.966141 55.986
30.183289 55.995
30.402010 56.003
30.622314 56.012
30.844217 56.020
31.067726 56.028
31.292856 56.037
31.519617 56.046
31.748020 56.054
31.978081 56.062
32.209808 56.070
32.443211 56.078
32.678310 56.087
32.915108 56.095
33.153625 56.104
33.393871 56.112
33.635857 56.121
33.879597 56.129
34.125103 56.137
34.372387 56.145
34.621464 56.153
34.872345 56.162
35.125042 56.170
35.379574 56.178
35.635948 56.186
35.894180 56.194
36.154285 56.201
36.416275 56.209
36.680161 56.216
36.945961 56.223
37.213688 56.230
37.483353 56.237
37.754974 56.243
38.028561 56.249
38.304131 56.255
38.581699 56.261
38.861279 56.266
39.142883 56.272
39.426529 56.277
39.712231 56.283
40.000000 56.288
40.289856 56.293
40.581814 56.298
40.875885 56.303
41.172089 56.307
41.470440 56.312
41.770950 56.316
42.073643 56.320
42.378525 56.325
42.685616 56.329
42.994934 56.333
43.306492 56.338
43.620308 56.342
43.936401 56.347
44.254780 56.351
44.575470 56.357
44.898483 56.362
45.223835 56.367
45.551544 56.373
45.881630 56.379
46.214108 56.385
46.548996 56.392
46.886307 56.399
47.226067 56.406
47.568283 56.412
47.912983 56.419
48.260181 56.426
48.609894 56.432
48.962143 56.439
49.316940 56.445
49.674313 56.452
50.034271 56.458
50.396843 56.464
50.762039 56.470
51.129883 56.476
51.500389 56.483
51.873581 56.489
52.249481 56.495
52.628101 56.500
53.009464 56.506
53.393593 56.511
53.780506 56.516
54.170223 56.522
54.562763 56.527
54.958145 56.532
55.356396 56.537
55.757530 56.541
56.161572 56.546
56.568542 56.550
56.978462 56.555
57.391350 56.559
57.807232 56.564
58.226128 56.568
58.648056 56.573
59.073048 56.577
59.501114 56.582
59.932281 56.586
60.366577 56.591
60.804020 56.596
61.244629 56.601
61.688435 56.606
62.135452 56.611
62.585712 56.616
63.039234 56.622
63.496040 56.627
63.956161 56.633
64.419617 56.638
64.886421 56.643
65.356621 56.649
65.830215 56.654
66.307251 56.660
66.787743 56.666
67.271713 56.671
67.759193 56.678
68.250206 56.683
68.744774 56.689
69.242928 56.694
69.744690 56.700
70.250084 56.706
70.759148 56.712
71.271896 56.718
71.788361 56.724
72.308571 56.729
72.832550 56.734
73.360321 56.739
73.891922 56.744
74.427376 56.748
74.966705 56.754
75.509949 56.758
76.057121 56.763
76.608261 56.768
77.163399 56.772
77.722557 56.777
78.285767 56.781
78.853058 56.786
79.424461 56.790
80.000000 56.794
80.579712 56.798
81.163628 56.801
81.751770 56.804
82.344177 56.808
82.940880 56.811
83.541901 56.814
84.147285 56.817
84.757050 56.819
85.371231 56.822
85.989868 56.824
86.612984 56.826
87.240616 56.828
87.872803 56.831
88.509560 56.833
89.150940 56.835
89.796967 56.838
90.447670 56.841
91.103088 56.844
91.763260 56.847
92.428215 56.850
93.097992 56.853
93.772614 56.856
94.452133 56.860
