* Measurement data measured by REW V5.20.7
* Source: C:\Users\Angelo\Desktop\Crinacle OE Targets\Free Field.txt
* Format: Comma/Tab/Space delimited data
* Dated: sep 27, 2022 2:35:47 p.m.
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\Angelo\Desktop\Crinacle OE Targets\Free Field.txt Format: Comma/Tab/Space delimited data 526 values loaded, 10 Hz to 19,895 Hz log spaced
* Measurement: Free Field
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.145 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.145000 -3.603 0.0000
10.218515 -3.603 0.0000
10.292563 -3.603 0.0000
10.367147 -3.603 0.0000
10.442272 -3.603 0.0000
10.517941 -3.603 0.0000
10.594159 -3.603 0.0000
10.670929 -3.603 0.0000
10.748255 -3.603 0.0000
10.826141 -3.603 0.0000
10.904593 -3.603 0.0000
10.983612 -3.603 0.0000
11.063204 -3.603 0.0000
11.143373 -3.603 0.0000
11.224122 -3.603 0.0000
11.305457 -3.603 0.0000
11.387382 -3.603 0.0000
11.469899 -3.603 0.0000
11.553015 -3.603 0.0000
11.636733 -3.603 0.0000
11.721058 -3.603 0.0000
11.805993 -3.603 0.0000
11.891544 -3.603 0.0000
11.977715 -3.603 0.0000
12.064511 -3.603 0.0000
12.151936 -3.603 0.0000
12.239993 -3.603 0.0000
12.328690 -3.603 0.0000
12.418028 -3.603 0.0000
12.508014 -3.603 0.0000
12.598652 -3.603 0.0000
12.689947 -3.603 0.0000
12.781903 -3.603 0.0000
12.874526 -3.603 0.0000
12.967820 -3.603 0.0000
13.061790 -3.603 0.0000
13.156442 -3.603 0.0000
13.251779 -3.603 0.0000
13.347806 -3.603 0.0000
13.444530 -3.603 0.0000
13.541954 -3.603 0.0000
13.640084 -3.603 0.0000
13.738926 -3.603 0.0000
13.838484 -3.603 0.0000
13.938764 -3.603 0.0000
14.039769 -3.603 0.0000
14.141507 -3.603 0.0000
14.243982 -3.603 0.0000
14.347200 -3.603 0.0000
14.451166 -3.603 0.0000
14.555885 -3.603 0.0000
14.661364 -3.603 0.0000
14.767606 -3.603 0.0000
14.874618 -3.603 0.0000
14.982406 -3.603 0.0000
15.090975 -3.603 0.0000
15.200330 -3.603 0.0000
15.310477 -3.603 0.0000
15.421423 -3.603 0.0000
15.533173 -3.603 0.0000
15.645732 -3.603 0.0000
15.759108 -3.603 0.0000
15.873304 -3.603 0.0000
15.988329 -3.603 0.0000
16.104187 -3.603 0.0000
16.220884 -3.603 0.0000
16.338427 -3.603 0.0000
16.456821 -3.603 0.0000
16.576075 -3.603 0.0000
16.696192 -3.603 0.0000
16.817179 -3.603 0.0000
16.939043 -3.603 0.0000
17.061790 -3.603 0.0000
17.185427 -3.603 0.0000
17.309959 -3.603 0.0000
17.435394 -3.603 0.0000
17.561739 -3.603 0.0000
17.688999 -3.603 0.0000
17.817181 -3.603 0.0000
17.946291 -3.603 0.0000
18.076338 -3.603 0.0000
18.207327 -3.603 0.0000
18.339264 -3.603 0.0000
18.472158 -3.603 0.0000
18.606016 -3.603 0.0000
18.740843 -3.603 0.0000
18.876646 -3.603 0.0000
19.013433 -3.603 0.0000
19.151213 -3.603 0.0000
19.289989 -3.603 0.0000
19.429773 -3.603 0.0000
19.570570 -3.603 0.0000
19.712387 -3.603 0.0000
19.855230 -3.603 0.0000
19.999109 -3.603 0.0000
20.144032 -3.603 0.0000
20.290003 -3.603 0.0000
20.437033 -3.603 0.0000
20.585129 -3.603 0.0000
20.734297 -3.603 0.0000
20.884546 -3.603 0.0000
21.035885 -3.603 0.0000
21.188320 -3.603 0.0000
21.341860 -3.603 0.0000
21.496511 -3.603 0.0000
21.652285 -3.603 0.0000
21.809187 -3.603 0.0000
21.967226 -3.603 0.0000
22.126410 -3.603 0.0000
22.286747 -3.603 0.0000
22.448246 -3.603 0.0000
22.610916 -3.603 0.0000
22.774765 -3.603 0.0000
22.939800 -3.603 0.0000
23.106031 -3.603 0.0000
23.273468 -3.603 0.0000
23.442118 -3.603 0.0000
23.611988 -3.603 0.0000
23.783091 -3.603 0.0000
23.955433 -3.603 0.0000
24.129025 -3.603 0.0000
24.303873 -3.603 0.0000
24.479988 -3.603 0.0000
24.657381 -3.603 0.0000
24.836058 -3.603 0.0000
25.016029 -3.603 0.0000
25.197306 -3.603 0.0000
25.379896 -3.603 0.0000
25.563808 -3.603 0.0000
25.749054 -3.603 0.0000
25.935642 -3.603 0.0000
26.123583 -3.603 0.0000
26.312885 -3.603 0.0000
26.503559 -3.603 0.0000
26.695616 -3.603 0.0000
26.889063 -3.603 0.0000
27.083912 -3.603 0.0000
27.280172 -3.603 0.0000
27.477856 -3.603 0.0000
27.676971 -3.603 0.0000
27.877531 -3.603 0.0000
28.079544 -3.603 0.0000
28.283020 -3.603 0.0000
28.487970 -3.603 0.0000
28.694407 -3.603 0.0000
28.902338 -3.603 0.0000
29.111776 -3.603 0.0000
29.322733 -3.603 0.0000
29.535217 -3.603 0.0000
29.749241 -3.603 0.0000
29.964817 -3.603 0.0000
30.181955 -3.603 0.0000
30.400665 -3.603 0.0000
30.620960 -3.603 0.0000
30.842852 -3.603 0.0000
31.066351 -3.603 0.0000
31.291470 -3.603 0.0000
31.518221 -3.603 0.0000
31.746614 -3.603 0.0000
31.976664 -3.603 0.0000
32.208378 -3.603 0.0000
32.441772 -3.603 0.0000
32.676861 -3.603 0.0000
32.913651 -3.603 0.0000
33.152157 -3.603 0.0000
33.392391 -3.603 0.0000
33.634365 -3.603 0.0000
33.878094 -3.603 0.0000
34.123589 -3.603 0.0000
34.370861 -3.603 0.0000
34.619926 -3.603 0.0000
34.870796 -3.603 0.0000
35.123486 -3.603 0.0000
35.378006 -3.603 0.0000
35.634369 -3.603 0.0000
35.892590 -3.603 0.0000
36.152683 -3.603 0.0000
36.414661 -3.603 0.0000
36.678535 -3.603 0.0000
36.944324 -3.603 0.0000
37.212040 -3.603 0.0000
37.481693 -3.603 0.0000
37.753300 -3.603 0.0000
38.026875 -3.603 0.0000
38.302433 -3.603 0.0000
38.579987 -3.603 0.0000
38.859554 -3.603 0.0000
39.141148 -3.603 0.0000
39.424782 -3.603 0.0000
39.710468 -3.603 0.0000
39.998226 -3.603 0.0000
40.288071 -3.603 0.0000
40.580013 -3.603 0.0000
40.874073 -3.603 0.0000
41.170265 -3.603 0.0000
41.468601 -3.603 0.0000
41.769100 -3.603 0.0000
42.071777 -3.603 0.0000
42.376648 -3.603 0.0000
42.683727 -3.603 0.0000
42.993031 -3.603 0.0000
43.304577 -3.603 0.0000
43.618382 -3.603 0.0000
43.934460 -3.603 0.0000
44.252827 -3.603 0.0000
44.573502 -3.603 0.0000
44.896500 -3.603 0.0000
45.221840 -3.603 0.0000
45.549538 -3.603 0.0000
45.879608 -3.603 0.0000
46.212070 -3.603 0.0000
46.546944 -3.603 0.0000
46.884243 -3.603 0.0000
47.223984 -3.603 0.0000
47.566189 -3.603 0.0000
47.910873 -3.603 0.0000
48.258057 -3.603 0.0000
48.607754 -3.603 0.0000
48.959984 -3.603 0.0000
49.314770 -3.603 0.0000
49.672127 -3.603 0.0000
50.032070 -3.603 0.0000
50.394623 -3.603 0.0000
50.759804 -3.603 0.0000
51.127632 -3.603 0.0000
51.498123 -3.603 0.0000
51.871300 -3.603 0.0000
52.247181 -3.603 0.0000
52.625786 -3.603 0.0000
53.007133 -3.603 0.0000
53.391247 -3.603 0.0000
53.778141 -3.603 0.0000
54.167839 -3.603 0.0000
54.560360 -3.603 0.0000
54.955727 -3.603 0.0000
55.353958 -3.603 0.0000
55.755077 -3.603 0.0000
56.159103 -3.603 0.0000
56.566055 -3.603 0.0000
56.975956 -3.603 0.0000
57.388828 -3.603 0.0000
57.804691 -3.603 0.0000
58.223568 -3.603 0.0000
58.645481 -3.603 0.0000
59.070450 -3.603 0.0000
59.498497 -3.603 0.0000
59.929649 -3.603 0.0000
60.363926 -3.603 0.0000
60.801350 -3.603 0.0000
61.241940 -3.603 0.0000
61.685722 -3.603 0.0000
62.132721 -3.603 0.0000
62.582962 -3.603 0.0000
63.036465 -3.603 0.0000
63.493252 -3.603 0.0000
63.953350 -3.603 0.0000
64.416786 -3.603 0.0000
64.883575 -3.603 0.0000
65.353752 -3.603 0.0000
65.827332 -3.603 0.0000
66.304344 -3.603 0.0000
66.784813 -3.603 0.0000
67.268761 -3.603 0.0000
67.756218 -3.603 0.0000
68.247208 -3.603 0.0000
68.741753 -3.603 0.0000
69.239883 -3.603 0.0000
69.741623 -3.603 0.0000
70.247002 -3.603 0.0000
70.756042 -3.603 0.0000
71.268768 -3.603 0.0000
71.785210 -3.603 0.0000
72.305397 -3.603 0.0000
72.829353 -3.603 0.0000
73.357101 -3.603 0.0000
73.888680 -3.603 0.0000
74.424110 -3.603 0.0000
74.963417 -3.603 0.0000
75.506630 -3.603 0.0000
76.053780 -3.603 0.0000
76.604897 -3.603 0.0000
77.160004 -3.603 0.0000
77.719139 -3.603 0.0000
78.282326 -3.603 0.0000
78.849594 -3.603 0.0000
79.420967 -3.603 0.0000
79.996483 -3.603 0.0000
80.576172 -3.603 0.0000
81.160057 -3.603 0.0000
81.748177 -3.603 0.0000
82.340561 -3.603 0.0000
82.937233 -3.603 0.0000
83.538231 -3.603 0.0000
84.143585 -3.603 0.0000
84.753326 -3.603 0.0000
85.367485 -3.603 0.0000
85.986092 -3.603 0.0000
86.609184 -3.603 0.0000
87.236794 -3.603 0.0000
87.868950 -3.603 0.0000
88.505684 -3.603 0.0000
89.147034 -3.603 0.0000
89.793030 -3.603 0.0000
90.443710 -3.603 0.0000
91.099106 -3.603 0.0000
91.759247 -3.603 0.0000
92.424171 -3.603 0.0000
93.093918 -3.603 0.0000
93.768517 -3.603 0.0000
94.448006 -3.603 0.0000
95.132416 -3.603 0.0000
95.821785 -3.603 0.0000
96.516151 -3.603 0.0000
97.215546 -3.603 0.0000
97.920006 -3.603 0.0000
98.629578 -3.604 0.0000
99.344292 -3.604 0.0000
100.064178 -3.606 0.0000
100.789284 -3.607 0.0000
101.519646 -3.610 0.0000
102.255302 -3.612 0.0000
102.996284 -3.615 0.0000
103.742638 -3.618 0.0000
104.494400 -3.621 0.0000
105.251610 -3.623 0.0000
106.014305 -3.625 0.0000
106.782532 -3.627 0.0000
107.556320 -3.629 0.0000
108.335716 -3.630 0.0000
109.120758 -3.632 0.0000
109.911491 -3.633 0.0000
110.707954 -3.634 0.0000
111.510193 -3.635 0.0000
112.318245 -3.636 0.0000
113.132149 -3.636 0.0000
113.951950 -3.637 0.0000
114.777695 -3.638 0.0000
115.609421 -3.639 0.0000
116.447174 -3.640 0.0000
117.291000 -3.641 0.0000
118.140938 -3.641 0.0000
118.997032 -3.642 0.0000
119.859337 -3.644 0.0000
120.727890 -3.647 0.0000
121.602737 -3.650 0.0000
122.483917 -3.654 0.0000
123.371483 -3.657 0.0000
124.265480 -3.661 0.0000
125.165962 -3.663 0.0000
126.072968 -3.665 0.0000
126.986542 -3.665 0.0000
127.906738 -3.666 0.0000
128.833603 -3.667 0.0000
129.767181 -3.668 0.0000
130.707535 -3.669 0.0000
131.654694 -3.670 0.0000
132.608719 -3.671 0.0000
133.569656 -3.672 0.0000
134.537552 -3.673 0.0000
135.512466 -3.673 0.0000
136.494446 -3.673 0.0000
137.483536 -3.673 0.0000
138.479797 -3.673 0.0000
139.483276 -3.673 0.0000
140.494034 -3.672 0.0000
141.512115 -3.672 0.0000
142.537567 -3.671 0.0000
143.570450 -3.670 0.0000
144.610825 -3.669 0.0000
145.658737 -3.668 0.0000
146.714233 -3.667 0.0000
147.777390 -3.666 0.0000
148.848251 -3.664 0.0000
149.926865 -3.663 0.0000
151.013290 -3.661 0.0000
152.107590 -3.659 0.0000
153.209824 -3.657 0.0000
154.320038 -3.655 0.0000
155.438309 -3.652 0.0000
156.564682 -3.650 0.0000
157.699219 -3.648 0.0000
158.841965 -3.646 0.0000
159.992996 -3.642 0.0000
161.152374 -3.638 0.0000
162.320145 -3.634 0.0000
163.496384 -3.630 0.0000
164.681152 -3.625 0.0000
