* Measurement data measured by REW V5.20.13
* Source: EQ window target shape
* Format: 
* Dated: Aug 9, 2023 5:40:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Target RMS Average 1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	-1.146
20.299999	-1.126
20.600000	-1.108
20.900000	-1.092
21.200001	-1.077
21.400000	-1.066
21.799999	-1.046
22.000000	-1.036
22.400000	-1.017
22.700001	-1.002
23.000000	-0.989
23.299999	-0.976
23.600000	-0.963
24.000000	-0.947
24.299999	-0.935
24.700001	-0.920
25.000000	-0.909
25.400000	-0.894
25.799999	-0.881
26.200001	-0.867
26.500000	-0.858
26.900000	-0.845
27.200001	-0.836
27.600000	-0.825
28.000000	-0.814
28.500000	-0.801
29.000000	-0.789
29.500000	-0.776
30.000000	-0.765
30.400000	-0.756
30.700001	-0.750
31.100000	-0.742
31.500000	-0.735
32.000000	-0.726
32.500000	-0.717
33.000000	-0.709
33.500000	-0.701
34.000000	-0.694
34.500000	-0.687
35.000000	-0.680
35.500000	-0.673
36.000000	-0.667
36.500000	-0.661
37.000000	-0.655
37.500000	-0.649
38.200001	-0.641
38.700001	-0.636
39.500000	-0.627
40.000000	-0.622
40.599998	-0.615
41.200001	-0.608
41.799999	-0.602
42.500000	-0.594
43.099998	-0.588
43.700001	-0.581
44.400002	-0.573
45.000000	-0.567
45.500000	-0.562
46.200001	-0.554
46.799999	-0.548
47.500000	-0.540
48.200001	-0.533
48.700001	-0.528
49.400002	-0.520
50.000000	-0.514
50.799999	-0.506
51.500000	-0.499
52.200001	-0.493
53.000000	-0.485
53.799999	-0.477
54.500000	-0.471
55.200001	-0.464
56.000000	-0.458
57.000000	-0.450
58.000000	-0.442
59.000000	-0.434
60.000000	-0.427
60.799999	-0.422
61.500000	-0.417
62.200001	-0.413
63.000000	-0.408
64.000000	-0.403
65.000000	-0.397
66.000000	-0.392
67.000000	-0.387
68.000000	-0.382
69.000000	-0.378
70.000000	-0.375
71.000000	-0.371
72.000000	-0.368
73.000000	-0.365
74.000000	-0.362
75.000000	-0.359
76.199997	-0.356
77.500000	-0.353
78.800003	-0.350
80.000000	-0.347
81.199997	-0.344
82.500000	-0.342
83.800003	-0.339
85.000000	-0.336
86.199997	-0.334
87.500000	-0.332
88.500000	-0.330
90.000000	-0.328
91.199997	-0.326
92.500000	-0.324
93.800003	-0.322
95.000000	-0.321
96.199997	-0.321
97.500000	-0.320
98.800003	-0.320
100.000000	-0.320
101.500000	-0.320
103.000000	-0.320
104.400002	-0.321
106.000000	-0.323
107.500000	-0.325
109.000000	-0.327
110.599998	-0.329
112.000000	-0.331
113.800003	-0.334
115.000000	-0.337
117.199997	-0.342
118.000000	-0.344
120.599998	-0.350
122.000000	-0.353
124.099998	-0.359
125.000000	-0.361
126.500000	-0.365
128.000000	-0.368
131.500000	-0.377
132.000000	-0.378
134.000000	-0.382
136.000000	-0.386
138.000000	-0.390
140.000000	-0.394
143.000000	-0.399
145.000000	-0.402
147.500000	-0.404
150.000000	-0.407
152.500000	-0.409
155.000000	-0.410
157.500000	-0.412
160.000000	-0.413
