* Measurement data measured by REW V5.20.7
* Source: C:\Users\Angelo\Desktop\Crinacle OE Targets\Harman In-room Flat.txt
* Format: Comma/Tab/Space delimited data
* Dated: sep 27, 2022 2:36:22 p.m.
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\Angelo\Desktop\Crinacle OE Targets\Harman In-room Flat.txt Format: Comma/Tab/Space delimited data 526 values loaded, 10 Hz to 19,895 Hz log spaced
* Measurement: Harman In-room Flat
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.145 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.145000 -3.766 0.0000
10.218515 -3.767 0.0000
10.292563 -3.768 0.0000
10.367147 -3.770 0.0000
10.442272 -3.772 0.0000
10.517941 -3.774 0.0000
10.594159 -3.776 0.0000
10.670929 -3.777 0.0000
10.748255 -3.779 0.0000
10.826141 -3.781 0.0000
10.904593 -3.783 0.0000
10.983612 -3.784 0.0000
11.063204 -3.786 0.0000
11.143373 -3.788 0.0000
11.224122 -3.790 0.0000
11.305457 -3.792 0.0000
11.387382 -3.794 0.0000
11.469899 -3.796 0.0000
11.553015 -3.798 0.0000
11.636733 -3.799 0.0000
11.721058 -3.801 0.0000
11.805993 -3.803 0.0000
11.891544 -3.805 0.0000
11.977715 -3.807 0.0000
12.064511 -3.809 0.0000
12.151936 -3.811 0.0000
12.239993 -3.813 0.0000
12.328690 -3.815 0.0000
12.418028 -3.817 0.0000
12.508014 -3.819 0.0000
12.598652 -3.822 0.0000
12.689947 -3.824 0.0000
12.781903 -3.826 0.0000
12.874526 -3.828 0.0000
12.967820 -3.830 0.0000
13.061790 -3.832 0.0000
13.156442 -3.834 0.0000
13.251779 -3.836 0.0000
13.347806 -3.839 0.0000
13.444530 -3.841 0.0000
13.541954 -3.843 0.0000
13.640084 -3.845 0.0000
13.738926 -3.848 0.0000
13.838484 -3.850 0.0000
13.938764 -3.852 0.0000
14.039769 -3.854 0.0000
14.141507 -3.857 0.0000
14.243982 -3.859 0.0000
14.347200 -3.862 0.0000
14.451166 -3.864 0.0000
14.555885 -3.867 0.0000
14.661364 -3.869 0.0000
14.767606 -3.871 0.0000
14.874618 -3.873 0.0000
14.982406 -3.876 0.0000
15.090975 -3.878 0.0000
15.200330 -3.881 0.0000
15.310477 -3.884 0.0000
15.421423 -3.887 0.0000
15.533173 -3.889 0.0000
15.645732 -3.892 0.0000
15.759108 -3.894 0.0000
15.873304 -3.897 0.0000
15.988329 -3.900 0.0000
16.104187 -3.903 0.0000
16.220884 -3.905 0.0000
16.338427 -3.908 0.0000
16.456821 -3.910 0.0000
16.576075 -3.913 0.0000
16.696192 -3.916 0.0000
16.817179 -3.919 0.0000
16.939043 -3.921 0.0000
17.061790 -3.924 0.0000
17.185427 -3.927 0.0000
17.309959 -3.930 0.0000
17.435394 -3.933 0.0000
17.561739 -3.936 0.0000
17.688999 -3.939 0.0000
17.817181 -3.942 0.0000
17.946291 -3.945 0.0000
18.076338 -3.948 0.0000
18.207327 -3.951 0.0000
18.339264 -3.954 0.0000
18.472158 -3.957 0.0000
18.606016 -3.960 0.0000
18.740843 -3.963 0.0000
18.876646 -3.966 0.0000
19.013433 -3.969 0.0000
19.151213 -3.972 0.0000
19.289989 -3.975 0.0000
19.429773 -3.979 0.0000
19.570570 -3.982 0.0000
19.712387 -3.986 0.0000
19.855230 -3.990 0.0000
19.999109 -3.994 0.0000
20.144032 -3.999 0.0000
20.290003 -4.006 0.0000
20.437033 -4.014 0.0000
20.585129 -4.024 0.0000
20.734297 -4.036 0.0000
20.884546 -4.050 0.0000
21.035885 -4.062 0.0000
21.188320 -4.074 0.0000
21.341860 -4.083 0.0000
21.496511 -4.090 0.0000
21.652285 -4.095 0.0000
21.809187 -4.099 0.0000
21.967226 -4.102 0.0000
22.126410 -4.104 0.0000
22.286747 -4.107 0.0000
22.448246 -4.111 0.0000
22.610916 -4.115 0.0000
22.774765 -4.120 0.0000
22.939800 -4.125 0.0000
23.106031 -4.131 0.0000
23.273468 -4.137 0.0000
23.442118 -4.145 0.0000
23.611988 -4.153 0.0000
23.783091 -4.162 0.0000
23.955433 -4.172 0.0000
24.129025 -4.183 0.0000
24.303873 -4.192 0.0000
24.479988 -4.199 0.0000
24.657381 -4.204 0.0000
24.836058 -4.208 0.0000
25.016029 -4.210 0.0000
25.197306 -4.212 0.0000
25.379896 -4.213 0.0000
25.563808 -4.214 0.0000
25.749054 -4.215 0.0000
25.935642 -4.216 0.0000
26.123583 -4.216 0.0000
26.312885 -4.217 0.0000
26.503559 -4.217 0.0000
26.695616 -4.218 0.0000
26.889063 -4.218 0.0000
27.083912 -4.218 0.0000
27.280172 -4.217 0.0000
27.477856 -4.216 0.0000
27.676971 -4.214 0.0000
27.877531 -4.211 0.0000
28.079544 -4.209 0.0000
28.283020 -4.206 0.0000
28.487970 -4.202 0.0000
28.694407 -4.199 0.0000
28.902338 -4.196 0.0000
29.111776 -4.193 0.0000
29.322733 -4.190 0.0000
29.535217 -4.187 0.0000
29.749241 -4.184 0.0000
29.964817 -4.180 0.0000
30.181955 -4.176 0.0000
30.400665 -4.172 0.0000
30.620960 -4.167 0.0000
30.842852 -4.162 0.0000
31.066351 -4.156 0.0000
31.291470 -4.151 0.0000
31.518221 -4.145 0.0000
31.746614 -4.140 0.0000
31.976664 -4.135 0.0000
32.208378 -4.130 0.0000
32.441772 -4.124 0.0000
32.676861 -4.119 0.0000
32.913651 -4.114 0.0000
33.152157 -4.109 0.0000
33.392391 -4.104 0.0000
33.634365 -4.098 0.0000
33.878094 -4.091 0.0000
34.123589 -4.083 0.0000
34.370861 -4.073 0.0000
34.619926 -4.061 0.0000
34.870796 -4.048 0.0000
35.123486 -4.034 0.0000
35.378006 -4.020 0.0000
35.634369 -4.006 0.0000
35.892590 -3.992 0.0000
36.152683 -3.980 0.0000
36.414661 -3.969 0.0000
36.678535 -3.960 0.0000
36.944324 -3.953 0.0000
37.212040 -3.949 0.0000
37.481693 -3.948 0.0000
37.753300 -3.949 0.0000
38.026875 -3.950 0.0000
38.302433 -3.953 0.0000
38.579987 -3.956 0.0000
38.859554 -3.960 0.0000
39.141148 -3.964 0.0000
39.424782 -3.970 0.0000
39.710468 -3.976 0.0000
39.998226 -3.984 0.0000
40.288071 -3.992 0.0000
40.580013 -4.001 0.0000
40.874073 -4.011 0.0000
41.170265 -4.021 0.0000
41.468601 -4.031 0.0000
41.769100 -4.042 0.0000
42.071777 -4.052 0.0000
42.376648 -4.061 0.0000
42.683727 -4.070 0.0000
42.993031 -4.078 0.0000
43.304577 -4.086 0.0000
43.618382 -4.094 0.0000
43.934460 -4.100 0.0000
44.252827 -4.105 0.0000
44.573502 -4.108 0.0000
44.896500 -4.111 0.0000
45.221840 -4.113 0.0000
45.549538 -4.115 0.0000
45.879608 -4.116 0.0000
46.212070 -4.118 0.0000
46.546944 -4.120 0.0000
46.884243 -4.122 0.0000
47.223984 -4.123 0.0000
47.566189 -4.125 0.0000
47.910873 -4.127 0.0000
48.258057 -4.129 0.0000
48.607754 -4.131 0.0000
48.959984 -4.133 0.0000
49.314770 -4.135 0.0000
49.672127 -4.136 0.0000
50.032070 -4.137 0.0000
50.394623 -4.137 0.0000
50.759804 -4.137 0.0000
51.127632 -4.137 0.0000
51.498123 -4.137 0.0000
51.871300 -4.137 0.0000
52.247181 -4.136 0.0000
52.625786 -4.136 0.0000
53.007133 -4.136 0.0000
53.391247 -4.136 0.0000
53.778141 -4.135 0.0000
54.167839 -4.133 0.0000
54.560360 -4.130 0.0000
54.955727 -4.126 0.0000
55.353958 -4.121 0.0000
55.755077 -4.116 0.0000
56.159103 -4.111 0.0000
56.566055 -4.106 0.0000
56.975956 -4.102 0.0000
57.388828 -4.100 0.0000
57.804691 -4.098 0.0000
58.223568 -4.097 0.0000
58.645481 -4.097 0.0000
59.070450 -4.098 0.0000
59.498497 -4.099 0.0000
59.929649 -4.101 0.0000
60.363926 -4.104 0.0000
60.801350 -4.107 0.0000
61.241940 -4.110 0.0000
61.685722 -4.113 0.0000
62.132721 -4.117 0.0000
62.582962 -4.121 0.0000
63.036465 -4.126 0.0000
63.493252 -4.132 0.0000
63.953350 -4.138 0.0000
64.416786 -4.145 0.0000
64.883575 -4.151 0.0000
65.353752 -4.157 0.0000
65.827332 -4.163 0.0000
66.304344 -4.170 0.0000
66.784813 -4.177 0.0000
67.268761 -4.185 0.0000
67.756218 -4.194 0.0000
68.247208 -4.203 0.0000
68.741753 -4.210 0.0000
69.239883 -4.217 0.0000
69.741623 -4.222 0.0000
70.247002 -4.226 0.0000
70.756042 -4.230 0.0000
71.268768 -4.235 0.0000
71.785210 -4.239 0.0000
72.305397 -4.243 0.0000
72.829353 -4.246 0.0000
73.357101 -4.249 0.0000
73.888680 -4.252 0.0000
74.424110 -4.254 0.0000
74.963417 -4.256 0.0000
75.506630 -4.257 0.0000
76.053780 -4.259 0.0000
76.604897 -4.260 0.0000
77.160004 -4.261 0.0000
77.719139 -4.261 0.0000
78.282326 -4.261 0.0000
78.849594 -4.261 0.0000
79.420967 -4.260 0.0000
79.996483 -4.259 0.0000
80.576172 -4.257 0.0000
81.160057 -4.256 0.0000
81.748177 -4.255 0.0000
82.340561 -4.254 0.0000
82.937233 -4.253 0.0000
83.538231 -4.251 0.0000
84.143585 -4.249 0.0000
84.753326 -4.247 0.0000
85.367485 -4.243 0.0000
85.986092 -4.236 0.0000
86.609184 -4.226 0.0000
87.236794 -4.213 0.0000
87.868950 -4.196 0.0000
88.505684 -4.177 0.0000
89.147034 -4.157 0.0000
89.793030 -4.137 0.0000
90.443710 -4.117 0.0000
91.099106 -4.096 0.0000
91.759247 -4.075 0.0000
92.424171 -4.053 0.0000
93.093918 -4.031 0.0000
93.768517 -4.009 0.0000
94.448006 -3.988 0.0000
95.132416 -3.967 0.0000
95.821785 -3.947 0.0000
96.516151 -3.928 0.0000
97.215546 -3.910 0.0000
97.920006 -3.893 0.0000
98.629578 -3.880 0.0000
99.344292 -3.869 0.0000
100.064178 -3.862 0.0000
100.789284 -3.857 0.0000
101.519646 -3.853 0.0000
102.255302 -3.849 0.0000
102.996284 -3.845 0.0000
103.742638 -3.842 0.0000
104.494400 -3.839 0.0000
105.251610 -3.837 0.0000
106.014305 -3.835 0.0000
106.782532 -3.833 0.0000
107.556320 -3.832 0.0000
108.335716 -3.831 0.0000
109.120758 -3.831 0.0000
109.911491 -3.831 0.0000
110.707954 -3.832 0.0000
111.510193 -3.833 0.0000
112.318245 -3.834 0.0000
113.132149 -3.834 0.0000
113.951950 -3.834 0.0000
114.777695 -3.834 0.0000
115.609421 -3.833 0.0000
116.447174 -3.830 0.0000
117.291000 -3.825 0.0000
118.140938 -3.818 0.0000
118.997032 -3.810 0.0000
119.859337 -3.800 0.0000
120.727890 -3.789 0.0000
121.602737 -3.777 0.0000
122.483917 -3.766 0.0000
123.371483 -3.754 0.0000
124.265480 -3.742 0.0000
125.165962 -3.730 0.0000
126.072968 -3.718 0.0000
126.986542 -3.706 0.0000
127.906738 -3.694 0.0000
128.833603 -3.682 0.0000
129.767181 -3.669 0.0000
130.707535 -3.656 0.0000
131.654694 -3.643 0.0000
132.608719 -3.629 0.0000
133.569656 -3.615 0.0000
134.537552 -3.601 0.0000
135.512466 -3.587 0.0000
136.494446 -3.575 0.0000
137.483536 -3.565 0.0000
138.479797 -3.558 0.0000
139.483276 -3.553 0.0000
140.494034 -3.550 0.0000
141.512115 -3.546 0.0000
142.537567 -3.541 0.0000
143.570450 -3.533 0.0000
144.610825 -3.523 0.0000
145.658737 -3.510 0.0000
146.714233 -3.496 0.0000
147.777390 -3.482 0.0000
148.848251 -3.470 0.0000
149.926865 -3.460 0.0000
151.013290 -3.452 0.0000
152.107590 -3.447 0.0000
153.209824 -3.445 0.0000
154.320038 -3.443 0.0000
155.438309 -3.442 0.0000
156.564682 -3.441 0.0000
157.699219 -3.441 0.0000
158.841965 -3.441 0.0000
159.992996 -3.441 0.0000
161.152374 -3.441 0.0000
162.320145 -3.441 0.0000
163.496384 -3.441 0.0000
