* Measurement data measured by REW V5.20.7
* Source: C:\Users\Angelo\Desktop\Crinacle OE Targets\Harman AE OE 2018.txt
* Format: Comma/Tab/Space delimited data
* Dated: sep 27, 2022 2:36:38 p.m.
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\Angelo\Desktop\Crinacle OE Targets\Harman AE OE 2018.txt Format: Comma/Tab/Space delimited data 526 values loaded, 10 Hz to 19,895 Hz log spaced
* Measurement: Harman AE OE 2018
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.145 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.145000 3.775 0.0000
10.218515 3.776 0.0000
10.292563 3.776 0.0000
10.367147 3.777 0.0000
10.442272 3.778 0.0000
10.517941 3.779 0.0000
10.594159 3.780 0.0000
10.670929 3.781 0.0000
10.748255 3.781 0.0000
10.826141 3.782 0.0000
10.904593 3.783 0.0000
10.983612 3.784 0.0000
11.063204 3.785 0.0000
11.143373 3.786 0.0000
11.224122 3.787 0.0000
11.305457 3.788 0.0000
11.387382 3.788 0.0000
11.469899 3.789 0.0000
11.553015 3.790 0.0000
11.636733 3.791 0.0000
11.721058 3.792 0.0000
11.805993 3.793 0.0000
11.891544 3.794 0.0000
11.977715 3.795 0.0000
12.064511 3.795 0.0000
12.151936 3.796 0.0000
12.239993 3.797 0.0000
12.328690 3.798 0.0000
12.418028 3.799 0.0000
12.508014 3.800 0.0000
12.598652 3.801 0.0000
12.689947 3.802 0.0000
12.781903 3.802 0.0000
12.874526 3.803 0.0000
12.967820 3.804 0.0000
13.061790 3.805 0.0000
13.156442 3.806 0.0000
13.251779 3.807 0.0000
13.347806 3.807 0.0000
13.444530 3.808 0.0000
13.541954 3.809 0.0000
13.640084 3.810 0.0000
13.738926 3.811 0.0000
13.838484 3.812 0.0000
13.938764 3.813 0.0000
14.039769 3.814 0.0000
14.141507 3.814 0.0000
14.243982 3.815 0.0000
14.347200 3.816 0.0000
14.451166 3.817 0.0000
14.555885 3.818 0.0000
14.661364 3.819 0.0000
14.767606 3.820 0.0000
14.874618 3.821 0.0000
14.982406 3.821 0.0000
15.090975 3.822 0.0000
15.200330 3.823 0.0000
15.310477 3.824 0.0000
15.421423 3.825 0.0000
15.533173 3.826 0.0000
15.645732 3.827 0.0000
15.759108 3.828 0.0000
15.873304 3.828 0.0000
15.988329 3.829 0.0000
16.104187 3.830 0.0000
16.220884 3.831 0.0000
16.338427 3.832 0.0000
16.456821 3.833 0.0000
16.576075 3.833 0.0000
16.696192 3.834 0.0000
16.817179 3.835 0.0000
16.939043 3.836 0.0000
17.061790 3.837 0.0000
17.185427 3.838 0.0000
17.309959 3.839 0.0000
17.435394 3.840 0.0000
17.561739 3.840 0.0000
17.688999 3.841 0.0000
17.817181 3.842 0.0000
17.946291 3.843 0.0000
18.076338 3.844 0.0000
18.207327 3.845 0.0000
18.339264 3.846 0.0000
18.472158 3.847 0.0000
18.606016 3.847 0.0000
18.740843 3.848 0.0000
18.876646 3.849 0.0000
19.013433 3.850 0.0000
19.151213 3.851 0.0000
19.289989 3.852 0.0000
19.429773 3.853 0.0000
19.570570 3.853 0.0000
19.712387 3.853 0.0000
19.855230 3.856 0.0000
19.999109 3.863 0.0000
20.144032 3.874 0.0000
20.290003 3.889 0.0000
20.437033 3.906 0.0000
20.585129 3.925 0.0000
20.734297 3.943 0.0000
20.884546 3.961 0.0000
21.035885 3.977 0.0000
21.188320 3.991 0.0000
21.341860 4.000 0.0000
21.496511 4.007 0.0000
21.652285 4.012 0.0000
21.809187 4.017 0.0000
21.967226 4.023 0.0000
22.126410 4.028 0.0000
22.286747 4.033 0.0000
22.448246 4.036 0.0000
22.610916 4.035 0.0000
22.774765 4.033 0.0000
22.939800 4.032 0.0000
23.106031 4.030 0.0000
23.273468 4.029 0.0000
23.442118 4.027 0.0000
23.611988 4.026 0.0000
23.783091 4.025 0.0000
23.955433 4.024 0.0000
24.129025 4.022 0.0000
24.303873 4.021 0.0000
24.479988 4.020 0.0000
24.657381 4.019 0.0000
24.836058 4.017 0.0000
25.016029 4.016 0.0000
25.197306 4.015 0.0000
25.379896 4.014 0.0000
25.563808 4.012 0.0000
25.749054 4.011 0.0000
25.935642 4.010 0.0000
26.123583 4.009 0.0000
26.312885 4.007 0.0000
26.503559 4.005 0.0000
26.695616 4.003 0.0000
26.889063 4.001 0.0000
27.083912 3.998 0.0000
27.280172 3.996 0.0000
27.477856 3.993 0.0000
27.676971 3.990 0.0000
27.877531 3.987 0.0000
28.079544 3.985 0.0000
28.283020 3.982 0.0000
28.487970 3.979 0.0000
28.694407 3.975 0.0000
28.902338 3.972 0.0000
29.111776 3.969 0.0000
29.322733 3.966 0.0000
29.535217 3.963 0.0000
29.749241 3.960 0.0000
29.964817 3.956 0.0000
30.181955 3.951 0.0000
30.400665 3.945 0.0000
30.620960 3.939 0.0000
30.842852 3.933 0.0000
31.066351 3.927 0.0000
31.291470 3.921 0.0000
31.518221 3.916 0.0000
31.746614 3.911 0.0000
31.976664 3.906 0.0000
32.208378 3.901 0.0000
32.441772 3.897 0.0000
32.676861 3.892 0.0000
32.913651 3.888 0.0000
33.152157 3.883 0.0000
33.392391 3.877 0.0000
33.634365 3.871 0.0000
33.878094 3.864 0.0000
34.123589 3.857 0.0000
34.370861 3.850 0.0000
34.619926 3.842 0.0000
34.870796 3.835 0.0000
35.123486 3.827 0.0000
35.378006 3.820 0.0000
35.634369 3.813 0.0000
35.892590 3.806 0.0000
36.152683 3.799 0.0000
36.414661 3.793 0.0000
36.678535 3.786 0.0000
36.944324 3.780 0.0000
37.212040 3.773 0.0000
37.481693 3.766 0.0000
37.753300 3.759 0.0000
38.026875 3.751 0.0000
38.302433 3.743 0.0000
38.579987 3.735 0.0000
38.859554 3.727 0.0000
39.141148 3.720 0.0000
39.424782 3.712 0.0000
39.710468 3.704 0.0000
39.998226 3.696 0.0000
40.288071 3.688 0.0000
40.580013 3.679 0.0000
40.874073 3.671 0.0000
41.170265 3.663 0.0000
41.468601 3.655 0.0000
41.769100 3.646 0.0000
42.071777 3.638 0.0000
42.376648 3.630 0.0000
42.683727 3.620 0.0000
42.993031 3.608 0.0000
43.304577 3.597 0.0000
43.618382 3.585 0.0000
43.934460 3.574 0.0000
44.252827 3.562 0.0000
44.573502 3.551 0.0000
44.896500 3.539 0.0000
45.221840 3.527 0.0000
45.549538 3.514 0.0000
45.879608 3.501 0.0000
46.212070 3.487 0.0000
46.546944 3.474 0.0000
46.884243 3.460 0.0000
47.223984 3.447 0.0000
47.566189 3.432 0.0000
47.910873 3.416 0.0000
48.258057 3.399 0.0000
48.607754 3.382 0.0000
48.959984 3.365 0.0000
49.314770 3.348 0.0000
49.672127 3.331 0.0000
50.032070 3.315 0.0000
50.394623 3.298 0.0000
50.759804 3.282 0.0000
51.127632 3.266 0.0000
51.498123 3.250 0.0000
51.871300 3.234 0.0000
52.247181 3.218 0.0000
52.625786 3.202 0.0000
53.007133 3.185 0.0000
53.391247 3.167 0.0000
53.778141 3.149 0.0000
54.167839 3.130 0.0000
54.560360 3.112 0.0000
54.955727 3.094 0.0000
55.353958 3.076 0.0000
55.755077 3.057 0.0000
56.159103 3.040 0.0000
56.566055 3.024 0.0000
56.975956 3.009 0.0000
57.388828 2.993 0.0000
57.804691 2.977 0.0000
58.223568 2.961 0.0000
58.645481 2.946 0.0000
59.070450 2.930 0.0000
59.498497 2.914 0.0000
59.929649 2.896 0.0000
60.363926 2.876 0.0000
60.801350 2.853 0.0000
61.241940 2.830 0.0000
61.685722 2.805 0.0000
62.132721 2.782 0.0000
62.582962 2.758 0.0000
63.036465 2.736 0.0000
63.493252 2.714 0.0000
63.953350 2.694 0.0000
64.416786 2.674 0.0000
64.883575 2.655 0.0000
65.353752 2.635 0.0000
65.827332 2.615 0.0000
66.304344 2.595 0.0000
66.784813 2.575 0.0000
67.268761 2.554 0.0000
67.756218 2.532 0.0000
68.247208 2.509 0.0000
68.741753 2.487 0.0000
69.239883 2.464 0.0000
69.741623 2.442 0.0000
70.247002 2.419 0.0000
70.756042 2.397 0.0000
71.268768 2.373 0.0000
71.785210 2.349 0.0000
72.305397 2.323 0.0000
72.829353 2.298 0.0000
73.357101 2.273 0.0000
73.888680 2.248 0.0000
74.424110 2.222 0.0000
74.963417 2.198 0.0000
75.506630 2.174 0.0000
76.053780 2.151 0.0000
76.604897 2.127 0.0000
77.160004 2.104 0.0000
77.719139 2.080 0.0000
78.282326 2.057 0.0000
78.849594 2.033 0.0000
79.420967 2.010 0.0000
79.996483 1.985 0.0000
80.576172 1.960 0.0000
81.160057 1.934 0.0000
81.748177 1.908 0.0000
82.340561 1.881 0.0000
82.937233 1.855 0.0000
83.538231 1.829 0.0000
84.143585 1.803 0.0000
84.753326 1.776 0.0000
85.367485 1.749 0.0000
85.986092 1.720 0.0000
86.609184 1.691 0.0000
87.236794 1.661 0.0000
87.868950 1.632 0.0000
88.505684 1.603 0.0000
89.147034 1.575 0.0000
89.793030 1.545 0.0000
90.443710 1.514 0.0000
91.099106 1.482 0.0000
91.759247 1.450 0.0000
92.424171 1.418 0.0000
93.093918 1.386 0.0000
93.768517 1.354 0.0000
94.448006 1.322 0.0000
95.132416 1.289 0.0000
95.821785 1.255 0.0000
96.516151 1.219 0.0000
97.215546 1.184 0.0000
97.920006 1.148 0.0000
98.629578 1.113 0.0000
99.344292 1.078 0.0000
100.064178 1.043 0.0000
100.789284 1.008 0.0000
101.519646 0.974 0.0000
102.255302 0.939 0.0000
102.996284 0.904 0.0000
103.742638 0.869 0.0000
104.494400 0.835 0.0000
105.251610 0.800 0.0000
106.014305 0.765 0.0000
106.782532 0.729 0.0000
107.556320 0.693 0.0000
108.335716 0.655 0.0000
109.120758 0.619 0.0000
109.911491 0.582 0.0000
110.707954 0.546 0.0000
111.510193 0.508 0.0000
112.318245 0.470 0.0000
113.132149 0.430 0.0000
113.951950 0.391 0.0000
114.777695 0.350 0.0000
115.609421 0.310 0.0000
116.447174 0.269 0.0000
117.291000 0.229 0.0000
118.140938 0.190 0.0000
118.997032 0.154 0.0000
119.859337 0.117 0.0000
120.727890 0.081 0.0000
121.602737 0.044 0.0000
122.483917 0.008 0.0000
123.371483 -0.028 0.0000
124.265480 -0.064 0.0000
125.165962 -0.101 0.0000
126.072968 -0.138 0.0000
126.986542 -0.175 0.0000
127.906738 -0.212 0.0000
128.833603 -0.249 0.0000
129.767181 -0.286 0.0000
130.707535 -0.324 0.0000
131.654694 -0.360 0.0000
132.608719 -0.395 0.0000
133.569656 -0.428 0.0000
134.537552 -0.462 0.0000
135.512466 -0.495 0.0000
136.494446 -0.528 0.0000
137.483536 -0.561 0.0000
138.479797 -0.595 0.0000
139.483276 -0.626 0.0000
140.494034 -0.657 0.0000
141.512115 -0.685 0.0000
142.537567 -0.712 0.0000
143.570450 -0.739 0.0000
144.610825 -0.766 0.0000
145.658737 -0.793 0.0000
146.714233 -0.821 0.0000
147.777390 -0.848 0.0000
148.848251 -0.875 0.0000
149.926865 -0.902 0.0000
151.013290 -0.931 0.0000
152.107590 -0.959 0.0000
153.209824 -0.989 0.0000
154.320038 -1.018 0.0000
155.438309 -1.048 0.0000
156.564682 -1.077 0.0000
157.699219 -1.106 0.0000
158.841965 -1.135 0.0000
159.992996 -1.164 0.0000
161.152374 -1.191 0.0000
162.320145 -1.219 0.0000
163.496384 -1.246 0.0000
164.681152 -1.274 0.0000
165.874496 -1.301 0.0000
167.076492 -1.328 0.0000
168.287201 -1.355 0.0000
169.506683 -1.383 0.0000
170.735001 -1.411 0.0000
171.972214 -1.439 0.0000
173.218399 -1.466 0.0000
174.473618 -1.494 0.0000
175.737930 -1.522 0.0000
177.011398 -1.550 0.0000
178.294098 -1.577 0.0000
179.586090 -1.605 0.0000
180.887451 -1.631 0.0000
182.198242 -1.657 0.0000
183.518524 -1.682 0.0000
184.848373 -1.708 0.0000
186.187866 -1.733 0.0000
187.537064 -1.759 0.0000
188.896042 -1.783 0.0000
190.264862 -1.807 0.0000
191.643600 -1.829 0.0000
193.032333 -1.851 0.0000
