* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\64 Nio_M15_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 2:18:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\64 Nio_M15_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 64 Nio_M15_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 97.529 -2.2450
5.036232 97.529 -2.2521
5.072727 97.529 -2.2600
5.109486 97.529 -2.2697
5.146511 97.529 -2.2810
5.183805 97.529 -2.2939
5.221369 97.529 -2.3080
5.259205 97.529 -2.3225
5.297316 97.529 -2.3380
5.335702 97.529 -2.3552
5.374367 97.529 -2.3730
5.413311 97.529 -2.3900
5.452538 97.529 -2.4070
5.492050 97.529 -2.4244
5.531847 97.529 -2.4420
5.571934 97.529 -2.4599
5.612310 97.529 -2.4780
5.652979 97.529 -2.4959
5.693943 97.529 -2.5140
5.735204 97.529 -2.5324
5.776763 97.529 -2.5510
5.818624 97.529 -2.5694
5.860788 97.529 -2.5880
5.903258 97.529 -2.6069
5.946035 97.529 -2.6260
5.989123 97.529 -2.6449
6.032523 97.529 -2.6640
6.076237 97.529 -2.6834
6.120268 97.529 -2.7030
6.164618 97.529 -2.7229
6.209289 97.529 -2.7430
6.254284 97.529 -2.7629
6.299605 97.529 -2.7830
6.345255 97.529 -2.8034
6.391235 97.529 -2.8240
6.437549 97.529 -2.8444
6.484198 97.529 -2.8650
6.531185 97.529 -2.8859
6.578513 97.529 -2.9070
6.626183 97.529 -2.9284
6.674199 97.529 -2.9500
6.722563 97.529 -2.9714
6.771278 97.529 -2.9930
6.820345 97.529 -3.0149
6.869768 97.529 -3.0370
6.919549 97.529 -3.0589
6.969691 97.529 -3.0810
7.020196 97.529 -3.1034
7.071068 97.529 -3.1260
7.122308 97.529 -3.1489
7.173919 97.529 -3.1720
7.225904 97.529 -3.1954
7.278266 97.529 -3.2190
7.331007 97.529 -3.2424
7.384131 97.529 -3.2660
7.437639 97.529 -3.2899
7.491535 97.529 -3.3140
7.545822 97.529 -3.3384
7.600502 97.529 -3.3630
7.655579 97.529 -3.3874
7.711054 97.529 -3.4120
7.766932 97.529 -3.4369
7.823214 97.529 -3.4620
7.879904 97.529 -3.4874
7.937005 97.529 -3.5130
7.994520 97.529 -3.5389
8.052452 97.529 -3.5650
8.110803 97.529 -3.5909
8.169578 97.529 -3.6170
8.228777 97.529 -3.6434
8.288406 97.529 -3.6700
8.348468 97.529 -3.6969
8.408964 97.529 -3.7240
8.469899 97.529 -3.7514
8.531276 97.529 -3.7790
8.593097 97.529 -3.8069
8.655366 97.529 -3.8350
8.718086 97.529 -3.8629
8.781260 97.529 -3.8910
8.844893 97.529 -3.9199
8.908987 97.529 -3.9490
8.973545 97.529 -3.9779
9.038571 97.529 -4.0070
9.104069 97.529 -4.0364
9.170040 97.529 -4.0660
9.236490 97.529 -4.0959
9.303422 97.529 -4.1260
9.370838 97.529 -4.1564
9.438744 97.529 -4.1870
9.507140 97.529 -4.2179
9.576033 97.529 -4.2490
9.645425 97.529 -4.2804
9.715320 97.529 -4.3120
9.785721 97.529 -4.3434
9.856632 97.529 -4.3750
9.928058 97.529 -4.4073
10.000000 97.529 -4.4400
10.072464 97.529 -4.4728
10.145453 97.529 -4.5060
10.218971 97.529 -4.5394
10.293022 97.529 -4.5730
10.367610 97.529 -4.6064
10.442738 97.529 -4.6400
10.518411 97.529 -4.6743
10.594631 97.529 -4.7090
10.671404 97.529 -4.7439
10.748734 97.529 -4.7790
10.826623 97.529 -4.8144
10.905077 97.529 -4.8500
10.984100 97.529 -4.8858
11.063695 97.529 -4.9220
11.143867 97.529 -4.9583
11.224621 97.529 -4.9950
11.305959 97.529 -5.0324
11.387886 97.529 -5.0700
11.470407 97.529 -5.1074
11.553527 97.529 -5.1450
11.637249 97.529 -5.1833
11.721577 97.529 -5.2220
11.806517 97.529 -5.2608
11.892071 97.529 -5.3000
11.978246 97.529 -5.3394
12.065045 97.529 -5.3790
12.152473 97.529 -5.4188
12.240536 97.529 -5.4590
12.329235 97.529 -5.4998
12.418578 97.529 -5.5410
12.508568 97.529 -5.5823
12.599211 97.529 -5.6240
12.690510 97.529 -5.6658
12.782471 97.529 -5.7080
12.875097 97.529 -5.7503
12.968395 97.529 -5.7930
13.062370 97.529 -5.8362
13.157025 97.529 -5.8800
13.252366 97.529 -5.9243
13.348398 97.529 -5.9690
13.445127 97.529 -6.0138
13.542556 97.529 -6.0589
13.640691 97.529 -6.1043
13.739536 97.529 -6.1500
13.839099 97.529 -6.1963
13.939383 97.529 -6.2430
14.040393 97.529 -6.2898
14.142136 97.529 -6.3370
14.244616 97.529 -6.3848
14.347837 97.529 -6.4330
14.451808 97.529 -6.4813
14.556532 97.529 -6.5300
14.662014 97.529 -6.5792
14.768262 97.529 -6.6289
14.875278 97.529 -6.6793
14.983070 97.529 -6.7299
15.091644 97.529 -6.7808
15.201005 97.529 -6.8320
15.311157 97.529 -6.8837
15.422109 97.529 -6.9360
15.533863 97.529 -6.9887
15.646428 97.529 -7.0420
15.759809 97.529 -7.0957
15.874010 97.529 -7.1500
15.989040 97.529 -7.2048
16.104904 97.529 -7.2600
16.221605 97.529 -7.3152
16.339155 97.529 -7.3709
16.457554 97.529 -7.4277
16.576813 97.529 -7.4850
16.696936 97.529 -7.5422
16.817928 97.529 -7.6000
16.939798 97.529 -7.6587
17.062551 97.529 -7.7179
17.186193 97.529 -7.7772
17.310732 97.529 -7.8370
17.436172 97.529 -7.8976
17.562521 97.529 -7.9590
17.689787 97.529 -8.0207
17.817974 97.529 -8.0829
17.947090 97.529 -8.1457
18.077143 97.529 -8.2090
18.208138 97.529 -8.2726
18.340080 97.529 -8.3369
18.472980 97.529 -8.4021
18.606844 97.529 -8.4680
18.741676 97.529 -8.5342
18.877487 97.529 -8.6009
19.014280 97.529 -8.6681
19.152065 97.529 -8.7359
19.290850 97.529 -8.8046
19.430639 97.529 -8.8740
19.571442 97.529 -8.9441
19.713264 97.529 -9.0149
19.856115 97.529 -9.0860
20.000000 97.529 -9.1579
20.144928 97.529 -9.2311
20.290907 97.529 -9.3049
20.437943 97.529 -9.3791
20.586044 97.529 -9.4539
20.735220 97.529 -9.5296
20.885475 97.529 -9.6059
21.036821 97.529 -9.6830
21.189262 97.529 -9.7609
21.342808 97.529 -9.8395
21.497467 97.529 -9.9189
21.653246 97.529 -9.9995
21.810154 97.529 -10.0809
21.968201 97.529 -10.1630
22.127390 97.529 -10.2459
22.287735 97.529 -10.3299
22.449242 97.529 -10.4149
22.611917 97.529 -10.5009
22.775772 97.529 -10.5879
22.940815 97.529 -10.6759
23.107054 97.529 -10.7649
23.274498 97.529 -10.8543
23.443153 97.529 -10.9449
23.613033 97.529 -11.0373
23.784142 97.529 -11.1309
23.956491 97.529 -11.2253
24.130091 97.529 -11.3209
24.304947 97.529 -11.4178
24.481071 97.529 -11.5159
24.658470 97.529 -11.6152
24.837156 97.529 -11.7159
25.017136 97.529 -11.8181
25.198421 97.529 -11.9219
25.381020 97.529 -12.0275
25.564941 97.529 -12.1349
25.750195 97.529 -12.2439
25.936790 97.529 -12.3549
26.124741 97.529 -12.4677
26.314051 97.529 -12.5828
26.504732 97.529 -12.7005
26.696796 97.529 -12.8209
26.890253 97.529 -12.9440
27.085112 97.529 -13.0709
27.281382 97.529 -13.2020
27.479073 97.529 -13.3378
27.678198 97.528 -13.4794
27.878765 97.526 -13.6258
28.080786 97.524 -13.7775
28.284271 97.521 -13.9318
28.489231 97.515 -14.0875
28.695675 97.508 -14.2408
28.903616 97.499 -14.3870
29.113064 97.490 -14.5268
29.324028 97.481 -14.6587
29.536524 97.472 -14.7839
29.750557 97.463 -14.9026
29.966141 97.454 -15.0159
30.183289 97.446 -15.1226
30.402010 97.440 -15.2289
30.622314 97.437 -15.3402
30.844217 97.435 -15.4579
31.067726 97.433 -15.5853
31.292856 97.431 -15.7218
31.519617 97.429 -15.8687
31.748020 97.425 -16.0228
31.978081 97.420 -16.1828
32.209808 97.413 -16.3448
32.443211 97.404 -16.5043
32.678310 97.394 -16.6618
32.915108 97.384 -16.8162
33.153625 97.374 -16.9678
33.393871 97.362 -17.1169
33.635857 97.350 -17.2618
33.879597 97.337 -17.4009
34.125103 97.324 -17.5348
34.372387 97.312 -17.6623
34.621464 97.301 -17.7868
34.872345 97.290 -17.9118
35.125042 97.280 -18.0368
35.379574 97.270 -18.1628
35.635948 97.260 -18.2898
35.894180 97.250 -18.4183
36.154285 97.241 -18.5488
36.416275 97.232 -18.6835
36.680161 97.222 -18.8188
36.945961 97.210 -18.9522
37.213688 97.197 -19.0828
37.483353 97.186 -19.2078
37.754974 97.176 -19.3308
38.028561 97.166 -19.4549
38.304131 97.156 -19.5798
38.581699 97.147 -19.7046
38.861279 97.139 -19.8338
39.142883 97.133 -19.9719
39.426529 97.128 -20.1188
39.712231 97.121 -20.2775
40.000000 97.113 -20.4437
40.289856 97.103 -20.6159
40.581814 97.091 -20.7897
40.875885 97.077 -20.9612
41.172089 97.061 -21.1278
41.470440 97.044 -21.2848
41.770950 97.027 -21.4348
42.073643 97.012 -21.5769
42.378525 96.997 -21.7158
42.685616 96.983 -21.8561
42.994934 96.970 -21.9968
43.306492 96.956 -22.1381
43.620308 96.943 -22.2808
43.936401 96.930 -22.4249
44.254780 96.918 -22.5728
44.575470 96.906 -22.7273
44.898483 96.893 -22.8867
45.223835 96.880 -23.0512
45.551544 96.865 -23.2178
45.881630 96.849 -23.3832
46.214108 96.832 -23.5487
46.548996 96.816 -23.7150
46.886307 96.800 -23.8807
47.226067 96.781 -24.0456
47.568283 96.761 -24.2077
47.912983 96.742 -24.3647
48.260181 96.722 -24.5177
48.609894 96.702 -24.6675
48.962143 96.681 -24.8128
49.316940 96.661 -24.9515
49.674313 96.641 -25.0878
50.034271 96.624 -25.2249
50.396843 96.607 -25.3638
50.762039 96.589 -25.5076
51.129883 96.571 -25.6528
51.500389 96.553 -25.7954
51.873581 96.535 -25.9398
52.249481 96.519 -26.0895
52.628101 96.502 -26.2427
53.009464 96.483 -26.3994
53.393593 96.463 -26.5577
53.780506 96.445 -26.7150
54.170223 96.426 -26.8737
54.562763 96.406 -27.0370
54.958145 96.385 -27.2007
55.356396 96.363 -27.3616
55.757530 96.340 -27.5198
56.161572 96.318 -27.6734
56.568542 96.295 -27.8248
56.978462 96.272 -27.9757
57.391350 96.249 -28.1247
57.807232 96.225 -28.2707
58.226128 96.201 -28.4148
58.648056 96.179 -28.5571
59.073048 96.157 -28.6998
59.501114 96.135 -28.8454
59.932281 96.113 -28.9927
60.366577 96.091 -29.1419
60.804020 96.068 -29.2917
61.244629 96.044 -29.4408
61.688435 96.020 -29.5897
62.135452 95.997 -29.7387
62.585712 95.973 -29.8877
63.039234 95.949 -30.0370
63.496040 95.924 -30.1867
63.956161 95.900 -30.3373
64.419617 95.876 -30.4887
64.886421 95.851 -30.6418
65.356621 95.825 -30.7947
65.830215 95.799 -30.9460
66.307251 95.772 -31.0957
66.787743 95.745 -31.2435
67.271713 95.718 -31.3897
67.759193 95.691 -31.5349
68.250206 95.664 -31.6787
68.744774 95.637 -31.8211
69.242928 95.609 -31.9627
69.744690 95.582 -32.1041
70.250084 95.554 -32.2457
70.759148 95.527 -32.3882
71.271896 95.499 -32.5317
71.788361 95.471 -32.6773
72.308571 95.443 -32.8227
72.832550 95.413 -32.9665
73.360321 95.383 -33.1077
73.891922 95.353 -33.2441
74.427376 95.323 -33.3787
74.966705 95.294 -33.5150
75.509949 95.264 -33.6498
76.057121 95.232 -33.7804
76.608261 95.201 -33.9087
77.163399 95.172 -34.0347
77.722557 95.144 -34.1617
78.285767 95.116 -34.2942
78.853058 95.087 -34.4297
79.424461 95.058 -34.5673
