* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\64 Nio_MX_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 2:18:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\64 Nio_MX_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 64 Nio_MX_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 79.713 46.6940
5.036232 79.728 46.6796
5.072727 79.745 46.6640
5.109486 79.765 46.6458
5.146511 79.788 46.6250
5.183805 79.816 46.6009
5.221369 79.846 46.5750
5.259205 79.877 46.5490
5.297316 79.909 46.5220
5.335702 79.944 46.4933
5.374367 79.979 46.4640
5.413311 80.014 46.4350
5.452538 80.049 46.4060
5.492050 80.084 46.3770
5.531847 80.119 46.3480
5.571934 80.154 46.3191
5.612310 80.189 46.2900
5.652979 80.224 46.2601
5.693943 80.259 46.2300
5.735204 80.294 46.2001
5.776763 80.329 46.1700
5.818624 80.364 46.1396
5.860788 80.399 46.1090
5.903258 80.434 46.0781
5.946035 80.469 46.0470
5.989123 80.504 46.0156
6.032523 80.540 45.9840
6.076237 80.575 45.9526
6.120268 80.610 45.9210
6.164618 80.645 45.8886
6.209289 80.680 45.8560
6.254284 80.715 45.8236
6.299605 80.750 45.7910
6.345255 80.785 45.7582
6.391235 80.820 45.7250
6.437549 80.855 45.6911
6.484198 80.890 45.6570
6.531185 80.925 45.6231
6.578513 80.960 45.5890
6.626183 80.995 45.5546
6.674199 81.030 45.5200
6.722563 81.065 45.4851
6.771278 81.100 45.4500
6.820345 81.135 45.4146
6.869768 81.170 45.3790
6.919549 81.205 45.3432
6.969691 81.240 45.3070
7.020196 81.275 45.2701
7.071068 81.310 45.2330
7.122308 81.345 45.1961
7.173919 81.380 45.1590
7.225904 81.415 45.1217
7.278266 81.450 45.0840
7.331007 81.485 45.0456
7.384131 81.521 45.0070
7.437639 81.556 44.9686
7.491535 81.591 44.9300
7.545822 81.626 44.8907
7.600502 81.661 44.8510
7.655579 81.696 44.8111
7.711054 81.731 44.7710
7.766932 81.766 44.7306
7.823214 81.801 44.6900
7.879904 81.836 44.6492
7.937005 81.871 44.6080
7.994520 81.906 44.5662
8.052452 81.941 44.5240
8.110803 81.976 44.4816
8.169578 82.011 44.4390
8.228777 82.046 44.3961
8.288406 82.081 44.3530
8.348468 82.116 44.3096
8.408964 82.151 44.2660
8.469899 82.186 44.2222
8.531276 82.221 44.1780
8.593097 82.256 44.1333
8.655366 82.291 44.0880
8.718086 82.326 44.0421
8.781260 82.361 43.9960
8.844893 82.396 43.9501
8.908987 82.431 43.9040
8.973545 82.466 43.8573
9.038571 82.502 43.8100
9.104069 82.537 43.7622
9.170040 82.572 43.7140
9.236490 82.607 43.6656
9.303422 82.642 43.6170
9.370838 82.677 43.5682
9.438744 82.712 43.5190
9.507140 82.747 43.4692
9.576033 82.782 43.4190
9.645425 82.817 43.3687
9.715320 82.852 43.3180
9.785721 82.887 43.2668
9.856632 82.922 43.2150
9.928058 82.957 43.1627
10.000000 82.992 43.1100
10.072464 83.027 43.0572
10.145453 83.062 43.0041
10.218971 83.097 42.9502
10.293022 83.132 42.8960
10.367610 83.167 42.8417
10.442738 83.202 42.7870
10.518411 83.237 42.7318
10.594631 83.272 42.6760
10.671404 83.307 42.6198
10.748734 83.342 42.5630
10.826623 83.377 42.5057
10.905077 83.412 42.4481
10.984100 83.447 42.3903
11.063695 83.483 42.3320
11.143867 83.518 42.2728
11.224621 83.553 42.2130
11.305959 83.588 42.1532
11.387886 83.623 42.0930
11.470407 83.658 42.0323
11.553527 83.693 41.9710
11.637249 83.728 41.9093
11.721577 83.763 41.8471
11.806517 83.798 41.7843
11.892071 83.833 41.7211
11.978246 83.868 41.6573
12.065045 83.903 41.5930
12.152473 83.938 41.5283
12.240536 83.973 41.4630
12.329235 84.008 41.3974
12.418578 84.043 41.3311
12.508568 84.078 41.2638
12.599211 84.113 41.1960
12.690510 84.148 41.1283
12.782471 84.183 41.0601
12.875097 84.218 40.9909
12.968395 84.253 40.9211
13.062370 84.288 40.8508
13.157025 84.323 40.7800
13.252366 84.358 40.7089
13.348398 84.394 40.6371
13.445127 84.429 40.5644
13.542556 84.464 40.4911
13.640691 84.499 40.4174
13.739536 84.534 40.3430
13.839099 84.569 40.2679
13.939383 84.604 40.1921
14.040393 84.639 40.1153
14.142136 84.674 40.0380
14.244616 84.709 39.9608
14.347837 84.744 39.8830
14.451808 84.779 39.8040
14.556532 84.814 39.7240
14.662014 84.849 39.6434
14.768262 84.884 39.5621
14.875278 84.919 39.4804
14.983070 84.954 39.3981
15.091644 84.989 39.3150
15.201005 85.024 39.2311
15.311157 85.059 39.1459
15.422109 85.094 39.0601
15.533863 85.129 38.9739
15.646428 85.164 38.8871
15.759809 85.199 38.7990
15.874010 85.234 38.7101
15.989040 85.269 38.6204
16.104904 85.304 38.5301
16.221605 85.339 38.4390
16.339155 85.375 38.3471
16.457554 85.410 38.2540
16.576813 85.445 38.1601
16.696936 85.480 38.0655
16.817928 85.515 37.9701
16.939798 85.550 37.8736
17.062551 85.585 37.7761
17.186193 85.620 37.6777
17.310732 85.655 37.5781
17.436172 85.690 37.4771
17.562521 85.725 37.3751
17.689787 85.760 37.2726
17.817974 85.795 37.1691
17.947090 85.830 37.0642
18.077143 85.865 36.9581
18.208138 85.900 36.8507
18.340080 85.935 36.7421
18.472980 85.970 36.6328
18.606844 86.005 36.5221
18.741676 86.040 36.4093
18.877487 86.075 36.2951
19.014280 86.110 36.1799
19.152065 86.145 36.0631
19.290850 86.180 35.9445
19.430639 86.215 35.8241
19.571442 86.250 35.7021
19.713264 86.285 35.5782
19.856115 86.320 35.4519
20.000000 86.356 35.3231
20.144928 86.391 35.1918
20.290907 86.426 35.0571
20.437943 86.461 34.9183
20.586044 86.496 34.7751
20.735220 86.530 34.6273
20.885475 86.564 34.4742
21.036821 86.598 34.3144
21.189262 86.630 34.1502
21.342808 86.660 33.9820
21.497467 86.688 33.8142
21.653246 86.714 33.6497
21.810154 86.738 33.4932
21.968201 86.759 33.3498
22.127390 86.780 33.2211
22.287735 86.801 33.1114
22.449242 86.822 33.0181
22.611917 86.845 32.9416
22.775772 86.871 32.8771
22.940815 86.900 32.8223
23.107054 86.932 32.7701
23.274498 86.969 32.7141
23.443153 87.009 32.6491
23.613033 87.052 32.5675
23.784142 87.097 32.4691
23.956491 87.142 32.3508
24.130091 87.188 32.2132
24.304947 87.234 32.0545
24.481071 87.279 31.8782
24.658470 87.321 31.6854
24.837156 87.360 31.4813
25.017136 87.398 31.2710
25.198421 87.433 31.0562
25.381020 87.466 30.8393
25.564941 87.497 30.6232
25.750195 87.525 30.4115
25.936790 87.552 30.2052
26.124741 87.579 30.0068
26.314051 87.605 29.8153
26.504732 87.630 29.6314
26.696796 87.656 29.4522
26.890253 87.683 29.2756
27.085112 87.711 29.1002
27.281382 87.738 28.9235
27.479073 87.765 28.7462
27.678198 87.792 28.5687
27.878765 87.820 28.3902
28.080786 87.848 28.2097
28.284271 87.875 28.0292
28.489231 87.901 27.8497
28.695675 87.926 27.6732
28.903616 87.951 27.5027
29.113064 87.976 27.3362
29.324028 88.003 27.1740
29.536524 88.031 27.0132
29.750557 88.060 26.8529
29.966141 88.091 26.6882
30.183289 88.124 26.5139
30.402010 88.158 26.3302
30.622314 88.190 26.1357
30.844217 88.223 25.9303
31.067726 88.257 25.7134
31.292856 88.290 25.4854
31.519617 88.321 25.2442
31.748020 88.350 24.9953
31.978081 88.377 24.7436
32.209808 88.402 24.4893
32.443211 88.426 24.2336
32.678310 88.448 23.9783
32.915108 88.468 23.7256
33.153625 88.486 23.4763
33.393871 88.505 23.2330
33.635857 88.523 22.9924
33.879597 88.541 22.7507
34.125103 88.557 22.5123
34.372387 88.571 22.2804
34.621464 88.584 22.0553
34.872345 88.598 21.8401
35.125042 88.613 21.6303
35.379574 88.628 21.4215
35.635948 88.643 21.2162
35.894180 88.657 21.0159
36.154285 88.671 20.8193
36.416275 88.687 20.6267
36.680161 88.704 20.4343
36.945961 88.722 20.2375
37.213688 88.740 20.0383
37.483353 88.757 19.8371
37.754974 88.774 19.6343
38.028561 88.792 19.4313
38.304131 88.810 19.2253
38.581699 88.829 19.0130
38.861279 88.847 18.7973
39.142883 88.864 18.5808
39.426529 88.880 18.3613
39.712231 88.898 18.1381
40.000000 88.916 17.9093
40.289856 88.932 17.6715
40.581814 88.947 17.4294
40.875885 88.960 17.1854
41.172089 88.971 16.9424
41.470440 88.981 16.7035
41.770950 88.989 16.4704
42.073643 88.995 16.2447
42.378525 89.001 16.0293
42.685616 89.006 15.8291
42.994934 89.011 15.6403
43.306492 89.019 15.4628
43.620308 89.029 15.2903
43.936401 89.041 15.1172
44.254780 89.056 14.9403
44.575470 89.072 14.7552
44.898483 89.090 14.5593
45.223835 89.109 14.3481
45.551544 89.127 14.1233
45.881630 89.143 13.8837
46.214108 89.158 13.6344
46.548996 89.170 13.3785
46.886307 89.179 13.1204
47.226067 89.186 12.8646
47.568283 89.190 12.6144
47.912983 89.192 12.3748
48.260181 89.194 12.1454
48.609894 89.196 11.9282
48.962143 89.198 11.7213
49.316940 89.200 11.5245
49.674313 89.203 11.3343
50.034271 89.209 11.1485
50.396843 89.216 10.9623
50.762039 89.225 10.7701
51.129883 89.234 10.5723
51.500389 89.243 10.3673
51.873581 89.253 10.1554
52.249481 89.262 9.9362
52.628101 89.271 9.7104
53.009464 89.278 9.4769
53.393593 89.284 9.2404
53.780506 89.287 9.0046
54.170223 89.289 8.7714
54.562763 89.290 8.5441
54.958145 89.291 8.3214
55.356396 89.291 8.1028
55.757530 89.291 7.8883
56.161572 89.291 7.6782
56.568542 89.291 7.4713
56.978462 89.291 7.2667
57.391350 89.291 7.0644
57.807232 89.291 6.8640
58.226128 89.291 6.6653
58.648056 89.291 6.4677
59.073048 89.291 6.2713
59.501114 89.291 6.0763
59.932281 89.291 5.8823
60.366577 89.291 5.6890
60.804020 89.291 5.4963
61.244629 89.291 5.3045
61.688435 89.291 5.1133
62.135452 89.291 4.9227
62.585712 89.291 4.7323
63.039234 89.291 4.5418
63.496040 89.291 4.3513
63.956161 89.291 4.1613
64.419617 89.291 3.9713
64.886421 89.291 3.7809
65.356621 89.291 3.5903
65.830215 89.291 3.4001
66.307251 89.291 3.2094
66.787743 89.291 3.0178
67.271713 89.291 2.8254
67.759193 89.291 2.6319
68.250206 89.291 2.4374
68.744774 89.291 2.2420
69.242928 89.291 2.0454
69.744690 89.291 1.8473
70.250084 89.291 1.6474
70.759148 89.291 1.4454
71.271896 89.291 1.2404
71.788361 89.291 1.0310
72.308571 89.291 0.8174
72.832550 89.290 0.5991
73.360321 89.289 0.3764
73.891922 89.287 0.1487
74.427376 89.284 -0.0816
74.966705 89.278 -0.3133
75.509949 89.271 -0.5426
76.057121 89.262 -0.7645
76.608261 89.253 -0.9806
77.163399 89.244 -1.1903
77.722557 89.234 -1.3946
78.285767 89.225 -1.5938
78.853058 89.216 -1.7896
79.424461 89.208 -1.9823
80.000000 89.201 -2.1766
80.579712 89.196 -2.3774
81.163628 89.190 -2.5846
81.751770 89.183 -2.8011
82.344177 89.175 -3.0225
82.940880 89.166 -3.2455
83.541901 89.155 -3.4706
84.147285 89.143 -3.6984
84.757050 89.129 -3.9246
85.371231 89.112 -4.1468
85.989868 89.092 -4.3596
86.612984 89.070 -4.5561
87.240616 89.048 -4.7377
87.872803 89.027 -4.9022
88.509560 89.007 -5.0527
89.150940 88.987 -5.1913
89.796967 88.968 -5.3187
90.447670 88.951 -5.4344
91.103088 88.936 -5.5448
91.763260 88.926 -5.6544
92.428215 88.918 -5.7688
93.097992 88.912 -5.8945
93.772614 88.908 -6.0327
94.452133 88.905 -6.1875
95.136566 88.901 -6.3556
