* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Aukey EP-T21_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:03:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Aukey EP-T21_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Aukey EP-T21_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 95.044 25.7460
5.036232 95.053 25.7331
5.072727 95.063 25.7190
5.109486 95.075 25.7023
5.146511 95.088 25.6830
5.183805 95.104 25.6604
5.221369 95.121 25.6360
5.259205 95.139 25.6116
5.297316 95.158 25.5860
5.335702 95.178 25.5584
5.374367 95.199 25.5300
5.413311 95.220 25.5021
5.452538 95.240 25.4740
5.492050 95.260 25.4456
5.531847 95.280 25.4170
5.571934 95.300 25.3886
5.612310 95.321 25.3600
5.652979 95.341 25.3311
5.693943 95.362 25.3020
5.735204 95.382 25.2726
5.776763 95.403 25.2430
5.818624 95.424 25.2131
5.860788 95.444 25.1830
5.903258 95.464 25.1526
5.946035 95.484 25.1220
5.989123 95.504 25.0916
6.032523 95.525 25.0610
6.076237 95.546 25.0296
6.120268 95.566 24.9980
6.164618 95.586 24.9666
6.209289 95.607 24.9350
6.254284 95.628 24.9031
6.299605 95.648 24.8710
6.345255 95.668 24.8386
6.391235 95.688 24.8060
6.437549 95.708 24.7731
6.484198 95.729 24.7400
6.531185 95.749 24.7066
6.578513 95.770 24.6730
6.626183 95.790 24.6391
6.674199 95.811 24.6050
6.722563 95.831 24.5706
6.771278 95.852 24.5360
6.820345 95.873 24.5011
6.869768 95.893 24.4660
6.919549 95.913 24.4306
6.969691 95.933 24.3950
7.020196 95.953 24.3591
7.071068 95.974 24.3230
7.122308 95.994 24.2867
7.173919 96.015 24.2500
7.225904 96.035 24.2126
7.278266 96.056 24.1750
7.331007 96.077 24.1376
7.384131 96.097 24.1000
7.437639 96.117 24.0616
7.491535 96.137 24.0230
7.545822 96.157 23.9846
7.600502 96.178 23.9460
7.655579 96.198 23.9067
7.711054 96.219 23.8670
7.766932 96.239 23.8271
7.823214 96.260 23.7870
7.879904 96.280 23.7466
7.937005 96.301 23.7060
7.994520 96.322 23.6652
8.052452 96.342 23.6240
8.110803 96.362 23.5822
8.169578 96.382 23.5400
8.228777 96.402 23.4976
8.288406 96.423 23.4550
8.348468 96.443 23.4121
8.408964 96.464 23.3690
8.469899 96.484 23.3257
8.531276 96.505 23.2820
8.593097 96.526 23.2377
8.655366 96.546 23.1930
8.718086 96.566 23.1482
8.781260 96.586 23.1030
8.844893 96.606 23.0572
8.908987 96.627 23.0110
8.973545 96.647 22.9646
9.038571 96.668 22.9180
9.104069 96.688 22.8712
9.170040 96.709 22.8240
9.236490 96.729 22.7762
9.303422 96.750 22.7280
9.370838 96.771 22.6797
9.438744 96.791 22.6310
9.507140 96.811 22.5818
9.576033 96.831 22.5320
9.645425 96.851 22.4816
9.715320 96.872 22.4310
9.785721 96.892 22.3807
9.856632 96.913 22.3300
9.928058 96.933 22.2783
10.000000 96.954 22.2260
10.072464 96.975 22.1737
10.145453 96.995 22.1211
10.218971 97.015 22.0677
10.293022 97.035 22.0140
10.367610 97.055 21.9603
10.442738 97.076 21.9060
10.518411 97.096 21.8507
10.594631 97.117 21.7950
10.671404 97.137 21.7397
10.748734 97.158 21.6840
10.826623 97.178 21.6273
10.905077 97.199 21.5700
10.984100 97.220 21.5122
11.063695 97.240 21.4540
11.143867 97.260 21.3957
11.224621 97.280 21.3370
11.305959 97.300 21.2778
11.387886 97.321 21.2180
11.470407 97.341 21.1573
11.553527 97.362 21.0960
11.637249 97.382 21.0347
11.721577 97.403 20.9731
11.806517 97.424 20.9108
11.892071 97.444 20.8481
11.978246 97.464 20.7848
12.065045 97.484 20.7210
12.152473 97.504 20.6563
12.240536 97.525 20.5910
12.329235 97.545 20.5258
12.418578 97.566 20.4601
12.508568 97.586 20.3934
12.599211 97.607 20.3260
12.690510 97.628 20.2583
12.782471 97.648 20.1901
12.875097 97.668 20.1213
12.968395 97.688 20.0520
13.062370 97.708 19.9823
13.157025 97.729 19.9120
13.252366 97.749 19.8409
13.348398 97.770 19.7691
13.445127 97.790 19.6964
13.542556 97.811 19.6231
13.640691 97.831 19.5493
13.739536 97.852 19.4750
13.839099 97.873 19.4004
13.939383 97.893 19.3251
14.040393 97.913 19.2489
14.142136 97.933 19.1720
14.244616 97.953 19.0944
14.347837 97.974 19.0160
14.451808 97.994 18.9369
14.556532 98.015 18.8570
14.662014 98.035 18.7764
14.768262 98.056 18.6951
14.875278 98.077 18.6130
14.983070 98.097 18.5301
15.091644 98.117 18.4464
15.201005 98.137 18.3621
15.311157 98.157 18.2770
15.422109 98.178 18.1911
15.533863 98.198 18.1040
15.646428 98.219 18.0161
15.759809 98.239 17.9274
15.874010 98.260 17.8381
15.989040 98.280 17.7481
16.104904 98.301 17.6571
16.221605 98.322 17.5646
16.339155 98.342 17.4711
16.457554 98.362 17.3770
16.576813 98.382 17.2821
16.696936 98.402 17.1861
16.817928 98.423 17.0891
16.939798 98.443 16.9907
17.062551 98.464 16.8911
17.186193 98.484 16.7902
17.310732 98.505 16.6881
17.436172 98.526 16.5853
17.562521 98.546 16.4811
17.689787 98.566 16.3749
17.817974 98.586 16.2671
17.947090 98.606 16.1584
18.077143 98.627 16.0481
18.208138 98.647 15.9357
18.340080 98.668 15.8211
18.472980 98.688 15.7043
18.606844 98.709 15.5851
18.741676 98.729 15.4636
18.877487 98.750 15.3381
19.014280 98.771 15.2067
19.152065 98.791 15.0702
19.290850 98.810 14.9279
19.430639 98.827 14.7821
19.571442 98.843 14.6334
19.713264 98.858 14.4862
19.856115 98.869 14.3426
20.000000 98.879 14.2101
20.144928 98.886 14.0994
20.290907 98.894 14.0031
20.437943 98.907 13.9196
20.586044 98.922 13.8431
20.735220 98.937 13.7656
20.885475 98.953 13.6921
21.036821 98.970 13.6300
21.189262 98.991 13.5631
21.342808 99.020 13.4772
21.497467 99.051 13.3731
21.653246 99.076 13.2415
21.810154 99.099 13.0982
21.968201 99.119 12.9584
22.127390 99.138 12.8152
22.287735 99.161 12.6656
22.449242 99.183 12.5131
22.611917 99.199 12.3569
22.775772 99.212 12.2072
22.940815 99.224 12.0777
23.107054 99.238 11.9572
23.274498 99.258 11.8399
23.443153 99.279 11.7222
23.613033 99.299 11.5982
23.784142 99.319 11.4691
23.956491 99.342 11.3347
24.130091 99.365 11.1932
24.304947 99.387 11.0416
24.481071 99.409 10.8832
24.658470 99.430 10.7209
24.837156 99.451 10.5532
25.017136 99.472 10.3791
25.198421 99.492 10.2012
25.381020 99.511 10.0223
25.564941 99.529 9.8412
25.750195 99.548 9.6571
25.936790 99.566 9.4712
26.124741 99.581 9.2832
26.314051 99.596 9.0973
26.504732 99.610 8.9196
26.696796 99.625 8.7442
26.890253 99.642 8.5665
27.085112 99.660 8.3882
27.281382 99.675 8.2099
27.479073 99.691 8.0302
27.678198 99.710 7.8508
27.878765 99.730 7.6633
28.080786 99.751 7.4580
28.284271 99.772 7.2403
28.489231 99.789 7.0113
28.695675 99.805 6.7743
28.903616 99.820 6.5320
29.113064 99.834 6.2873
29.324028 99.844 6.0415
29.536524 99.851 5.8023
29.750557 99.856 5.5809
29.966141 99.861 5.3682
30.183289 99.871 5.1616
30.402010 99.883 4.9533
30.622314 99.895 4.7340
30.844217 99.907 4.5063
31.067726 99.918 4.2708
31.292856 99.929 4.0234
31.519617 99.941 3.7571
31.748020 99.950 3.4813
31.978081 99.951 3.1986
32.209808 99.947 2.9223
32.443211 99.940 2.6663
32.678310 99.930 2.4323
32.915108 99.919 2.2274
33.153625 99.908 2.0492
33.393871 99.899 1.9014
33.635857 99.893 1.7722
33.879597 99.894 1.6560
34.125103 99.901 1.5382
34.372387 99.914 1.4027
34.621464 99.931 1.2473
34.872345 99.947 1.0613
35.125042 99.963 0.8533
35.379574 99.976 0.6266
35.635948 99.988 0.3863
35.894180 99.997 0.1383
36.154285 100.005 -0.1176
36.416275 100.012 -0.3800
36.680161 100.018 -0.6486
36.945961 100.021 -0.9221
37.213688 100.023 -1.2016
37.483353 100.024 -1.4894
37.754974 100.023 -1.7796
38.028561 100.016 -2.0674
38.304131 100.006 -2.3506
38.581699 99.996 -2.6267
38.861279 99.983 -2.8916
39.142883 99.964 -3.1433
39.426529 99.943 -3.3727
39.712231 99.920 -3.5666
40.000000 99.899 -3.7358
40.289856 99.883 -3.8843
40.581814 99.870 -4.0198
40.875885 99.859 -4.1526
41.172089 99.850 -4.2788
41.470440 99.841 -4.3966
41.770950 99.835 -4.5108
42.073643 99.833 -4.6243
42.378525 99.835 -4.7408
42.685616 99.838 -4.8637
42.994934 99.844 -4.9978
43.306492 99.855 -5.1478
43.620308 99.867 -5.3177
43.936401 99.879 -5.5137
44.254780 99.891 -5.7336
44.575470 99.902 -5.9791
44.898483 99.911 -6.2446
45.223835 99.915 -6.5278
45.551544 99.916 -6.8196
45.881630 99.912 -7.1111
46.214108 99.904 -7.3986
46.548996 99.894 -7.6753
46.886307 99.882 -7.9416
47.226067 99.869 -8.1936
47.568283 99.857 -8.4366
47.912983 99.846 -8.6720
48.260181 99.837 -8.9076
48.609894 99.830 -9.1511
48.962143 99.823 -9.4046
49.316940 99.815 -9.6762
49.674313 99.804 -9.9556
50.034271 99.787 -10.2390
50.396843 99.766 -10.5146
50.762039 99.741 -10.7686
51.129883 99.714 -11.0026
51.500389 99.688 -11.2120
51.873581 99.663 -11.4017
52.249481 99.639 -11.5734
52.628101 99.617 -11.7327
53.009464 99.599 -11.8821
53.393593 99.584 -12.0327
53.780506 99.575 -12.1963
54.170223 99.568 -12.3737
54.562763 99.559 -12.5712
54.958145 99.550 -12.7837
55.356396 99.540 -13.0098
55.757530 99.527 -13.2446
56.161572 99.511 -13.4860
56.568542 99.492 -13.7236
56.978462 99.468 -13.9443
57.391350 99.444 -14.1536
57.807232 99.424 -14.3489
58.226128 99.405 -14.5417
58.648056 99.388 -14.7445
59.073048 99.371 -14.9517
59.501114 99.351 -15.1626
59.932281 99.329 -15.3736
60.366577 99.308 -15.5795
60.804020 99.286 -15.7846
61.244629 99.264 -15.9926
61.688435 99.242 -16.2006
62.135452 99.218 -16.4101
62.585712 99.192 -16.6127
63.039234 99.162 -16.7983
63.496040 99.133 -16.9727
63.956161 99.108 -17.1344
64.419617 99.085 -17.2947
64.886421 99.065 -17.4682
65.356621 99.044 -17.6437
65.830215 99.017 -17.8138
66.307251 98.991 -17.9817
66.787743 98.971 -18.1443
67.271713 98.953 -18.3127
67.759193 98.935 -18.5004
68.250206 98.915 -18.6966
68.744774 98.891 -18.8934
69.242928 98.866 -19.0956
69.744690 98.846 -19.3052
70.250084 98.825 -19.5226
70.759148 98.798 -19.7521
71.271896 98.768 -19.9836
71.788361 98.736 -20.2084
72.308571 98.702 -20.4256
72.832550 98.665 -20.6333
73.360321 98.626 -20.8257
73.891922 98.584 -20.9933
74.427376 98.542 -21.1447
74.966705 98.507 -21.2842
75.509949 98.473 -21.4158
76.057121 98.437 -21.5448
76.608261 98.401 -21.6718
77.163399 98.370 -21.7963
77.722557 98.341 -21.9267
78.285767 98.313 -22.0758
78.853058 98.283 -22.2297
79.424461 98.246 -22.3786
80.000000 98.208 -22.5227
80.579712 98.175 -22.6568
81.163628 98.142 -22.7878
81.751770 98.107 -22.9229
82.344177 98.072 -23.0557
82.940880 98.036 -23.1794
83.541901 98.000 -23.3028
84.147285 97.969 -23.4321
84.757050 97.938 -23.5687
85.371231 97.905 -23.7191
85.989868 97.870 -23.8747
86.612984 97.831 -24.0312
87.240616 97.790 -24.1827
87.872803 97.746 -24.3212
88.509560 97.701 -24.4487
89.150940 97.657 -24.5635
89.796967 97.613 -24.6698
90.447670 97.569 -24.7727
