* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Andromeda_2020_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 2:38:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Andromeda_2020_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Andromeda_2020_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 95.329 6.6600
5.036232 95.331 6.6571
5.072727 95.334 6.6540
5.109486 95.337 6.6502
5.146511 95.340 6.6460
5.183805 95.344 6.6413
5.221369 95.349 6.6360
5.259205 95.353 6.6301
5.297316 95.358 6.6240
5.335702 95.363 6.6180
5.374367 95.369 6.6120
5.413311 95.374 6.6061
5.452538 95.379 6.6000
5.492050 95.384 6.5936
5.531847 95.389 6.5870
5.571934 95.395 6.5805
5.612310 95.400 6.5740
5.652979 95.405 6.5675
5.693943 95.410 6.5610
5.735204 95.415 6.5545
5.776763 95.420 6.5480
5.818624 95.425 6.5415
5.860788 95.431 6.5350
5.903258 95.436 6.5286
5.946035 95.441 6.5220
5.989123 95.447 6.5151
6.032523 95.452 6.5080
6.076237 95.457 6.5010
6.120268 95.462 6.4940
6.164618 95.467 6.4870
6.209289 95.472 6.4800
6.254284 95.478 6.4730
6.299605 95.483 6.4660
6.345255 95.488 6.4591
6.391235 95.493 6.4520
6.437549 95.498 6.4446
6.484198 95.503 6.4370
6.531185 95.508 6.4295
6.578513 95.514 6.4220
6.626183 95.519 6.4145
6.674199 95.524 6.4070
6.722563 95.530 6.3996
6.771278 95.535 6.3920
6.820345 95.540 6.3840
6.869768 95.545 6.3760
6.919549 95.550 6.3685
6.969691 95.555 6.3610
7.020196 95.561 6.3531
7.071068 95.566 6.3450
7.122308 95.571 6.3371
7.173919 95.576 6.3290
7.225904 95.581 6.3205
7.278266 95.587 6.3120
7.331007 95.592 6.3040
7.384131 95.597 6.2960
7.437639 95.602 6.2876
7.491535 95.607 6.2790
7.545822 95.612 6.2706
7.600502 95.618 6.2620
7.655579 95.623 6.2531
7.711054 95.628 6.2440
7.766932 95.633 6.2349
7.823214 95.638 6.2260
7.879904 95.644 6.2176
7.937005 95.649 6.2090
7.994520 95.654 6.1996
8.052452 95.659 6.1900
8.110803 95.664 6.1810
8.169578 95.670 6.1720
8.228777 95.675 6.1626
8.288406 95.680 6.1530
8.348468 95.685 6.1435
8.408964 95.690 6.1340
8.469899 95.695 6.1246
8.531276 95.701 6.1150
8.593097 95.706 6.1051
8.655366 95.711 6.0950
8.718086 95.716 6.0850
8.781260 95.721 6.0750
8.844893 95.727 6.0650
8.908987 95.732 6.0550
8.973545 95.737 6.0451
9.038571 95.742 6.0350
9.104069 95.747 6.0246
9.170040 95.753 6.0140
9.236490 95.758 6.0036
9.303422 95.763 5.9930
9.370838 95.768 5.9821
9.438744 95.773 5.9710
9.507140 95.778 5.9600
9.576033 95.784 5.9490
9.645425 95.789 5.9380
9.715320 95.794 5.9270
9.785721 95.799 5.9161
9.856632 95.805 5.9050
9.928058 95.810 5.8936
10.000000 95.815 5.8820
10.072464 95.820 5.8706
10.145453 95.825 5.8590
10.218971 95.830 5.8470
10.293022 95.836 5.8350
10.367610 95.841 5.8236
10.442738 95.846 5.8120
10.518411 95.851 5.7996
10.594631 95.856 5.7870
10.671404 95.861 5.7750
10.748734 95.867 5.7630
10.826623 95.872 5.7506
10.905077 95.877 5.7380
10.984100 95.882 5.7251
11.063695 95.888 5.7120
11.143867 95.893 5.6990
11.224621 95.898 5.6860
11.305959 95.903 5.6731
11.387886 95.908 5.6600
11.470407 95.913 5.6466
11.553527 95.919 5.6330
11.637249 95.924 5.6195
11.721577 95.929 5.6060
11.806517 95.934 5.5926
11.892071 95.939 5.5790
11.978246 95.944 5.5651
12.065045 95.950 5.5510
12.152473 95.955 5.5371
12.240536 95.960 5.5230
12.329235 95.965 5.5086
12.418578 95.971 5.4940
12.508568 95.976 5.4790
12.599211 95.981 5.4640
12.690510 95.986 5.4496
12.782471 95.991 5.4350
12.875097 95.996 5.4196
12.968395 96.002 5.4040
13.062370 96.007 5.3885
13.157025 96.012 5.3730
13.252366 96.018 5.3576
13.348398 96.023 5.3420
13.445127 96.028 5.3261
13.542556 96.033 5.3100
13.640691 96.038 5.2941
13.739536 96.043 5.2780
13.839099 96.049 5.2616
13.939383 96.054 5.2450
14.040393 96.059 5.2281
14.142136 96.064 5.2110
14.244616 96.069 5.1940
14.347837 96.074 5.1770
14.451808 96.079 5.1601
14.556532 96.085 5.1430
14.662014 96.090 5.1251
14.768262 96.095 5.1070
14.875278 96.100 5.0891
14.983070 96.106 5.0710
15.091644 96.111 5.0526
15.201005 96.116 5.0340
15.311157 96.121 5.0151
15.422109 96.126 4.9960
15.533863 96.132 4.9771
15.646428 96.137 4.9580
15.759809 96.142 4.9386
15.874010 96.147 4.9190
15.989040 96.152 4.8991
16.104904 96.157 4.8790
16.221605 96.162 4.8586
16.339155 96.168 4.8380
16.457554 96.173 4.8171
16.576813 96.178 4.7960
16.696936 96.184 4.7751
16.817928 96.189 4.7540
16.939798 96.194 4.7327
17.062551 96.199 4.7110
17.186193 96.204 4.6886
17.310732 96.209 4.6660
17.436172 96.215 4.6436
17.562521 96.220 4.6210
17.689787 96.225 4.5981
17.817974 96.230 4.5750
17.947090 96.235 4.5516
18.077143 96.241 4.5280
18.208138 96.246 4.5042
18.340080 96.251 4.4800
18.472980 96.256 4.4552
18.606844 96.261 4.4300
18.741676 96.267 4.4047
18.877487 96.272 4.3790
19.014280 96.277 4.3528
19.152065 96.282 4.3260
19.290850 96.287 4.2983
19.430639 96.292 4.2700
19.571442 96.297 4.2410
19.713264 96.302 4.2120
19.856115 96.306 4.1834
20.000000 96.310 4.1560
20.144928 96.314 4.1309
20.290907 96.318 4.1080
20.437943 96.322 4.0882
20.586044 96.326 4.0700
20.735220 96.332 4.0533
20.885475 96.338 4.0350
21.036821 96.345 4.0117
21.189262 96.353 3.9840
21.342808 96.360 3.9518
21.497467 96.367 3.9150
21.653246 96.374 3.8736
21.810154 96.381 3.8281
21.968201 96.387 3.7779
22.127390 96.391 3.7271
22.287735 96.393 3.6790
22.449242 96.395 3.6350
22.611917 96.397 3.5981
22.775772 96.399 3.5670
22.940815 96.401 3.5426
23.107054 96.403 3.5220
23.274498 96.407 3.5041
23.443153 96.413 3.4850
23.613033 96.420 3.4605
23.784142 96.427 3.4310
23.956491 96.434 3.3959
24.130091 96.441 3.3551
24.304947 96.448 3.3079
24.481071 96.455 3.2551
24.658470 96.461 3.1958
24.837156 96.465 3.1341
25.017136 96.467 3.0736
25.198421 96.469 3.0151
25.381020 96.470 2.9603
25.564941 96.471 2.9090
25.750195 96.471 2.8617
25.936790 96.471 2.8181
26.124741 96.471 2.7781
26.314051 96.471 2.7411
26.504732 96.471 2.7062
26.696796 96.471 2.6740
26.890253 96.471 2.6445
27.085112 96.471 2.6180
27.281382 96.471 2.5953
27.479073 96.471 2.5760
27.678198 96.471 2.5598
27.878765 96.472 2.5470
28.080786 96.473 2.5388
28.284271 96.476 2.5320
28.489231 96.480 2.5249
28.695675 96.486 2.5150
28.903616 96.493 2.4995
29.113064 96.500 2.4780
29.324028 96.507 2.4493
29.536524 96.514 2.4140
29.750557 96.521 2.3725
29.966141 96.528 2.3251
30.183289 96.534 2.2709
30.402010 96.538 2.2141
30.622314 96.540 2.1580
30.844217 96.542 2.1041
31.067726 96.543 2.0552
31.292856 96.544 2.0101
31.519617 96.545 1.9686
31.748020 96.546 1.9300
31.978081 96.547 1.8945
32.209808 96.548 1.8600
32.443211 96.550 1.8245
32.678310 96.553 1.7890
32.915108 96.554 1.7533
33.153625 96.555 1.7190
33.393871 96.556 1.6881
33.635857 96.557 1.6600
33.879597 96.558 1.6354
34.125103 96.560 1.6130
34.372387 96.563 1.5927
34.621464 96.567 1.5720
34.872345 96.572 1.5492
35.125042 96.577 1.5230
35.379574 96.583 1.4919
35.635948 96.589 1.4550
35.894180 96.596 1.4113
36.154285 96.602 1.3611
36.416275 96.608 1.3030
36.680161 96.612 1.2411
36.945961 96.614 1.1783
37.213688 96.616 1.1161
37.483353 96.617 1.0573
37.754974 96.618 1.0011
38.028561 96.618 0.9473
38.304131 96.618 0.8961
38.581699 96.618 0.8475
38.861279 96.618 0.8011
39.142883 96.618 0.7564
39.426529 96.618 0.7131
39.712231 96.618 0.6701
40.000000 96.618 0.6281
40.289856 96.618 0.5876
40.581814 96.618 0.5481
40.875885 96.618 0.5092
41.172089 96.618 0.4711
41.470440 96.618 0.4332
41.770950 96.618 0.3961
42.073643 96.618 0.3601
42.378525 96.618 0.3250
42.685616 96.618 0.2906
42.994934 96.618 0.2570
43.306492 96.618 0.2246
43.620308 96.618 0.1930
43.936401 96.618 0.1619
44.254780 96.618 0.1320
44.575470 96.618 0.1040
44.898483 96.618 0.0780
45.223835 96.618 0.0543
45.551544 96.618 0.0330
45.881630 96.618 0.0148
46.214108 96.619 -0.0010
46.548996 96.620 -0.0139
46.886307 96.623 -0.0260
47.226067 96.627 -0.0383
47.568283 96.633 -0.0540
47.912983 96.640 -0.0766
48.260181 96.647 -0.1059
48.609894 96.654 -0.1433
48.962143 96.662 -0.1879
49.316940 96.669 -0.2396
49.674313 96.676 -0.2979
50.034271 96.681 -0.3636
50.396843 96.685 -0.4329
50.762039 96.687 -0.5022
51.129883 96.689 -0.5709
51.500389 96.690 -0.6371
51.873581 96.691 -0.7009
52.249481 96.691 -0.7616
52.628101 96.691 -0.8199
53.009464 96.691 -0.8763
53.393593 96.691 -0.9309
53.780506 96.691 -0.9839
54.170223 96.691 -1.0359
54.562763 96.691 -1.0877
54.958145 96.691 -1.1389
55.356396 96.691 -1.1892
55.757530 96.691 -1.2389
56.161572 96.691 -1.2880
56.568542 96.691 -1.3369
56.978462 96.691 -1.3860
57.391350 96.691 -1.4349
57.807232 96.691 -1.4835
58.226128 96.691 -1.5319
58.648056 96.691 -1.5800
59.073048 96.691 -1.6279
59.501114 96.691 -1.6760
59.932281 96.691 -1.7239
60.366577 96.691 -1.7714
60.804020 96.691 -1.8189
61.244629 96.691 -1.8669
61.688435 96.691 -1.9149
62.135452 96.691 -1.9624
62.585712 96.691 -2.0099
63.039234 96.691 -2.0579
63.496040 96.691 -2.1059
63.956161 96.691 -2.1539
64.419617 96.691 -2.2019
64.886421 96.691 -2.2504
65.356621 96.691 -2.2989
65.830215 96.691 -2.3473
66.307251 96.691 -2.3959
66.787743 96.691 -2.4448
67.271713 96.691 -2.4939
67.759193 96.691 -2.5433
68.250206 96.691 -2.5929
68.744774 96.691 -2.6423
69.242928 96.691 -2.6919
69.744690 96.691 -2.7423
70.250084 96.691 -2.7929
70.759148 96.691 -2.8433
71.271896 96.691 -2.8939
71.788361 96.691 -2.9452
72.308571 96.691 -2.9969
72.832550 96.691 -3.0487
73.360321 96.691 -3.1009
73.891922 96.691 -3.1537
74.427376 96.691 -3.2069
74.966705 96.691 -3.2607
75.509949 96.691 -3.3149
76.057121 96.691 -3.3691
76.608261 96.691 -3.4239
77.163399 96.691 -3.4795
77.722557 96.691 -3.5359
78.285767 96.691 -3.5930
78.853058 96.691 -3.6509
79.424461 96.691 -3.7094
80.000000 96.691 -3.7689
80.579712 96.691 -3.8293
81.163628 96.691 -3.8909
81.751770 96.691 -3.9535
82.344177 96.691 -4.0179
82.940880 96.691 -4.0846
83.541901 96.691 -4.1539
84.147285 96.691 -4.2260
84.757050 96.690 -4.3009
85.371231 96.689 -4.3789
85.989868 96.687 -4.4588
86.612984 96.685 -4.5403
87.240616 96.681 -4.6208
87.872803 96.676 -4.6982
88.509560 96.669 -4.7709
89.150940 96.662 -4.8367
89.796967 96.655 -4.8959
90.447670 96.648 -4.9476
91.103088 96.641 -4.9929
91.763260 96.635 -5.0317
92.428215 96.629 -5.0659
