* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Andromeda_Pre2020_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 2:38:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Andromeda_Pre2020_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Andromeda_Pre2020_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 97.098 2.3290
5.036232 97.099 2.3266
5.072727 97.100 2.3240
5.109486 97.101 2.3212
5.146511 97.103 2.3180
5.183805 97.104 2.3142
5.221369 97.106 2.3100
5.259205 97.108 2.3056
5.297316 97.110 2.3010
5.335702 97.112 2.2961
5.374367 97.114 2.2910
5.413311 97.116 2.2860
5.452538 97.118 2.2810
5.492050 97.120 2.2761
5.531847 97.122 2.2710
5.571934 97.125 2.2655
5.612310 97.127 2.2600
5.652979 97.129 2.2550
5.693943 97.131 2.2500
5.735204 97.133 2.2445
5.776763 97.135 2.2390
5.818624 97.137 2.2340
5.860788 97.139 2.2290
5.903258 97.141 2.2236
5.946035 97.143 2.2180
5.989123 97.145 2.2126
6.032523 97.147 2.2070
6.076237 97.149 2.2010
6.120268 97.151 2.1950
6.164618 97.153 2.1894
6.209289 97.156 2.1840
6.254284 97.158 2.1786
6.299605 97.160 2.1730
6.345255 97.162 2.1671
6.391235 97.164 2.1610
6.437549 97.166 2.1550
6.484198 97.168 2.1490
6.531185 97.170 2.1430
6.578513 97.172 2.1370
6.626183 97.174 2.1311
6.674199 97.176 2.1250
6.722563 97.178 2.1185
6.771278 97.180 2.1120
6.820345 97.182 2.1060
6.869768 97.185 2.1000
6.919549 97.187 2.0936
6.969691 97.189 2.0870
7.020196 97.191 2.0805
7.071068 97.193 2.0740
7.122308 97.195 2.0676
7.173919 97.197 2.0610
7.225904 97.199 2.0540
7.278266 97.201 2.0470
7.331007 97.203 2.0405
7.384131 97.205 2.0340
7.437639 97.207 2.0271
7.491535 97.210 2.0200
7.545822 97.212 2.0130
7.600502 97.214 2.0060
7.655579 97.216 1.9990
7.711054 97.218 1.9920
7.766932 97.220 1.9851
7.823214 97.222 1.9780
7.879904 97.224 1.9706
7.937005 97.226 1.9630
7.994520 97.228 1.9555
8.052452 97.230 1.9480
8.110803 97.232 1.9405
8.169578 97.234 1.9330
8.228777 97.236 1.9255
8.288406 97.239 1.9180
8.348468 97.241 1.9106
8.408964 97.243 1.9030
8.469899 97.245 1.8951
8.531276 97.247 1.8870
8.593097 97.249 1.8790
8.655366 97.251 1.8710
8.718086 97.253 1.8630
8.781260 97.255 1.8550
8.844893 97.257 1.8471
8.908987 97.259 1.8390
8.973545 97.261 1.8306
9.038571 97.263 1.8220
9.104069 97.265 1.8135
9.170040 97.268 1.8050
9.236490 97.270 1.7965
9.303422 97.272 1.7880
9.370838 97.274 1.7796
9.438744 97.276 1.7710
9.507140 97.278 1.7621
9.576033 97.280 1.7530
9.645425 97.282 1.7440
9.715320 97.284 1.7350
9.785721 97.286 1.7260
9.856632 97.288 1.7170
9.928058 97.290 1.7081
10.000000 97.293 1.6990
10.072464 97.295 1.6896
10.145453 97.297 1.6800
10.218971 97.299 1.6705
10.293022 97.301 1.6610
10.367610 97.303 1.6515
10.442738 97.305 1.6420
10.518411 97.307 1.6326
10.594631 97.309 1.6230
10.671404 97.311 1.6131
10.748734 97.313 1.6030
10.826623 97.315 1.5931
10.905077 97.317 1.5830
10.984100 97.319 1.5726
11.063695 97.322 1.5620
11.143867 97.324 1.5515
11.224621 97.326 1.5410
11.305959 97.328 1.5305
11.387886 97.330 1.5200
11.470407 97.332 1.5096
11.553527 97.334 1.4990
11.637249 97.336 1.4881
11.721577 97.338 1.4770
11.806517 97.340 1.4660
11.892071 97.342 1.4550
11.978246 97.344 1.4441
12.065045 97.346 1.4330
12.152473 97.348 1.4216
12.240536 97.351 1.4100
12.329235 97.353 1.3985
12.418578 97.355 1.3870
12.508568 97.357 1.3756
12.599211 97.359 1.3640
12.690510 97.361 1.3521
12.782471 97.363 1.3400
12.875097 97.365 1.3280
12.968395 97.367 1.3160
13.062370 97.369 1.3041
13.157025 97.371 1.2920
13.252366 97.373 1.2796
13.348398 97.376 1.2670
13.445127 97.378 1.2546
13.542556 97.380 1.2420
13.640691 97.382 1.2291
13.739536 97.384 1.2160
13.839099 97.386 1.2030
13.939383 97.388 1.1900
14.040393 97.390 1.1771
14.142136 97.392 1.1640
14.244616 97.394 1.1506
14.347837 97.396 1.1370
14.451808 97.398 1.1231
14.556532 97.400 1.1090
14.662014 97.402 1.0950
14.768262 97.405 1.0810
14.875278 97.407 1.0671
14.983070 97.409 1.0530
15.091644 97.411 1.0386
15.201005 97.413 1.0240
15.311157 97.415 1.0096
15.422109 97.417 0.9950
15.533863 97.419 0.9801
15.646428 97.421 0.9650
15.759809 97.423 0.9496
15.874010 97.425 0.9340
15.989040 97.427 0.9186
16.104904 97.429 0.9030
16.221605 97.431 0.8871
16.339155 97.434 0.8710
16.457554 97.436 0.8551
16.576813 97.438 0.8390
16.696936 97.440 0.8226
16.817928 97.442 0.8060
16.939798 97.444 0.7896
17.062551 97.446 0.7730
17.186193 97.448 0.7556
17.310732 97.450 0.7380
17.436172 97.452 0.7211
17.562521 97.454 0.7040
17.689787 97.456 0.6861
17.817974 97.459 0.6680
17.947090 97.461 0.6501
18.077143 97.463 0.6320
18.208138 97.465 0.6137
18.340080 97.467 0.5950
18.472980 97.469 0.5756
18.606844 97.471 0.5560
18.741676 97.473 0.5366
18.877487 97.475 0.5170
19.014280 97.477 0.4967
19.152065 97.479 0.4760
19.290850 97.481 0.4553
19.430639 97.483 0.4340
19.571442 97.485 0.4118
19.713264 97.487 0.3890
19.856115 97.489 0.3658
20.000000 97.491 0.3420
20.144928 97.493 0.3173
20.290907 97.495 0.2920
20.437943 97.496 0.2665
20.586044 97.497 0.2410
20.735220 97.498 0.2158
20.885475 97.499 0.1910
21.036821 97.500 0.1670
21.189262 97.500 0.1440
21.342808 97.500 0.1225
21.497467 97.500 0.1020
21.653246 97.500 0.0824
21.810154 97.500 0.0640
21.968201 97.500 0.0473
22.127390 97.500 0.0320
22.287735 97.500 0.0178
22.449242 97.500 0.0050
22.611917 97.500 -0.0061
22.775772 97.500 -0.0150
22.940815 97.500 -0.0214
23.107054 97.500 -0.0250
23.274498 97.501 -0.0254
23.443153 97.502 -0.0230
23.613033 97.504 -0.0175
23.784142 97.506 -0.0110
23.956491 97.510 -0.0045
24.130091 97.515 -0.0010
24.304947 97.522 -0.0039
24.481071 97.529 -0.0130
24.658470 97.536 -0.0295
24.837156 97.543 -0.0530
25.017136 97.550 -0.0833
25.198421 97.557 -0.1200
25.381020 97.563 -0.1638
25.564941 97.567 -0.2110
25.750195 97.570 -0.2584
25.936790 97.572 -0.3049
26.124741 97.573 -0.3479
26.314051 97.573 -0.3879
26.504732 97.574 -0.4245
26.696796 97.574 -0.4580
26.890253 97.574 -0.4883
27.085112 97.574 -0.5160
27.281382 97.574 -0.5415
27.479073 97.574 -0.5640
27.678198 97.574 -0.5826
27.878765 97.574 -0.5980
28.080786 97.574 -0.6105
28.284271 97.575 -0.6200
28.489231 97.576 -0.6256
28.695675 97.579 -0.6300
28.903616 97.583 -0.6349
29.113064 97.589 -0.6430
29.324028 97.596 -0.6579
29.536524 97.603 -0.6790
29.750557 97.610 -0.7070
29.966141 97.617 -0.7420
30.183289 97.624 -0.7847
30.402010 97.631 -0.8339
30.622314 97.637 -0.8898
30.844217 97.641 -0.9489
31.067726 97.643 -1.0084
31.292856 97.645 -1.0669
31.519617 97.646 -1.1223
31.748020 97.647 -1.1749
31.978081 97.647 -1.2243
32.209808 97.647 -1.2709
32.443211 97.647 -1.3149
32.678310 97.647 -1.3569
32.915108 97.647 -1.3976
33.153625 97.647 -1.4370
33.393871 97.647 -1.4751
33.635857 97.647 -1.5119
33.879597 97.647 -1.5471
34.125103 97.647 -1.5810
34.372387 97.647 -1.6141
34.621464 97.647 -1.6460
34.872345 97.647 -1.6765
35.125042 97.647 -1.7050
35.379574 97.647 -1.7308
35.635948 97.647 -1.7540
35.894180 97.648 -1.7743
36.154285 97.649 -1.7920
36.416275 97.650 -1.8064
36.680161 97.653 -1.8200
36.945961 97.657 -1.8342
37.213688 97.663 -1.8520
37.483353 97.670 -1.8771
37.754974 97.677 -1.9089
38.028561 97.684 -1.9483
38.304131 97.691 -1.9949
38.581699 97.698 -2.0495
38.861279 97.705 -2.1109
39.142883 97.711 -2.1796
39.426529 97.715 -2.2519
39.712231 97.717 -2.3246
40.000000 97.719 -2.3969
40.289856 97.720 -2.4664
40.581814 97.721 -2.5339
40.875885 97.721 -2.5993
41.172089 97.721 -2.6629
41.470440 97.721 -2.7250
41.770950 97.721 -2.7859
42.073643 97.721 -2.8463
42.378525 97.720 -2.9059
42.685616 97.719 -2.9652
42.994934 97.718 -3.0229
43.306492 97.716 -3.0784
43.620308 97.714 -3.1309
43.936401 97.712 -3.1789
44.254780 97.710 -3.2239
44.575470 97.709 -3.2665
44.898483 97.709 -3.3079
45.223835 97.709 -3.3498
45.551544 97.709 -3.3919
45.881630 97.710 -3.4341
46.214108 97.712 -3.4779
46.548996 97.714 -3.5253
46.886307 97.716 -3.5759
47.226067 97.718 -3.6308
47.568283 97.719 -3.6879
47.912983 97.720 -3.7456
48.260181 97.720 -3.8039
48.609894 97.721 -3.8624
48.962143 97.721 -3.9209
49.316940 97.721 -3.9790
49.674313 97.721 -4.0369
50.034271 97.721 -4.0944
50.396843 97.721 -4.1519
50.762039 97.721 -4.2097
51.129883 97.721 -4.2679
51.500389 97.721 -4.3266
51.873581 97.721 -4.3859
52.249481 97.721 -4.4456
52.628101 97.721 -4.5059
53.009464 97.721 -4.5665
53.393593 97.721 -4.6279
53.780506 97.721 -4.6904
54.170223 97.721 -4.7539
54.562763 97.721 -4.8182
54.958145 97.721 -4.8839
55.356396 97.721 -4.9514
55.757530 97.721 -5.0209
56.161572 97.721 -5.0926
56.568542 97.721 -5.1669
56.978462 97.720 -5.2445
57.391350 97.719 -5.3248
57.807232 97.717 -5.4082
58.226128 97.715 -5.4929
58.648056 97.711 -5.5782
59.073048 97.706 -5.6609
59.501114 97.699 -5.7373
59.932281 97.692 -5.8079
60.366577 97.685 -5.8718
60.804020 97.678 -5.9289
61.244629 97.671 -5.9785
61.688435 97.664 -6.0219
62.135452 97.658 -6.0591
62.585712 97.654 -6.0929
63.039234 97.651 -6.1261
63.496040 97.649 -6.1599
63.956161 97.648 -6.1969
64.419617 97.647 -6.2369
64.886421 97.647 -6.2808
65.356621 97.647 -6.3279
65.830215 97.647 -6.3781
66.307251 97.647 -6.4309
66.787743 97.647 -6.4859
67.271713 97.647 -6.5429
67.759193 97.647 -6.6015
68.250206 97.647 -6.6619
68.744774 97.647 -6.7244
69.242928 97.647 -6.7889
69.744690 97.647 -6.8549
70.250084 97.647 -6.9229
70.759148 97.647 -6.9931
71.271896 97.647 -7.0659
71.788361 97.647 -7.1413
72.308571 97.647 -7.2198
72.832550 97.647 -7.3021
73.360321 97.646 -7.3878
73.891922 97.645 -7.4774
74.427376 97.644 -7.5698
74.966705 97.641 -7.6652
75.509949 97.637 -7.7608
76.057121 97.632 -7.8546
76.608261 97.626 -7.9448
77.163399 97.619 -8.0290
77.722557 97.612 -8.1078
78.285767 97.604 -8.1814
78.853058 97.597 -8.2499
79.424461 97.591 -8.3127
80.000000 97.585 -8.3729
80.579712 97.581 -8.4324
81.163628 97.578 -8.4939
81.751770 97.575 -8.5603
82.344177 97.573 -8.6318
82.940880 97.571 -8.7104
83.541901 97.568 -8.7938
84.147285 97.564 -8.8821
84.757050 97.558 -8.9708
85.371231 97.550 -9.0558
85.989868 97.542 -9.1368
86.612984 97.534 -9.2131
87.240616 97.526 -9.2829
