* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Blessing3_R_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:06:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Blessing3_R_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Blessing3_R_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 94.937 -13.3360
5.036232 94.933 -13.3398
5.072727 94.929 -13.3440
5.109486 94.924 -13.3495
5.146511 94.919 -13.3560
5.183805 94.913 -13.3635
5.221369 94.906 -13.3720
5.259205 94.899 -13.3817
5.297316 94.891 -13.3920
5.335702 94.883 -13.4023
5.374367 94.874 -13.4130
5.413311 94.866 -13.4244
5.452538 94.858 -13.4360
5.492050 94.850 -13.4470
5.531847 94.841 -13.4580
5.571934 94.833 -13.4694
5.612310 94.825 -13.4810
5.652979 94.816 -13.4929
5.693943 94.808 -13.5050
5.735204 94.800 -13.5170
5.776763 94.792 -13.5290
5.818624 94.784 -13.5409
5.860788 94.775 -13.5530
5.903258 94.766 -13.5654
5.946035 94.758 -13.5780
5.989123 94.750 -13.5905
6.032523 94.742 -13.6030
6.076237 94.733 -13.6154
6.120268 94.725 -13.6280
6.164618 94.717 -13.6409
6.209289 94.709 -13.6540
6.254284 94.701 -13.6669
6.299605 94.692 -13.6800
6.345255 94.684 -13.6934
6.391235 94.676 -13.7070
6.437549 94.668 -13.7205
6.484198 94.659 -13.7340
6.531185 94.651 -13.7474
6.578513 94.643 -13.7610
6.626183 94.634 -13.7749
6.674199 94.626 -13.7890
6.722563 94.618 -13.8029
6.771278 94.610 -13.8170
6.820345 94.602 -13.8314
6.869768 94.593 -13.8460
6.919549 94.585 -13.8604
6.969691 94.577 -13.8750
7.020196 94.569 -13.8899
7.071068 94.560 -13.9050
7.122308 94.551 -13.9200
7.173919 94.543 -13.9350
7.225904 94.535 -13.9499
7.278266 94.527 -13.9650
7.331007 94.519 -13.9804
7.384131 94.510 -13.9960
7.437639 94.502 -14.0119
7.491535 94.494 -14.0280
7.545822 94.486 -14.0440
7.600502 94.477 -14.0600
7.655579 94.469 -14.0759
7.711054 94.461 -14.0920
7.766932 94.452 -14.1084
7.823214 94.444 -14.1250
7.879904 94.436 -14.1419
7.937005 94.428 -14.1590
7.994520 94.420 -14.1759
8.052452 94.411 -14.1930
8.110803 94.403 -14.2104
8.169578 94.395 -14.2280
8.228777 94.386 -14.2455
8.288406 94.378 -14.2630
8.348468 94.370 -14.2804
8.408964 94.362 -14.2980
8.469899 94.354 -14.3164
8.531276 94.345 -14.3350
8.593097 94.337 -14.3529
8.655366 94.329 -14.3710
8.718086 94.321 -14.3899
8.781260 94.312 -14.4090
8.844893 94.303 -14.4280
8.908987 94.295 -14.4470
8.973545 94.287 -14.4659
9.038571 94.279 -14.4850
9.104069 94.271 -14.5044
9.170040 94.262 -14.5240
9.236490 94.254 -14.5439
9.303422 94.246 -14.5640
9.370838 94.238 -14.5844
9.438744 94.229 -14.6050
9.507140 94.221 -14.6255
9.576033 94.213 -14.6460
9.645425 94.205 -14.6664
9.715320 94.196 -14.6870
9.785721 94.188 -14.7084
9.856632 94.180 -14.7300
9.928058 94.172 -14.7515
10.000000 94.163 -14.7730
10.072464 94.155 -14.7944
10.145453 94.147 -14.8160
10.218971 94.139 -14.8384
10.293022 94.130 -14.8610
10.367610 94.122 -14.8834
10.442738 94.114 -14.9060
10.518411 94.105 -14.9289
10.594631 94.097 -14.9520
10.671404 94.089 -14.9754
10.748734 94.081 -14.9990
10.826623 94.073 -15.0224
10.905077 94.064 -15.0460
10.984100 94.055 -15.0699
11.063695 94.047 -15.0940
11.143867 94.039 -15.1184
11.224621 94.031 -15.1430
11.305959 94.023 -15.1679
11.387886 94.014 -15.1930
11.470407 94.006 -15.2179
11.553527 93.998 -15.2430
11.637249 93.990 -15.2689
11.721577 93.981 -15.2950
11.806517 93.973 -15.3209
11.892071 93.965 -15.3470
11.978246 93.957 -15.3734
12.065045 93.948 -15.4000
12.152473 93.940 -15.4269
12.240536 93.932 -15.4540
12.329235 93.924 -15.4814
12.418578 93.915 -15.5090
12.508568 93.907 -15.5369
12.599211 93.899 -15.5650
12.690510 93.891 -15.5934
12.782471 93.882 -15.6220
12.875097 93.874 -15.6503
12.968395 93.866 -15.6790
13.062370 93.858 -15.7083
13.157025 93.849 -15.7380
13.252366 93.840 -15.7679
13.348398 93.832 -15.7980
13.445127 93.824 -15.8278
13.542556 93.816 -15.8580
13.640691 93.808 -15.8888
13.739536 93.799 -15.9200
13.839099 93.791 -15.9514
13.939383 93.783 -15.9830
14.040393 93.775 -16.0149
14.142136 93.766 -16.0470
14.244616 93.758 -16.0794
14.347837 93.750 -16.1120
14.451808 93.742 -16.1448
14.556532 93.733 -16.1780
14.662014 93.725 -16.2118
14.768262 93.717 -16.2460
14.875278 93.709 -16.2798
14.983070 93.700 -16.3140
15.091644 93.692 -16.3488
15.201005 93.684 -16.3840
15.311157 93.676 -16.4193
15.422109 93.667 -16.4550
15.533863 93.659 -16.4908
15.646428 93.651 -16.5270
15.759809 93.643 -16.5638
15.874010 93.634 -16.6010
15.989040 93.626 -16.6383
16.104904 93.618 -16.6760
16.221605 93.610 -16.7138
16.339155 93.601 -16.7520
16.457554 93.592 -16.7908
16.576813 93.584 -16.8300
16.696936 93.576 -16.8694
16.817928 93.568 -16.9090
16.939798 93.560 -16.9488
17.062551 93.551 -16.9889
17.186193 93.543 -17.0298
17.310732 93.535 -17.0710
17.436172 93.527 -17.1123
17.562521 93.518 -17.1540
17.689787 93.510 -17.1958
17.817974 93.502 -17.2380
17.947090 93.494 -17.2808
18.077143 93.485 -17.3240
18.208138 93.477 -17.3673
18.340080 93.469 -17.4110
18.472980 93.461 -17.4549
18.606844 93.452 -17.4990
18.741676 93.444 -17.5430
18.877487 93.436 -17.5870
19.014280 93.428 -17.6306
19.152065 93.419 -17.6739
19.290850 93.411 -17.7171
19.430639 93.403 -17.7600
19.571442 93.395 -17.8019
19.713264 93.388 -17.8439
19.856115 93.381 -17.8865
20.000000 93.375 -17.9310
20.144928 93.369 -17.9786
20.290907 93.363 -18.0299
20.437943 93.358 -18.0857
20.586044 93.354 -18.1460
20.735220 93.348 -18.2117
20.885475 93.342 -18.2809
21.036821 93.335 -18.3518
21.189262 93.328 -18.4249
21.342808 93.321 -18.5007
21.497467 93.313 -18.5769
21.653246 93.304 -18.6520
21.810154 93.294 -18.7249
21.968201 93.284 -18.7928
22.127390 93.275 -18.8589
22.287735 93.267 -18.9254
22.449242 93.259 -18.9929
22.611917 93.251 -19.0629
22.775772 93.243 -19.1349
22.940815 93.235 -19.2089
23.107054 93.227 -19.2849
23.274498 93.220 -19.3626
23.443153 93.212 -19.4429
23.613033 93.204 -19.5270
23.784142 93.196 -19.6139
23.956491 93.187 -19.7039
24.130091 93.178 -19.7949
24.304947 93.168 -19.8840
24.481071 93.158 -19.9739
24.658470 93.150 -20.0661
24.837156 93.141 -20.1609
25.017136 93.131 -20.2600
25.198421 93.120 -20.3609
25.381020 93.109 -20.4605
25.564941 93.098 -20.5619
25.750195 93.087 -20.6679
25.936790 93.076 -20.7759
26.124741 93.062 -20.8855
26.314051 93.047 -20.9929
26.504732 93.031 -21.0922
26.696796 93.015 -21.1879
26.890253 93.001 -21.2824
27.085112 92.986 -21.3749
27.281382 92.970 -21.4658
27.479073 92.953 -21.5539
27.678198 92.938 -21.6364
27.878765 92.923 -21.7179
28.080786 92.909 -21.8024
28.284271 92.896 -21.8889
28.489231 92.882 -21.9781
28.695675 92.868 -22.0689
28.903616 92.854 -22.1600
29.113064 92.839 -22.2519
29.324028 92.824 -22.3445
29.536524 92.809 -22.4379
29.750557 92.794 -22.5320
29.966141 92.779 -22.6269
30.183289 92.764 -22.7229
30.402010 92.748 -22.8199
30.622314 92.732 -22.9184
30.844217 92.716 -23.0169
31.067726 92.699 -23.1137
31.292856 92.681 -23.2089
31.519617 92.664 -23.3017
31.748020 92.646 -23.3929
31.978081 92.628 -23.4825
32.209808 92.611 -23.5709
32.443211 92.594 -23.6583
32.678310 92.577 -23.7459
32.915108 92.561 -23.8342
33.153625 92.545 -23.9249
33.393871 92.530 -24.0199
33.635857 92.514 -24.1188
33.879597 92.498 -24.2227
34.125103 92.481 -24.3299
34.372387 92.463 -24.4395
34.621464 92.445 -24.5498
34.872345 92.425 -24.6584
35.125042 92.405 -24.7659
35.379574 92.385 -24.8721
35.635948 92.365 -24.9769
35.894180 92.344 -25.0799
36.154285 92.322 -25.1809
36.416275 92.300 -25.2785
36.680161 92.279 -25.3749
36.945961 92.258 -25.4715
37.213688 92.237 -25.5689
37.483353 92.216 -25.6691
37.754974 92.194 -25.7688
38.028561 92.170 -25.8658
38.304131 92.146 -25.9589
38.581699 92.122 -26.0446
38.861279 92.099 -26.1279
39.142883 92.077 -26.2125
39.426529 92.056 -26.2979
39.712231 92.034 -26.3848
40.000000 92.012 -26.4729
40.289856 91.990 -26.5616
40.581814 91.969 -26.6529
40.875885 91.948 -26.7493
41.172089 91.926 -26.8488
41.470440 91.903 -26.9516
41.770950 91.878 -27.0538
42.073643 91.852 -27.1511
42.378525 91.826 -27.2449
42.685616 91.800 -27.3346
42.994934 91.775 -27.4219
43.306492 91.749 -27.5084
43.620308 91.724 -27.5939
43.936401 91.699 -27.6782
44.254780 91.674 -27.7629
44.575470 91.649 -27.8492
44.898483 91.624 -27.9369
45.223835 91.598 -28.0262
45.551544 91.572 -28.1159
45.881630 91.546 -28.2042
46.214108 91.519 -28.2919
46.548996 91.492 -28.3789
46.886307 91.464 -28.4649
47.226067 91.436 -28.5490
47.568283 91.408 -28.6319
47.912983 91.380 -28.7139
48.260181 91.352 -28.7949
48.609894 91.323 -28.8751
48.962143 91.294 -28.9539
49.316940 91.265 -29.0306
49.674313 91.236 -29.1059
50.034271 91.207 -29.1804
50.396843 91.177 -29.2539
50.762039 91.148 -29.3256
51.129883 91.118 -29.3969
51.500389 91.089 -29.4692
51.873581 91.059 -29.5419
52.249481 91.029 -29.6148
52.628101 90.999 -29.6879
53.009464 90.969 -29.7618
53.393593 90.938 -29.8349
53.780506 90.905 -29.9063
54.170223 90.872 -29.9739
54.562763 90.838 -30.0347
54.958145 90.804 -30.0909
55.356396 90.771 -30.1436
55.757530 90.738 -30.1929
56.161572 90.705 -30.2397
56.568542 90.671 -30.2829
56.978462 90.638 -30.3212
57.391350 90.605 -30.3569
57.807232 90.574 -30.3921
58.226128 90.543 -30.4269
58.648056 90.512 -30.4631
59.073048 90.480 -30.4989
59.501114 90.448 -30.5334
59.932281 90.417 -30.5669
60.366577 90.386 -30.5993
60.804020 90.355 -30.6319
61.244629 90.325 -30.6660
61.688435 90.295 -30.7019
62.135452 90.266 -30.7405
62.585712 90.236 -30.7819
63.039234 90.206 -30.8269
63.496040 90.176 -30.8749
63.956161 90.145 -30.9265
64.419617 90.114 -30.9799
64.886421 90.081 -31.0342
65.356621 90.047 -31.0869
65.830215 90.012 -31.1347
66.307251 89.977 -31.1789
66.787743 89.942 -31.2201
67.271713 89.907 -31.2579
67.759193 89.871 -31.2919
68.250206 89.835 -31.3229
68.744774 89.799 -31.3514
69.242928 89.764 -31.3780
69.744690 89.729 -31.4035
70.250084 89.694 -31.4280
70.759148 89.658 -31.4515
71.271896 89.622 -31.4740
71.788361 89.587 -31.4955
72.308571 89.551 -31.5160
72.832550 89.515 -31.5352
73.360321 89.478 -31.5530
73.891922 89.441 -31.5690
74.427376 89.404 -31.5830
74.966705 89.367 -31.5942
75.509949 89.330 -31.6040
76.057121 89.294 -31.6137
76.608261 89.257 -31.6220
77.163399 89.219 -31.6287
77.722557 89.180 -31.6320
78.285767 89.142 -31.6290
78.853058 89.104 -31.6230
79.424461 89.068 -31.6165
