* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Dunu DK2001_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:11:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Dunu DK2001_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Dunu DK2001_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 90.431 7.9760
5.036232 90.434 7.9711
5.072727 90.437 7.9660
5.109486 90.441 7.9604
5.146511 90.445 7.9540
5.183805 90.450 7.9459
5.221369 90.456 7.9370
5.259205 90.461 7.9282
5.297316 90.467 7.9190
5.335702 90.473 7.9091
5.374367 90.480 7.8990
5.413311 90.486 7.8896
5.452538 90.493 7.8800
5.492050 90.499 7.8696
5.531847 90.506 7.8590
5.571934 90.512 7.8490
5.612310 90.519 7.8390
5.652979 90.525 7.8286
5.693943 90.532 7.8180
5.735204 90.539 7.8075
5.776763 90.545 7.7970
5.818624 90.551 7.7865
5.860788 90.557 7.7760
5.903258 90.563 7.7656
5.946035 90.570 7.7550
5.989123 90.576 7.7441
6.032523 90.583 7.7330
6.076237 90.590 7.7215
6.120268 90.596 7.7100
6.164618 90.603 7.6990
6.209289 90.609 7.6880
6.254284 90.616 7.6766
6.299605 90.622 7.6650
6.345255 90.629 7.6535
6.391235 90.635 7.6420
6.437549 90.642 7.6306
6.484198 90.648 7.6190
6.531185 90.655 7.6071
6.578513 90.661 7.5950
6.626183 90.667 7.5831
6.674199 90.673 7.5710
6.722563 90.679 7.5586
6.771278 90.686 7.5460
6.820345 90.692 7.5335
6.869768 90.699 7.5210
6.919549 90.705 7.5086
6.969691 90.712 7.4960
7.020196 90.718 7.4831
7.071068 90.725 7.4700
7.122308 90.731 7.4570
7.173919 90.738 7.4440
7.225904 90.744 7.4311
7.278266 90.751 7.4180
7.331007 90.757 7.4046
7.384131 90.764 7.3910
7.437639 90.771 7.3775
7.491535 90.777 7.3640
7.545822 90.783 7.3506
7.600502 90.789 7.3370
7.655579 90.795 7.3231
7.711054 90.802 7.3090
7.766932 90.809 7.2951
7.823214 90.815 7.2810
7.879904 90.822 7.2666
7.937005 90.828 7.2520
7.994520 90.835 7.2376
8.052452 90.841 7.2230
8.110803 90.847 7.2081
8.169578 90.854 7.1930
8.228777 90.860 7.1781
8.288406 90.867 7.1630
8.348468 90.873 7.1475
8.408964 90.880 7.1320
8.469899 90.887 7.1171
8.531276 90.893 7.1020
8.593097 90.899 7.0861
8.655366 90.905 7.0700
8.718086 90.911 7.0540
8.781260 90.918 7.0380
8.844893 90.924 7.0221
8.908987 90.931 7.0060
8.973545 90.938 6.9896
9.038571 90.944 6.9730
9.104069 90.951 6.9566
9.170040 90.957 6.9400
9.236490 90.964 6.9231
9.303422 90.970 6.9060
9.370838 90.977 6.8891
9.438744 90.983 6.8720
9.507140 90.990 6.8546
9.576033 90.996 6.8370
9.645425 91.003 6.8196
9.715320 91.009 6.8020
9.785721 91.015 6.7841
9.856632 91.021 6.7660
9.928058 91.027 6.7476
10.000000 91.034 6.7290
10.072464 91.040 6.7105
10.145453 91.047 6.6920
10.218971 91.053 6.6736
10.293022 91.060 6.6550
10.367610 91.066 6.6361
10.442738 91.073 6.6170
10.518411 91.079 6.5976
10.594631 91.086 6.5780
10.671404 91.092 6.5586
10.748734 91.099 6.5390
10.826623 91.105 6.5191
10.905077 91.112 6.4990
10.984100 91.118 6.4791
11.063695 91.125 6.4590
11.143867 91.132 6.4386
11.224621 91.138 6.4180
11.305959 91.144 6.3971
11.387886 91.150 6.3760
11.470407 91.156 6.3551
11.553527 91.163 6.3340
11.637249 91.170 6.3126
11.721577 91.176 6.2910
11.806517 91.182 6.2691
11.892071 91.189 6.2470
11.978246 91.196 6.2251
12.065045 91.202 6.2030
12.152473 91.208 6.1806
12.240536 91.215 6.1580
12.329235 91.221 6.1351
12.418578 91.228 6.1120
12.508568 91.234 6.0891
12.599211 91.241 6.0660
12.690510 91.248 6.0426
12.782471 91.254 6.0190
12.875097 91.260 5.9951
12.968395 91.266 5.9710
13.062370 91.272 5.9471
13.157025 91.279 5.9230
13.252366 91.285 5.8986
13.348398 91.292 5.8740
13.445127 91.298 5.8491
13.542556 91.305 5.8240
13.640691 91.311 5.7986
13.739536 91.318 5.7730
13.839099 91.324 5.7471
13.939383 91.331 5.7210
14.040393 91.337 5.6951
14.142136 91.344 5.6690
14.244616 91.351 5.6426
14.347837 91.357 5.6160
14.451808 91.364 5.5891
14.556532 91.370 5.5620
14.662014 91.376 5.5346
14.768262 91.382 5.5070
14.875278 91.388 5.4792
14.983070 91.395 5.4510
15.091644 91.401 5.4227
15.201005 91.408 5.3940
15.311157 91.414 5.3646
15.422109 91.421 5.3350
15.533863 91.427 5.3056
15.646428 91.434 5.2760
15.759809 91.440 5.2461
15.874010 91.447 5.2160
15.989040 91.453 5.1856
16.104904 91.460 5.1550
16.221605 91.466 5.1242
16.339155 91.473 5.0930
16.457554 91.480 5.0617
16.576813 91.486 5.0300
16.696936 91.492 4.9981
16.817928 91.498 4.9660
16.939798 91.504 4.9337
17.062551 91.511 4.9010
17.186193 91.517 4.8681
17.310732 91.524 4.8350
17.436172 91.530 4.8021
17.562521 91.537 4.7690
17.689787 91.543 4.7352
17.817974 91.550 4.7010
17.947090 91.556 4.6672
18.077143 91.563 4.6330
18.208138 91.569 4.5982
18.340080 91.576 4.5630
18.472980 91.582 4.5280
18.606844 91.589 4.4930
18.741676 91.596 4.4582
18.877487 91.602 4.4230
19.014280 91.608 4.3872
19.152065 91.614 4.3510
19.290850 91.620 4.3151
19.430639 91.627 4.2790
19.571442 91.633 4.2425
19.713264 91.640 4.2060
19.856115 91.647 4.1698
20.000000 91.653 4.1340
20.144928 91.659 4.0989
20.290907 91.665 4.0650
20.437943 91.671 4.0326
20.586044 91.677 4.0030
20.735220 91.682 3.9785
20.885475 91.688 3.9570
21.036821 91.696 3.9384
21.189262 91.706 3.9200
21.342808 91.716 3.8994
21.497467 91.727 3.8760
21.653246 91.739 3.8498
21.810154 91.752 3.8170
21.968201 91.767 3.7739
22.127390 91.783 3.7211
22.287735 91.798 3.6576
22.449242 91.812 3.5851
22.611917 91.826 3.5053
22.775772 91.840 3.4161
22.940815 91.854 3.3150
23.107054 91.867 3.2052
23.274498 91.877 3.0889
23.443153 91.885 2.9672
23.613033 91.892 2.8418
23.784142 91.898 2.7131
23.956491 91.902 2.5803
24.130091 91.903 2.4491
24.304947 91.901 2.3242
24.481071 91.896 2.2081
24.658470 91.890 2.1058
24.837156 91.883 2.0161
25.017136 91.876 1.9396
25.198421 91.869 1.8761
25.381020 91.862 1.8259
25.564941 91.855 1.7870
25.750195 91.850 1.7588
25.936790 91.847 1.7380
26.124741 91.845 1.7216
26.314051 91.845 1.7090
26.504732 91.846 1.6991
26.696796 91.848 1.6900
26.890253 91.852 1.6800
27.085112 91.858 1.6670
27.281382 91.865 1.6481
27.479073 91.873 1.6240
27.678198 91.881 1.5946
27.878765 91.889 1.5601
28.080786 91.898 1.5211
28.284271 91.907 1.4761
28.489231 91.917 1.4232
28.695675 91.928 1.3631
28.903616 91.937 1.2951
29.113064 91.946 1.2211
29.324028 91.954 1.1430
29.536524 91.962 1.0601
29.750557 91.969 0.9723
29.966141 91.976 0.8801
30.183289 91.982 0.7829
30.402010 91.987 0.6841
30.622314 91.990 0.5866
30.844217 91.991 0.4911
31.067726 91.992 0.3994
31.292856 91.992 0.3111
31.519617 91.992 0.2265
31.748020 91.992 0.1451
31.978081 91.992 0.0668
32.209808 91.992 -0.0089
32.443211 91.992 -0.0827
32.678310 91.992 -0.1549
32.915108 91.992 -0.2260
33.153625 91.992 -0.2959
33.393871 91.992 -0.3649
33.635857 91.992 -0.4329
33.879597 91.992 -0.4998
34.125103 91.992 -0.5659
34.372387 91.992 -0.6313
34.621464 91.992 -0.6959
34.872345 91.992 -0.7593
35.125042 91.992 -0.8219
35.379574 91.992 -0.8843
35.635948 91.992 -0.9459
35.894180 91.992 -1.0064
36.154285 91.992 -1.0659
36.416275 91.992 -1.1248
36.680161 91.992 -1.1829
36.945961 91.992 -1.2400
37.213688 91.992 -1.2959
37.483353 91.992 -1.3504
37.754974 91.992 -1.4029
38.028561 91.992 -1.4532
38.304131 91.992 -1.5009
38.581699 91.993 -1.5457
38.861279 91.994 -1.5879
39.142883 91.995 -1.6273
39.426529 91.998 -1.6659
39.712231 92.003 -1.7046
40.000000 92.009 -1.7469
40.289856 92.016 -1.7969
40.581814 92.023 -1.8539
40.875885 92.030 -1.9186
41.172089 92.037 -1.9909
41.470440 92.045 -2.0709
41.770950 92.052 -2.1579
42.073643 92.058 -2.2524
42.378525 92.062 -2.3509
42.685616 92.064 -2.4501
42.994934 92.066 -2.5489
43.306492 92.067 -2.6445
43.620308 92.068 -2.7379
43.936401 92.068 -2.8285
44.254780 92.068 -2.9169
44.575470 92.068 -3.0031
44.898483 92.068 -3.0879
45.223835 92.068 -3.1718
45.551544 92.068 -3.2549
45.881630 92.068 -3.3371
46.214108 92.068 -3.4189
46.548996 92.068 -3.5010
46.886307 92.068 -3.5829
47.226067 92.068 -3.6639
47.568283 92.068 -3.7449
47.912983 92.068 -3.8263
48.260181 92.068 -3.9079
48.609894 92.068 -3.9893
48.962143 92.068 -4.0709
49.316940 92.068 -4.1527
49.674313 92.068 -4.2349
50.034271 92.068 -4.3172
50.396843 92.068 -4.3999
50.762039 92.068 -4.4826
51.129883 92.068 -4.5659
51.500389 92.068 -4.6501
51.873581 92.068 -4.7349
52.249481 92.068 -4.8197
52.628101 92.068 -4.9049
53.009464 92.068 -4.9905
53.393593 92.068 -5.0769
53.780506 92.068 -5.1645
54.170223 92.068 -5.2529
54.562763 92.068 -5.3414
54.958145 92.068 -5.4309
55.356396 92.068 -5.5218
55.757530 92.068 -5.6139
56.161572 92.068 -5.7067
56.568542 92.068 -5.8008
56.978462 92.068 -5.8965
57.391350 92.068 -5.9938
57.807232 92.068 -6.0926
58.226128 92.068 -6.1938
58.648056 92.068 -6.2987
59.073048 92.068 -6.4068
59.501114 92.067 -6.5182
59.932281 92.066 -6.6328
60.366577 92.064 -6.7515
60.804020 92.062 -6.8718
61.244629 92.058 -6.9921
61.688435 92.052 -7.1098
62.135452 92.045 -7.2217
62.585712 92.037 -7.3278
63.039234 92.030 -7.4270
63.496040 92.023 -7.5198
63.956161 92.016 -7.6065
64.419617 92.009 -7.6879
64.886421 92.003 -7.7633
65.356621 91.998 -7.8369
65.830215 91.995 -7.9120
66.307251 91.994 -7.9898
66.787743 91.993 -8.0726
67.271713 91.992 -8.1608
67.759193 91.992 -8.2556
68.250206 91.992 -8.3568
68.744774 91.992 -8.4649
69.242928 91.991 -8.5788
69.744690 91.990 -8.6981
70.250084 91.987 -8.8208
70.759148 91.982 -8.9457
71.271896 91.976 -9.0698
71.788361 91.969 -9.1892
72.308571 91.962 -9.3048
72.832550 91.955 -9.4156
73.360321 91.948 -9.5228
73.891922 91.940 -9.6269
74.427376 91.933 -9.7288
74.966705 91.927 -9.8282
75.509949 91.921 -9.9288
76.057121 91.917 -10.0347
76.608261 91.913 -10.1448
77.163399 91.907 -10.2601
77.722557 91.901 -10.3778
78.285767 91.894 -10.4946
78.853058 91.887 -10.6118
79.424461 91.880 -10.7291
80.000000 91.873 -10.8468
80.579712 91.865 -10.9643
81.163628 91.856 -11.0838
81.751770 91.849 -11.2068
82.344177 91.842 -11.3347
82.940880 91.834 -11.4706
83.541901 91.824 -11.6117
84.147285 91.813 -11.7582
84.757050 91.799 -11.9047
85.371231 91.781 -12.0489
85.989868 91.760 -12.1817
86.612984 91.735 -12.2941
87.240616 91.708 -12.3838
87.872803 91.682 -12.4442
88.509560 91.657 -12.4799
89.150940 91.634 -12.4918
89.796967 91.614 -12.4850
