* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\SA6 Mk2 gras No Bass_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:57:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\SA6 Mk2 gras No Bass_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: SA6 Mk2 gras No Bass_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 86.408 1.1510
5.036232 86.409 1.1462
5.072727 86.410 1.1410
5.109486 86.411 1.1349
5.146511 86.412 1.1280
5.183805 86.413 1.1199
5.221369 86.415 1.1110
5.259205 86.416 1.1013
5.297316 86.418 1.0910
5.335702 86.419 1.0806
5.374367 86.421 1.0700
5.413311 86.423 1.0591
5.452538 86.425 1.0480
5.492050 86.427 1.0371
5.531847 86.429 1.0260
5.571934 86.430 1.0146
5.612310 86.432 1.0030
5.652979 86.434 0.9915
5.693943 86.436 0.9800
5.735204 86.438 0.9685
5.776763 86.439 0.9570
5.818624 86.441 0.9456
5.860788 86.443 0.9340
5.903258 86.444 0.9221
5.946035 86.446 0.9100
5.989123 86.448 0.8981
6.032523 86.450 0.8860
6.076237 86.451 0.8736
6.120268 86.453 0.8610
6.164618 86.455 0.8485
6.209289 86.457 0.8360
6.254284 86.459 0.8235
6.299605 86.461 0.8110
6.345255 86.462 0.7986
6.391235 86.464 0.7860
6.437549 86.466 0.7731
6.484198 86.468 0.7600
6.531185 86.470 0.7465
6.578513 86.471 0.7330
6.626183 86.473 0.7200
6.674199 86.475 0.7070
6.722563 86.476 0.6936
6.771278 86.478 0.6800
6.820345 86.480 0.6661
6.869768 86.482 0.6520
6.919549 86.484 0.6380
6.969691 86.486 0.6240
7.020196 86.487 0.6101
7.071068 86.489 0.5960
7.122308 86.491 0.5816
7.173919 86.493 0.5670
7.225904 86.494 0.5526
7.278266 86.496 0.5380
7.331007 86.498 0.5231
7.384131 86.500 0.5080
7.437639 86.501 0.4930
7.491535 86.503 0.4780
7.545822 86.505 0.4631
7.600502 86.507 0.4480
7.655579 86.509 0.4326
7.711054 86.511 0.4170
7.766932 86.512 0.4011
7.823214 86.514 0.3850
7.879904 86.516 0.3690
7.937005 86.518 0.3530
7.994520 86.520 0.3371
8.052452 86.521 0.3210
8.110803 86.523 0.3046
8.169578 86.525 0.2880
8.228777 86.526 0.2716
8.288406 86.528 0.2550
8.348468 86.530 0.2381
8.408964 86.532 0.2210
8.469899 86.534 0.2041
8.531276 86.536 0.1870
8.593097 86.537 0.1696
8.655366 86.539 0.1520
8.718086 86.541 0.1341
8.781260 86.543 0.1160
8.844893 86.544 0.0980
8.908987 86.546 0.0800
8.973545 86.548 0.0621
9.038571 86.550 0.0440
9.104069 86.551 0.0256
9.170040 86.553 0.0070
9.236490 86.555 -0.0119
9.303422 86.557 -0.0310
9.370838 86.559 -0.0500
9.438744 86.561 -0.0690
9.507140 86.562 -0.0879
9.576033 86.564 -0.1070
9.645425 86.566 -0.1269
9.715320 86.568 -0.1470
9.785721 86.569 -0.1664
9.856632 86.571 -0.1860
9.928058 86.573 -0.2064
10.000000 86.575 -0.2270
10.072464 86.576 -0.2474
10.145453 86.578 -0.2680
10.218971 86.580 -0.2889
10.293022 86.582 -0.3100
10.367610 86.583 -0.3309
10.442738 86.585 -0.3520
10.518411 86.587 -0.3734
10.594631 86.589 -0.3950
10.671404 86.591 -0.4169
10.748734 86.593 -0.4390
10.826623 86.594 -0.4609
10.905077 86.596 -0.4830
10.984100 86.598 -0.5054
11.063695 86.600 -0.5280
11.143867 86.601 -0.5504
11.224621 86.603 -0.5730
11.305959 86.605 -0.5964
11.387886 86.607 -0.6200
11.470407 86.608 -0.6434
11.553527 86.610 -0.6670
11.637249 86.612 -0.6909
11.721577 86.614 -0.7150
11.806517 86.616 -0.7389
11.892071 86.618 -0.7630
11.978246 86.619 -0.7874
12.065045 86.621 -0.8120
12.152473 86.623 -0.8369
12.240536 86.625 -0.8620
12.329235 86.626 -0.8874
12.418578 86.628 -0.9130
12.508568 86.630 -0.9389
12.599211 86.632 -0.9650
12.690510 86.633 -0.9909
12.782471 86.635 -1.0170
12.875097 86.637 -1.0434
12.968395 86.639 -1.0700
13.062370 86.641 -1.0969
13.157025 86.643 -1.1240
13.252366 86.645 -1.1514
13.348398 86.646 -1.1790
13.445127 86.648 -1.2063
13.542556 86.650 -1.2340
13.640691 86.651 -1.2624
13.739536 86.653 -1.2910
13.839099 86.655 -1.3194
13.939383 86.657 -1.3480
14.040393 86.659 -1.3774
14.142136 86.660 -1.4070
14.244616 86.662 -1.4364
14.347837 86.664 -1.4660
14.451808 86.666 -1.4959
14.556532 86.668 -1.5260
14.662014 86.669 -1.5564
14.768262 86.671 -1.5870
14.875278 86.673 -1.6178
14.983070 86.675 -1.6490
15.091644 86.676 -1.6803
15.201005 86.678 -1.7120
15.311157 86.680 -1.7439
15.422109 86.682 -1.7760
15.533863 86.683 -1.8084
15.646428 86.685 -1.8410
15.759809 86.687 -1.8739
15.874010 86.689 -1.9070
15.989040 86.691 -1.9404
16.104904 86.693 -1.9740
16.221605 86.694 -2.0078
16.339155 86.696 -2.0420
16.457554 86.698 -2.0763
16.576813 86.700 -2.1110
16.696936 86.701 -2.1459
16.817928 86.703 -2.1810
16.939798 86.705 -2.2164
17.062551 86.707 -2.2520
17.186193 86.708 -2.2873
17.310732 86.710 -2.3230
17.436172 86.712 -2.3593
17.562521 86.714 -2.3960
17.689787 86.716 -2.4328
17.817974 86.718 -2.4700
17.947090 86.719 -2.5074
18.077143 86.721 -2.5450
18.208138 86.723 -2.5824
18.340080 86.725 -2.6200
18.472980 86.726 -2.6578
18.606844 86.728 -2.6960
18.741676 86.730 -2.7344
18.877487 86.732 -2.7730
19.014280 86.733 -2.8116
19.152065 86.735 -2.8500
19.290850 86.737 -2.8877
19.430639 86.739 -2.9250
19.571442 86.740 -2.9620
19.713264 86.742 -2.9980
19.856115 86.744 -3.0321
20.000000 86.746 -3.0650
20.144928 86.749 -3.0960
20.290907 86.752 -3.1270
20.437943 86.757 -3.1589
20.586044 86.762 -3.1940
20.735220 86.768 -3.2347
20.885475 86.774 -3.2809
21.036821 86.780 -3.3335
21.189262 86.787 -3.3919
21.342808 86.793 -3.4562
21.497467 86.799 -3.5259
21.653246 86.804 -3.6015
21.810154 86.807 -3.6799
21.968201 86.809 -3.7587
22.127390 86.810 -3.8369
22.287735 86.811 -3.9124
22.449242 86.812 -3.9859
22.611917 86.812 -4.0574
22.775772 86.812 -4.1269
22.940815 86.812 -4.1946
23.107054 86.812 -4.2609
23.274498 86.812 -4.3263
23.443153 86.812 -4.3909
23.613033 86.812 -4.4551
23.784142 86.812 -4.5189
23.956491 86.812 -4.5825
24.130091 86.812 -4.6459
24.304947 86.812 -4.7095
24.481071 86.812 -4.7729
24.658470 86.812 -4.8359
24.837156 86.812 -4.8989
25.017136 86.812 -4.9624
25.198421 86.812 -5.0259
25.381020 86.812 -5.0894
25.564941 86.812 -5.1529
25.750195 86.812 -5.2168
25.936790 86.812 -5.2809
26.124741 86.812 -5.3452
26.314051 86.812 -5.4099
26.504732 86.812 -5.4753
26.696796 86.812 -5.5409
26.890253 86.812 -5.6063
27.085112 86.812 -5.6719
27.281382 86.812 -5.7382
27.479073 86.812 -5.8049
27.678198 86.812 -5.8722
27.878765 86.812 -5.9399
28.080786 86.812 -6.0077
28.284271 86.812 -6.0759
28.489231 86.812 -6.1446
28.695675 86.812 -6.2139
28.903616 86.812 -6.2841
29.113064 86.812 -6.3549
29.324028 86.812 -6.4262
29.536524 86.812 -6.4979
29.750557 86.812 -6.5701
29.966141 86.812 -6.6429
30.183289 86.812 -6.7166
30.402010 86.812 -6.7909
30.622314 86.812 -6.8655
30.844217 86.812 -6.9409
31.067726 86.812 -7.0175
31.292856 86.812 -7.0949
31.519617 86.812 -7.1730
31.748020 86.812 -7.2519
31.978081 86.812 -7.3315
32.209808 86.812 -7.4119
32.443211 86.812 -7.4934
32.678310 86.812 -7.5759
32.915108 86.812 -7.6593
33.153625 86.812 -7.7439
33.393871 86.812 -7.8298
33.635857 86.812 -7.9169
33.879597 86.812 -8.0052
34.125103 86.812 -8.0949
34.372387 86.812 -8.1861
34.621464 86.812 -8.2789
34.872345 86.812 -8.3730
35.125042 86.812 -8.4689
35.379574 86.812 -8.5668
35.635948 86.812 -8.6669
35.894180 86.812 -8.7689
36.154285 86.812 -8.8738
36.416275 86.812 -8.9830
36.680161 86.812 -9.0958
36.945961 86.811 -9.2124
37.213688 86.810 -9.3328
37.483353 86.809 -9.4574
37.754974 86.807 -9.5848
38.028561 86.804 -9.7144
38.304131 86.799 -9.8438
38.581699 86.793 -9.9703
38.861279 86.787 -10.0948
39.142883 86.781 -10.2169
39.426529 86.775 -10.3378
39.712231 86.768 -10.4588
40.000000 86.761 -10.5798
40.289856 86.754 -10.7009
40.581814 86.747 -10.8228
40.875885 86.740 -10.9474
41.172089 86.731 -11.0708
41.470440 86.720 -11.1900
41.770950 86.708 -11.3038
42.073643 86.696 -11.4100
42.378525 86.684 -11.5089
42.685616 86.672 -11.5996
42.994934 86.660 -11.6829
43.306492 86.650 -11.7576
43.620308 86.641 -11.8289
43.936401 86.635 -11.9002
44.254780 86.631 -11.9759
44.575470 86.628 -12.0615
44.898483 86.626 -12.1568
45.223835 86.624 -12.2641
45.551544 86.621 -12.3818
45.881630 86.617 -12.5106
46.214108 86.612 -12.6458
46.548996 86.604 -12.7848
46.886307 86.593 -12.9228
47.226067 86.581 -13.0537
47.568283 86.568 -13.1788
47.912983 86.555 -13.2975
48.260181 86.542 -13.4088
48.609894 86.527 -13.5113
48.962143 86.512 -13.6059
49.316940 86.500 -13.6902
49.674313 86.489 -13.7719
50.034271 86.481 -13.8575
50.396843 86.473 -13.9469
50.762039 86.465 -14.0418
51.129883 86.457 -14.1428
51.500389 86.451 -14.2509
51.873581 86.444 -14.3658
52.249481 86.436 -14.4896
52.628101 86.426 -14.6168
53.009464 86.414 -14.7425
53.393593 86.401 -14.8668
53.780506 86.389 -14.9875
54.170223 86.376 -15.1058
54.562763 86.362 -15.2226
54.958145 86.348 -15.3368
55.356396 86.334 -15.4476
55.757530 86.319 -15.5558
56.161572 86.305 -15.6621
56.568542 86.290 -15.7658
56.978462 86.275 -15.8661
57.391350 86.261 -15.9648
57.807232 86.247 -16.0637
58.226128 86.234 -16.1628
58.648056 86.221 -16.2631
59.073048 86.207 -16.3638
59.501114 86.193 -16.4639
59.932281 86.180 -16.5658
60.366577 86.168 -16.6724
60.804020 86.156 -16.7818
61.244629 86.141 -16.8948
61.688435 86.124 -17.0058
62.135452 86.107 -17.1087
62.585712 86.090 -17.2058
63.039234 86.073 -17.2967
63.496040 86.057 -17.3839
63.956161 86.042 -17.4695
64.419617 86.028 -17.5548
64.886421 86.015 -17.6402
65.356621 86.003 -17.7298
65.830215 85.993 -17.8288
66.307251 85.983 -17.9358
66.787743 85.971 -18.0521
67.271713 85.958 -18.1748
67.759193 85.945 -18.3013
68.250206 85.931 -18.4308
68.744774 85.915 -18.5618
69.242928 85.898 -18.6928
69.744690 85.880 -18.8213
70.250084 85.861 -18.9478
70.759148 85.841 -19.0725
71.271896 85.821 -19.1938
71.788361 85.800 -19.3093
72.308571 85.778 -19.4218
72.832550 85.758 -19.5333
73.360321 85.738 -19.6428
73.891922 85.715 -19.7509
74.427376 85.692 -19.8548
74.966705 85.669 -19.9506
75.509949 85.647 -20.0428
76.057121 85.626 -20.1352
76.608261 85.605 -20.2268
77.163399 85.583 -20.3187
77.722557 85.561 -20.4088
78.285767 85.539 -20.4950
78.853058 85.517 -20.5788
79.424461 85.495 -20.6607
80.000000 85.474 -20.7418
80.579712 85.453 -20.8232
81.163628 85.433 -20.9058
81.751770 85.412 -20.9920
