* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\SA6 Mk2 gras Bass On_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:57:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\SA6 Mk2 gras Bass On_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: SA6 Mk2 gras Bass On_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 87.706 4.0380
5.036232 87.707 4.0312
5.072727 87.709 4.0240
5.109486 87.711 4.0161
5.146511 87.714 4.0070
5.183805 87.717 3.9961
5.221369 87.721 3.9840
5.259205 87.724 3.9713
5.297316 87.728 3.9580
5.335702 87.732 3.9442
5.374367 87.737 3.9300
5.413311 87.741 3.9156
5.452538 87.745 3.9010
5.492050 87.749 3.8866
5.531847 87.753 3.8720
5.571934 87.757 3.8571
5.612310 87.761 3.8420
5.652979 87.765 3.8271
5.693943 87.769 3.8120
5.735204 87.773 3.7965
5.776763 87.778 3.7810
5.818624 87.782 3.7661
5.860788 87.786 3.7510
5.903258 87.790 3.7351
5.946035 87.794 3.7190
5.989123 87.798 3.7030
6.032523 87.802 3.6870
6.076237 87.806 3.6711
6.120268 87.810 3.6550
6.164618 87.814 3.6386
6.209289 87.819 3.6220
6.254284 87.823 3.6056
6.299605 87.827 3.5890
6.345255 87.831 3.5721
6.391235 87.835 3.5550
6.437549 87.839 3.5381
6.484198 87.843 3.5210
6.531185 87.847 3.5036
6.578513 87.852 3.4860
6.626183 87.856 3.4686
6.674199 87.860 3.4510
6.722563 87.864 3.4331
6.771278 87.868 3.4150
6.820345 87.872 3.3971
6.869768 87.876 3.3790
6.919549 87.880 3.3606
6.969691 87.884 3.3420
7.020196 87.888 3.3236
7.071068 87.893 3.3050
7.122308 87.897 3.2861
7.173919 87.901 3.2670
7.225904 87.905 3.2476
7.278266 87.909 3.2280
7.331007 87.913 3.2085
7.384131 87.917 3.1890
7.437639 87.921 3.1696
7.491535 87.925 3.1500
7.545822 87.929 3.1296
7.600502 87.934 3.1090
7.655579 87.938 3.0891
7.711054 87.942 3.0690
7.766932 87.946 3.0481
7.823214 87.950 3.0270
7.879904 87.954 3.0061
7.937005 87.958 2.9850
7.994520 87.962 2.9636
8.052452 87.966 2.9420
8.110803 87.970 2.9206
8.169578 87.975 2.8990
8.228777 87.979 2.8771
8.288406 87.983 2.8550
8.348468 87.987 2.8326
8.408964 87.991 2.8100
8.469899 87.995 2.7876
8.531276 87.999 2.7650
8.593097 88.003 2.7421
8.655366 88.007 2.7190
8.718086 88.011 2.6956
8.781260 88.016 2.6720
8.844893 88.020 2.6486
8.908987 88.024 2.6250
8.973545 88.028 2.6011
9.038571 88.032 2.5770
9.104069 88.036 2.5526
9.170040 88.040 2.5280
9.236490 88.044 2.5031
9.303422 88.048 2.4780
9.370838 88.052 2.4531
9.438744 88.057 2.4280
9.507140 88.061 2.4021
9.576033 88.065 2.3760
9.645425 88.069 2.3500
9.715320 88.073 2.3240
9.785721 88.077 2.2981
9.856632 88.081 2.2720
9.928058 88.085 2.2451
10.000000 88.089 2.2180
10.072464 88.093 2.1911
10.145453 88.098 2.1640
10.218971 88.102 2.1367
10.293022 88.106 2.1090
10.367610 88.110 2.0806
10.442738 88.114 2.0520
10.518411 88.118 2.0235
10.594631 88.122 1.9950
10.671404 88.126 1.9666
10.748734 88.130 1.9380
10.826623 88.134 1.9087
10.905077 88.139 1.8790
10.984100 88.143 1.8491
11.063695 88.147 1.8190
11.143867 88.151 1.7886
11.224621 88.155 1.7580
11.305959 88.159 1.7276
11.387886 88.163 1.6970
11.470407 88.167 1.6656
11.553527 88.171 1.6340
11.637249 88.175 1.6026
11.721577 88.180 1.5710
11.806517 88.184 1.5387
11.892071 88.188 1.5060
11.978246 88.192 1.4736
12.065045 88.196 1.4410
12.152473 88.200 1.4077
12.240536 88.204 1.3740
12.329235 88.208 1.3401
12.418578 88.213 1.3060
12.508568 88.217 1.2716
12.599211 88.221 1.2370
12.690510 88.225 1.2022
12.782471 88.229 1.1670
12.875097 88.233 1.1317
12.968395 88.237 1.0960
13.062370 88.241 1.0601
13.157025 88.245 1.0240
13.252366 88.249 0.9877
13.348398 88.254 0.9510
13.445127 88.258 0.9137
13.542556 88.262 0.8760
13.640691 88.266 0.8382
13.739536 88.270 0.8000
13.839099 88.274 0.7616
13.939383 88.278 0.7230
14.040393 88.282 0.6842
14.142136 88.286 0.6450
14.244616 88.290 0.6052
14.347837 88.295 0.5650
14.451808 88.299 0.5247
14.556532 88.303 0.4840
14.662014 88.307 0.4427
14.768262 88.311 0.4010
14.875278 88.315 0.3592
14.983070 88.319 0.3170
15.091644 88.323 0.2747
15.201005 88.327 0.2320
15.311157 88.331 0.1888
15.422109 88.336 0.1450
15.533863 88.340 0.1007
15.646428 88.344 0.0560
15.759809 88.348 0.0112
15.874010 88.352 -0.0340
15.989040 88.356 -0.0798
16.104904 88.360 -0.1260
16.221605 88.364 -0.1722
16.339155 88.368 -0.2189
16.457554 88.372 -0.2667
16.576813 88.377 -0.3150
16.696936 88.381 -0.3633
16.817928 88.385 -0.4120
16.939798 88.389 -0.4612
17.062551 88.393 -0.5109
17.186193 88.397 -0.5612
17.310732 88.401 -0.6120
17.436172 88.405 -0.6632
17.562521 88.409 -0.7150
17.689787 88.413 -0.7671
17.817974 88.418 -0.8199
17.947090 88.422 -0.8736
18.077143 88.426 -0.9280
18.208138 88.430 -0.9826
18.340080 88.434 -1.0379
18.472980 88.438 -1.0941
18.606844 88.442 -1.1510
18.741676 88.446 -1.2085
18.877487 88.450 -1.2669
19.014280 88.454 -1.3269
19.152065 88.459 -1.3879
19.290850 88.463 -1.4498
19.430639 88.467 -1.5130
19.571442 88.471 -1.5778
19.713264 88.474 -1.6439
19.856115 88.478 -1.7111
20.000000 88.481 -1.7789
20.144928 88.484 -1.8471
20.290907 88.486 -1.9149
20.437943 88.488 -1.9823
20.586044 88.489 -2.0480
20.735220 88.490 -2.1109
20.885475 88.491 -2.1709
21.036821 88.492 -2.2270
21.189262 88.493 -2.2799
21.342808 88.495 -2.3297
21.497467 88.498 -2.3779
21.653246 88.501 -2.4258
21.810154 88.505 -2.4749
21.968201 88.510 -2.5270
22.127390 88.516 -2.5829
22.287735 88.522 -2.6446
22.449242 88.528 -2.7109
22.611917 88.534 -2.7822
22.775772 88.539 -2.8569
22.940815 88.543 -2.9340
23.107054 88.547 -3.0119
23.274498 88.550 -3.0888
23.443153 88.553 -3.1639
23.613033 88.555 -3.2350
23.784142 88.558 -3.3039
23.956491 88.562 -3.3709
24.130091 88.566 -3.4389
24.304947 88.572 -3.5109
24.481071 88.578 -3.5869
24.658470 88.584 -3.6678
24.837156 88.590 -3.7539
25.017136 88.596 -3.8462
25.198421 88.602 -3.9439
25.381020 88.606 -4.0474
25.564941 88.610 -4.1539
25.750195 88.612 -4.2611
25.936790 88.614 -4.3679
26.124741 88.615 -4.4724
26.314051 88.616 -4.5749
26.504732 88.616 -4.6749
26.696796 88.616 -4.7729
26.890253 88.616 -4.8690
27.085112 88.616 -4.9639
27.281382 88.616 -5.0583
27.479073 88.616 -5.1519
27.678198 88.616 -5.2446
27.878765 88.616 -5.3369
28.080786 88.616 -5.4294
28.284271 88.616 -5.5219
28.489231 88.616 -5.6143
28.695675 88.616 -5.7069
28.903616 88.616 -5.7997
29.113064 88.616 -5.8929
29.324028 88.616 -5.9863
29.536524 88.616 -6.0799
29.750557 88.616 -6.1738
29.966141 88.616 -6.2679
30.183289 88.616 -6.3621
30.402010 88.616 -6.4569
30.622314 88.616 -6.5525
30.844217 88.616 -6.6489
31.067726 88.616 -6.7460
31.292856 88.616 -6.8439
31.519617 88.616 -6.9425
31.748020 88.616 -7.0419
31.978081 88.616 -7.1419
32.209808 88.616 -7.2429
32.443211 88.616 -7.3449
32.678310 88.616 -7.4479
32.915108 88.616 -7.5517
33.153625 88.616 -7.6569
33.393871 88.616 -7.7635
33.635857 88.616 -7.8718
33.879597 88.616 -7.9818
34.125103 88.616 -8.0938
34.372387 88.616 -8.2080
34.621464 88.616 -8.3248
34.872345 88.616 -8.4448
35.125042 88.615 -8.5678
35.379574 88.614 -8.6939
35.635948 88.613 -8.8228
35.894180 88.611 -8.9553
36.154285 88.609 -9.0888
36.416275 88.605 -9.2213
36.680161 88.600 -9.3518
36.945961 88.594 -9.4786
37.213688 88.588 -9.6018
37.483353 88.582 -9.7212
37.754974 88.576 -9.8368
38.028561 88.571 -9.9480
38.304131 88.566 -10.0569
38.581699 88.562 -10.1645
38.861279 88.559 -10.2738
39.142883 88.557 -10.3876
39.426529 88.555 -10.5068
39.712231 88.554 -10.6336
40.000000 88.552 -10.7678
40.289856 88.550 -10.9112
40.581814 88.547 -11.0608
40.875885 88.543 -11.2158
41.172089 88.536 -11.3718
41.470440 88.526 -11.5249
41.770950 88.515 -11.6728
42.073643 88.504 -11.8109
42.378525 88.492 -11.9408
42.685616 88.480 -12.0626
42.994934 88.468 -12.1768
43.306492 88.456 -12.2828
43.620308 88.446 -12.3848
43.936401 88.438 -12.4861
44.254780 88.432 -12.5888
44.575470 88.426 -12.6969
44.898483 88.420 -12.8088
45.223835 88.414 -12.9245
45.551544 88.407 -13.0438
45.881630 88.401 -13.1667
46.214108 88.395 -13.2928
46.548996 88.389 -13.4217
46.886307 88.382 -13.5538
47.226067 88.375 -13.6890
47.568283 88.368 -13.8278
47.912983 88.361 -13.9712
48.260181 88.353 -14.1178
48.609894 88.344 -14.2668
48.962143 88.333 -14.4168
49.316940 88.321 -14.5661
49.674313 88.309 -14.7138
50.034271 88.296 -14.8582
50.396843 88.282 -14.9988
50.762039 88.267 -15.1342
51.129883 88.252 -15.2648
51.500389 88.237 -15.3895
51.873581 88.223 -15.5108
52.249481 88.209 -15.6312
52.628101 88.195 -15.7498
53.009464 88.181 -15.8657
53.393593 88.168 -15.9808
53.780506 88.155 -16.0961
54.170223 88.143 -16.2128
54.562763 88.131 -16.3329
54.958145 88.118 -16.4548
55.356396 88.105 -16.5771
55.757530 88.092 -16.7008
56.161572 88.079 -16.8279
56.568542 88.065 -16.9548
56.978462 88.049 -17.0791
57.391350 88.033 -17.1998
57.807232 88.017 -17.3140
58.226128 88.002 -17.4248
58.648056 87.987 -17.5336
59.073048 87.973 -17.6418
59.501114 87.960 -17.7508
59.932281 87.947 -17.8618
60.366577 87.935 -17.9767
60.804020 87.922 -18.0948
61.244629 87.909 -18.2167
61.688435 87.895 -18.3408
62.135452 87.882 -18.4657
62.585712 87.868 -18.5918
63.039234 87.854 -18.7196
63.496040 87.839 -18.8478
63.956161 87.824 -18.9748
64.419617 87.808 -19.1018
64.886421 87.793 -19.2286
65.356621 87.779 -19.3578
65.830215 87.764 -19.4930
66.307251 87.749 -19.6307
66.787743 87.732 -19.7689
67.271713 87.714 -19.9067
67.759193 87.696 -20.0423
68.250206 87.678 -20.1768
68.744774 87.659 -20.3116
69.242928 87.639 -20.4438
69.744690 87.618 -20.5696
70.250084 87.597 -20.6918
70.759148 87.578 -20.8108
71.271896 87.559 -20.9288
71.788361 87.540 -21.0485
72.308571 87.520 -21.1688
72.832550 87.500 -21.2888
73.360321 87.481 -21.4098
73.891922 87.462 -21.5331
74.427376 87.443 -21.6578
74.966705 87.422 -21.7833
75.509949 87.401 -21.9098
76.057121 87.381 -22.0373
76.608261 87.360 -22.1647
77.163399 87.337 -22.2921
77.722557 87.314 -22.4167
78.285767 87.291 -22.5353
78.853058 87.267 -22.6508
79.424461 87.244 -22.7646
80.000000 87.221 -22.8778
80.579712 87.198 -22.9923
81.163628 87.175 -23.1068
81.751770 87.152 -23.2198
82.344177 87.128 -23.3328
82.940880 87.105 -23.4463
83.541901 87.081 -23.5608
84.147285 87.057 -23.6777
84.757050 87.033 -23.7948
