* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\dunu talos_Planar_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:13:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\dunu talos_Planar_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: dunu talos_Planar_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 92.861 -8.0010
5.036232 92.859 -8.0054
5.072727 92.856 -8.0100
5.109486 92.854 -8.0151
5.146511 92.851 -8.0210
5.183805 92.847 -8.0285
5.221369 92.843 -8.0370
5.259205 92.839 -8.0462
5.297316 92.835 -8.0560
5.335702 92.831 -8.0659
5.374367 92.826 -8.0760
5.413311 92.822 -8.0864
5.452538 92.817 -8.0970
5.492050 92.812 -8.1079
5.531847 92.807 -8.1190
5.571934 92.802 -8.1300
5.612310 92.798 -8.1410
5.652979 92.794 -8.1519
5.693943 92.789 -8.1630
5.735204 92.785 -8.1744
5.776763 92.780 -8.1860
5.818624 92.775 -8.1975
5.860788 92.770 -8.2090
5.903258 92.765 -8.2204
5.946035 92.761 -8.2320
5.989123 92.757 -8.2439
6.032523 92.752 -8.2560
6.076237 92.747 -8.2680
6.120268 92.743 -8.2800
6.164618 92.739 -8.2919
6.209289 92.734 -8.3040
6.254284 92.729 -8.3164
6.299605 92.724 -8.3290
6.345255 92.719 -8.3414
6.391235 92.715 -8.3540
6.437549 92.711 -8.3669
6.484198 92.706 -8.3800
6.531185 92.701 -8.3930
6.578513 92.697 -8.4060
6.626183 92.693 -8.4189
6.674199 92.688 -8.4320
6.722563 92.683 -8.4454
6.771278 92.678 -8.4590
6.820345 92.673 -8.4724
6.869768 92.669 -8.4860
6.919549 92.665 -8.4999
6.969691 92.660 -8.5140
7.020196 92.656 -8.5280
7.071068 92.651 -8.5420
7.122308 92.646 -8.5559
7.173919 92.641 -8.5700
7.225904 92.636 -8.5844
7.278266 92.632 -8.5990
7.331007 92.628 -8.6134
7.384131 92.623 -8.6280
7.437639 92.618 -8.6429
7.491535 92.614 -8.6580
7.545822 92.610 -8.6729
7.600502 92.605 -8.6880
7.655579 92.600 -8.7034
7.711054 92.595 -8.7190
7.766932 92.590 -8.7344
7.823214 92.586 -8.7500
7.879904 92.582 -8.7659
7.937005 92.577 -8.7820
7.994520 92.573 -8.7979
8.052452 92.568 -8.8140
8.110803 92.563 -8.8304
8.169578 92.558 -8.8470
8.228777 92.553 -8.8634
8.288406 92.549 -8.8800
8.348468 92.545 -8.8969
8.408964 92.540 -8.9140
8.469899 92.535 -8.9309
8.531276 92.531 -8.9480
8.593097 92.527 -8.9654
8.655366 92.522 -8.9830
8.718086 92.517 -9.0009
8.781260 92.512 -9.0190
8.844893 92.507 -9.0370
8.908987 92.503 -9.0550
8.973545 92.499 -9.0729
9.038571 92.494 -9.0910
9.104069 92.490 -9.1094
9.170040 92.485 -9.1280
9.236490 92.480 -9.1469
9.303422 92.475 -9.1660
9.370838 92.470 -9.1849
9.438744 92.466 -9.2040
9.507140 92.462 -9.2234
9.576033 92.457 -9.2430
9.645425 92.452 -9.2629
9.715320 92.448 -9.2830
9.785721 92.444 -9.3029
9.856632 92.439 -9.3230
9.928058 92.434 -9.3434
10.000000 92.429 -9.3640
10.072464 92.424 -9.3844
10.145453 92.420 -9.4050
10.218971 92.416 -9.4259
10.293022 92.411 -9.4470
10.367610 92.407 -9.4684
10.442738 92.402 -9.4900
10.518411 92.397 -9.5119
10.594631 92.392 -9.5340
10.671404 92.387 -9.5559
10.748734 92.383 -9.5780
10.826623 92.379 -9.6004
10.905077 92.374 -9.6230
10.984100 92.369 -9.6459
11.063695 92.365 -9.6690
11.143867 92.361 -9.6919
11.224621 92.356 -9.7150
11.305959 92.351 -9.7389
11.387886 92.346 -9.7630
11.470407 92.341 -9.7869
11.553527 92.337 -9.8110
11.637249 92.333 -9.8354
11.721577 92.328 -9.8600
11.806517 92.324 -9.8849
11.892071 92.319 -9.9100
11.978246 92.314 -9.9349
12.065045 92.309 -9.9600
12.152473 92.304 -9.9859
12.240536 92.300 -10.0120
12.329235 92.296 -10.0379
12.418578 92.291 -10.0640
12.508568 92.286 -10.0903
12.599211 92.282 -10.1170
12.690510 92.278 -10.1444
12.782471 92.273 -10.1720
12.875097 92.268 -10.1994
12.968395 92.263 -10.2270
13.062370 92.258 -10.2549
13.157025 92.254 -10.2830
13.252366 92.250 -10.3114
13.348398 92.245 -10.3400
13.445127 92.241 -10.3688
13.542556 92.236 -10.3980
13.640691 92.231 -10.4273
13.739536 92.226 -10.4570
13.839099 92.221 -10.4874
13.939383 92.217 -10.5180
14.040393 92.213 -10.5484
14.142136 92.208 -10.5790
14.244616 92.203 -10.6103
14.347837 92.199 -10.6420
14.451808 92.195 -10.6739
14.556532 92.190 -10.7060
14.662014 92.185 -10.7378
14.768262 92.180 -10.7700
14.875278 92.175 -10.8033
14.983070 92.171 -10.8370
15.091644 92.167 -10.8703
15.201005 92.162 -10.9040
15.311157 92.158 -10.9382
15.422109 92.153 -10.9730
15.533863 92.148 -11.0084
15.646428 92.143 -11.0440
15.759809 92.138 -11.0793
15.874010 92.134 -11.1150
15.989040 92.130 -11.1518
16.104904 92.125 -11.1890
16.221605 92.121 -11.2258
16.339155 92.116 -11.2630
16.457554 92.112 -11.3012
16.576813 92.107 -11.3400
16.696936 92.102 -11.3789
16.817928 92.097 -11.4180
16.939798 92.092 -11.4572
17.062551 92.088 -11.4969
17.186193 92.084 -11.5377
17.310732 92.079 -11.5790
17.436172 92.075 -11.6203
17.562521 92.070 -11.6620
17.689787 92.065 -11.7042
17.817974 92.060 -11.7470
17.947090 92.055 -11.7902
18.077143 92.051 -11.8340
18.208138 92.047 -11.8787
18.340080 92.042 -11.9240
18.472980 92.037 -11.9692
18.606844 92.033 -12.0150
18.741676 92.029 -12.0622
18.877487 92.024 -12.1100
19.014280 92.019 -12.1576
19.152065 92.014 -12.2059
19.290850 92.009 -12.2553
19.430639 92.005 -12.3060
19.571442 92.001 -12.3585
19.713264 91.997 -12.4129
19.856115 91.993 -12.4692
20.000000 91.988 -12.5279
20.144928 91.983 -12.5907
20.290907 91.978 -12.6549
20.437943 91.971 -12.7196
20.586044 91.963 -12.7820
20.735220 91.955 -12.8388
20.885475 91.946 -12.8909
21.036821 91.938 -12.9383
21.189262 91.930 -12.9809
21.342808 91.922 -13.0189
21.497467 91.914 -13.0530
21.653246 91.908 -13.0827
21.810154 91.903 -13.1120
21.968201 91.900 -13.1438
22.127390 91.899 -13.1800
22.287735 91.898 -13.2230
22.449242 91.897 -13.2730
22.611917 91.897 -13.3307
22.775772 91.897 -13.3959
22.940815 91.896 -13.4690
23.107054 91.895 -13.5489
23.274498 91.894 -13.6357
23.443153 91.891 -13.7269
23.613033 91.886 -13.8211
23.784142 91.880 -13.9149
23.956491 91.873 -14.0043
24.130091 91.865 -14.0899
24.304947 91.857 -14.1710
24.481071 91.849 -14.2479
24.658470 91.841 -14.3203
24.837156 91.834 -14.3899
25.017136 91.828 -14.4565
25.198421 91.823 -14.5249
25.381020 91.820 -14.5994
25.564941 91.818 -14.6809
25.750195 91.815 -14.7724
25.936790 91.812 -14.8729
26.124741 91.809 -14.9836
26.314051 91.805 -15.1008
26.504732 91.798 -15.2217
26.696796 91.790 -15.3448
26.890253 91.781 -15.4687
27.085112 91.770 -15.5909
27.281382 91.758 -15.7092
27.479073 91.744 -15.8219
27.678198 91.729 -15.9248
27.878765 91.715 -16.0219
28.080786 91.703 -16.1145
28.284271 91.691 -16.2059
28.489231 91.680 -16.3002
28.695675 91.668 -16.3959
28.903616 91.656 -16.4926
29.113064 91.643 -16.5909
29.324028 91.631 -16.6912
29.536524 91.619 -16.7929
29.750557 91.605 -16.8962
29.966141 91.591 -16.9979
30.183289 91.576 -17.0940
30.402010 91.560 -17.1869
30.622314 91.546 -17.2769
30.844217 91.532 -17.3669
31.067726 91.519 -17.4599
31.292856 91.506 -17.5559
31.519617 91.492 -17.6559
31.748020 91.478 -17.7589
31.978081 91.463 -17.8644
32.209808 91.448 -17.9709
32.443211 91.431 -18.0764
32.678310 91.413 -18.1809
32.915108 91.395 -18.2840
33.153625 91.376 -18.3839
33.393871 91.356 -18.4788
33.635857 91.335 -18.5679
33.879597 91.314 -18.6483
34.125103 91.293 -18.7239
34.372387 91.274 -18.7970
34.621464 91.256 -18.8689
34.872345 91.237 -18.9415
35.125042 91.219 -19.0149
35.379574 91.201 -19.0900
35.635948 91.183 -19.1659
35.894180 91.164 -19.2424
36.154285 91.145 -19.3189
36.416275 91.126 -19.3942
36.680161 91.106 -19.4699
36.945961 91.087 -19.5481
37.213688 91.067 -19.6259
37.483353 91.045 -19.7021
37.754974 91.022 -19.7729
38.028561 90.998 -19.8329
38.304131 90.975 -19.8859
38.581699 90.954 -19.9331
38.861279 90.933 -19.9769
39.142883 90.912 -20.0216
39.426529 90.891 -20.0639
39.712231 90.871 -20.1016
40.000000 90.851 -20.1369
40.289856 90.833 -20.1709
40.581814 90.816 -20.2059
40.875885 90.799 -20.2451
41.172089 90.783 -20.2869
41.470440 90.767 -20.3304
41.770950 90.751 -20.3779
42.073643 90.737 -20.4312
42.378525 90.724 -20.4909
42.685616 90.709 -20.5590
42.994934 90.694 -20.6329
43.306492 90.678 -20.7111
43.620308 90.661 -20.7929
43.936401 90.644 -20.8767
44.254780 90.626 -20.9629
44.575470 90.607 -21.0520
44.898483 90.586 -21.1419
45.223835 90.564 -21.2310
45.551544 90.541 -21.3169
45.881630 90.517 -21.3955
46.214108 90.493 -21.4699
46.548996 90.470 -21.5408
46.886307 90.447 -21.6109
47.226067 90.423 -21.6843
47.568283 90.399 -21.7569
47.912983 90.373 -21.8256
48.260181 90.346 -21.8909
48.609894 90.320 -21.9512
48.962143 90.294 -22.0089
49.316940 90.268 -22.0677
49.674313 90.240 -22.1229
50.034271 90.210 -22.1712
50.396843 90.180 -22.2119
50.762039 90.151 -22.2425
51.129883 90.122 -22.2660
51.500389 90.094 -22.2848
51.873581 90.067 -22.2990
52.249481 90.040 -22.3085
52.628101 90.014 -22.3150
53.009464 89.989 -22.3183
53.393593 89.966 -22.3230
53.780506 89.944 -22.3340
54.170223 89.923 -22.3500
54.562763 89.900 -22.3725
54.958145 89.877 -22.3970
55.356396 89.852 -22.4180
55.757530 89.828 -22.4400
56.161572 89.806 -22.4668
56.568542 89.783 -22.4950
56.978462 89.756 -22.5241
57.391350 89.727 -22.5480
57.807232 89.698 -22.5584
58.226128 89.669 -22.5610
58.648056 89.642 -22.5595
59.073048 89.616 -22.5520
59.501114 89.587 -22.5385
59.932281 89.559 -22.5170
60.366577 89.533 -22.4838
60.804020 89.508 -22.4451
61.244629 89.486 -22.4046
61.688435 89.466 -22.3661
62.135452 89.448 -22.3339
62.585712 89.431 -22.3090
63.039234 89.416 -22.2942
63.496040 89.401 -22.2890
63.956161 89.385 -22.2941
64.419617 89.369 -22.3090
64.886421 89.353 -22.3352
65.356621 89.335 -22.3669
65.830215 89.314 -22.3996
66.307251 89.291 -22.4309
66.787743 89.268 -22.4566
67.271713 89.245 -22.4790
67.759193 89.221 -22.4997
68.250206 89.197 -22.5170
68.744774 89.172 -22.5288
69.242928 89.147 -22.5380
69.744690 89.124 -22.5465
70.250084 89.101 -22.5550
70.759148 89.077 -22.5654
71.271896 89.052 -22.5750
71.788361 89.027 -22.5810
72.308571 89.002 -22.5860
72.832550 88.978 -22.5929
73.360321 88.953 -22.5980
73.891922 88.925 -22.5984
74.427376 88.897 -22.5940
74.966705 88.871 -22.5825
75.509949 88.846 -22.5680
76.057121 88.821 -22.5556
76.608261 88.795 -22.5410
77.163399 88.768 -22.5213
77.722557 88.741 -22.4981
78.285767 88.716 -22.4714
78.853058 88.692 -22.4431
79.424461 88.667 -22.4151
