* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\dunu talos_BA_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:12:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\dunu talos_BA_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: dunu talos_BA_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 92.776 -7.4200
5.036232 92.774 -7.4249
5.072727 92.772 -7.4300
5.109486 92.770 -7.4356
5.146511 92.767 -7.4420
5.183805 92.764 -7.4501
5.221369 92.760 -7.4590
5.259205 92.757 -7.4682
5.297316 92.753 -7.4780
5.335702 92.749 -7.4883
5.374367 92.745 -7.4990
5.413311 92.741 -7.5099
5.452538 92.736 -7.5210
5.492050 92.732 -7.5324
5.531847 92.728 -7.5440
5.571934 92.724 -7.5555
5.612310 92.719 -7.5670
5.652979 92.715 -7.5785
5.693943 92.711 -7.5900
5.735204 92.707 -7.6014
5.776763 92.703 -7.6130
5.818624 92.699 -7.6249
5.860788 92.694 -7.6370
5.903258 92.690 -7.6495
5.946035 92.686 -7.6620
5.989123 92.682 -7.6740
6.032523 92.678 -7.6860
6.076237 92.674 -7.6984
6.120268 92.669 -7.7110
6.164618 92.665 -7.7240
6.209289 92.661 -7.7370
6.254284 92.657 -7.7494
6.299605 92.653 -7.7620
6.345255 92.648 -7.7754
6.391235 92.644 -7.7890
6.437549 92.640 -7.8020
6.484198 92.636 -7.8150
6.531185 92.632 -7.8284
6.578513 92.628 -7.8420
6.626183 92.624 -7.8559
6.674199 92.619 -7.8700
6.722563 92.615 -7.8840
6.771278 92.611 -7.8980
6.820345 92.607 -7.9119
6.869768 92.603 -7.9260
6.919549 92.599 -7.9404
6.969691 92.594 -7.9550
7.020196 92.590 -7.9695
7.071068 92.586 -7.9840
7.122308 92.582 -7.9984
7.173919 92.578 -8.0130
7.225904 92.574 -8.0279
7.278266 92.569 -8.0430
7.331007 92.565 -8.0584
7.384131 92.561 -8.0740
7.437639 92.557 -8.0894
7.491535 92.553 -8.1050
7.545822 92.549 -8.1209
7.600502 92.544 -8.1370
7.655579 92.540 -8.1530
7.711054 92.536 -8.1690
7.766932 92.532 -8.1849
7.823214 92.528 -8.2010
7.879904 92.523 -8.2174
7.937005 92.519 -8.2340
7.994520 92.515 -8.2509
8.052452 92.511 -8.2680
8.110803 92.507 -8.2850
8.169578 92.503 -8.3020
8.228777 92.499 -8.3189
8.288406 92.494 -8.3360
8.348468 92.490 -8.3534
8.408964 92.486 -8.3710
8.469899 92.482 -8.3889
8.531276 92.478 -8.4070
8.593097 92.474 -8.4249
8.655366 92.469 -8.4430
8.718086 92.465 -8.4614
8.781260 92.461 -8.4800
8.844893 92.457 -8.4984
8.908987 92.453 -8.5170
8.973545 92.449 -8.5359
9.038571 92.444 -8.5550
9.104069 92.440 -8.5744
9.170040 92.436 -8.5940
9.236490 92.432 -8.6134
9.303422 92.428 -8.6330
9.370838 92.424 -8.6529
9.438744 92.419 -8.6730
9.507140 92.415 -8.6934
9.576033 92.411 -8.7140
9.645425 92.407 -8.7344
9.715320 92.403 -8.7550
9.785721 92.398 -8.7759
9.856632 92.394 -8.7970
9.928058 92.390 -8.8179
10.000000 92.386 -8.8390
10.072464 92.382 -8.8604
10.145453 92.378 -8.8820
10.218971 92.374 -8.9039
10.293022 92.369 -8.9260
10.367610 92.365 -8.9484
10.442738 92.361 -8.9710
10.518411 92.357 -8.9934
10.594631 92.353 -9.0160
10.671404 92.349 -9.0389
10.748734 92.344 -9.0620
10.826623 92.340 -9.0854
10.905077 92.336 -9.1090
10.984100 92.332 -9.1329
11.063695 92.328 -9.1570
11.143867 92.324 -9.1809
11.224621 92.319 -9.2050
11.305959 92.315 -9.2299
11.387886 92.311 -9.2550
11.470407 92.307 -9.2799
11.553527 92.303 -9.3050
11.637249 92.299 -9.3304
11.721577 92.294 -9.3560
11.806517 92.290 -9.3819
11.892071 92.286 -9.4080
11.978246 92.282 -9.4339
12.065045 92.278 -9.4600
12.152473 92.273 -9.4868
12.240536 92.269 -9.5140
12.329235 92.265 -9.5414
12.418578 92.261 -9.5690
12.508568 92.257 -9.5964
12.599211 92.253 -9.6240
12.690510 92.249 -9.6524
12.782471 92.244 -9.6810
12.875097 92.240 -9.7093
12.968395 92.236 -9.7380
13.062370 92.232 -9.7674
13.157025 92.228 -9.7970
13.252366 92.224 -9.8264
13.348398 92.219 -9.8560
13.445127 92.215 -9.8863
13.542556 92.211 -9.9170
13.640691 92.207 -9.9474
13.739536 92.203 -9.9780
13.839099 92.199 -10.0093
13.939383 92.194 -10.0410
14.040393 92.190 -10.0728
14.142136 92.186 -10.1050
14.244616 92.182 -10.1379
14.347837 92.178 -10.1710
14.451808 92.174 -10.2039
14.556532 92.169 -10.2370
14.662014 92.165 -10.2708
14.768262 92.161 -10.3050
14.875278 92.157 -10.3393
14.983070 92.153 -10.3740
15.091644 92.148 -10.4088
15.201005 92.144 -10.4440
15.311157 92.140 -10.4797
15.422109 92.136 -10.5160
15.533863 92.132 -10.5529
15.646428 92.128 -10.5900
15.759809 92.124 -10.6268
15.874010 92.119 -10.6640
15.989040 92.115 -10.7022
16.104904 92.111 -10.7410
16.221605 92.107 -10.7798
16.339155 92.103 -10.8190
16.457554 92.099 -10.8583
16.576813 92.094 -10.8980
16.696936 92.090 -10.9382
16.817928 92.086 -10.9790
16.939798 92.082 -11.0202
17.062551 92.078 -11.0619
17.186193 92.074 -11.1042
17.310732 92.069 -11.1470
17.436172 92.065 -11.1902
17.562521 92.061 -11.2340
17.689787 92.057 -11.2781
17.817974 92.053 -11.3230
17.947090 92.049 -11.3687
18.077143 92.044 -11.4150
18.208138 92.040 -11.4612
18.340080 92.036 -11.5080
18.472980 92.032 -11.5556
18.606844 92.028 -11.6040
18.741676 92.023 -11.6531
18.877487 92.019 -11.7029
19.014280 92.015 -11.7536
19.152065 92.011 -11.8049
19.290850 92.007 -11.8568
19.430639 92.003 -11.9100
19.571442 91.999 -11.9654
19.713264 91.995 -12.0229
19.856115 91.991 -12.0827
20.000000 91.987 -12.1449
20.144928 91.982 -12.2107
20.290907 91.977 -12.2779
20.437943 91.970 -12.3461
20.586044 91.963 -12.4120
20.735220 91.955 -12.4719
20.885475 91.946 -12.5269
21.036821 91.938 -12.5769
21.189262 91.930 -12.6219
21.342808 91.922 -12.6621
21.497467 91.914 -12.6980
21.653246 91.908 -12.7288
21.810154 91.903 -12.7590
21.968201 91.900 -12.7920
22.127390 91.899 -12.8290
22.287735 91.898 -12.8724
22.449242 91.897 -12.9220
22.611917 91.897 -12.9780
22.775772 91.897 -13.0409
22.940815 91.897 -13.1115
23.107054 91.896 -13.1889
23.274498 91.895 -13.2726
23.443153 91.894 -13.3619
23.613033 91.891 -13.4566
23.784142 91.887 -13.5539
23.956491 91.882 -13.6518
24.130091 91.875 -13.7479
24.304947 91.868 -13.8390
24.481071 91.860 -13.9259
24.658470 91.852 -14.0083
24.837156 91.844 -14.0869
25.017136 91.837 -14.1615
25.198421 91.830 -14.2349
25.381020 91.826 -14.3086
25.564941 91.822 -14.3859
25.750195 91.819 -14.4705
25.936790 91.816 -14.5629
26.124741 91.813 -14.6653
26.314051 91.810 -14.7758
26.504732 91.805 -14.8946
26.696796 91.799 -15.0178
26.890253 91.791 -15.1420
27.085112 91.782 -15.2669
27.281382 91.773 -15.3912
27.479073 91.762 -15.5138
27.678198 91.750 -15.6337
27.878765 91.736 -15.7488
28.080786 91.722 -15.8554
28.284271 91.708 -15.9579
28.489231 91.696 -16.0596
28.695675 91.684 -16.1609
28.903616 91.671 -16.2637
29.113064 91.658 -16.3659
29.324028 91.644 -16.4651
29.536524 91.631 -16.5639
29.750557 91.619 -16.6644
29.966141 91.606 -16.7659
30.183289 91.592 -16.8693
30.402010 91.578 -16.9719
30.622314 91.563 -17.0700
30.844217 91.549 -17.1679
31.067726 91.536 -17.2688
31.292856 91.523 -17.3718
31.519617 91.508 -17.4776
31.748020 91.493 -17.5849
31.978081 91.478 -17.6921
32.209808 91.462 -17.8009
32.443211 91.446 -17.9134
32.678310 91.430 -18.0269
32.915108 91.412 -18.1400
33.153625 91.392 -18.2509
33.393871 91.372 -18.3576
33.635857 91.350 -18.4589
33.879597 91.327 -18.5526
34.125103 91.304 -18.6389
34.372387 91.282 -18.7155
34.621464 91.260 -18.7869
34.872345 91.240 -18.8565
35.125042 91.221 -18.9259
35.379574 91.202 -18.9982
35.635948 91.183 -19.0719
35.894180 91.164 -19.1469
36.154285 91.144 -19.2229
36.416275 91.124 -19.2999
36.680161 91.103 -19.3769
36.945961 91.082 -19.4538
37.213688 91.060 -19.5279
37.483353 91.036 -19.5969
37.754974 91.011 -19.6589
38.028561 90.987 -19.7101
38.304131 90.963 -19.7539
38.581699 90.941 -19.7924
38.861279 90.919 -19.8270
39.142883 90.898 -19.8603
39.426529 90.877 -19.8910
39.712231 90.857 -19.9175
40.000000 90.838 -19.9430
40.289856 90.821 -19.9699
40.581814 90.805 -19.9990
40.875885 90.789 -20.0319
41.172089 90.774 -20.0679
41.470440 90.759 -20.1057
41.770950 90.745 -20.1489
42.073643 90.733 -20.2011
42.378525 90.721 -20.2619
42.685616 90.708 -20.3336
42.994934 90.693 -20.4119
43.306492 90.677 -20.4933
43.620308 90.661 -20.5779
43.936401 90.644 -20.6649
44.254780 90.626 -20.7539
44.575470 90.607 -20.8447
44.898483 90.587 -20.9359
45.223835 90.566 -21.0268
45.551544 90.543 -21.1149
45.881630 90.519 -21.1964
46.214108 90.495 -21.2739
46.548996 90.472 -21.3479
46.886307 90.449 -21.4209
47.226067 90.426 -21.4966
47.568283 90.402 -21.5719
47.912983 90.376 -21.6448
48.260181 90.349 -21.7149
48.609894 90.323 -21.7805
48.962143 90.297 -21.8439
49.316940 90.270 -21.9083
49.674313 90.242 -21.9689
50.034271 90.212 -22.0227
50.396843 90.181 -22.0679
50.762039 90.150 -22.1013
51.129883 90.119 -22.1250
51.500389 90.089 -22.1396
51.873581 90.060 -22.1470
52.249481 90.032 -22.1488
52.628101 90.005 -22.1460
53.009464 89.980 -22.1385
53.393593 89.957 -22.1320
53.780506 89.936 -22.1325
54.170223 89.916 -22.1390
54.562763 89.895 -22.1540
54.958145 89.873 -22.1730
55.356396 89.850 -22.1910
55.757530 89.827 -22.2120
56.161572 89.807 -22.2383
56.568542 89.786 -22.2689
56.978462 89.762 -22.3055
57.391350 89.736 -22.3419
57.807232 89.709 -22.3719
58.226128 89.682 -22.3980
58.648056 89.655 -22.4217
59.073048 89.627 -22.4400
59.501114 89.596 -22.4512
59.932281 89.565 -22.4520
60.366577 89.534 -22.4369
60.804020 89.504 -22.4101
61.244629 89.476 -22.3732
61.688435 89.449 -22.3281
62.135452 89.424 -22.2749
62.585712 89.401 -22.2201
63.039234 89.382 -22.1689
63.496040 89.366 -22.1251
63.956161 89.351 -22.0949
64.419617 89.336 -22.0760
64.886421 89.321 -22.0688
65.356621 89.305 -22.0710
65.830215 89.289 -22.0810
66.307251 89.272 -22.0970
66.787743 89.254 -22.1172
67.271713 89.234 -22.1400
67.759193 89.214 -22.1635
68.250206 89.192 -22.1860
68.744774 89.169 -22.2042
69.242928 89.146 -22.2200
69.744690 89.124 -22.2342
70.250084 89.101 -22.2470
70.759148 89.077 -22.2589
71.271896 89.053 -22.2690
71.788361 89.029 -22.2749
72.308571 89.006 -22.2810
72.832550 88.984 -22.2917
73.360321 88.962 -22.3040
73.891922 88.937 -22.3174
74.427376 88.911 -22.3290
74.966705 88.885 -22.3346
75.509949 88.859 -22.3380
76.057121 88.834 -22.3430
76.608261 88.808 -22.3460
77.163399 88.779 -22.3454
77.722557 88.750 -22.3390
78.285767 88.721 -22.3230
78.853058 88.693 -22.3011
79.424461 88.666 -22.2765
