* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Dunu Zen_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:16:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Dunu Zen_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Dunu Zen_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 85.007 26.3980
5.036232 85.016 26.3865
5.072727 85.026 26.3740
5.109486 85.038 26.3591
5.146511 85.051 26.3420
5.183805 85.067 26.3223
5.221369 85.085 26.3010
5.259205 85.103 26.2795
5.297316 85.122 26.2570
5.335702 85.142 26.2328
5.374367 85.163 26.2080
5.413311 85.184 26.1835
5.452538 85.204 26.1590
5.492050 85.225 26.1346
5.531847 85.245 26.1100
5.571934 85.266 26.0851
5.612310 85.286 26.0600
5.652979 85.307 26.0346
5.693943 85.327 26.0090
5.735204 85.347 25.9836
5.776763 85.368 25.9580
5.818624 85.388 25.9321
5.860788 85.409 25.9060
5.903258 85.430 25.8796
5.946035 85.451 25.8530
5.989123 85.472 25.8261
6.032523 85.492 25.7990
6.076237 85.512 25.7721
6.120268 85.533 25.7450
6.164618 85.553 25.7176
6.209289 85.574 25.6900
6.254284 85.594 25.6621
6.299605 85.615 25.6340
6.345255 85.635 25.6061
6.391235 85.656 25.5780
6.437549 85.676 25.5491
6.484198 85.697 25.5200
6.531185 85.717 25.4911
6.578513 85.738 25.4620
6.626183 85.758 25.4326
6.674199 85.779 25.4030
6.722563 85.799 25.3731
6.771278 85.820 25.3430
6.820345 85.841 25.3126
6.869768 85.862 25.2820
6.919549 85.883 25.2511
6.969691 85.903 25.2200
7.020196 85.923 25.1891
7.071068 85.944 25.1580
7.122308 85.964 25.1261
7.173919 85.985 25.0940
7.225904 86.005 25.0621
7.278266 86.026 25.0300
7.331007 86.046 24.9971
7.384131 86.067 24.9640
7.437639 86.087 24.9311
7.491535 86.108 24.8980
7.545822 86.128 24.8647
7.600502 86.149 24.8310
7.655579 86.169 24.7966
7.711054 86.190 24.7620
7.766932 86.210 24.7276
7.823214 86.231 24.6930
7.879904 86.251 24.6582
7.937005 86.272 24.6230
7.994520 86.293 24.5871
8.052452 86.314 24.5510
8.110803 86.335 24.5151
8.169578 86.355 24.4790
8.228777 86.375 24.4421
8.288406 86.396 24.4050
8.348468 86.416 24.3681
8.408964 86.437 24.3310
8.469899 86.457 24.2932
8.531276 86.478 24.2550
8.593097 86.498 24.2166
8.655366 86.519 24.1780
8.718086 86.539 24.1391
8.781260 86.560 24.1000
8.844893 86.580 24.0607
8.908987 86.601 24.0210
8.973545 86.621 23.9806
9.038571 86.642 23.9400
9.104069 86.662 23.8996
9.170040 86.683 23.8590
9.236490 86.704 23.8177
9.303422 86.725 23.7760
9.370838 86.746 23.7342
9.438744 86.766 23.6920
9.507140 86.786 23.6491
9.576033 86.807 23.6060
9.645425 86.827 23.5631
9.715320 86.848 23.5200
9.785721 86.868 23.4762
9.856632 86.889 23.4320
9.928058 86.909 23.3877
10.000000 86.930 23.3430
10.072464 86.950 23.2977
10.145453 86.971 23.2521
10.218971 86.991 23.2062
10.293022 87.012 23.1600
10.367610 87.033 23.1137
10.442738 87.053 23.0670
10.518411 87.073 23.0198
10.594631 87.094 22.9720
10.671404 87.115 22.9236
10.748734 87.136 22.8750
10.826623 87.157 22.8267
10.905077 87.177 22.7780
10.984100 87.197 22.7283
11.063695 87.218 22.6780
11.143867 87.238 22.6276
11.224621 87.259 22.5770
11.305959 87.279 22.5262
11.387886 87.300 22.4750
11.470407 87.320 22.4233
11.553527 87.341 22.3710
11.637249 87.361 22.3182
11.721577 87.382 22.2650
11.806517 87.402 22.2117
11.892071 87.423 22.1581
11.978246 87.443 22.1037
12.065045 87.464 22.0490
12.152473 87.484 21.9943
12.240536 87.505 21.9390
12.329235 87.526 21.8828
12.418578 87.547 21.8261
12.508568 87.568 21.7692
12.599211 87.588 21.7120
12.690510 87.608 21.6543
12.782471 87.629 21.5961
12.875097 87.649 21.5372
12.968395 87.670 21.4780
13.062370 87.690 21.4188
13.157025 87.711 21.3590
13.252366 87.731 21.2983
13.348398 87.752 21.2370
13.445127 87.772 21.1758
13.542556 87.793 21.1141
13.640691 87.813 21.0513
13.739536 87.834 20.9880
13.839099 87.854 20.9247
13.939383 87.875 20.8611
14.040393 87.895 20.7969
14.142136 87.916 20.7320
14.244616 87.936 20.6663
14.347837 87.957 20.6000
14.451808 87.978 20.5333
14.556532 87.999 20.4660
14.662014 88.020 20.3983
14.768262 88.040 20.3301
14.875278 88.060 20.2614
14.983070 88.081 20.1921
15.091644 88.101 20.1219
15.201005 88.122 20.0511
15.311157 88.142 19.9799
15.422109 88.163 19.9081
15.533863 88.183 19.8354
15.646428 88.204 19.7620
15.759809 88.224 19.6884
15.874010 88.245 19.6141
15.989040 88.265 19.5389
16.104904 88.286 19.4631
16.221605 88.306 19.3868
16.339155 88.327 19.3101
16.457554 88.347 19.2329
16.576813 88.368 19.1551
16.696936 88.389 19.0764
16.817928 88.410 18.9970
16.939798 88.431 18.9168
17.062551 88.451 18.8361
17.186193 88.471 18.7554
17.310732 88.492 18.6741
17.436172 88.512 18.5914
17.562521 88.533 18.5081
17.689787 88.553 18.4248
17.817974 88.574 18.3411
17.947090 88.594 18.2564
18.077143 88.615 18.1710
18.208138 88.635 18.0853
18.340080 88.656 17.9991
18.472980 88.676 17.9123
18.606844 88.697 17.8251
18.741676 88.717 17.7377
18.877487 88.738 17.6501
19.014280 88.758 17.5620
19.152065 88.779 17.4741
19.290850 88.799 17.3873
19.430639 88.820 17.3011
19.571442 88.841 17.2151
19.713264 88.862 17.1301
19.856115 88.883 17.0469
20.000000 88.905 16.9641
20.144928 88.928 16.8811
20.290907 88.952 16.7961
20.437943 88.977 16.7066
20.586044 89.002 16.6131
20.735220 89.027 16.5158
20.885475 89.053 16.4131
21.036821 89.080 16.3035
21.189262 89.108 16.1862
21.342808 89.135 16.0587
21.497467 89.161 15.9252
21.653246 89.186 15.7902
21.810154 89.211 15.6502
21.968201 89.237 15.5025
22.127390 89.263 15.3482
22.287735 89.287 15.1865
22.449242 89.310 15.0201
22.611917 89.332 14.8525
22.775772 89.353 14.6812
22.940815 89.374 14.5035
23.107054 89.394 14.3232
23.274498 89.411 14.1427
23.443153 89.426 13.9642
23.613033 89.441 13.7919
23.784142 89.456 13.6231
23.956491 89.470 13.4557
24.130091 89.483 13.2932
24.304947 89.494 13.1388
24.481071 89.505 12.9912
24.658470 89.519 12.8517
24.837156 89.533 12.7162
25.017136 89.547 12.5804
25.198421 89.561 12.4461
25.381020 89.575 12.3149
25.564941 89.591 12.1841
25.750195 89.609 12.0526
25.936790 89.627 11.9182
26.124741 89.645 11.7776
26.314051 89.663 11.6332
26.504732 89.681 11.4862
26.696796 89.699 11.3362
26.890253 89.718 11.1832
27.085112 89.737 11.0272
27.281382 89.755 10.8678
27.479073 89.774 10.7052
27.678198 89.793 10.5405
27.878765 89.812 10.3702
28.080786 89.833 10.1919
28.284271 89.854 10.0043
28.489231 89.874 9.8037
28.695675 89.893 9.5943
28.903616 89.910 9.3784
29.113064 89.925 9.1573
29.324028 89.939 8.9317
29.536524 89.952 8.7053
29.750557 89.961 8.4817
29.966141 89.969 8.2622
30.183289 89.977 8.0502
30.402010 89.985 7.8423
30.622314 89.993 7.6359
30.844217 90.000 7.4312
31.067726 90.007 7.2278
31.292856 90.014 7.0243
31.519617 90.021 6.8190
31.748020 90.028 6.6123
31.978081 90.034 6.4029
32.209808 90.038 6.1943
32.443211 90.040 5.9891
32.678310 90.042 5.7883
32.915108 90.043 5.5937
33.153625 90.044 5.4052
33.393871 90.044 5.2230
33.635857 90.044 5.0473
33.879597 90.044 4.8786
34.125103 90.044 4.7162
34.372387 90.045 4.5594
34.621464 90.046 4.4082
34.872345 90.048 4.2631
35.125042 90.050 4.1222
35.379574 90.054 3.9847
35.635948 90.060 3.8472
35.894180 90.067 3.7059
36.154285 90.075 3.5612
36.416275 90.084 3.4132
36.680161 90.094 3.2592
36.945961 90.105 3.0978
37.213688 90.117 2.9263
37.483353 90.129 2.7405
37.754974 90.141 2.5443
38.028561 90.150 2.3399
38.304131 90.159 2.1283
38.581699 90.167 1.9116
38.861279 90.175 1.6893
39.142883 90.181 1.4605
39.426529 90.185 1.2283
39.712231 90.187 0.9958
40.000000 90.187 0.7633
40.289856 90.187 0.5320
40.581814 90.185 0.3033
40.875885 90.181 0.0785
41.172089 90.175 -0.1397
41.470440 90.168 -0.3476
41.770950 90.161 -0.5467
42.073643 90.154 -0.7369
42.378525 90.147 -0.9187
42.685616 90.140 -1.0924
42.994934 90.133 -1.2588
43.306492 90.127 -1.4176
43.620308 90.123 -1.5728
43.936401 90.121 -1.7278
44.254780 90.119 -1.8838
44.575470 90.118 -2.0427
44.898483 90.117 -2.2047
45.223835 90.117 -2.3706
45.551544 90.117 -2.5398
45.881630 90.117 -2.7121
46.214108 90.117 -2.8877
46.548996 90.117 -3.0665
46.886307 90.117 -3.2487
47.226067 90.117 -3.4346
47.568283 90.117 -3.6247
47.912983 90.117 -3.8195
48.260181 90.116 -4.0187
48.609894 90.115 -4.2223
48.962143 90.112 -4.4287
49.316940 90.108 -4.6370
49.674313 90.102 -4.8447
50.034271 90.095 -5.0487
50.396843 90.088 -5.2497
50.762039 90.081 -5.4467
51.129883 90.073 -5.6407
51.500389 90.065 -5.8323
51.873581 90.056 -6.0207
52.249481 90.047 -6.2046
52.628101 90.038 -6.3857
53.009464 90.030 -6.5650
53.393593 90.022 -6.7427
53.780506 90.014 -6.9195
54.170223 90.007 -7.0957
54.562763 90.000 -7.2714
54.958145 89.993 -7.4477
55.356396 89.986 -7.6250
55.757530 89.979 -7.8057
56.161572 89.974 -7.9921
56.568542 89.969 -8.1847
56.978462 89.963 -8.3852
57.391350 89.956 -8.5916
57.807232 89.948 -8.8034
58.226128 89.938 -9.0176
58.648056 89.926 -9.2325
59.073048 89.913 -9.4447
59.501114 89.898 -9.6504
59.932281 89.881 -9.8487
60.366577 89.864 -10.0366
60.804020 89.846 -10.2157
61.244629 89.829 -10.3853
61.688435 89.813 -10.5487
62.135452 89.798 -10.7077
62.585712 89.784 -10.8657
63.039234 89.771 -11.0275
63.496040 89.759 -11.1917
63.956161 89.746 -11.3593
64.419617 89.732 -11.5287
64.886421 89.718 -11.6988
65.356621 89.704 -11.8687
65.830215 89.689 -12.0369
66.307251 89.674 -12.2037
66.787743 89.659 -12.3684
67.271713 89.644 -12.5317
67.759193 89.628 -12.6940
68.250206 89.613 -12.8557
68.744774 89.599 -13.0172
69.242928 89.585 -13.1797
69.744690 89.570 -13.3449
70.250084 89.555 -13.5117
70.759148 89.540 -13.6798
71.271896 89.524 -13.8487
71.788361 89.508 -14.0176
72.308571 89.491 -14.1867
72.832550 89.473 -14.3566
73.360321 89.455 -14.5247
73.891922 89.436 -14.6880
74.427376 89.417 -14.8487
74.966705 89.399 -15.0080
75.509949 89.380 -15.1657
76.057121 89.360 -15.3227
76.608261 89.340 -15.4767
77.163399 89.319 -15.6251
77.722557 89.299 -15.7697
78.285767 89.279 -15.9105
78.853058 89.260 -16.0497
79.424461 89.241 -16.1892
80.000000 89.223 -16.3297
80.579712 89.205 -16.4730
81.163628 89.187 -16.6187
81.751770 89.169 -16.7675
82.344177 89.151 -16.9177
82.940880 89.131 -17.0686
83.541901 89.111 -17.2187
84.147285 89.090 -17.3664
84.757050 89.069 -17.5117
85.371231 89.047 -17.6536
85.989868 89.026 -17.7937
86.612984 89.006 -17.9329
87.240616 88.987 -18.0727
87.872803 88.967 -18.2153
88.509560 88.946 -18.3597
89.150940 88.926 -18.5051
89.796967 88.905 -18.6527
90.447670 88.884 -18.8040
91.103088 88.863 -18.9577
91.763260 88.840 -19.1147
