* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\empire ears evo_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:21:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\empire ears evo_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: empire ears evo_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 105.189 -14.4680
5.036232 105.185 -14.4723
5.072727 105.181 -14.4770
5.109486 105.176 -14.4825
5.146511 105.170 -14.4890
5.183805 105.163 -14.4971
5.221369 105.155 -14.5060
5.259205 105.147 -14.5151
5.297316 105.139 -14.5250
5.335702 105.130 -14.5362
5.374367 105.121 -14.5480
5.413311 105.112 -14.5595
5.452538 105.103 -14.5710
5.492050 105.094 -14.5824
5.531847 105.085 -14.5940
5.571934 105.076 -14.6059
5.612310 105.067 -14.6180
5.652979 105.058 -14.6299
5.693943 105.049 -14.6420
5.735204 105.040 -14.6544
5.776763 105.031 -14.6670
5.818624 105.022 -14.6794
5.860788 105.013 -14.6920
5.903258 105.004 -14.7050
5.946035 104.995 -14.7180
5.989123 104.986 -14.7304
6.032523 104.977 -14.7430
6.076237 104.968 -14.7564
6.120268 104.959 -14.7700
6.164618 104.950 -14.7830
6.209289 104.941 -14.7960
6.254284 104.932 -14.8094
6.299605 104.923 -14.8230
6.345255 104.914 -14.8369
6.391235 104.905 -14.8510
6.437549 104.896 -14.8650
6.484198 104.887 -14.8790
6.531185 104.878 -14.8929
6.578513 104.869 -14.9070
6.626183 104.860 -14.9214
6.674199 104.851 -14.9360
6.722563 104.842 -14.9504
6.771278 104.833 -14.9650
6.820345 104.824 -14.9799
6.869768 104.815 -14.9950
6.919549 104.806 -15.0100
6.969691 104.797 -15.0250
7.020196 104.788 -15.0399
7.071068 104.779 -15.0550
7.122308 104.770 -15.0704
7.173919 104.761 -15.0860
7.225904 104.752 -15.1014
7.278266 104.743 -15.1170
7.331007 104.734 -15.1329
7.384131 104.725 -15.1490
7.437639 104.715 -15.1654
7.491535 104.706 -15.1820
7.545822 104.697 -15.1985
7.600502 104.688 -15.2150
7.655579 104.679 -15.2314
7.711054 104.670 -15.2480
7.766932 104.661 -15.2649
7.823214 104.652 -15.2820
7.879904 104.643 -15.2989
7.937005 104.634 -15.3160
7.994520 104.625 -15.3334
8.052452 104.616 -15.3510
8.110803 104.607 -15.3689
8.169578 104.598 -15.3870
8.228777 104.589 -15.4050
8.288406 104.580 -15.4230
8.348468 104.571 -15.4409
8.408964 104.562 -15.4590
8.469899 104.553 -15.4774
8.531276 104.544 -15.4960
8.593097 104.535 -15.5149
8.655366 104.526 -15.5340
8.718086 104.517 -15.5529
8.781260 104.508 -15.5720
8.844893 104.499 -15.5914
8.908987 104.490 -15.6110
8.973545 104.481 -15.6304
9.038571 104.472 -15.6500
9.104069 104.463 -15.6699
9.170040 104.454 -15.6900
9.236490 104.445 -15.7104
9.303422 104.436 -15.7310
9.370838 104.427 -15.7515
9.438744 104.418 -15.7720
9.507140 104.409 -15.7924
9.576033 104.400 -15.8130
9.645425 104.391 -15.8344
9.715320 104.382 -15.8560
9.785721 104.373 -15.8774
9.856632 104.364 -15.8990
9.928058 104.355 -15.9209
10.000000 104.346 -15.9430
10.072464 104.337 -15.9649
10.145453 104.328 -15.9870
10.218971 104.319 -16.0094
10.293022 104.310 -16.0320
10.367610 104.301 -16.0549
10.442738 104.292 -16.0780
10.518411 104.283 -16.1009
10.594631 104.274 -16.1240
10.671404 104.265 -16.1474
10.748734 104.256 -16.1710
10.826623 104.247 -16.1949
10.905077 104.238 -16.2190
10.984100 104.229 -16.2429
11.063695 104.220 -16.2670
11.143867 104.211 -16.2919
11.224621 104.202 -16.3170
11.305959 104.193 -16.3420
11.387886 104.184 -16.3670
11.470407 104.175 -16.3919
11.553527 104.166 -16.4170
11.637249 104.157 -16.4429
11.721577 104.148 -16.4690
11.806517 104.139 -16.4949
11.892071 104.130 -16.5210
11.978246 104.121 -16.5474
12.065045 104.112 -16.5740
12.152473 104.103 -16.6009
12.240536 104.094 -16.6280
12.329235 104.085 -16.6554
12.418578 104.076 -16.6830
12.508568 104.067 -16.7109
12.599211 104.058 -16.7390
12.690510 104.049 -16.7669
12.782471 104.040 -16.7950
12.875097 104.031 -16.8233
12.968395 104.022 -16.8520
13.062370 104.013 -16.8814
13.157025 104.004 -16.9110
13.252366 103.995 -16.9405
13.348398 103.986 -16.9700
13.445127 103.977 -16.9993
13.542556 103.968 -17.0290
13.640691 103.959 -17.0593
13.739536 103.949 -17.0900
13.839099 103.940 -17.1209
13.939383 103.931 -17.1520
14.040393 103.922 -17.1834
14.142136 103.913 -17.2150
14.244616 103.904 -17.2464
14.347837 103.895 -17.2780
14.451808 103.886 -17.3103
14.556532 103.877 -17.3430
14.662014 103.868 -17.3759
14.768262 103.859 -17.4090
14.875278 103.850 -17.4418
14.983070 103.841 -17.4750
15.091644 103.832 -17.5088
15.201005 103.823 -17.5430
15.311157 103.814 -17.5774
15.422109 103.805 -17.6120
15.533863 103.796 -17.6469
15.646428 103.787 -17.6820
15.759809 103.778 -17.7174
15.874010 103.769 -17.7530
15.989040 103.760 -17.7888
16.104904 103.751 -17.8250
16.221605 103.742 -17.8613
16.339155 103.733 -17.8980
16.457554 103.724 -17.9348
16.576813 103.715 -17.9720
16.696936 103.706 -18.0094
16.817928 103.697 -18.0470
16.939798 103.688 -18.0848
17.062551 103.679 -18.1229
17.186193 103.670 -18.1613
17.310732 103.661 -18.2000
17.436172 103.652 -18.2389
17.562521 103.643 -18.2780
17.689787 103.634 -18.3168
17.817974 103.625 -18.3560
17.947090 103.616 -18.3959
18.077143 103.607 -18.4360
18.208138 103.598 -18.4755
18.340080 103.589 -18.5150
18.472980 103.580 -18.5549
18.606844 103.571 -18.5950
18.741676 103.562 -18.6352
18.877487 103.553 -18.6750
19.014280 103.544 -18.7138
19.152065 103.535 -18.7520
19.290850 103.526 -18.7893
19.430639 103.517 -18.8260
19.571442 103.509 -18.8617
19.713264 103.501 -18.8970
19.856115 103.494 -18.9314
20.000000 103.487 -18.9670
20.144928 103.481 -19.0048
20.290907 103.476 -19.0470
20.437943 103.471 -19.0954
20.586044 103.467 -19.1510
20.735220 103.463 -19.2156
20.885475 103.459 -19.2879
21.036821 103.453 -19.3686
21.189262 103.445 -19.4529
21.342808 103.435 -19.5374
21.497467 103.424 -19.6189
21.653246 103.411 -19.6932
21.810154 103.398 -19.7599
21.968201 103.384 -19.8165
22.127390 103.371 -19.8659
22.287735 103.359 -19.9088
22.449242 103.349 -19.9500
22.611917 103.340 -19.9946
22.775772 103.332 -20.0419
22.940815 103.323 -20.0937
23.107054 103.314 -20.1469
23.274498 103.305 -20.1995
23.443153 103.295 -20.2509
23.613033 103.286 -20.3009
23.784142 103.276 -20.3470
23.956491 103.265 -20.3852
24.130091 103.256 -20.4200
24.304947 103.250 -20.4521
24.481071 103.247 -20.4889
24.658470 103.246 -20.5385
24.837156 103.245 -20.5999
25.017136 103.243 -20.6763
25.198421 103.241 -20.7639
25.381020 103.238 -20.8612
25.564941 103.234 -20.9649
25.750195 103.227 -21.0723
25.936790 103.219 -21.1809
26.124741 103.209 -21.2872
26.314051 103.198 -21.3909
26.504732 103.187 -21.4903
26.696796 103.175 -21.5849
26.890253 103.162 -21.6727
27.085112 103.150 -21.7559
27.281382 103.139 -21.8348
27.479073 103.128 -21.9129
27.678198 103.118 -21.9941
27.878765 103.109 -22.0769
28.080786 103.099 -22.1618
28.284271 103.089 -22.2469
28.489231 103.079 -22.3291
28.695675 103.069 -22.4119
28.903616 103.061 -22.4964
29.113064 103.053 -22.5859
29.324028 103.046 -22.6858
29.536524 103.038 -22.7909
29.750557 103.027 -22.8985
29.966141 103.015 -23.0059
30.183289 103.003 -23.1083
30.402010 102.991 -23.2089
30.622314 102.979 -23.3088
30.844217 102.968 -23.4089
31.067726 102.957 -23.5105
31.292856 102.946 -23.6128
31.519617 102.934 -23.7157
31.748020 102.922 -23.8179
31.978081 102.910 -23.9165
32.209808 102.898 -24.0169
32.443211 102.889 -24.1232
32.678310 102.880 -24.2359
32.915108 102.869 -24.3593
33.153625 102.857 -24.4848
33.393871 102.842 -24.6038
33.635857 102.826 -24.7208
33.879597 102.813 -24.8369
34.125103 102.801 -24.9538
34.372387 102.786 -25.0755
34.621464 102.771 -25.1968
34.872345 102.755 -25.3119
35.125042 102.739 -25.4269
35.379574 102.726 -25.5470
35.635948 102.712 -25.6689
35.894180 102.695 -25.7917
36.154285 102.676 -25.9128
36.416275 102.658 -26.0285
36.680161 102.640 -26.1408
36.945961 102.622 -26.2516
37.213688 102.604 -26.3588
37.483353 102.585 -26.4603
37.754974 102.567 -26.5589
38.028561 102.550 -26.6570
38.304131 102.534 -26.7539
38.581699 102.517 -26.8481
38.861279 102.500 -26.9429
39.142883 102.487 -27.0400
39.426529 102.474 -27.1419
39.712231 102.460 -27.2528
40.000000 102.446 -27.3678
40.289856 102.431 -27.4817
40.581814 102.417 -27.5998
40.875885 102.405 -27.7258
41.172089 102.393 -27.8598
41.470440 102.379 -28.0058
41.770950 102.362 -28.1558
42.073643 102.343 -28.3025
42.378525 102.322 -28.4478
42.685616 102.303 -28.5914
42.994934 102.283 -28.7328
43.306492 102.261 -28.8719
43.620308 102.238 -29.0068
43.936401 102.216 -29.1352
44.254780 102.193 -29.2588
44.575470 102.169 -29.3779
44.898483 102.146 -29.4948
45.223835 102.126 -29.6118
45.551544 102.106 -29.7298
45.881630 102.084 -29.8513
46.214108 102.062 -29.9738
46.548996 102.041 -30.0953
46.886307 102.019 -30.2168
47.226067 101.996 -30.3392
47.568283 101.973 -30.4608
47.912983 101.950 -30.5804
48.260181 101.926 -30.6978
48.609894 101.902 -30.8121
48.962143 101.878 -30.9238
49.316940 101.854 -31.0323
49.674313 101.831 -31.1398
50.034271 101.809 -31.2480
50.396843 101.787 -31.3578
50.762039 101.766 -31.4722
51.129883 101.744 -31.5878
51.500389 101.721 -31.7009
51.873581 101.698 -31.8158
52.249481 101.678 -31.9367
52.628101 101.658 -32.0608
53.009464 101.633 -32.1879
53.393593 101.608 -32.3148
53.780506 101.584 -32.4364
54.170223 101.561 -32.5578
54.562763 101.538 -32.6843
54.958145 101.514 -32.8108
55.356396 101.487 -32.9329
55.757530 101.461 -33.0538
56.161572 101.438 -33.1740
56.568542 101.416 -33.2978
56.978462 101.393 -33.4321
57.391350 101.368 -33.5697
57.807232 101.341 -33.7053
58.226128 101.313 -33.8408
58.648056 101.288 -33.9760
59.073048 101.262 -34.1128
59.501114 101.234 -34.2558
59.932281 101.204 -34.3968
60.366577 101.172 -34.5282
60.804020 101.139 -34.6528
61.244629 101.108 -34.7689
61.688435 101.078 -34.8818
62.135452 101.049 -34.9982
62.585712 101.019 -35.1128
63.039234 100.987 -35.2218
63.496040 100.955 -35.3278
63.956161 100.926 -35.4309
64.419617 100.898 -35.5358
64.886421 100.870 -35.6485
65.356621 100.842 -35.7658
65.830215 100.813 -35.8869
66.307251 100.783 -36.0098
66.787743 100.752 -36.1321
67.271713 100.720 -36.2538
67.759193 100.688 -36.3749
68.250206 100.655 -36.4928
68.744774 100.621 -36.6043
69.242928 100.586 -36.7108
69.744690 100.552 -36.8114
70.250084 100.519 -36.9098
70.759148 100.486 -37.0093
71.271896 100.454 -37.1098
71.788361 100.422 -37.2125
72.308571 100.389 -37.3168
72.832550 100.357 -37.4235
73.360321 100.323 -37.5298
73.891922 100.287 -37.6346
74.427376 100.250 -37.7338
74.966705 100.213 -37.8227
75.509949 100.176 -37.9029
76.057121 100.139 -37.9729
76.608261 100.104 -38.0379
77.163399 100.072 -38.1006
77.722557 100.042 -38.1669
78.285767 100.014 -38.2433
78.853058 99.986 -38.3298
79.424461 99.958 -38.4303
