* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\empire ears odin_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:26:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\empire ears odin_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: empire ears odin_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 92.115 -24.3240
5.036232 92.107 -24.3226
5.072727 92.099 -24.3210
5.109486 92.090 -24.3191
5.146511 92.079 -24.3170
5.183805 92.066 -24.3144
5.221369 92.051 -24.3120
5.259205 92.036 -24.3104
5.297316 92.020 -24.3090
5.335702 92.003 -24.3074
5.374367 91.986 -24.3060
5.413311 91.969 -24.3049
5.452538 91.952 -24.3040
5.492050 91.935 -24.3030
5.531847 91.918 -24.3020
5.571934 91.901 -24.3010
5.612310 91.884 -24.3000
5.652979 91.867 -24.2990
5.693943 91.850 -24.2980
5.735204 91.833 -24.2970
5.776763 91.816 -24.2960
5.818624 91.799 -24.2950
5.860788 91.782 -24.2940
5.903258 91.765 -24.2930
5.946035 91.748 -24.2920
5.989123 91.731 -24.2910
6.032523 91.714 -24.2900
6.076237 91.697 -24.2890
6.120268 91.680 -24.2880
6.164618 91.663 -24.2870
6.209289 91.646 -24.2860
6.254284 91.629 -24.2850
6.299605 91.612 -24.2840
6.345255 91.595 -24.2830
6.391235 91.578 -24.2820
6.437549 91.561 -24.2810
6.484198 91.544 -24.2800
6.531185 91.527 -24.2790
6.578513 91.510 -24.2780
6.626183 91.493 -24.2770
6.674199 91.476 -24.2760
6.722563 91.459 -24.2750
6.771278 91.442 -24.2740
6.820345 91.425 -24.2730
6.869768 91.408 -24.2720
6.919549 91.391 -24.2710
6.969691 91.374 -24.2700
7.020196 91.357 -24.2691
7.071068 91.340 -24.2680
7.122308 91.323 -24.2665
7.173919 91.306 -24.2650
7.225904 91.289 -24.2639
7.278266 91.272 -24.2630
7.331007 91.255 -24.2620
7.384131 91.238 -24.2610
7.437639 91.221 -24.2600
7.491535 91.204 -24.2590
7.545822 91.187 -24.2581
7.600502 91.170 -24.2570
7.655579 91.153 -24.2555
7.711054 91.136 -24.2540
7.766932 91.119 -24.2529
7.823214 91.102 -24.2520
7.879904 91.085 -24.2511
7.937005 91.068 -24.2500
7.994520 91.052 -24.2485
8.052452 91.035 -24.2470
8.110803 91.018 -24.2460
8.169578 91.001 -24.2450
8.228777 90.984 -24.2435
8.288406 90.967 -24.2420
8.348468 90.950 -24.2410
8.408964 90.933 -24.2400
8.469899 90.916 -24.2385
8.531276 90.899 -24.2370
8.593097 90.882 -24.2360
8.655366 90.865 -24.2350
8.718086 90.848 -24.2335
8.781260 90.831 -24.2320
8.844893 90.814 -24.2310
8.908987 90.797 -24.2300
8.973545 90.780 -24.2286
9.038571 90.763 -24.2270
9.104069 90.746 -24.2255
9.170040 90.729 -24.2240
9.236490 90.712 -24.2224
9.303422 90.695 -24.2210
9.370838 90.678 -24.2200
9.438744 90.661 -24.2190
9.507140 90.644 -24.2176
9.576033 90.627 -24.2160
9.645425 90.610 -24.2145
9.715320 90.593 -24.2130
9.785721 90.576 -24.2115
9.856632 90.559 -24.2100
9.928058 90.542 -24.2086
10.000000 90.525 -24.2070
10.072464 90.508 -24.2050
10.145453 90.491 -24.2030
10.218971 90.474 -24.2014
10.293022 90.457 -24.2000
10.367610 90.440 -24.1985
10.442738 90.423 -24.1970
10.518411 90.406 -24.1956
10.594631 90.389 -24.1940
10.671404 90.372 -24.1920
10.748734 90.355 -24.1900
10.826623 90.338 -24.1885
10.905077 90.321 -24.1870
10.984100 90.304 -24.1851
11.063695 90.287 -24.1830
11.143867 90.270 -24.1810
11.224621 90.253 -24.1790
11.305959 90.236 -24.1769
11.387886 90.219 -24.1750
11.470407 90.202 -24.1735
11.553527 90.185 -24.1720
11.637249 90.168 -24.1701
11.721577 90.151 -24.1680
11.806517 90.134 -24.1661
11.892071 90.117 -24.1640
11.978246 90.100 -24.1615
12.065045 90.083 -24.1590
12.152473 90.066 -24.1569
12.240536 90.049 -24.1550
12.329235 90.032 -24.1531
12.418578 90.015 -24.1510
12.508568 89.998 -24.1486
12.599211 89.981 -24.1460
12.690510 89.964 -24.1435
12.782471 89.947 -24.1410
12.875097 89.930 -24.1385
12.968395 89.913 -24.1360
13.062370 89.896 -24.1335
13.157025 89.879 -24.1310
13.252366 89.862 -24.1285
13.348398 89.845 -24.1260
13.445127 89.828 -24.1236
13.542556 89.811 -24.1210
13.640691 89.794 -24.1181
13.739536 89.777 -24.1150
13.839099 89.760 -24.1120
13.939383 89.743 -24.1090
14.040393 89.726 -24.1060
14.142136 89.709 -24.1030
14.244616 89.692 -24.1000
14.347837 89.675 -24.0970
14.451808 89.658 -24.0941
14.556532 89.641 -24.0910
14.662014 89.624 -24.0875
14.768262 89.607 -24.0840
14.875278 89.590 -24.0810
14.983070 89.573 -24.0780
15.091644 89.556 -24.0746
15.201005 89.539 -24.0710
15.311157 89.522 -24.0675
15.422109 89.505 -24.0640
15.533863 89.488 -24.0606
15.646428 89.471 -24.0570
15.759809 89.454 -24.0531
15.874010 89.437 -24.0490
15.989040 89.420 -24.0450
16.104904 89.403 -24.0410
16.221605 89.386 -24.0371
16.339155 89.369 -24.0330
16.457554 89.352 -24.0286
16.576813 89.335 -24.0240
16.696936 89.318 -24.0191
16.817928 89.301 -24.0140
16.939798 89.284 -24.0090
17.062551 89.267 -24.0040
17.186193 89.250 -23.9991
17.310732 89.233 -23.9940
17.436172 89.216 -23.9881
17.562521 89.199 -23.9820
17.689787 89.182 -23.9761
17.817974 89.165 -23.9700
17.947090 89.148 -23.9631
18.077143 89.131 -23.9560
18.208138 89.114 -23.9491
18.340080 89.097 -23.9420
18.472980 89.080 -23.9343
18.606844 89.063 -23.9260
18.741676 89.046 -23.9172
18.877487 89.029 -23.9080
19.014280 89.012 -23.8988
19.152065 88.995 -23.8890
19.290850 88.978 -23.8779
19.430639 88.961 -23.8660
19.571442 88.944 -23.8539
19.713264 88.927 -23.8410
19.856115 88.910 -23.8268
20.000000 88.893 -23.8110
20.144928 88.876 -23.7932
20.290907 88.859 -23.7730
20.437943 88.842 -23.7500
20.586044 88.826 -23.7240
20.735220 88.810 -23.6946
20.885475 88.794 -23.6630
21.036821 88.780 -23.6297
21.189262 88.767 -23.5970
21.342808 88.756 -23.5667
21.497467 88.746 -23.5410
21.653246 88.737 -23.5226
21.810154 88.728 -23.5120
21.968201 88.720 -23.5109
22.127390 88.712 -23.5190
22.287735 88.704 -23.5365
22.449242 88.695 -23.5630
22.611917 88.685 -23.5990
22.775772 88.674 -23.6419
22.940815 88.661 -23.6914
23.107054 88.645 -23.7419
23.274498 88.627 -23.7886
23.443153 88.607 -23.8299
23.613033 88.587 -23.8633
23.784142 88.565 -23.8880
23.956491 88.542 -23.9024
24.130091 88.519 -23.9070
24.304947 88.497 -23.9011
24.481071 88.476 -23.8870
24.658470 88.455 -23.8659
24.837156 88.435 -23.8400
25.017136 88.417 -23.8112
25.198421 88.401 -23.7820
25.381020 88.385 -23.7565
25.564941 88.370 -23.7320
25.750195 88.354 -23.7070
25.936790 88.339 -23.6820
26.124741 88.324 -23.6573
26.314051 88.310 -23.6320
26.504732 88.296 -23.6055
26.696796 88.282 -23.5770
26.890253 88.269 -23.5448
27.085112 88.257 -23.5120
27.281382 88.247 -23.4805
27.479073 88.239 -23.4520
27.678198 88.231 -23.4289
27.878765 88.224 -23.4120
28.080786 88.219 -23.4019
28.284271 88.216 -23.4020
28.489231 88.213 -23.4157
28.695675 88.211 -23.4430
28.903616 88.209 -23.4856
29.113064 88.206 -23.5419
29.324028 88.201 -23.6117
29.536524 88.195 -23.6919
29.750557 88.187 -23.7795
29.966141 88.177 -23.8749
30.183289 88.167 -23.9773
30.402010 88.155 -24.0869
30.622314 88.141 -24.2044
30.844217 88.124 -24.3269
31.067726 88.105 -24.4517
31.292856 88.083 -24.5788
31.519617 88.059 -24.7089
31.748020 88.032 -24.8368
31.978081 88.000 -24.9605
32.209808 87.963 -25.0719
32.443211 87.923 -25.1637
32.678310 87.879 -25.2319
32.915108 87.832 -25.2708
33.153625 87.783 -25.2780
33.393871 87.734 -25.2487
33.635857 87.685 -25.1841
33.879597 87.638 -25.0821
34.125103 87.593 -24.9482
34.372387 87.553 -24.7847
34.621464 87.519 -24.5993
34.872345 87.491 -24.3983
35.125042 87.468 -24.1883
35.379574 87.451 -23.9756
35.635948 87.439 -23.7662
35.894180 87.433 -23.5664
36.154285 87.432 -23.3813
36.416275 87.436 -23.2185
36.680161 87.443 -23.0772
36.945961 87.451 -22.9586
37.213688 87.461 -22.8631
37.483353 87.473 -22.7915
37.754974 87.486 -22.7441
38.028561 87.498 -22.7233
38.304131 87.509 -22.7240
38.581699 87.518 -22.7420
38.861279 87.527 -22.7769
39.142883 87.535 -22.8274
39.426529 87.542 -22.8919
39.712231 87.546 -22.9694
40.000000 87.548 -23.0579
40.289856 87.549 -23.1557
40.581814 87.548 -23.2608
40.875885 87.544 -23.3712
41.172089 87.537 -23.4848
41.470440 87.529 -23.5994
41.770950 87.520 -23.7138
42.073643 87.508 -23.8269
42.378525 87.494 -23.9368
42.685616 87.479 -24.0415
42.994934 87.462 -24.1409
43.306492 87.445 -24.2337
43.620308 87.427 -24.3209
43.936401 87.409 -24.4029
44.254780 87.390 -24.4799
44.575470 87.371 -24.5525
44.898483 87.351 -24.6199
45.223835 87.331 -24.6819
45.551544 87.310 -24.7379
45.881630 87.289 -24.7863
46.214108 87.269 -24.8299
46.548996 87.251 -24.8711
46.886307 87.234 -24.9099
47.226067 87.215 -24.9473
47.568283 87.196 -24.9829
47.912983 87.180 -25.0161
48.260181 87.164 -25.0499
48.609894 87.148 -25.0880
48.962143 87.133 -25.1279
49.316940 87.117 -25.1683
49.674313 87.102 -25.2099
50.034271 87.087 -25.2526
50.396843 87.073 -25.2979
50.762039 87.059 -25.3477
51.129883 87.045 -25.4009
51.500389 87.031 -25.4559
51.873581 87.017 -25.5159
52.249481 87.005 -25.5838
52.628101 86.992 -25.6589
53.009464 86.978 -25.7427
53.393593 86.962 -25.8308
53.780506 86.945 -25.9192
54.170223 86.927 -26.0089
54.562763 86.908 -26.1000
54.958145 86.889 -26.1919
55.356396 86.869 -26.2844
55.757530 86.847 -26.3749
56.161572 86.823 -26.4606
56.568542 86.799 -26.5419
56.978462 86.775 -26.6172
57.391350 86.752 -26.6899
57.807232 86.729 -26.7639
58.226128 86.705 -26.8359
58.648056 86.679 -26.9034
59.073048 86.653 -26.9679
59.501114 86.629 -27.0291
59.932281 86.605 -27.0899
60.366577 86.581 -27.1541
60.804020 86.556 -27.2179
61.244629 86.530 -27.2786
61.688435 86.503 -27.3369
62.135452 86.477 -27.3915
62.585712 86.452 -27.4449
63.039234 86.426 -27.4997
63.496040 86.400 -27.5539
63.956161 86.373 -27.6065
64.419617 86.346 -27.6569
64.886421 86.318 -27.7045
65.356621 86.290 -27.7489
65.830215 86.262 -27.7894
66.307251 86.234 -27.8269
66.787743 86.206 -27.8619
67.271713 86.179 -27.8949
67.759193 86.152 -27.9269
68.250206 86.125 -27.9569
68.744774 86.097 -27.9841
69.242928 86.070 -28.0100
69.744690 86.044 -28.0353
70.250084 86.019 -28.0619
70.759148 85.994 -28.0928
71.271896 85.968 -28.1259
71.788361 85.941 -28.1614
72.308571 85.914 -28.1969
72.832550 85.887 -28.2298
73.360321 85.859 -28.2619
73.891922 85.832 -28.2949
74.427376 85.804 -28.3269
74.966705 85.774 -28.3574
75.509949 85.744 -28.3840
76.057121 85.714 -28.4031
76.608261 85.684 -28.4180
77.163399 85.655 -28.4308
77.722557 85.626 -28.4410
78.285767 85.597 -28.4487
78.853058 85.568 -28.4540
79.424461 85.540 -28.4556
