* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Empire_Ears_Odyssey_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:28:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Empire_Ears_Odyssey_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Empire_Ears_Odyssey_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 98.273 -6.7960
5.036232 98.271 -6.8018
5.072727 98.269 -6.8080
5.109486 98.267 -6.8149
5.146511 98.265 -6.8230
5.183805 98.262 -6.8335
5.221369 98.259 -6.8450
5.259205 98.256 -6.8562
5.297316 98.253 -6.8680
5.335702 98.250 -6.8812
5.374367 98.246 -6.8950
5.413311 98.243 -6.9089
5.452538 98.239 -6.9230
5.492050 98.236 -6.9370
5.531847 98.232 -6.9510
5.571934 98.229 -6.9649
5.612310 98.225 -6.9790
5.652979 98.222 -6.9934
5.693943 98.218 -7.0080
5.735204 98.215 -7.0224
5.776763 98.211 -7.0370
5.818624 98.208 -7.0519
5.860788 98.204 -7.0670
5.903258 98.201 -7.0820
5.946035 98.197 -7.0970
5.989123 98.194 -7.1119
6.032523 98.190 -7.1270
6.076237 98.187 -7.1424
6.120268 98.183 -7.1580
6.164618 98.180 -7.1739
6.209289 98.176 -7.1900
6.254284 98.173 -7.2060
6.299605 98.169 -7.2220
6.345255 98.166 -7.2379
6.391235 98.162 -7.2540
6.437549 98.158 -7.2704
6.484198 98.155 -7.2870
6.531185 98.152 -7.3034
6.578513 98.149 -7.3200
6.626183 98.146 -7.3369
6.674199 98.142 -7.3540
6.722563 98.139 -7.3715
6.771278 98.135 -7.3890
6.820345 98.132 -7.4059
6.869768 98.128 -7.4230
6.919549 98.125 -7.4409
6.969691 98.121 -7.4590
7.020196 98.118 -7.4770
7.071068 98.114 -7.4950
7.122308 98.111 -7.5129
7.173919 98.107 -7.5310
7.225904 98.104 -7.5494
7.278266 98.100 -7.5680
7.331007 98.097 -7.5869
7.384131 98.093 -7.6060
7.437639 98.090 -7.6249
7.491535 98.086 -7.6440
7.545822 98.083 -7.6634
7.600502 98.079 -7.6830
7.655579 98.076 -7.7024
7.711054 98.072 -7.7220
7.766932 98.069 -7.7419
7.823214 98.065 -7.7620
7.879904 98.062 -7.7824
7.937005 98.058 -7.8030
7.994520 98.055 -7.8234
8.052452 98.051 -7.8440
8.110803 98.048 -7.8649
8.169578 98.044 -7.8860
8.228777 98.041 -7.9069
8.288406 98.037 -7.9280
8.348468 98.034 -7.9494
8.408964 98.030 -7.9710
8.469899 98.027 -7.9929
8.531276 98.023 -8.0150
8.593097 98.020 -8.0369
8.655366 98.016 -8.0590
8.718086 98.013 -8.0814
8.781260 98.009 -8.1040
8.844893 98.006 -8.1269
8.908987 98.002 -8.1500
8.973545 97.999 -8.1734
9.038571 97.995 -8.1970
9.104069 97.992 -8.2204
9.170040 97.988 -8.2440
9.236490 97.985 -8.2679
9.303422 97.981 -8.2920
9.370838 97.978 -8.3159
9.438744 97.974 -8.3400
9.507140 97.971 -8.3643
9.576033 97.967 -8.3890
9.645425 97.964 -8.4144
9.715320 97.960 -8.4400
9.785721 97.957 -8.4649
9.856632 97.953 -8.4900
9.928058 97.950 -8.5158
10.000000 97.946 -8.5420
10.072464 97.943 -8.5684
10.145453 97.939 -8.5950
10.218971 97.936 -8.6214
10.293022 97.932 -8.6480
10.367610 97.929 -8.6749
10.442738 97.925 -8.7020
10.518411 97.922 -8.7294
10.594631 97.918 -8.7570
10.671404 97.915 -8.7844
10.748734 97.911 -8.8120
10.826623 97.908 -8.8403
10.905077 97.904 -8.8690
10.984100 97.901 -8.8979
11.063695 97.897 -8.9270
11.143867 97.894 -8.9559
11.224621 97.890 -8.9850
11.305959 97.886 -9.0143
11.387886 97.883 -9.0440
11.470407 97.880 -9.0744
11.553527 97.877 -9.1050
11.637249 97.874 -9.1354
11.721577 97.870 -9.1660
11.806517 97.867 -9.1968
11.892071 97.863 -9.2280
11.978246 97.860 -9.2594
12.065045 97.856 -9.2910
12.152473 97.853 -9.3229
12.240536 97.849 -9.3550
12.329235 97.846 -9.3874
12.418578 97.842 -9.4200
12.508568 97.839 -9.4528
12.599211 97.835 -9.4860
12.690510 97.832 -9.5198
12.782471 97.828 -9.5540
12.875097 97.825 -9.5879
12.968395 97.821 -9.6220
13.062370 97.818 -9.6563
13.157025 97.814 -9.6910
13.252366 97.811 -9.7264
13.348398 97.807 -9.7620
13.445127 97.804 -9.7973
13.542556 97.800 -9.8330
13.640691 97.797 -9.8693
13.739536 97.793 -9.9060
13.839099 97.790 -9.9429
13.939383 97.786 -9.9800
14.040393 97.783 -10.0174
14.142136 97.779 -10.0550
14.244616 97.776 -10.0928
14.347837 97.772 -10.1310
14.451808 97.769 -10.1698
14.556532 97.765 -10.2090
14.662014 97.762 -10.2483
14.768262 97.758 -10.2880
14.875278 97.755 -10.3278
14.983070 97.751 -10.3680
15.091644 97.748 -10.4088
15.201005 97.744 -10.4500
15.311157 97.741 -10.4913
15.422109 97.737 -10.5330
15.533863 97.734 -10.5748
15.646428 97.730 -10.6170
15.759809 97.727 -10.6598
15.874010 97.723 -10.7030
15.989040 97.720 -10.7463
16.104904 97.716 -10.7900
16.221605 97.713 -10.8338
16.339155 97.709 -10.8779
16.457554 97.706 -10.9227
16.576813 97.702 -10.9680
16.696936 97.699 -11.0138
16.817928 97.695 -11.0600
16.939798 97.692 -11.1058
17.062551 97.688 -11.1519
17.186193 97.685 -11.1993
17.310732 97.681 -11.2470
17.436172 97.678 -11.2943
17.562521 97.674 -11.3420
17.689787 97.671 -11.3908
17.817974 97.667 -11.4399
17.947090 97.664 -11.4888
18.077143 97.660 -11.5380
18.208138 97.657 -11.5878
18.340080 97.653 -11.6379
18.472980 97.650 -11.6884
18.606844 97.646 -11.7390
18.741676 97.643 -11.7894
18.877487 97.639 -11.8399
19.014280 97.635 -11.8909
19.152065 97.632 -11.9419
19.290850 97.629 -11.9926
19.430639 97.626 -12.0430
19.571442 97.622 -12.0930
19.713264 97.619 -12.1429
19.856115 97.616 -12.1928
20.000000 97.614 -12.2430
20.144928 97.612 -12.2935
20.290907 97.610 -12.3450
20.437943 97.608 -12.3980
20.586044 97.607 -12.4530
20.735220 97.606 -12.5101
20.885475 97.605 -12.5699
21.036821 97.605 -12.6327
21.189262 97.605 -12.6989
21.342808 97.605 -12.7693
21.497467 97.605 -12.8439
21.653246 97.605 -12.9230
21.810154 97.605 -13.0069
21.968201 97.604 -13.0960
22.127390 97.603 -13.1899
22.287735 97.601 -13.2888
22.449242 97.599 -13.3909
22.611917 97.595 -13.4953
22.775772 97.590 -13.5989
22.940815 97.583 -13.6981
23.107054 97.575 -13.7929
23.274498 97.568 -13.8821
23.443153 97.560 -13.9659
23.613033 97.552 -14.0437
23.784142 97.544 -14.1169
23.956491 97.538 -14.1853
24.130091 97.533 -14.2529
24.304947 97.530 -14.3232
24.481071 97.527 -14.3979
24.658470 97.525 -14.4799
24.837156 97.523 -14.5689
25.017136 97.521 -14.6660
25.198421 97.518 -14.7689
25.381020 97.513 -14.8770
25.564941 97.507 -14.9859
25.750195 97.500 -15.0905
25.936790 97.492 -15.1919
26.124741 97.484 -15.2893
26.314051 97.476 -15.3839
26.504732 97.468 -15.4763
26.696796 97.461 -15.5669
26.890253 97.454 -15.6551
27.085112 97.448 -15.7449
27.281382 97.444 -15.8401
27.479073 97.439 -15.9399
27.678198 97.433 -16.0459
27.878765 97.426 -16.1548
28.080786 97.418 -16.2642
28.284271 97.410 -16.3739
28.489231 97.402 -16.4832
28.695675 97.393 -16.5919
28.903616 97.384 -16.6995
29.113064 97.374 -16.8049
29.324028 97.363 -16.9064
29.536524 97.352 -17.0049
29.750557 97.342 -17.0996
29.966141 97.333 -17.1929
30.183289 97.324 -17.2870
30.402010 97.316 -17.3819
30.622314 97.307 -17.4780
30.844217 97.298 -17.5759
31.067726 97.290 -17.6756
31.292856 97.283 -17.7788
31.519617 97.276 -17.8880
31.748020 97.268 -18.0009
31.978081 97.259 -18.1159
32.209808 97.249 -18.2328
32.443211 97.239 -18.3519
32.678310 97.229 -18.4708
32.915108 97.216 -18.5883
33.153625 97.203 -18.7019
33.393871 97.190 -18.8071
33.635857 97.177 -18.9088
33.879597 97.166 -19.0100
34.125103 97.155 -19.1119
34.372387 97.144 -19.2173
34.621464 97.133 -19.3248
34.872345 97.122 -19.4336
35.125042 97.111 -19.5439
35.379574 97.100 -19.6554
35.635948 97.088 -19.7689
35.894180 97.076 -19.8855
36.154285 97.064 -20.0028
36.416275 97.051 -20.1194
36.680161 97.037 -20.2338
36.945961 97.022 -20.3429
37.213688 97.008 -20.4508
37.483353 96.996 -20.5610
37.754974 96.984 -20.6728
38.028561 96.970 -20.7880
38.304131 96.956 -20.9038
38.581699 96.942 -21.0173
38.861279 96.928 -21.1308
39.142883 96.913 -21.2470
39.426529 96.898 -21.3618
39.712231 96.881 -21.4720
40.000000 96.864 -21.5788
40.289856 96.848 -21.6822
40.581814 96.833 -21.7839
40.875885 96.817 -21.8860
41.172089 96.802 -21.9868
41.470440 96.787 -22.0843
41.770950 96.772 -22.1818
42.073643 96.759 -22.2827
42.378525 96.746 -22.3859
42.685616 96.731 -22.4920
42.994934 96.716 -22.5989
43.306492 96.702 -22.7029
43.620308 96.688 -22.8088
43.936401 96.676 -22.9205
44.254780 96.664 -23.0368
44.575470 96.650 -23.1586
44.898483 96.635 -23.2838
45.223835 96.621 -23.4101
45.551544 96.606 -23.5388
45.881630 96.591 -23.6715
46.214108 96.575 -23.8058
46.548996 96.557 -23.9405
46.886307 96.538 -24.0738
47.226067 96.519 -24.2030
47.568283 96.499 -24.3298
47.912983 96.480 -24.4548
48.260181 96.460 -24.5778
48.609894 96.440 -24.6983
48.962143 96.419 -24.8178
49.316940 96.399 -24.9377
49.674313 96.379 -25.0578
50.034271 96.358 -25.1788
50.396843 96.336 -25.2998
50.762039 96.315 -25.4207
51.129883 96.293 -25.5398
51.500389 96.269 -25.6565
51.873581 96.243 -25.7668
52.249481 96.217 -25.8656
52.628101 96.191 -25.9559
53.009464 96.167 -26.0384
53.393593 96.143 -26.1149
53.780506 96.120 -26.1873
54.170223 96.097 -26.2549
54.562763 96.075 -26.3151
54.958145 96.056 -26.3759
55.356396 96.041 -26.4445
55.757530 96.027 -26.5209
56.161572 96.011 -26.6085
56.568542 95.995 -26.7038
56.978462 95.980 -26.8041
57.391350 95.965 -26.9108
57.807232 95.949 -27.0252
58.226128 95.932 -27.1448
58.648056 95.914 -27.2677
59.073048 95.894 -27.3928
59.501114 95.874 -27.5185
59.932281 95.853 -27.6438
60.366577 95.831 -27.7669
60.804020 95.808 -27.8878
61.244629 95.785 -28.0056
61.688435 95.762 -28.1208
62.135452 95.739 -28.2337
62.585712 95.715 -28.3438
63.039234 95.691 -28.4503
63.496040 95.667 -28.5548
63.956161 95.644 -28.6586
64.419617 95.622 -28.7628
64.886421 95.599 -28.8685
65.356621 95.576 -28.9768
65.830215 95.554 -29.0898
66.307251 95.532 -29.2058
66.787743 95.508 -29.3244
67.271713 95.483 -29.4438
67.759193 95.458 -29.5623
68.250206 95.431 -29.6788
68.744774 95.403 -29.7930
69.242928 95.374 -29.9008
69.744690 95.344 -29.9966
70.250084 95.314 -30.0848
70.759148 95.287 -30.1672
71.271896 95.261 -30.2469
71.788361 95.234 -30.3285
72.308571 95.208 -30.4088
72.832550 95.181 -30.4845
73.360321 95.156 -30.5609
73.891922 95.134 -30.6420
74.427376 95.112 -30.7278
74.966705 95.088 -30.8214
75.509949 95.064 -30.9178
76.057121 95.039 -31.0124
76.608261 95.013 -31.1078
77.163399 94.989 -31.2054
77.722557 94.965 -31.3048
78.285767 94.939 -31.4067
78.853058 94.912 -31.5098
