* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Blessing3_L_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:05:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Blessing3_L_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Blessing3_L_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 94.445 -13.0010
5.036232 94.442 -13.0043
5.072727 94.438 -13.0080
5.109486 94.433 -13.0125
5.146511 94.428 -13.0180
5.183805 94.422 -13.0251
5.221369 94.415 -13.0330
5.259205 94.408 -13.0407
5.297316 94.400 -13.0490
5.335702 94.392 -13.0582
5.374367 94.383 -13.0680
5.413311 94.375 -13.0779
5.452538 94.367 -13.0880
5.492050 94.359 -13.0980
5.531847 94.351 -13.1080
5.571934 94.343 -13.1180
5.612310 94.335 -13.1280
5.652979 94.326 -13.1379
5.693943 94.318 -13.1480
5.735204 94.310 -13.1584
5.776763 94.302 -13.1690
5.818624 94.294 -13.1800
5.860788 94.286 -13.1910
5.903258 94.278 -13.2015
5.946035 94.269 -13.2120
5.989123 94.261 -13.2229
6.032523 94.253 -13.2340
6.076237 94.245 -13.2449
6.120268 94.237 -13.2560
6.164618 94.229 -13.2674
6.209289 94.220 -13.2790
6.254284 94.212 -13.2905
6.299605 94.204 -13.3020
6.345255 94.196 -13.3134
6.391235 94.188 -13.3250
6.437549 94.180 -13.3369
6.484198 94.171 -13.3490
6.531185 94.163 -13.3610
6.578513 94.155 -13.3730
6.626183 94.147 -13.3849
6.674199 94.139 -13.3970
6.722563 94.131 -13.4094
6.771278 94.122 -13.4220
6.820345 94.114 -13.4350
6.869768 94.106 -13.4480
6.919549 94.098 -13.4605
6.969691 94.090 -13.4730
7.020196 94.081 -13.4859
7.071068 94.073 -13.4990
7.122308 94.065 -13.5119
7.173919 94.057 -13.5250
7.225904 94.049 -13.5384
7.278266 94.041 -13.5520
7.331007 94.033 -13.5654
7.384131 94.025 -13.5790
7.437639 94.017 -13.5929
7.491535 94.008 -13.6070
7.545822 94.000 -13.6209
7.600502 93.992 -13.6350
7.655579 93.984 -13.6494
7.711054 93.976 -13.6640
7.766932 93.967 -13.6785
7.823214 93.959 -13.6930
7.879904 93.951 -13.7074
7.937005 93.943 -13.7220
7.994520 93.935 -13.7369
8.052452 93.927 -13.7520
8.110803 93.919 -13.7669
8.169578 93.910 -13.7820
8.228777 93.902 -13.7974
8.288406 93.894 -13.8130
8.348468 93.886 -13.8284
8.408964 93.878 -13.8440
8.469899 93.869 -13.8599
8.531276 93.861 -13.8760
8.593097 93.853 -13.8919
8.655366 93.845 -13.9080
8.718086 93.837 -13.9244
8.781260 93.829 -13.9410
8.844893 93.821 -13.9574
8.908987 93.812 -13.9740
8.973545 93.804 -13.9909
9.038571 93.796 -14.0080
9.104069 93.788 -14.0255
9.170040 93.780 -14.0430
9.236490 93.771 -14.0599
9.303422 93.763 -14.0770
9.370838 93.755 -14.0949
9.438744 93.747 -14.1130
9.507140 93.739 -14.1310
9.576033 93.731 -14.1490
9.645425 93.723 -14.1669
9.715320 93.715 -14.1850
9.785721 93.706 -14.2039
9.856632 93.698 -14.2230
9.928058 93.690 -14.2414
10.000000 93.682 -14.2600
10.072464 93.674 -14.2794
10.145453 93.666 -14.2990
10.218971 93.658 -14.3185
10.293022 93.649 -14.3380
10.367610 93.641 -14.3574
10.442738 93.633 -14.3770
10.518411 93.625 -14.3969
10.594631 93.617 -14.4170
10.671404 93.608 -14.4374
10.748734 93.600 -14.4580
10.826623 93.592 -14.4789
10.905077 93.584 -14.5000
10.984100 93.576 -14.5209
11.063695 93.568 -14.5420
11.143867 93.560 -14.5634
11.224621 93.551 -14.5850
11.305959 93.543 -14.6064
11.387886 93.535 -14.6280
11.470407 93.527 -14.6504
11.553527 93.519 -14.6730
11.637249 93.511 -14.6954
11.721577 93.502 -14.7180
11.806517 93.494 -14.7409
11.892071 93.486 -14.7640
11.978246 93.478 -14.7869
12.065045 93.470 -14.8100
12.152473 93.462 -14.8334
12.240536 93.453 -14.8570
12.329235 93.445 -14.8809
12.418578 93.437 -14.9050
12.508568 93.429 -14.9294
12.599211 93.421 -14.9540
12.690510 93.413 -14.9789
12.782471 93.405 -15.0040
12.875097 93.397 -15.0294
12.968395 93.388 -15.0550
13.062370 93.380 -15.0804
13.157025 93.372 -15.1060
13.252366 93.364 -15.1319
13.348398 93.356 -15.1580
13.445127 93.348 -15.1843
13.542556 93.339 -15.2110
13.640691 93.331 -15.2384
13.739536 93.323 -15.2660
13.839099 93.315 -15.2934
13.939383 93.307 -15.3210
14.040393 93.299 -15.3489
14.142136 93.290 -15.3770
14.244616 93.282 -15.4049
14.347837 93.274 -15.4330
14.451808 93.266 -15.4618
14.556532 93.258 -15.4910
14.662014 93.250 -15.5204
14.768262 93.241 -15.5500
14.875278 93.233 -15.5798
14.983070 93.225 -15.6100
15.091644 93.217 -15.6408
15.201005 93.209 -15.6720
15.311157 93.201 -15.7029
15.422109 93.192 -15.7340
15.533863 93.184 -15.7653
15.646428 93.176 -15.7970
15.759809 93.168 -15.8294
15.874010 93.160 -15.8620
15.989040 93.152 -15.8944
16.104904 93.143 -15.9270
16.221605 93.135 -15.9603
16.339155 93.127 -15.9940
16.457554 93.119 -16.0278
16.576813 93.111 -16.0620
16.696936 93.103 -16.0969
16.817928 93.095 -16.1320
16.939798 93.087 -16.1668
17.062551 93.078 -16.2020
17.186193 93.070 -16.2378
17.310732 93.062 -16.2740
17.436172 93.054 -16.3104
17.562521 93.046 -16.3470
17.689787 93.038 -16.3838
17.817974 93.029 -16.4210
17.947090 93.021 -16.4583
18.077143 93.013 -16.4960
18.208138 93.005 -16.5343
18.340080 92.997 -16.5730
18.472980 92.989 -16.6119
18.606844 92.980 -16.6510
18.741676 92.972 -16.6900
18.877487 92.964 -16.7290
19.014280 92.956 -16.7680
19.152065 92.948 -16.8070
19.290850 92.940 -16.8459
19.430639 92.932 -16.8850
19.571442 92.924 -16.9242
19.713264 92.917 -16.9640
19.856115 92.909 -17.0046
20.000000 92.902 -17.0470
20.144928 92.896 -17.0924
20.290907 92.890 -17.1400
20.437943 92.883 -17.1893
20.586044 92.875 -17.2400
20.735220 92.867 -17.2909
20.885475 92.860 -17.3429
21.036821 92.853 -17.3964
21.189262 92.846 -17.4519
21.342808 92.839 -17.5107
21.497467 92.832 -17.5709
21.653246 92.824 -17.6312
21.810154 92.815 -17.6919
21.968201 92.807 -17.7532
22.127390 92.798 -17.8149
22.287735 92.789 -17.8779
22.449242 92.780 -17.9400
22.611917 92.770 -17.9989
22.775772 92.759 -18.0549
22.940815 92.749 -18.1064
23.107054 92.740 -18.1559
23.274498 92.732 -18.2053
23.443153 92.725 -18.2559
23.613033 92.718 -18.3098
23.784142 92.711 -18.3669
23.956491 92.704 -18.4281
24.130091 92.698 -18.4929
24.304947 92.692 -18.5615
24.481071 92.685 -18.6339
24.658470 92.679 -18.7100
24.837156 92.672 -18.7899
25.017136 92.665 -18.8744
25.198421 92.658 -18.9619
25.381020 92.649 -19.0513
25.564941 92.640 -19.1419
25.750195 92.631 -19.2324
25.936790 92.621 -19.3239
26.124741 92.611 -19.4180
26.314051 92.600 -19.5119
26.504732 92.588 -19.6026
26.696796 92.576 -19.6919
26.890253 92.564 -19.7804
27.085112 92.553 -19.8689
27.281382 92.542 -19.9586
27.479073 92.530 -20.0489
27.678198 92.518 -20.1388
27.878765 92.506 -20.2299
28.080786 92.494 -20.3241
28.284271 92.482 -20.4199
28.489231 92.469 -20.5169
28.695675 92.455 -20.6139
28.903616 92.441 -20.7088
29.113064 92.426 -20.8029
29.324028 92.412 -20.8966
29.536524 92.398 -20.9899
29.750557 92.383 -21.0825
29.966141 92.368 -21.1749
30.183289 92.353 -21.2678
30.402010 92.337 -21.3609
30.622314 92.322 -21.4548
30.844217 92.306 -21.5479
31.067726 92.289 -21.6388
31.292856 92.271 -21.7269
31.519617 92.253 -21.8103
31.748020 92.236 -21.8909
31.978081 92.219 -21.9700
32.209808 92.202 -22.0469
32.443211 92.185 -22.1204
32.678310 92.169 -22.1939
32.915108 92.155 -22.2697
33.153625 92.142 -22.3499
33.393871 92.129 -22.4382
33.635857 92.115 -22.5319
33.879597 92.100 -22.6291
34.125103 92.085 -22.7299
34.372387 92.069 -22.8337
34.621464 92.053 -22.9398
34.872345 92.035 -23.0486
35.125042 92.016 -23.1569
35.379574 91.996 -23.2615
35.635948 91.975 -23.3629
35.894180 91.954 -23.4598
36.154285 91.933 -23.5539
36.416275 91.912 -23.6470
36.680161 91.891 -23.7379
36.945961 91.869 -23.8263
37.213688 91.846 -23.9109
37.483353 91.823 -23.9893
37.754974 91.801 -24.0639
38.028561 91.780 -24.1358
38.304131 91.759 -24.2059
38.581699 91.738 -24.2753
38.861279 91.717 -24.3439
39.142883 91.697 -24.4113
39.426529 91.677 -24.4799
39.712231 91.659 -24.5513
40.000000 91.641 -24.6269
40.289856 91.623 -24.7094
40.581814 91.604 -24.7959
40.875885 91.584 -24.8849
41.172089 91.563 -24.9749
41.470440 91.541 -25.0634
41.770950 91.519 -25.1509
42.073643 91.497 -25.2370
42.378525 91.474 -25.3209
42.685616 91.451 -25.4013
42.994934 91.427 -25.4789
43.306492 91.404 -25.5537
43.620308 91.381 -25.6269
43.936401 91.358 -25.6994
44.254780 91.336 -25.7719
44.575470 91.314 -25.8444
44.898483 91.293 -25.9189
45.223835 91.272 -25.9978
45.551544 91.250 -26.0799
45.881630 91.228 -26.1652
46.214108 91.206 -26.2529
46.548996 91.183 -26.3422
46.886307 91.159 -26.4329
47.226067 91.135 -26.5249
47.568283 91.110 -26.6168
47.912983 91.084 -26.7080
48.260181 91.057 -26.7969
48.609894 91.029 -26.8817
48.962143 91.000 -26.9619
49.316940 90.971 -27.0357
49.674313 90.942 -27.1039
50.034271 90.913 -27.1663
50.396843 90.884 -27.2239
50.762039 90.856 -27.2768
51.129883 90.829 -27.3269
51.500389 90.803 -27.3753
51.873581 90.777 -27.4249
52.249481 90.753 -27.4792
52.628101 90.730 -27.5379
53.009464 90.706 -27.6020
53.393593 90.682 -27.6719
53.780506 90.658 -27.7484
54.170223 90.634 -27.8309
54.562763 90.609 -27.9199
54.958145 90.582 -28.0119
55.356396 90.552 -28.1045
55.757530 90.521 -28.1949
56.161572 90.489 -28.2797
56.568542 90.456 -28.3579
56.978462 90.421 -28.4268
57.391350 90.386 -28.4879
57.807232 90.352 -28.5413
58.226128 90.318 -28.5879
58.648056 90.283 -28.6281
59.073048 90.249 -28.6629
59.501114 90.216 -28.6932
59.932281 90.184 -28.7210
60.366577 90.153 -28.7484
60.804020 90.123 -28.7760
61.244629 90.092 -28.8052
61.688435 90.061 -28.8349
62.135452 90.030 -28.8645
62.585712 90.000 -28.8939
63.039234 89.970 -28.9232
63.496040 89.939 -28.9520
63.956161 89.908 -28.9793
64.419617 89.878 -29.0070
64.886421 89.849 -29.0365
65.356621 89.819 -29.0679
65.830215 89.789 -29.1021
66.307251 89.758 -29.1379
66.787743 89.727 -29.1751
67.271713 89.696 -29.2129
67.759193 89.664 -29.2518
68.250206 89.631 -29.2889
68.744774 89.597 -29.3217
69.242928 89.562 -29.3500
69.744690 89.527 -29.3724
70.250084 89.492 -29.3900
70.759148 89.457 -29.4027
71.271896 89.423 -29.4120
71.788361 89.390 -29.4186
72.308571 89.357 -29.4250
72.832550 89.325 -29.4339
73.360321 89.293 -29.4450
73.891922 89.261 -29.4598
74.427376 89.228 -29.4760
74.966705 89.194 -29.4920
75.509949 89.160 -29.5070
76.057121 89.125 -29.5197
76.608261 89.090 -29.5300
77.163399 89.054 -29.5375
77.722557 89.018 -29.5420
78.285767 88.982 -29.5428
78.853058 88.945 -29.5400
79.424461 88.909 -29.5335
