* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Moondrop Illumination_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:20:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Moondrop Illumination_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Moondrop Illumination_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 85.825 8.9450
5.036232 85.828 8.9421
5.072727 85.831 8.9390
5.109486 85.835 8.9357
5.146511 85.839 8.9320
5.183805 85.844 8.9277
5.221369 85.850 8.9230
5.259205 85.856 8.9181
5.297316 85.862 8.9130
5.335702 85.868 8.9080
5.374367 85.875 8.9030
5.413311 85.882 8.8981
5.452538 85.889 8.8930
5.492050 85.896 8.8875
5.531847 85.902 8.8820
5.571934 85.909 8.8770
5.612310 85.916 8.8720
5.652979 85.923 8.8666
5.693943 85.929 8.8610
5.735204 85.935 8.8555
5.776763 85.942 8.8500
5.818624 85.949 8.8445
5.860788 85.956 8.8390
5.903258 85.963 8.8335
5.946035 85.969 8.8280
5.989123 85.976 8.8226
6.032523 85.983 8.8170
6.076237 85.990 8.8110
6.120268 85.996 8.8050
6.164618 86.002 8.7995
6.209289 86.009 8.7940
6.254284 86.016 8.7881
6.299605 86.023 8.7820
6.345255 86.030 8.7760
6.391235 86.036 8.7700
6.437549 86.042 8.7640
6.484198 86.049 8.7580
6.531185 86.056 8.7520
6.578513 86.063 8.7460
6.626183 86.069 8.7401
6.674199 86.076 8.7340
6.722563 86.083 8.7275
6.771278 86.090 8.7210
6.820345 86.097 8.7150
6.869768 86.103 8.7090
6.919549 86.109 8.7026
6.969691 86.116 8.6960
7.020196 86.123 8.6895
7.071068 86.130 8.6830
7.122308 86.137 8.6766
7.173919 86.143 8.6700
7.225904 86.149 8.6630
7.278266 86.156 8.6560
7.331007 86.163 8.6495
7.384131 86.170 8.6430
7.437639 86.176 8.6361
7.491535 86.183 8.6290
7.545822 86.190 8.6220
7.600502 86.197 8.6150
7.655579 86.204 8.6080
7.711054 86.210 8.6010
7.766932 86.216 8.5940
7.823214 86.223 8.5870
7.879904 86.230 8.5801
7.937005 86.237 8.5730
7.994520 86.243 8.5656
8.052452 86.250 8.5580
8.110803 86.257 8.5505
8.169578 86.264 8.5430
8.228777 86.271 8.5355
8.288406 86.277 8.5280
8.348468 86.283 8.5206
8.408964 86.290 8.5130
8.469899 86.297 8.5050
8.531276 86.304 8.4970
8.593097 86.311 8.4895
8.655366 86.317 8.4820
8.718086 86.323 8.4741
8.781260 86.330 8.4660
8.844893 86.337 8.4580
8.908987 86.344 8.4500
8.973545 86.351 8.4421
9.038571 86.357 8.4340
9.104069 86.364 8.4255
9.170040 86.371 8.4170
9.236490 86.378 8.4090
9.303422 86.384 8.4010
9.370838 86.390 8.3926
9.438744 86.397 8.3840
9.507140 86.404 8.3756
9.576033 86.411 8.3670
9.645425 86.418 8.3580
9.715320 86.424 8.3490
9.785721 86.430 8.3405
9.856632 86.437 8.3320
9.928058 86.444 8.3231
10.000000 86.451 8.3140
10.072464 86.457 8.3050
10.145453 86.464 8.2960
10.218971 86.471 8.2871
10.293022 86.478 8.2780
10.367610 86.485 8.2685
10.442738 86.491 8.2590
10.518411 86.497 8.2500
10.594631 86.504 8.2410
10.671404 86.511 8.2316
10.748734 86.518 8.2220
10.826623 86.524 8.2126
10.905077 86.531 8.2030
10.984100 86.538 8.1930
11.063695 86.545 8.1830
11.143867 86.552 8.1735
11.224621 86.558 8.1640
11.305959 86.564 8.1541
11.387886 86.571 8.1440
11.470407 86.578 8.1340
11.553527 86.585 8.1240
11.637249 86.592 8.1140
11.721577 86.598 8.1040
11.806517 86.604 8.0941
11.892071 86.611 8.0840
11.978246 86.618 8.0736
12.065045 86.625 8.0630
12.152473 86.632 8.0525
12.240536 86.638 8.0420
12.329235 86.645 8.0315
12.418578 86.652 8.0210
12.508568 86.659 8.0106
12.599211 86.665 8.0000
12.690510 86.671 7.9890
12.782471 86.678 7.9780
12.875097 86.685 7.9675
12.968395 86.692 7.9570
13.062370 86.699 7.9461
13.157025 86.705 7.9350
13.252366 86.712 7.9240
13.348398 86.719 7.9130
13.445127 86.726 7.9021
13.542556 86.732 7.8910
13.640691 86.738 7.8795
13.739536 86.745 7.8680
13.839099 86.752 7.8570
13.939383 86.759 7.8460
14.040393 86.766 7.8345
14.142136 86.772 7.8230
14.244616 86.778 7.8120
14.347837 86.785 7.8010
14.451808 86.792 7.7896
14.556532 86.799 7.7780
14.662014 86.805 7.7665
14.768262 86.812 7.7550
14.875278 86.819 7.7435
14.983070 86.826 7.7320
15.091644 86.833 7.7205
15.201005 86.839 7.7090
15.311157 86.845 7.6976
15.422109 86.852 7.6860
15.533863 86.859 7.6740
15.646428 86.866 7.6620
15.759809 86.873 7.6504
15.874010 86.879 7.6390
15.989040 86.885 7.6280
16.104904 86.892 7.6170
16.221605 86.899 7.6055
16.339155 86.906 7.5940
16.457554 86.912 7.5829
16.576813 86.919 7.5720
16.696936 86.926 7.5609
16.817928 86.933 7.5500
16.939798 86.940 7.5399
17.062551 86.946 7.5300
17.186193 86.952 7.5199
17.310732 86.959 7.5100
17.436172 86.966 7.5003
17.562521 86.973 7.4910
17.689787 86.979 7.4823
17.817974 86.986 7.4740
17.947090 86.993 7.4658
18.077143 87.000 7.4580
18.208138 87.007 7.4511
18.340080 87.013 7.4450
18.472980 87.019 7.4396
18.606844 87.026 7.4350
18.741676 87.033 7.4314
18.877487 87.040 7.4290
19.014280 87.047 7.4281
19.152065 87.053 7.4290
19.290850 87.059 7.4321
19.430639 87.066 7.4380
19.571442 87.073 7.4474
19.713264 87.080 7.4610
19.856115 87.087 7.4797
20.000000 87.095 7.5040
20.144928 87.103 7.5357
20.290907 87.113 7.5720
20.437943 87.126 7.6123
20.586044 87.142 7.6520
20.735220 87.160 7.6875
20.885475 87.180 7.7140
21.036821 87.203 7.7269
21.189262 87.229 7.7220
21.342808 87.256 7.6928
21.497467 87.283 7.6421
21.653246 87.308 7.5685
21.810154 87.330 7.4781
21.968201 87.349 7.3748
22.127390 87.366 7.2631
22.287735 87.380 7.1475
22.449242 87.391 7.0331
22.611917 87.398 6.9272
22.775772 87.405 6.8271
22.940815 87.413 6.7350
23.107054 87.422 6.6441
23.274498 87.431 6.5483
23.443153 87.439 6.4481
23.613033 87.446 6.3409
23.784142 87.451 6.2311
23.956491 87.454 6.1216
24.130091 87.454 6.0151
24.304947 87.452 5.9139
24.481071 87.448 5.8221
24.658470 87.441 5.7438
24.837156 87.433 5.6821
25.017136 87.424 5.6425
25.198421 87.416 5.6210
25.381020 87.410 5.6169
25.564941 87.406 5.6260
25.750195 87.404 5.6442
25.936790 87.404 5.6700
26.124741 87.406 5.7018
26.314051 87.411 5.7360
26.504732 87.419 5.7691
26.696796 87.429 5.7980
26.890253 87.441 5.8180
27.085112 87.454 5.8300
27.281382 87.468 5.8333
27.479073 87.483 5.8280
27.678198 87.499 5.8152
27.878765 87.516 5.7920
28.080786 87.534 5.7557
28.284271 87.552 5.7071
28.489231 87.568 5.6448
28.695675 87.584 5.5721
28.903616 87.599 5.4917
29.113064 87.613 5.4031
29.324028 87.626 5.3067
29.536524 87.638 5.2031
29.750557 87.648 5.0914
29.966141 87.656 4.9771
30.183289 87.661 4.8653
30.402010 87.664 4.7571
30.622314 87.666 4.6559
30.844217 87.667 4.5611
31.067726 87.667 4.4736
31.292856 87.667 4.3921
31.519617 87.667 4.3162
31.748020 87.667 4.2451
31.978081 87.667 4.1779
32.209808 87.667 4.1141
32.443211 87.667 4.0527
32.678310 87.667 3.9941
32.915108 87.667 3.9383
33.153625 87.667 3.8851
33.393871 87.667 3.8339
33.635857 87.667 3.7851
33.879597 87.667 3.7384
34.125103 87.667 3.6941
34.372387 87.667 3.6521
34.621464 87.667 3.6131
34.872345 87.667 3.5774
35.125042 87.667 3.5450
35.379574 87.667 3.5160
35.635948 87.667 3.4910
35.894180 87.668 3.4709
36.154285 87.669 3.4550
36.416275 87.671 3.4437
36.680161 87.674 3.4350
36.945961 87.679 3.4279
37.213688 87.685 3.4200
37.483353 87.693 3.4095
37.754974 87.702 3.3940
38.028561 87.712 3.3710
38.304131 87.723 3.3390
38.581699 87.735 3.2958
38.861279 87.747 3.2421
39.142883 87.758 3.1773
39.426529 87.768 3.1041
39.712231 87.777 3.0243
40.000000 87.784 2.9401
40.289856 87.790 2.8536
40.581814 87.794 2.7671
40.875885 87.796 2.6836
41.172089 87.798 2.6031
41.470440 87.799 2.5269
41.770950 87.800 2.4551
42.073643 87.800 2.3884
42.378525 87.800 2.3261
42.685616 87.800 2.2677
42.994934 87.800 2.2131
43.306492 87.800 2.1617
43.620308 87.800 2.1141
43.936401 87.800 2.0703
44.254780 87.800 2.0311
44.575470 87.800 1.9969
44.898483 87.800 1.9680
45.223835 87.801 1.9452
45.551544 87.804 1.9270
45.881630 87.808 1.9136
46.214108 87.813 1.9010
46.548996 87.821 1.8868
46.886307 87.832 1.8660
47.226067 87.845 1.8326
47.568283 87.858 1.7871
47.912983 87.871 1.7280
48.260181 87.883 1.6561
48.609894 87.895 1.5708
48.962143 87.907 1.4742
49.316940 87.917 1.3663
49.674313 87.924 1.2532
50.034271 87.928 1.1403
50.396843 87.931 1.0292
50.762039 87.932 0.9235
51.129883 87.933 0.8222
51.500389 87.933 0.7256
51.873581 87.933 0.6332
52.249481 87.933 0.5447
52.628101 87.933 0.4591
53.009464 87.933 0.3753
53.393593 87.933 0.2931
53.780506 87.933 0.2126
54.170223 87.933 0.1331
54.562763 87.933 0.0538
54.958145 87.933 -0.0249
55.356396 87.933 -0.1026
55.757530 87.933 -0.1799
56.161572 87.933 -0.2573
56.568542 87.933 -0.3349
56.978462 87.933 -0.4127
57.391350 87.933 -0.4909
57.807232 87.933 -0.5690
58.226128 87.933 -0.6479
58.648056 87.933 -0.7279
59.073048 87.933 -0.8089
59.501114 87.933 -0.8906
59.932281 87.933 -0.9738
60.366577 87.933 -1.0588
60.804020 87.933 -1.1468
61.244629 87.933 -1.2397
61.688435 87.933 -1.3368
62.135452 87.932 -1.4382
62.585712 87.930 -1.5438
63.039234 87.927 -1.6552
63.496040 87.923 -1.7678
63.956161 87.915 -1.8796
64.419617 87.905 -1.9848
64.886421 87.893 -2.0764
65.356621 87.880 -2.1559
65.830215 87.867 -2.2224
66.307251 87.854 -2.2759
66.787743 87.841 -2.3155
67.271713 87.829 -2.3430
67.759193 87.819 -2.3576
68.250206 87.811 -2.3660
68.744774 87.806 -2.3738
69.242928 87.803 -2.3830
69.744690 87.801 -2.3977
70.250084 87.800 -2.4170
70.759148 87.800 -2.4411
71.271896 87.800 -2.4699
71.788361 87.800 -2.5042
72.308571 87.800 -2.5419
72.832550 87.800 -2.5813
73.360321 87.800 -2.6229
73.891922 87.800 -2.6670
74.427376 87.800 -2.7129
74.966705 87.800 -2.7597
75.509949 87.800 -2.8079
76.057121 87.800 -2.8577
76.608261 87.800 -2.9089
77.163399 87.800 -2.9613
77.722557 87.800 -3.0149
78.285767 87.800 -3.0698
78.853058 87.800 -3.1259
79.424461 87.800 -3.1833
80.000000 87.800 -3.2419
80.579712 87.800 -3.3017
81.163628 87.800 -3.3629
81.751770 87.800 -3.4257
82.344177 87.800 -3.4899
82.940880 87.800 -3.5551
83.541901 87.800 -3.6219
84.147285 87.800 -3.6909
84.757050 87.800 -3.7619
85.371231 87.800 -3.8346
85.989868 87.800 -3.9098
86.612984 87.800 -3.9879
87.240616 87.800 -4.0698
87.872803 87.800 -4.1569
88.509560 87.800 -4.2488
89.150940 87.799 -4.3454
89.796967 87.797 -4.4468
90.447670 87.795 -4.5547
91.103088 87.791 -4.6648
91.763260 87.784 -4.7746
92.428215 87.774 -4.8798
93.097992 87.763 -4.9748
