* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Moondrop Sparks_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:22:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Moondrop Sparks_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Moondrop Sparks_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 91.174 15.5950
5.036232 91.180 15.5873
5.072727 91.186 15.5790
5.109486 91.193 15.5698
5.146511 91.201 15.5590
5.183805 91.211 15.5456
5.221369 91.221 15.5310
5.259205 91.232 15.5168
5.297316 91.243 15.5020
5.335702 91.255 15.4863
5.374367 91.267 15.4700
5.413311 91.279 15.4535
5.452538 91.292 15.4370
5.492050 91.305 15.4211
5.531847 91.317 15.4050
5.571934 91.329 15.3881
5.612310 91.341 15.3710
5.652979 91.354 15.3545
5.693943 91.366 15.3380
5.735204 91.378 15.3211
5.776763 91.390 15.3040
5.818624 91.402 15.2866
5.860788 91.415 15.2690
5.903258 91.428 15.2516
5.946035 91.440 15.2340
5.989123 91.452 15.2161
6.032523 91.464 15.1980
6.076237 91.476 15.1801
6.120268 91.489 15.1620
6.164618 91.501 15.1436
6.209289 91.513 15.1250
6.254284 91.525 15.1065
6.299605 91.538 15.0880
6.345255 91.551 15.0696
6.391235 91.563 15.0510
6.437549 91.575 15.0316
6.484198 91.587 15.0120
6.531185 91.599 14.9931
6.578513 91.612 14.9740
6.626183 91.624 14.9541
6.674199 91.636 14.9340
6.722563 91.648 14.9140
6.771278 91.661 14.8940
6.820345 91.673 14.8741
6.869768 91.685 14.8540
6.919549 91.697 14.8336
6.969691 91.710 14.8130
7.020196 91.723 14.7921
7.071068 91.735 14.7710
7.122308 91.747 14.7501
7.173919 91.759 14.7290
7.225904 91.771 14.7076
7.278266 91.784 14.6860
7.331007 91.796 14.6641
7.384131 91.808 14.6420
7.437639 91.820 14.6201
7.491535 91.833 14.5980
7.545822 91.846 14.5756
7.600502 91.858 14.5530
7.655579 91.870 14.5301
7.711054 91.882 14.5070
7.766932 91.895 14.4841
7.823214 91.907 14.4610
7.879904 91.919 14.4376
7.937005 91.931 14.4140
7.994520 91.943 14.3901
8.052452 91.956 14.3660
8.110803 91.969 14.3421
8.169578 91.981 14.3180
8.228777 91.993 14.2936
8.288406 92.005 14.2690
8.348468 92.017 14.2441
8.408964 92.030 14.2190
8.469899 92.042 14.1936
8.531276 92.054 14.1680
8.593097 92.066 14.1426
8.655366 92.079 14.1170
8.718086 92.091 14.0906
8.781260 92.103 14.0640
8.844893 92.115 14.0376
8.908987 92.128 14.0110
8.973545 92.141 13.9841
9.038571 92.153 13.9570
9.104069 92.165 13.9301
9.170040 92.177 13.9030
9.236490 92.189 13.8751
9.303422 92.202 13.8470
9.370838 92.214 13.8191
9.438744 92.226 13.7910
9.507140 92.238 13.7626
9.576033 92.251 13.7340
9.645425 92.264 13.7051
9.715320 92.276 13.6760
9.785721 92.288 13.6466
9.856632 92.300 13.6170
9.928058 92.312 13.5871
10.000000 92.325 13.5570
10.072464 92.337 13.5267
10.145453 92.349 13.4960
10.218971 92.361 13.4651
10.293022 92.374 13.4340
10.367610 92.386 13.4026
10.442738 92.398 13.3710
10.518411 92.410 13.3391
10.594631 92.423 13.3070
10.671404 92.436 13.2746
10.748734 92.448 13.2420
10.826623 92.460 13.2096
10.905077 92.472 13.1770
10.984100 92.484 13.1437
11.063695 92.497 13.1100
11.143867 92.509 13.0761
11.224621 92.521 13.0420
11.305959 92.533 13.0077
11.387886 92.546 12.9730
11.470407 92.559 12.9376
11.553527 92.571 12.9020
11.637249 92.583 12.8666
11.721577 92.595 12.8310
11.806517 92.607 12.7952
11.892071 92.620 12.7590
11.978246 92.632 12.7222
12.065045 92.644 12.6850
12.152473 92.656 12.6476
12.240536 92.669 12.6100
12.329235 92.682 12.5721
12.418578 92.694 12.5340
12.508568 92.706 12.4957
12.599211 92.718 12.4570
12.690510 92.730 12.4177
12.782471 92.743 12.3780
12.875097 92.755 12.3382
12.968395 92.767 12.2980
13.062370 92.779 12.2577
13.157025 92.792 12.2170
13.252366 92.804 12.1757
13.348398 92.816 12.1340
13.445127 92.828 12.0922
13.542556 92.841 12.0500
13.640691 92.854 12.0072
13.739536 92.866 11.9640
13.839099 92.878 11.9212
13.939383 92.890 11.8780
14.040393 92.902 11.8338
14.142136 92.915 11.7890
14.244616 92.927 11.7441
14.347837 92.939 11.6990
14.451808 92.951 11.6538
14.556532 92.964 11.6080
14.662014 92.977 11.5613
14.768262 92.989 11.5141
14.875278 93.001 11.4667
14.983070 93.013 11.4191
15.091644 93.025 11.3712
15.201005 93.038 11.3230
15.311157 93.050 11.2743
15.422109 93.062 11.2250
15.533863 93.074 11.1747
15.646428 93.087 11.1240
15.759809 93.100 11.0737
15.874010 93.112 11.0230
15.989040 93.124 10.9714
16.104904 93.136 10.9190
16.221605 93.148 10.8663
16.339155 93.161 10.8131
16.457554 93.173 10.7592
16.576813 93.185 10.7050
16.696936 93.197 10.6508
16.817928 93.210 10.5960
16.939798 93.222 10.5404
17.062551 93.234 10.4841
17.186193 93.246 10.4273
17.310732 93.259 10.3700
17.436172 93.272 10.3123
17.562521 93.284 10.2540
17.689787 93.296 10.1953
17.817974 93.308 10.1361
17.947090 93.320 10.0764
18.077143 93.333 10.0160
18.208138 93.345 9.9548
18.340080 93.357 9.8931
18.472980 93.369 9.8312
18.606844 93.382 9.7690
18.741676 93.395 9.7061
18.877487 93.407 9.6431
19.014280 93.419 9.5804
19.152065 93.431 9.5181
19.290850 93.444 9.4563
19.430639 93.457 9.3940
19.571442 93.471 9.3312
19.713264 93.485 9.2651
19.856115 93.501 9.1935
20.000000 93.517 9.1141
20.144928 93.534 9.0228
20.290907 93.550 8.9221
20.437943 93.563 8.8110
20.586044 93.574 8.6961
20.735220 93.583 8.5820
20.885475 93.589 8.4731
21.036821 93.593 8.3749
21.189262 93.596 8.2881
21.342808 93.599 8.2161
21.497467 93.603 8.1561
21.653246 93.607 8.1065
21.810154 93.613 8.0660
21.968201 93.620 8.0342
22.127390 93.630 8.0070
22.287735 93.642 7.9818
22.449242 93.657 7.9540
22.611917 93.674 7.9185
22.775772 93.692 7.8751
22.940815 93.711 7.8220
23.107054 93.732 7.7581
23.274498 93.754 7.6824
23.443153 93.777 7.5921
23.613033 93.800 7.4831
23.784142 93.822 7.3591
23.956491 93.841 7.2194
24.130091 93.857 7.0732
24.304947 93.870 6.9297
24.481071 93.881 6.7882
24.658470 93.893 6.6529
24.837156 93.905 6.5182
25.017136 93.918 6.3798
25.198421 93.930 6.2381
25.381020 93.942 6.0928
25.564941 93.953 5.9421
25.750195 93.965 5.7845
25.936790 93.976 5.6192
26.124741 93.985 5.4420
26.314051 93.991 5.2613
26.504732 93.993 5.0816
26.696796 93.991 4.9102
26.890253 93.987 4.7568
27.085112 93.982 4.6182
27.281382 93.978 4.4956
27.479073 93.975 4.3851
27.678198 93.973 4.2831
27.878765 93.971 4.1891
28.080786 93.971 4.1018
28.284271 93.971 4.0201
28.489231 93.972 3.9426
28.695675 93.975 3.8691
28.903616 93.979 3.8008
29.113064 93.985 3.7321
29.324028 93.994 3.6596
29.536524 94.006 3.5781
29.750557 94.019 3.4816
29.966141 94.034 3.3691
30.183289 94.049 3.2376
30.402010 94.063 3.0882
30.622314 94.076 2.9201
30.844217 94.086 2.7362
31.067726 94.093 2.5350
31.292856 94.096 2.3283
31.519617 94.092 2.1243
31.748020 94.083 1.9322
31.978081 94.072 1.7647
32.209808 94.059 1.6192
32.443211 94.046 1.4979
32.678310 94.033 1.3991
32.915108 94.021 1.3245
33.153625 94.012 1.2661
33.393871 94.009 1.2208
33.635857 94.010 1.1751
33.879597 94.017 1.1150
34.125103 94.027 1.0381
34.372387 94.037 0.9357
34.621464 94.046 0.8122
34.872345 94.054 0.6670
35.125042 94.060 0.5072
35.379574 94.061 0.3365
35.635948 94.057 0.1652
35.894180 94.049 0.0041
36.154285 94.039 -0.1448
36.416275 94.027 -0.2758
36.680161 94.015 -0.3898
36.945961 94.003 -0.4840
37.213688 93.992 -0.5639
37.483353 93.984 -0.6322
37.754974 93.978 -0.6949
38.028561 93.974 -0.7587
38.304131 93.972 -0.8239
38.581699 93.971 -0.8935
38.861279 93.971 -0.9669
39.142883 93.971 -1.0450
39.426529 93.971 -1.1269
39.712231 93.971 -1.2121
40.000000 93.971 -1.2999
40.289856 93.971 -1.3894
40.581814 93.971 -1.4809
40.875885 93.971 -1.5741
41.172089 93.971 -1.6689
41.470440 93.971 -1.7647
41.770950 93.971 -1.8618
42.073643 93.971 -1.9607
42.378525 93.971 -2.0609
42.685616 93.971 -2.1617
42.994934 93.971 -2.2639
43.306492 93.971 -2.3677
43.620308 93.971 -2.4728
43.936401 93.971 -2.5791
44.254780 93.971 -2.6858
44.575470 93.971 -2.7920
44.898483 93.971 -2.8988
45.223835 93.972 -3.0061
45.551544 93.974 -3.1168
45.881630 93.977 -3.2323
46.214108 93.981 -3.3568
46.548996 93.987 -3.4939
46.886307 93.993 -3.6467
47.226067 93.999 -3.8225
47.568283 94.002 -4.0127
47.912983 94.000 -4.2147
48.260181 93.994 -4.4187
48.609894 93.984 -4.6128
48.962143 93.973 -4.8007
49.316940 93.962 -4.9827
49.674313 93.950 -5.1567
50.034271 93.933 -5.3216
50.396843 93.916 -5.4758
50.762039 93.901 -5.6125
51.129883 93.887 -5.7468
51.500389 93.878 -5.8934
51.873581 93.868 -6.0467
52.249481 93.852 -6.2100
52.628101 93.833 -6.3707
53.009464 93.812 -6.5164
53.393593 93.789 -6.6498
53.780506 93.766 -6.7710
54.170223 93.743 -6.8758
54.562763 93.717 -6.9580
54.958145 93.692 -7.0239
55.356396 93.674 -7.0727
55.757530 93.659 -7.1199
56.161572 93.648 -7.1819
56.568542 93.638 -7.2549
56.978462 93.626 -7.3417
57.391350 93.614 -7.4388
57.807232 93.602 -7.5454
58.226128 93.587 -7.6568
58.648056 93.568 -7.7728
59.073048 93.546 -7.8798
59.501114 93.518 -7.9651
59.932281 93.488 -8.0259
60.366577 93.460 -8.0517
60.804020 93.434 -8.0540
61.244629 93.413 -8.0383
61.688435 93.396 -8.0121
62.135452 93.384 -7.9813
62.585712 93.376 -7.9560
63.039234 93.374 -7.9456
63.496040 93.376 -7.9580
63.956161 93.381 -8.0066
64.419617 93.385 -8.0848
64.886421 93.385 -8.1968
65.356621 93.379 -8.3228
65.830215 93.365 -8.4458
66.307251 93.347 -8.5608
66.787743 93.328 -8.6548
67.271713 93.309 -8.7339
67.759193 93.290 -8.8008
68.250206 93.270 -8.8529
68.744774 93.249 -8.8862
69.242928 93.230 -8.9080
69.744690 93.217 -8.9214
70.250084 93.206 -8.9350
70.759148 93.198 -8.9597
71.271896 93.190 -8.9909
71.788361 93.181 -9.0279
72.308571 93.173 -9.0699
72.832550 93.166 -9.1161
73.360321 93.159 -9.1659
73.891922 93.150 -9.2188
74.427376 93.141 -9.2739
74.966705 93.134 -9.3278
75.509949 93.128 -9.3869
76.057121 93.124 -9.4566
76.608261 93.120 -9.5358
77.163399 93.114 -9.6269
77.722557 93.106 -9.7248
78.285767 93.097 -9.8246
78.853058 93.087 -9.9278
79.424461 93.077 -10.0362
80.000000 93.065 -10.1438
80.579712 93.049 -10.2456
81.163628 93.032 -10.3398
81.751770 93.016 -10.4204
82.344177 93.002 -10.4949
82.940880 92.989 -10.5673
83.541901 92.978 -10.6418
84.147285 92.969 -10.7235
84.757050 92.961 -10.8138
85.371231 92.953 -10.9151
85.989868 92.945 -11.0297
86.612984 92.938 -11.1601
87.240616 92.931 -11.3087
87.872803 92.922 -11.4839
88.509560 92.908 -11.6706
89.150940 92.886 -11.8590
89.796967 92.859 -12.0406
90.447670 92.830 -12.2003
