* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\NF NM2+_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:26:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\NF NM2+_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: NF NM2+_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 83.068 19.6930
5.036232 83.075 19.6863
5.072727 83.082 19.6790
5.109486 83.090 19.6706
5.146511 83.100 19.6610
5.183805 83.112 19.6494
5.221369 83.125 19.6370
5.259205 83.138 19.6253
5.297316 83.152 19.6130
5.335702 83.167 19.5992
5.374367 83.182 19.5850
5.413311 83.196 19.5714
5.452538 83.211 19.5580
5.492050 83.226 19.5446
5.531847 83.241 19.5310
5.571934 83.256 19.5171
5.612310 83.271 19.5030
5.652979 83.286 19.4891
5.693943 83.301 19.4750
5.735204 83.316 19.4605
5.776763 83.331 19.4460
5.818624 83.346 19.4321
5.860788 83.361 19.4180
5.903258 83.375 19.4031
5.946035 83.390 19.3880
5.989123 83.405 19.3735
6.032523 83.420 19.3590
6.076237 83.435 19.3441
6.120268 83.450 19.3290
6.164618 83.465 19.3136
6.209289 83.480 19.2980
6.254284 83.495 19.2825
6.299605 83.510 19.2670
6.345255 83.525 19.2516
6.391235 83.540 19.2360
6.437549 83.554 19.2201
6.484198 83.569 19.2040
6.531185 83.584 19.1881
6.578513 83.599 19.1720
6.626183 83.614 19.1556
6.674199 83.629 19.1390
6.722563 83.644 19.1225
6.771278 83.659 19.1060
6.820345 83.674 19.0896
6.869768 83.689 19.0730
6.919549 83.703 19.0561
6.969691 83.718 19.0390
7.020196 83.733 19.0216
7.071068 83.748 19.0040
7.122308 83.763 18.9866
7.173919 83.778 18.9690
7.225904 83.793 18.9511
7.278266 83.808 18.9330
7.331007 83.823 18.9150
7.384131 83.838 18.8970
7.437639 83.853 18.8791
7.491535 83.868 18.8610
7.545822 83.882 18.8426
7.600502 83.897 18.8240
7.655579 83.912 18.8051
7.711054 83.927 18.7860
7.766932 83.942 18.7671
7.823214 83.957 18.7480
7.879904 83.972 18.7286
7.937005 83.987 18.7090
7.994520 84.002 18.6896
8.052452 84.017 18.6700
8.110803 84.032 18.6501
8.169578 84.047 18.6300
8.228777 84.061 18.6101
8.288406 84.076 18.5900
8.348468 84.091 18.5696
8.408964 84.106 18.5490
8.469899 84.121 18.5281
8.531276 84.136 18.5070
8.593097 84.151 18.4861
8.655366 84.166 18.4650
8.718086 84.181 18.4436
8.781260 84.196 18.4220
8.844893 84.210 18.4001
8.908987 84.225 18.3780
8.973545 84.240 18.3560
9.038571 84.255 18.3340
9.104069 84.270 18.3121
9.170040 84.285 18.2900
9.236490 84.300 18.2671
9.303422 84.315 18.2440
9.370838 84.330 18.2211
9.438744 84.345 18.1980
9.507140 84.360 18.1746
9.576033 84.375 18.1510
9.645425 84.389 18.1276
9.715320 84.404 18.1040
9.785721 84.419 18.0801
9.856632 84.434 18.0560
9.928058 84.449 18.0316
10.000000 84.464 18.0070
10.072464 84.479 17.9826
10.145453 84.494 17.9580
10.218971 84.509 17.9326
10.293022 84.524 17.9070
10.367610 84.539 17.8815
10.442738 84.554 17.8560
10.518411 84.568 17.8306
10.594631 84.583 17.8050
10.671404 84.598 17.7786
10.748734 84.613 17.7520
10.826623 84.628 17.7256
10.905077 84.643 17.6990
10.984100 84.658 17.6721
11.063695 84.673 17.6450
11.143867 84.688 17.6176
11.224621 84.703 17.5900
11.305959 84.718 17.5626
11.387886 84.733 17.5350
11.470407 84.747 17.5066
11.553527 84.762 17.4780
11.637249 84.777 17.4496
11.721577 84.792 17.4210
11.806517 84.807 17.3922
11.892071 84.822 17.3630
11.978246 84.837 17.3336
12.065045 84.852 17.3040
12.152473 84.867 17.2741
12.240536 84.882 17.2440
12.329235 84.896 17.2141
12.418578 84.911 17.1840
12.508568 84.926 17.1531
12.599211 84.941 17.1220
12.690510 84.956 17.0911
12.782471 84.971 17.0600
12.875097 84.986 17.0287
12.968395 85.001 16.9970
13.062370 85.016 16.9646
13.157025 85.031 16.9320
13.252366 85.046 16.8995
13.348398 85.061 16.8670
13.445127 85.075 16.8347
13.542556 85.090 16.8020
13.640691 85.105 16.7687
13.739536 85.120 16.7350
13.839099 85.135 16.7011
13.939383 85.150 16.6670
14.040393 85.165 16.6331
14.142136 85.180 16.5990
14.244616 85.195 16.5641
14.347837 85.210 16.5290
14.451808 85.225 16.4941
14.556532 85.240 16.4590
14.662014 85.254 16.4232
14.768262 85.269 16.3870
14.875278 85.284 16.3511
14.983070 85.299 16.3150
15.091644 85.314 16.2787
15.201005 85.329 16.2420
15.311157 85.344 16.2052
15.422109 85.359 16.1680
15.533863 85.374 16.1306
15.646428 85.389 16.0930
15.759809 85.403 16.0551
15.874010 85.418 16.0170
15.989040 85.433 15.9786
16.104904 85.448 15.9400
16.221605 85.463 15.9015
16.339155 85.478 15.8630
16.457554 85.493 15.8246
16.576813 85.508 15.7860
16.696936 85.523 15.7471
16.817928 85.538 15.7080
16.939798 85.553 15.6691
17.062551 85.568 15.6301
17.186193 85.582 15.5905
17.310732 85.597 15.5510
17.436172 85.612 15.5125
17.562521 85.627 15.4740
17.689787 85.642 15.4350
17.817974 85.657 15.3960
17.947090 85.672 15.3578
18.077143 85.687 15.3200
18.208138 85.702 15.2828
18.340080 85.717 15.2460
18.472980 85.732 15.2096
18.606844 85.747 15.1740
18.741676 85.761 15.1398
18.877487 85.776 15.1070
19.014280 85.791 15.0755
19.152065 85.806 15.0460
19.290850 85.821 15.0187
19.430639 85.836 14.9950
19.571442 85.851 14.9761
19.713264 85.866 14.9630
19.856115 85.881 14.9573
20.000000 85.898 14.9590
20.144928 85.916 14.9698
20.290907 85.937 14.9860
20.437943 85.961 15.0073
20.586044 85.988 15.0250
20.735220 86.021 15.0327
20.885475 86.058 15.0230
21.036821 86.098 14.9868
21.189262 86.140 14.9231
21.342808 86.182 14.8276
21.497467 86.223 14.7012
21.653246 86.263 14.5410
21.810154 86.299 14.3543
21.968201 86.330 14.1440
22.127390 86.357 13.9203
22.287735 86.377 13.6920
22.449242 86.393 13.4652
22.611917 86.405 13.2484
22.775772 86.413 13.0432
22.940815 86.419 12.8542
23.107054 86.424 12.6812
23.274498 86.427 12.5267
23.443153 86.430 12.3882
23.613033 86.434 12.2656
23.784142 86.440 12.1541
23.956491 86.448 12.0508
24.130091 86.457 11.9501
24.304947 86.469 11.8467
24.481071 86.482 11.7371
24.658470 86.496 11.6161
24.837156 86.511 11.4842
25.017136 86.525 11.3399
25.198421 86.538 11.1852
25.381020 86.548 11.0190
25.564941 86.556 10.8482
25.750195 86.560 10.6770
25.936790 86.561 10.5122
26.124741 86.558 10.3616
26.314051 86.554 10.2262
26.504732 86.549 10.1103
26.696796 86.545 10.0111
26.890253 86.542 9.9285
27.085112 86.540 9.8581
27.281382 86.540 9.7966
27.479073 86.542 9.7401
27.678198 86.547 9.6845
27.878765 86.553 9.6271
28.080786 86.561 9.5640
28.284271 86.569 9.4951
28.489231 86.578 9.4179
28.695675 86.587 9.3351
28.903616 86.594 9.2478
29.113064 86.601 9.1581
29.324028 86.608 9.0686
29.536524 86.614 8.9791
29.750557 86.620 8.8907
29.966141 86.626 8.8031
30.183289 86.631 8.7162
30.402010 86.637 8.6301
30.622314 86.643 8.5448
30.844217 86.649 8.4601
31.067726 86.654 8.3759
31.292856 86.660 8.2921
31.519617 86.666 8.2086
31.748020 86.672 8.1251
31.978081 86.678 8.0415
32.209808 86.683 7.9581
32.443211 86.688 7.8750
32.678310 86.694 7.7921
32.915108 86.700 7.7091
33.153625 86.706 7.6261
33.393871 86.711 7.5431
33.635857 86.717 7.4601
33.879597 86.723 7.3777
34.125103 86.729 7.2951
34.372387 86.734 7.2117
34.621464 86.740 7.1281
34.872345 86.746 7.0447
35.125042 86.752 6.9611
35.379574 86.758 6.8773
35.635948 86.763 6.7931
35.894180 86.769 6.7081
36.154285 86.774 6.6231
36.416275 86.779 6.5386
36.680161 86.784 6.4551
36.945961 86.789 6.3732
37.213688 86.794 6.2931
37.483353 86.799 6.2156
37.754974 86.804 6.1391
38.028561 86.811 6.0632
38.304131 86.818 5.9851
38.581699 86.826 5.9014
38.861279 86.834 5.8131
39.142883 86.842 5.7203
39.426529 86.849 5.6231
39.712231 86.857 5.5216
40.000000 86.864 5.4162
40.289856 86.870 5.3056
40.581814 86.874 5.1942
40.875885 86.876 5.0852
41.172089 86.878 4.9802
41.470440 86.879 4.8820
41.770950 86.880 4.7901
42.073643 86.880 4.7049
42.378525 86.881 4.6261
42.685616 86.883 4.5549
42.994934 86.886 4.4881
43.306492 86.890 4.4239
43.620308 86.896 4.3591
43.936401 86.904 4.2904
44.254780 86.913 4.2161
44.575470 86.923 4.1344
44.898483 86.933 4.0432
45.223835 86.945 3.9400
45.551544 86.957 3.8242
45.881630 86.968 3.6919
46.214108 86.977 3.5492
46.548996 86.982 3.3994
46.886307 86.985 3.2472
47.226067 86.986 3.0983
47.568283 86.985 2.9532
47.912983 86.983 2.8139
48.260181 86.980 2.6822
48.609894 86.975 2.5608
48.962143 86.969 2.4492
49.316940 86.965 2.3491
49.674313 86.961 2.2561
50.034271 86.959 2.1670
50.396843 86.957 2.0801
50.762039 86.956 1.9929
51.129883 86.955 1.9052
51.500389 86.955 1.8158
51.873581 86.955 1.7252
52.249481 86.955 1.6332
52.628101 86.955 1.5402
53.009464 86.955 1.4463
53.393593 86.955 1.3512
53.780506 86.955 1.2545
54.170223 86.955 1.1562
54.562763 86.955 1.0558
54.958145 86.955 0.9532
55.356396 86.954 0.8479
55.757530 86.953 0.7402
56.161572 86.951 0.6295
56.568542 86.949 0.5182
56.978462 86.945 0.4074
57.391350 86.939 0.3002
57.807232 86.932 0.2002
58.226128 86.925 0.1072
58.648056 86.918 0.0224
59.073048 86.910 -0.0549
59.501114 86.903 -0.1248
59.932281 86.896 -0.1879
60.366577 86.890 -0.2437
60.804020 86.886 -0.2959
61.244629 86.883 -0.3475
61.688435 86.881 -0.3999
62.135452 86.880 -0.4556
62.585712 86.880 -0.5139
63.039234 86.880 -0.5751
63.496040 86.880 -0.6389
63.956161 86.880 -0.7054
64.419617 86.880 -0.7739
64.886421 86.880 -0.8437
65.356621 86.880 -0.9149
65.830215 86.880 -0.9874
66.307251 86.880 -1.0609
66.787743 86.880 -1.1349
67.271713 86.880 -1.2099
67.759193 86.880 -1.2859
68.250206 86.880 -1.3629
68.744774 86.880 -1.4404
69.242928 86.880 -1.5189
69.744690 86.880 -1.5984
70.250084 86.880 -1.6788
70.759148 86.880 -1.7600
71.271896 86.880 -1.8418
71.788361 86.880 -1.9244
72.308571 86.880 -2.0078
72.832550 86.880 -2.0923
73.360321 86.880 -2.1778
73.891922 86.880 -2.2643
74.427376 86.880 -2.3518
74.966705 86.880 -2.4406
75.509949 86.880 -2.5308
76.057121 86.880 -2.6226
76.608261 86.880 -2.7158
77.163399 86.880 -2.8104
77.722557 86.880 -2.9068
78.285767 86.880 -3.0050
78.853058 86.880 -3.1058
79.424461 86.880 -3.2100
80.000000 86.880 -3.3178
80.579712 86.880 -3.4293
81.163628 86.879 -3.5448
81.751770 86.877 -3.6648
82.344177 86.875 -3.7877
82.940880 86.872 -3.9129
83.541901 86.867 -4.0378
84.147285 86.861 -4.1597
84.757050 86.854 -4.2788
85.371231 86.847 -4.3940
85.989868 86.840 -4.5058
86.612984 86.832 -4.6140
87.240616 86.823 -4.7188
87.872803 86.816 -4.8201
88.509560 86.808 -4.9188
89.150940 86.800 -5.0161
89.796967 86.791 -5.1108
90.447670 86.782 -5.2021
91.103088 86.774 -5.2908
91.763260 86.766 -5.3776
92.428215 86.759 -5.4628
93.097992 86.752 -5.5466
93.772614 86.745 -5.6298
