* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Ovidius tx-901_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:16:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Ovidius tx-901_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Ovidius tx-901_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 90.735 -2.7680
5.036232 90.735 -2.7690
5.072727 90.734 -2.7700
5.109486 90.733 -2.7709
5.146511 90.732 -2.7720
5.183805 90.731 -2.7739
5.221369 90.729 -2.7760
5.259205 90.728 -2.7780
5.297316 90.726 -2.7800
5.335702 90.724 -2.7819
5.374367 90.722 -2.7840
5.413311 90.720 -2.7865
5.452538 90.719 -2.7890
5.492050 90.718 -2.7910
5.531847 90.716 -2.7930
5.571934 90.714 -2.7954
5.612310 90.712 -2.7980
5.652979 90.710 -2.8005
5.693943 90.709 -2.8030
5.735204 90.707 -2.8055
5.776763 90.705 -2.8080
5.818624 90.704 -2.8105
5.860788 90.702 -2.8130
5.903258 90.700 -2.8155
5.946035 90.698 -2.8180
5.989123 90.696 -2.8205
6.032523 90.695 -2.8230
6.076237 90.693 -2.8254
6.120268 90.691 -2.8280
6.164618 90.689 -2.8310
6.209289 90.688 -2.8340
6.254284 90.687 -2.8365
6.299605 90.685 -2.8390
6.345255 90.683 -2.8420
6.391235 90.681 -2.8450
6.437549 90.680 -2.8475
6.484198 90.678 -2.8500
6.531185 90.676 -2.8529
6.578513 90.674 -2.8560
6.626183 90.673 -2.8591
6.674199 90.671 -2.8620
6.722563 90.669 -2.8645
6.771278 90.667 -2.8670
6.820345 90.665 -2.8699
6.869768 90.664 -2.8730
6.919549 90.663 -2.8759
6.969691 90.661 -2.8790
7.020196 90.659 -2.8825
7.071068 90.657 -2.8860
7.122308 90.655 -2.8891
7.173919 90.654 -2.8920
7.225904 90.652 -2.8949
7.278266 90.650 -2.8980
7.331007 90.649 -2.9015
7.384131 90.647 -2.9050
7.437639 90.645 -2.9080
7.491535 90.643 -2.9110
7.545822 90.641 -2.9144
7.600502 90.640 -2.9180
7.655579 90.638 -2.9216
7.711054 90.636 -2.9250
7.766932 90.634 -2.9280
7.823214 90.633 -2.9310
7.879904 90.632 -2.9344
7.937005 90.630 -2.9380
7.994520 90.628 -2.9414
8.052452 90.626 -2.9450
8.110803 90.625 -2.9490
8.169578 90.623 -2.9530
8.228777 90.621 -2.9566
8.288406 90.619 -2.9600
8.348468 90.618 -2.9634
8.408964 90.616 -2.9670
8.469899 90.614 -2.9709
8.531276 90.612 -2.9750
8.593097 90.610 -2.9790
8.655366 90.609 -2.9830
8.718086 90.608 -2.9870
8.781260 90.606 -2.9910
8.844893 90.604 -2.9950
8.908987 90.602 -2.9990
8.973545 90.601 -3.0030
9.038571 90.599 -3.0070
9.104069 90.597 -3.0110
9.170040 90.595 -3.0150
9.236490 90.594 -3.0189
9.303422 90.592 -3.0230
9.370838 90.590 -3.0274
9.438744 90.588 -3.0320
9.507140 90.586 -3.0366
9.576033 90.585 -3.0410
9.645425 90.584 -3.0450
9.715320 90.582 -3.0490
9.785721 90.580 -3.0534
9.856632 90.578 -3.0580
9.928058 90.576 -3.0624
10.000000 90.575 -3.0670
10.072464 90.573 -3.0720
10.145453 90.571 -3.0770
10.218971 90.570 -3.0815
10.293022 90.568 -3.0860
10.367610 90.566 -3.0909
10.442738 90.564 -3.0960
10.518411 90.562 -3.1010
10.594631 90.561 -3.1060
10.671404 90.559 -3.1110
10.748734 90.557 -3.1160
10.826623 90.555 -3.1210
10.905077 90.554 -3.1260
10.984100 90.553 -3.1310
11.063695 90.551 -3.1360
11.143867 90.549 -3.1409
11.224621 90.547 -3.1460
11.305959 90.546 -3.1514
11.387886 90.544 -3.1570
11.470407 90.542 -3.1625
11.553527 90.540 -3.1680
11.637249 90.539 -3.1735
11.721577 90.537 -3.1790
11.806517 90.535 -3.1844
11.892071 90.533 -3.1900
11.978246 90.531 -3.1960
12.065045 90.530 -3.2020
12.152473 90.529 -3.2075
12.240536 90.527 -3.2130
12.329235 90.525 -3.2189
12.418578 90.523 -3.2250
12.508568 90.521 -3.2309
12.599211 90.520 -3.2370
12.690510 90.518 -3.2435
12.782471 90.516 -3.2500
12.875097 90.515 -3.2560
12.968395 90.513 -3.2620
13.062370 90.511 -3.2684
13.157025 90.509 -3.2750
13.252366 90.507 -3.2815
13.348398 90.506 -3.2880
13.445127 90.504 -3.2944
13.542556 90.502 -3.3010
13.640691 90.500 -3.3080
13.739536 90.499 -3.3150
13.839099 90.498 -3.3215
13.939383 90.496 -3.3280
14.040393 90.494 -3.3349
14.142136 90.492 -3.3420
14.244616 90.491 -3.3495
14.347837 90.489 -3.3570
14.451808 90.487 -3.3640
14.556532 90.485 -3.3710
14.662014 90.484 -3.3784
14.768262 90.482 -3.3860
14.875278 90.480 -3.3935
14.983070 90.478 -3.4010
15.091644 90.476 -3.4084
15.201005 90.475 -3.4160
15.311157 90.474 -3.4239
15.422109 90.472 -3.4320
15.533863 90.470 -3.4405
15.646428 90.468 -3.4490
15.759809 90.466 -3.4570
15.874010 90.465 -3.4650
15.989040 90.463 -3.4734
16.104904 90.461 -3.4820
16.221605 90.460 -3.4905
16.339155 90.458 -3.4990
16.457554 90.456 -3.5075
16.576813 90.454 -3.5160
16.696936 90.452 -3.5244
16.817928 90.451 -3.5330
16.939798 90.449 -3.5420
17.062551 90.447 -3.5510
17.186193 90.445 -3.5596
17.310732 90.444 -3.5680
17.436172 90.443 -3.5764
17.562521 90.441 -3.5850
17.689787 90.439 -3.5940
17.817974 90.437 -3.6030
17.947090 90.436 -3.6116
18.077143 90.434 -3.6200
18.208138 90.432 -3.6286
18.340080 90.430 -3.6370
18.472980 90.429 -3.6446
18.606844 90.427 -3.6520
18.741676 90.425 -3.6596
18.877487 90.423 -3.6670
19.014280 90.421 -3.6738
19.152065 90.420 -3.6800
19.290850 90.419 -3.6855
19.430639 90.417 -3.6900
19.571442 90.415 -3.6931
19.713264 90.413 -3.6950
19.856115 90.412 -3.6959
20.000000 90.411 -3.6950
20.144928 90.410 -3.6913
20.290907 90.409 -3.6850
20.437943 90.409 -3.6761
20.586044 90.409 -3.6650
20.735220 90.410 -3.6516
20.885475 90.413 -3.6380
21.036821 90.418 -3.6252
21.189262 90.425 -3.6170
21.342808 90.433 -3.6173
21.497467 90.443 -3.6270
21.653246 90.453 -3.6472
21.810154 90.464 -3.6809
21.968201 90.478 -3.7302
22.127390 90.492 -3.7989
22.287735 90.505 -3.8937
22.449242 90.516 -4.0089
22.611917 90.524 -4.1432
22.775772 90.528 -4.2908
22.940815 90.528 -4.4474
23.107054 90.524 -4.6068
23.274498 90.515 -4.7638
23.443153 90.501 -4.9108
23.613033 90.482 -5.0392
23.784142 90.461 -5.1459
23.956491 90.438 -5.2236
24.130091 90.415 -5.2770
24.304947 90.394 -5.3059
24.481071 90.374 -5.3170
24.658470 90.357 -5.3153
24.837156 90.343 -5.3060
25.017136 90.332 -5.2953
25.198421 90.322 -5.2850
25.381020 90.313 -5.2798
25.564941 90.305 -5.2770
25.750195 90.297 -5.2765
25.936790 90.288 -5.2760
26.124741 90.279 -5.2731
26.314051 90.271 -5.2680
26.504732 90.263 -5.2601
26.696796 90.255 -5.2490
26.890253 90.248 -5.2328
27.085112 90.242 -5.2160
27.281382 90.239 -5.2020
27.479073 90.237 -5.1920
27.678198 90.236 -5.1884
27.878765 90.235 -5.1920
28.080786 90.235 -5.2044
28.284271 90.234 -5.2250
28.489231 90.233 -5.2540
28.695675 90.232 -5.2909
28.903616 90.231 -5.3360
29.113064 90.228 -5.3869
29.324028 90.223 -5.4428
29.536524 90.216 -5.4999
29.750557 90.207 -5.5546
29.966141 90.197 -5.6059
30.183289 90.186 -5.6526
30.402010 90.173 -5.6920
30.622314 90.158 -5.7211
30.844217 90.143 -5.7390
31.067726 90.128 -5.7421
31.292856 90.115 -5.7350
31.519617 90.104 -5.7205
31.748020 90.094 -5.7010
31.978081 90.085 -5.6795
32.209808 90.077 -5.6580
32.443211 90.072 -5.6385
32.678310 90.068 -5.6240
32.915108 90.065 -5.6186
33.153625 90.062 -5.6220
33.393871 90.059 -5.6360
33.635857 90.056 -5.6580
33.879597 90.051 -5.6870
34.125103 90.044 -5.7190
34.372387 90.036 -5.7496
34.621464 90.027 -5.7790
34.872345 90.017 -5.8063
35.125042 90.006 -5.8300
35.379574 89.994 -5.8486
35.635948 89.981 -5.8600
35.894180 89.967 -5.8603
36.154285 89.954 -5.8530
36.416275 89.943 -5.8398
36.680161 89.933 -5.8230
36.945961 89.924 -5.8057
37.213688 89.915 -5.7880
37.483353 89.907 -5.7702
37.754974 89.900 -5.7550
38.028561 89.894 -5.7455
38.304131 89.888 -5.7410
38.581699 89.881 -5.7427
38.861279 89.874 -5.7480
39.142883 89.866 -5.7547
39.426529 89.857 -5.7620
39.712231 89.848 -5.7690
40.000000 89.837 -5.7740
40.289856 89.825 -5.7759
40.581814 89.812 -5.7720
40.875885 89.799 -5.7583
41.172089 89.786 -5.7380
41.470440 89.775 -5.7122
41.770950 89.764 -5.6830
42.073643 89.754 -5.6534
42.378525 89.744 -5.6230
42.685616 89.735 -5.5923
42.994934 89.727 -5.5620
43.306492 89.719 -5.5337
43.620308 89.710 -5.5060
43.936401 89.701 -5.4787
44.254780 89.692 -5.4510
44.575470 89.684 -5.4220
44.898483 89.675 -5.3920
45.223835 89.666 -5.3612
45.551544 89.657 -5.3290
45.881630 89.648 -5.2951
46.214108 89.640 -5.2601
46.548996 89.632 -5.2247
46.886307 89.624 -5.1881
47.226067 89.615 -5.1498
47.568283 89.606 -5.1091
47.912983 89.597 -5.0648
48.260181 89.589 -5.0171
48.609894 89.580 -4.9655
48.962143 89.572 -4.9101
49.316940 89.564 -4.8498
49.674313 89.558 -4.7871
50.034271 89.554 -4.7233
50.396843 89.551 -4.6611
50.762039 89.549 -4.6037
51.129883 89.548 -4.5511
51.500389 89.547 -4.5044
51.873581 89.547 -4.4641
52.249481 89.547 -4.4313
52.628101 89.547 -4.4050
53.009464 89.546 -4.3848
53.393593 89.545 -4.3700
53.780506 89.543 -4.3611
54.170223 89.540 -4.3550
54.562763 89.535 -4.3501
54.958145 89.529 -4.3430
55.356396 89.521 -4.3297
55.757530 89.512 -4.3100
56.161572 89.504 -4.2826
56.568542 89.496 -4.2481
56.978462 89.487 -4.2067
57.391350 89.479 -4.1591
57.807232 89.473 -4.1044
58.226128 89.468 -4.0471
58.648056 89.465 -3.9908
59.073048 89.463 -3.9371
59.501114 89.462 -3.8887
59.932281 89.461 -3.8451
60.366577 89.461 -3.8063
60.804020 89.461 -3.7731
61.244629 89.461 -3.7467
61.688435 89.461 -3.7260
62.135452 89.460 -3.7107
62.585712 89.459 -3.7000
63.039234 89.457 -3.6938
63.496040 89.454 -3.6900
63.956161 89.449 -3.6879
64.419617 89.443 -3.6830
64.886421 89.435 -3.6703
65.356621 89.426 -3.6510
65.830215 89.418 -3.6246
66.307251 89.410 -3.5911
66.787743 89.401 -3.5499
67.271713 89.393 -3.5021
67.759193 89.387 -3.4470
68.250206 89.382 -3.3891
68.744774 89.379 -3.3324
69.242928 89.377 -3.2781
69.744690 89.376 -3.2289
70.250084 89.375 -3.1851
70.759148 89.375 -3.1481
71.271896 89.375 -3.1171
71.788361 89.374 -3.0919
72.308571 89.373 -3.0720
72.832550 89.371 -3.0578
73.360321 89.368 -3.0460
73.891922 89.363 -3.0345
74.427376 89.357 -3.0200
74.966705 89.349 -2.9985
75.509949 89.340 -2.9701
76.057121 89.332 -2.9335
76.608261 89.324 -2.8891
77.163399 89.316 -2.8362
77.722557 89.308 -2.7761
78.285767 89.301 -2.7084
78.853058 89.296 -2.6371
79.424461 89.293 -2.5660
