* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Powerbeats Pro_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:29:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Powerbeats Pro_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Powerbeats Pro_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 99.485 -0.5100
5.036232 99.485 -0.5172
5.072727 99.486 -0.5250
5.109486 99.487 -0.5343
5.146511 99.488 -0.5450
5.183805 99.489 -0.5574
5.221369 99.490 -0.5710
5.259205 99.491 -0.5856
5.297316 99.492 -0.6010
5.335702 99.493 -0.6173
5.374367 99.494 -0.6340
5.413311 99.495 -0.6504
5.452538 99.496 -0.6670
5.492050 99.497 -0.6839
5.531847 99.499 -0.7010
5.571934 99.500 -0.7184
5.612310 99.501 -0.7360
5.652979 99.502 -0.7535
5.693943 99.503 -0.7710
5.735204 99.504 -0.7884
5.776763 99.506 -0.8060
5.818624 99.507 -0.8239
5.860788 99.508 -0.8420
5.903258 99.509 -0.8604
5.946035 99.510 -0.8790
5.989123 99.511 -0.8975
6.032523 99.513 -0.9160
6.076237 99.514 -0.9344
6.120268 99.515 -0.9530
6.164618 99.516 -0.9724
6.209289 99.517 -0.9920
6.254284 99.518 -1.0109
6.299605 99.519 -1.0300
6.345255 99.521 -1.0499
6.391235 99.522 -1.0700
6.437549 99.523 -1.0900
6.484198 99.524 -1.1100
6.531185 99.525 -1.1299
6.578513 99.526 -1.1500
6.626183 99.527 -1.1709
6.674199 99.529 -1.1920
6.722563 99.530 -1.2124
6.771278 99.531 -1.2330
6.820345 99.532 -1.2544
6.869768 99.533 -1.2760
6.919549 99.535 -1.2975
6.969691 99.536 -1.3190
7.020196 99.537 -1.3404
7.071068 99.538 -1.3620
7.122308 99.539 -1.3844
7.173919 99.540 -1.4070
7.225904 99.541 -1.4295
7.278266 99.542 -1.4520
7.331007 99.543 -1.4744
7.384131 99.545 -1.4970
7.437639 99.546 -1.5204
7.491535 99.547 -1.5440
7.545822 99.548 -1.5674
7.600502 99.549 -1.5910
7.655579 99.551 -1.6149
7.711054 99.552 -1.6390
7.766932 99.553 -1.6629
7.823214 99.554 -1.6870
7.879904 99.555 -1.7114
7.937005 99.556 -1.7360
7.994520 99.557 -1.7609
8.052452 99.559 -1.7860
8.110803 99.560 -1.8114
8.169578 99.561 -1.8370
8.228777 99.562 -1.8629
8.288406 99.563 -1.8890
8.348468 99.564 -1.9149
8.408964 99.565 -1.9410
8.469899 99.566 -1.9674
8.531276 99.568 -1.9940
8.593097 99.569 -2.0209
8.655366 99.570 -2.0480
8.718086 99.571 -2.0754
8.781260 99.572 -2.1030
8.844893 99.573 -2.1304
8.908987 99.575 -2.1580
8.973545 99.576 -2.1864
9.038571 99.577 -2.2150
9.104069 99.578 -2.2434
9.170040 99.579 -2.2720
9.236490 99.580 -2.3009
9.303422 99.582 -2.3300
9.370838 99.583 -2.3594
9.438744 99.584 -2.3890
9.507140 99.585 -2.4189
9.576033 99.586 -2.4490
9.645425 99.587 -2.4794
9.715320 99.589 -2.5100
9.785721 99.590 -2.5409
9.856632 99.591 -2.5720
9.928058 99.592 -2.6034
10.000000 99.593 -2.6350
10.072464 99.594 -2.6668
10.145453 99.595 -2.6990
10.218971 99.596 -2.7314
10.293022 99.598 -2.7640
10.367610 99.599 -2.7969
10.442738 99.600 -2.8300
10.518411 99.601 -2.8634
10.594631 99.602 -2.8970
10.671404 99.604 -2.9309
10.748734 99.605 -2.9650
10.826623 99.606 -2.9994
10.905077 99.607 -3.0340
10.984100 99.608 -3.0688
11.063695 99.609 -3.1040
11.143867 99.610 -3.1393
11.224621 99.612 -3.1750
11.305959 99.613 -3.2114
11.387886 99.614 -3.2480
11.470407 99.615 -3.2844
11.553527 99.616 -3.3210
11.637249 99.617 -3.3583
11.721577 99.618 -3.3960
11.806517 99.619 -3.4338
11.892071 99.621 -3.4720
11.978246 99.622 -3.5104
12.065045 99.623 -3.5490
12.152473 99.624 -3.5878
12.240536 99.625 -3.6270
12.329235 99.626 -3.6668
12.418578 99.628 -3.7070
12.508568 99.629 -3.7473
12.599211 99.630 -3.7880
12.690510 99.631 -3.8293
12.782471 99.632 -3.8710
12.875097 99.633 -3.9123
12.968395 99.635 -3.9540
13.062370 99.636 -3.9962
13.157025 99.637 -4.0390
13.252366 99.638 -4.0823
13.348398 99.639 -4.1260
13.445127 99.640 -4.1698
13.542556 99.641 -4.2139
13.640691 99.642 -4.2583
13.739536 99.644 -4.3030
13.839099 99.645 -4.3482
13.939383 99.646 -4.3940
14.040393 99.647 -4.4403
14.142136 99.648 -4.4870
14.244616 99.649 -4.5338
14.347837 99.651 -4.5810
14.451808 99.652 -4.6288
14.556532 99.653 -4.6770
14.662014 99.654 -4.7253
14.768262 99.655 -4.7739
14.875278 99.656 -4.8232
14.983070 99.658 -4.8729
15.091644 99.659 -4.9232
15.201005 99.660 -4.9740
15.311157 99.661 -5.0252
15.422109 99.662 -5.0770
15.533863 99.663 -5.1293
15.646428 99.664 -5.1820
15.759809 99.665 -5.2347
15.874010 99.667 -5.2880
15.989040 99.668 -5.3422
16.104904 99.669 -5.3970
16.221605 99.670 -5.4517
16.339155 99.671 -5.5069
16.457554 99.673 -5.5631
16.576813 99.674 -5.6200
16.696936 99.675 -5.6773
16.817928 99.676 -5.7350
16.939798 99.677 -5.7927
17.062551 99.678 -5.8509
17.186193 99.679 -5.9101
17.310732 99.681 -5.9700
17.436172 99.682 -6.0307
17.562521 99.683 -6.0920
17.689787 99.684 -6.1531
17.817974 99.685 -6.2149
17.947090 99.686 -6.2781
18.077143 99.687 -6.3420
18.208138 99.688 -6.4062
18.340080 99.690 -6.4709
18.472980 99.691 -6.5361
18.606844 99.692 -6.6020
18.741676 99.693 -6.6685
18.877487 99.694 -6.7359
19.014280 99.695 -6.8045
19.152065 99.697 -6.8739
19.290850 99.698 -6.9440
19.430639 99.699 -7.0150
19.571442 99.700 -7.0870
19.713264 99.701 -7.1599
19.856115 99.702 -7.2336
20.000000 99.703 -7.3079
20.144928 99.704 -7.3827
20.290907 99.704 -7.4579
20.437943 99.704 -7.5339
20.586044 99.705 -7.6099
20.735220 99.706 -7.6857
20.885475 99.706 -7.7609
21.036821 99.706 -7.8351
21.189262 99.706 -7.9079
21.342808 99.706 -7.9790
21.497467 99.706 -8.0479
21.653246 99.707 -8.1137
21.810154 99.708 -8.1779
21.968201 99.711 -8.2402
22.127390 99.715 -8.3049
22.287735 99.722 -8.3747
22.449242 99.730 -8.4549
22.611917 99.740 -8.5521
22.775772 99.750 -8.6649
22.940815 99.758 -8.7957
23.107054 99.764 -8.9388
23.274498 99.767 -9.0905
23.443153 99.768 -9.2468
23.613033 99.766 -9.4041
23.784142 99.762 -9.5579
23.956491 99.755 -9.7031
24.130091 99.746 -9.8369
24.304947 99.736 -9.9532
24.481071 99.727 -10.0569
24.658470 99.719 -10.1489
24.837156 99.713 -10.2349
25.017136 99.710 -10.3203
25.198421 99.708 -10.4069
25.381020 99.707 -10.4986
25.564941 99.706 -10.5949
25.750195 99.706 -10.6966
25.936790 99.706 -10.8039
26.124741 99.706 -10.9171
26.314051 99.706 -11.0358
26.504732 99.706 -11.1591
26.696796 99.706 -11.2888
26.890253 99.706 -11.4262
27.085112 99.706 -11.5718
27.281382 99.705 -11.7270
27.479073 99.703 -11.8908
27.678198 99.699 -12.0639
27.878765 99.693 -12.2427
28.080786 99.684 -12.4261
28.284271 99.671 -12.6068
28.489231 99.654 -12.7778
28.695675 99.635 -12.9368
28.903616 99.616 -13.0785
29.113064 99.595 -13.2048
29.324028 99.573 -13.3171
29.536524 99.551 -13.4119
29.750557 99.527 -13.4851
29.966141 99.505 -13.5409
30.183289 99.487 -13.5803
30.402010 99.472 -13.6100
30.622314 99.459 -13.6377
30.844217 99.448 -13.6620
31.067726 99.437 -13.6837
31.292856 99.428 -13.7030
31.519617 99.422 -13.7192
31.748020 99.418 -13.7360
31.978081 99.416 -13.7562
32.209808 99.417 -13.7810
32.443211 99.419 -13.8104
32.678310 99.424 -13.8499
32.915108 99.433 -13.9029
33.153625 99.444 -13.9759
33.393871 99.457 -14.0770
33.635857 99.470 -14.2048
33.879597 99.481 -14.3623
34.125103 99.490 -14.5447
34.372387 99.496 -14.7522
34.621464 99.497 -14.9737
34.872345 99.491 -15.2031
35.125042 99.478 -15.4257
35.379574 99.458 -15.6260
35.635948 99.435 -15.8008
35.894180 99.411 -15.9396
36.154285 99.387 -16.0489
36.416275 99.366 -16.1275
36.680161 99.349 -16.1879
36.945961 99.338 -16.2377
37.213688 99.332 -16.2899
37.483353 99.332 -16.3599
37.754974 99.334 -16.4488
38.028561 99.336 -16.5656
38.304131 99.336 -16.7018
38.581699 99.333 -16.8545
38.861279 99.328 -17.0167
39.142883 99.320 -17.1839
39.426529 99.309 -17.3468
39.712231 99.293 -17.4950
40.000000 99.275 -17.6268
40.289856 99.258 -17.7325
40.581814 99.244 -17.8259
40.875885 99.235 -17.9157
41.172089 99.229 -18.0079
41.470440 99.224 -18.1146
41.770950 99.219 -18.2258
42.073643 99.211 -18.3354
42.378525 99.203 -18.4429
42.685616 99.198 -18.5423
42.994934 99.196 -18.6439
43.306492 99.197 -18.7546
43.620308 99.200 -18.8778
43.936401 99.205 -19.0176
44.254780 99.211 -19.1787
44.575470 99.220 -19.3653
44.898483 99.230 -19.5836
45.223835 99.239 -19.8450
45.551544 99.244 -20.1386
45.881630 99.241 -20.4651
46.214108 99.230 -20.8015
46.548996 99.208 -21.1266
46.886307 99.179 -21.4355
47.226067 99.149 -21.7142
47.568283 99.117 -21.9696
47.912983 99.084 -22.2046
48.260181 99.049 -22.4177
48.609894 99.013 -22.6045
48.962143 98.979 -22.7768
49.316940 98.952 -22.9411
49.674313 98.927 -23.1077
50.034271 98.901 -23.2948
50.396843 98.873 -23.4847
50.762039 98.837 -23.6682
51.129883 98.799 -23.8377
51.500389 98.761 -23.9798
51.873581 98.723 -24.1038
52.249481 98.688 -24.2154
52.628101 98.654 -24.3129
53.009464 98.618 -24.3936
53.393593 98.585 -24.4659
53.780506 98.559 -24.5345
54.170223 98.536 -24.6079
54.562763 98.513 -24.7004
54.958145 98.489 -24.7988
55.356396 98.461 -24.8919
55.757530 98.433 -24.9878
56.161572 98.412 -25.0939
56.568542 98.390 -25.2018
56.978462 98.356 -25.3111
57.391350 98.319 -25.4049
57.807232 98.283 -25.4596
58.226128 98.249 -25.4940
58.648056 98.223 -25.5185
59.073048 98.199 -25.5340
59.501114 98.174 -25.5417
59.932281 98.153 -25.5510
60.366577 98.142 -25.5692
60.804020 98.135 -25.6039
61.244629 98.126 -25.6702
61.688435 98.116 -25.7528
62.135452 98.103 -25.8400
62.585712 98.090 -25.9358
63.039234 98.080 -26.0409
63.496040 98.070 -26.1538
63.956161 98.056 -26.2744
64.419617 98.042 -26.3998
64.886421 98.030 -26.5224
65.356621 98.019 -26.6558
65.830215 98.012 -26.8114
66.307251 98.004 -26.9876
66.787743 97.993 -27.1897
67.271713 97.978 -27.4086
67.759193 97.960 -27.6391
68.250206 97.937 -27.8746
68.744774 97.909 -28.1098
69.242928 97.876 -28.3356
69.744690 97.838 -28.5411
70.250084 97.798 -28.7257
70.759148 97.757 -28.8823
71.271896 97.717 -29.0198
71.788361 97.681 -29.1437
72.308571 97.645 -29.2558
72.832550 97.608 -29.3589
73.360321 97.573 -29.4558
73.891922 97.542 -29.5487
74.427376 97.513 -29.6418
74.966705 97.484 -29.7424
75.509949 97.454 -29.8438
76.057121 97.423 -29.9395
76.608261 97.393 -30.0368
77.163399 97.369 -30.1388
77.722557 97.346 -30.2518
78.285767 97.322 -30.3877
78.853058 97.295 -30.5327
79.424461 97.263 -30.6778
