* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Raycon e25_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:19:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Raycon e25_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Raycon e25_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 103.092 5.7130
5.036232 103.094 5.7043
5.072727 103.097 5.6950
5.109486 103.100 5.6843
5.146511 103.104 5.6720
5.183805 103.109 5.6572
5.221369 103.114 5.6410
5.259205 103.119 5.6239
5.297316 103.124 5.6060
5.335702 103.129 5.5873
5.374367 103.135 5.5680
5.413311 103.141 5.5486
5.452538 103.147 5.5290
5.492050 103.152 5.5095
5.531847 103.158 5.4900
5.571934 103.164 5.4706
5.612310 103.170 5.4510
5.652979 103.175 5.4306
5.693943 103.181 5.4100
5.735204 103.187 5.3901
5.776763 103.193 5.3700
5.818624 103.199 5.3491
5.860788 103.204 5.3280
5.903258 103.209 5.3070
5.946035 103.215 5.2860
5.989123 103.221 5.2651
6.032523 103.227 5.2440
6.076237 103.232 5.2221
6.120268 103.238 5.2000
6.164618 103.244 5.1780
6.209289 103.250 5.1560
6.254284 103.256 5.1341
6.299605 103.261 5.1120
6.345255 103.267 5.0896
6.391235 103.273 5.0670
6.437549 103.278 5.0441
6.484198 103.284 5.0210
6.531185 103.290 4.9981
6.578513 103.296 4.9750
6.626183 103.302 4.9516
6.674199 103.307 4.9280
6.722563 103.312 4.9041
6.771278 103.318 4.8800
6.820345 103.324 4.8556
6.869768 103.330 4.8310
6.919549 103.336 4.8066
6.969691 103.341 4.7820
7.020196 103.347 4.7571
7.071068 103.353 4.7320
7.122308 103.358 4.7071
7.173919 103.364 4.6820
7.225904 103.370 4.6561
7.278266 103.376 4.6300
7.331007 103.382 4.6041
7.384131 103.387 4.5780
7.437639 103.392 4.5516
7.491535 103.398 4.5250
7.545822 103.404 4.4986
7.600502 103.410 4.4720
7.655579 103.415 4.4446
7.711054 103.421 4.4170
7.766932 103.427 4.3896
7.823214 103.433 4.3620
7.879904 103.438 4.3341
7.937005 103.444 4.3060
7.994520 103.450 4.2776
8.052452 103.456 4.2490
8.110803 103.462 4.2206
8.169578 103.467 4.1920
8.228777 103.473 4.1626
8.288406 103.479 4.1330
8.348468 103.485 4.1036
8.408964 103.490 4.0740
8.469899 103.495 4.0441
8.531276 103.501 4.0140
8.593097 103.507 3.9836
8.655366 103.513 3.9530
8.718086 103.519 3.9221
8.781260 103.524 3.8910
8.844893 103.530 3.8596
8.908987 103.536 3.8280
8.973545 103.541 3.7961
9.038571 103.547 3.7640
9.104069 103.553 3.7316
9.170040 103.559 3.6990
9.236490 103.565 3.6666
9.303422 103.570 3.6340
9.370838 103.575 3.6007
9.438744 103.581 3.5670
9.507140 103.587 3.5331
9.576033 103.593 3.4990
9.645425 103.598 3.4651
9.715320 103.604 3.4310
9.785721 103.610 3.3961
9.856632 103.616 3.3610
9.928058 103.621 3.3261
10.000000 103.627 3.2910
10.072464 103.633 3.2552
10.145453 103.639 3.2190
10.218971 103.644 3.1827
10.293022 103.650 3.1460
10.367610 103.656 3.1091
10.442738 103.662 3.0720
10.518411 103.668 3.0351
10.594631 103.673 2.9980
10.671404 103.678 2.9602
10.748734 103.684 2.9220
10.826623 103.690 2.8837
10.905077 103.696 2.8450
10.984100 103.701 2.8057
11.063695 103.707 2.7660
11.143867 103.713 2.7266
11.224621 103.719 2.6870
11.305959 103.725 2.6466
11.387886 103.730 2.6060
11.470407 103.736 2.5656
11.553527 103.742 2.5250
11.637249 103.748 2.4837
11.721577 103.753 2.4420
11.806517 103.758 2.4002
11.892071 103.764 2.3580
11.978246 103.770 2.3151
12.065045 103.776 2.2720
12.152473 103.782 2.2291
12.240536 103.787 2.1860
12.329235 103.793 2.1422
12.418578 103.799 2.0980
12.508568 103.804 2.0537
12.599211 103.810 2.0090
12.690510 103.816 1.9642
12.782471 103.822 1.9190
12.875097 103.828 1.8732
12.968395 103.833 1.8270
13.062370 103.838 1.7807
13.157025 103.844 1.7340
13.252366 103.850 1.6867
13.348398 103.856 1.6390
13.445127 103.861 1.5917
13.542556 103.867 1.5441
13.640691 103.873 1.4952
13.739536 103.879 1.4460
13.839099 103.884 1.3972
13.939383 103.890 1.3480
14.040393 103.896 1.2982
14.142136 103.902 1.2480
14.244616 103.908 1.1977
14.347837 103.913 1.1470
14.451808 103.919 1.0958
14.556532 103.925 1.0440
14.662014 103.931 0.9917
14.768262 103.936 0.9391
14.875278 103.941 0.8862
14.983070 103.947 0.8331
15.091644 103.953 0.7798
15.201005 103.959 0.7260
15.311157 103.964 0.6713
15.422109 103.970 0.6160
15.533863 103.976 0.5607
15.646428 103.982 0.5050
15.759809 103.987 0.4492
15.874010 103.993 0.3930
15.989040 103.999 0.3362
16.104904 104.005 0.2790
16.221605 104.011 0.2217
16.339155 104.016 0.1641
16.457554 104.021 0.1057
16.576813 104.027 0.0470
16.696936 104.033 -0.0118
16.817928 104.039 -0.0710
16.939798 104.044 -0.1308
17.062551 104.050 -0.1909
17.186193 104.056 -0.2513
17.310732 104.062 -0.3120
17.436172 104.067 -0.3728
17.562521 104.073 -0.4340
17.689787 104.079 -0.4953
17.817974 104.085 -0.5569
17.947090 104.090 -0.6194
18.077143 104.096 -0.6820
18.208138 104.102 -0.7439
18.340080 104.108 -0.8059
18.472980 104.114 -0.8685
18.606844 104.119 -0.9310
18.741676 104.124 -0.9928
18.877487 104.130 -1.0539
19.014280 104.136 -1.1139
19.152065 104.142 -1.1729
19.290850 104.148 -1.2314
19.430639 104.155 -1.2890
19.571442 104.162 -1.3446
19.713264 104.169 -1.4009
19.856115 104.178 -1.4597
20.000000 104.188 -1.5229
20.144928 104.198 -1.5936
20.290907 104.209 -1.6699
20.437943 104.219 -1.7519
20.586044 104.228 -1.8379
20.735220 104.237 -1.9268
20.885475 104.245 -2.0179
21.036821 104.252 -2.1113
21.189262 104.259 -2.2039
21.342808 104.265 -2.2918
21.497467 104.271 -2.3779
21.653246 104.278 -2.4627
21.810154 104.286 -2.5489
21.968201 104.294 -2.6394
22.127390 104.303 -2.7339
22.287735 104.311 -2.8330
22.449242 104.319 -2.9369
22.611917 104.327 -3.0467
22.775772 104.334 -3.1599
22.940815 104.339 -3.2756
23.107054 104.343 -3.3898
23.274498 104.345 -3.4982
23.443153 104.347 -3.6009
23.613033 104.348 -3.6963
23.784142 104.350 -3.7849
23.956491 104.352 -3.8653
24.130091 104.355 -3.9409
24.304947 104.360 -4.0133
24.481071 104.366 -4.0869
24.658470 104.374 -4.1668
24.837156 104.383 -4.2519
25.017136 104.392 -4.3428
25.198421 104.400 -4.4389
25.381020 104.408 -4.5404
25.564941 104.416 -4.6459
25.750195 104.423 -4.7553
25.936790 104.430 -4.8649
26.124741 104.435 -4.9706
26.314051 104.440 -5.0739
26.504732 104.446 -5.1732
26.696796 104.453 -5.2729
26.890253 104.461 -5.3769
27.085112 104.470 -5.4849
27.281382 104.479 -5.5975
27.479073 104.487 -5.7148
27.678198 104.495 -5.8377
27.878765 104.503 -5.9648
28.080786 104.510 -6.0968
28.284271 104.515 -6.2288
28.489231 104.519 -6.3567
28.695675 104.522 -6.4798
28.903616 104.525 -6.5953
29.113064 104.529 -6.7058
29.324028 104.534 -6.8120
29.536524 104.540 -6.9179
29.750557 104.548 -7.0281
29.966141 104.557 -7.1419
30.183289 104.565 -7.2602
30.402010 104.574 -7.3828
30.622314 104.583 -7.5103
30.844217 104.592 -7.6418
31.067726 104.601 -7.7776
31.292856 104.609 -7.9158
31.519617 104.617 -8.0540
31.748020 104.625 -8.1948
31.978081 104.634 -8.3401
32.209808 104.644 -8.4898
32.443211 104.653 -8.6445
32.678310 104.661 -8.8038
32.915108 104.669 -8.9674
33.153625 104.677 -9.1348
33.393871 104.684 -9.3071
33.635857 104.689 -9.4797
33.879597 104.693 -9.6489
34.125103 104.696 -9.8138
34.372387 104.699 -9.9709
34.621464 104.702 -10.1238
34.872345 104.707 -10.2735
35.125042 104.714 -10.4238
35.379574 104.722 -10.5791
35.635948 104.731 -10.7388
35.894180 104.739 -10.9041
36.154285 104.748 -11.0747
36.416275 104.757 -11.2510
36.680161 104.766 -11.4327
36.945961 104.775 -11.6202
37.213688 104.783 -11.8117
37.483353 104.791 -12.0045
37.754974 104.799 -12.2017
38.028561 104.808 -12.4056
38.304131 104.818 -12.6157
38.581699 104.827 -12.8321
38.861279 104.835 -13.0557
39.142883 104.843 -13.2873
39.426529 104.851 -13.5267
39.712231 104.858 -13.7751
40.000000 104.863 -14.0286
40.289856 104.866 -14.2838
40.581814 104.868 -14.5396
40.875885 104.869 -14.7934
41.172089 104.870 -15.0466
41.470440 104.870 -15.2995
41.770950 104.870 -15.5526
42.073643 104.870 -15.8061
42.378525 104.870 -16.0616
42.685616 104.870 -16.3206
42.994934 104.870 -16.5836
43.306492 104.869 -16.8520
43.620308 104.868 -17.1256
43.936401 104.866 -17.4052
44.254780 104.863 -17.6885
44.575470 104.858 -17.9746
44.898483 104.851 -18.2605
45.223835 104.843 -18.5427
45.551544 104.835 -18.8226
45.881630 104.827 -19.1003
46.214108 104.818 -19.3766
46.548996 104.809 -19.6518
46.886307 104.800 -19.9276
47.226067 104.792 -20.2047
47.568283 104.783 -20.4855
47.912983 104.774 -20.7732
48.260181 104.764 -21.0655
48.609894 104.753 -21.3617
48.962143 104.741 -21.6606
49.316940 104.727 -21.9613
49.674313 104.712 -22.2615
50.034271 104.695 -22.5578
50.396843 104.677 -22.8516
50.762039 104.660 -23.1419
51.129883 104.642 -23.4315
51.500389 104.624 -23.7240
51.873581 104.604 -24.0155
52.249481 104.582 -24.3027
52.628101 104.560 -24.5875
53.009464 104.539 -24.8707
53.393593 104.517 -25.1525
53.780506 104.493 -25.4351
54.170223 104.468 -25.7145
54.562763 104.443 -25.9864
54.958145 104.417 -26.2546
55.356396 104.392 -26.5215
55.757530 104.366 -26.7866
56.161572 104.339 -27.0509
56.568542 104.311 -27.3126
56.978462 104.283 -27.5697
57.391350 104.254 -27.8235
57.807232 104.225 -28.0757
58.226128 104.195 -28.3236
58.648056 104.163 -28.5654
59.073048 104.131 -28.7996
59.501114 104.098 -29.0231
59.932281 104.066 -29.2386
60.366577 104.035 -29.4476
60.804020 104.005 -29.6507
61.244629 103.975 -29.8484
61.688435 103.946 -30.0427
62.135452 103.919 -30.2344
62.585712 103.893 -30.4267
63.039234 103.869 -30.6226
63.496040 103.845 -30.8236
63.956161 103.822 -31.0319
64.419617 103.799 -31.2486
64.886421 103.777 -31.4767
65.356621 103.755 -31.7126
65.830215 103.730 -31.9542
66.307251 103.704 -32.2005
66.787743 103.678 -32.4495
67.271713 103.651 -32.7025
67.759193 103.623 -32.9616
68.250206 103.594 -33.2235
68.744774 103.562 -33.4863
69.242928 103.529 -33.7485
69.744690 103.496 -34.0079
70.250084 103.461 -34.2655
70.759148 103.424 -34.5231
71.271896 103.386 -34.7765
71.788361 103.346 -35.0225
72.308571 103.304 -35.2606
72.832550 103.262 -35.4886
73.360321 103.219 -35.7076
73.891922 103.176 -35.9176
74.427376 103.132 -36.1186
74.966705 103.088 -36.3104
75.509949 103.045 -36.4937
76.057121 103.002 -36.6689
76.608261 102.960 -36.8367
77.163399 102.918 -36.9966
77.722557 102.877 -37.1517
78.285767 102.838 -37.3037
78.853058 102.801 -37.4557
79.424461 102.764 -37.6116
80.000000 102.728 -37.7707
80.579712 102.692 -37.9334
81.163628 102.657 -38.1007
81.751770 102.622 -38.2742
82.344177 102.586 -38.4526
82.940880 102.549 -38.6363
83.541901 102.511 -38.8216
84.147285 102.471 -39.0054
84.757050 102.430 -39.1867
85.371231 102.389 -39.3633
85.989868 102.347 -39.5357
86.612984 102.304 -39.7032
