* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Sennheiser_IE200_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 7:29:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Sennheiser_IE200_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Sennheiser_IE200_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 95.242 -9.5050
5.036232 95.240 -9.5103
5.072727 95.237 -9.5160
5.109486 95.234 -9.5224
5.146511 95.231 -9.5300
5.183805 95.227 -9.5395
5.221369 95.222 -9.5500
5.259205 95.217 -9.5606
5.297316 95.212 -9.5720
5.335702 95.207 -9.5847
5.374367 95.201 -9.5980
5.413311 95.196 -9.6110
5.452538 95.190 -9.6240
5.492050 95.184 -9.6369
5.531847 95.179 -9.6500
5.571934 95.174 -9.6634
5.612310 95.169 -9.6770
5.652979 95.164 -9.6904
5.693943 95.158 -9.7040
5.735204 95.153 -9.7179
5.776763 95.147 -9.7320
5.818624 95.142 -9.7460
5.860788 95.136 -9.7600
5.903258 95.131 -9.7739
5.946035 95.125 -9.7880
5.989123 95.119 -9.8024
6.032523 95.114 -9.8170
6.076237 95.108 -9.8319
6.120268 95.103 -9.8470
6.164618 95.098 -9.8620
6.209289 95.092 -9.8770
6.254284 95.086 -9.8919
6.299605 95.081 -9.9070
6.345255 95.076 -9.9224
6.391235 95.071 -9.9380
6.437549 95.066 -9.9534
6.484198 95.060 -9.9690
6.531185 95.055 -9.9849
6.578513 95.049 -10.0010
6.626183 95.044 -10.0169
6.674199 95.038 -10.0330
6.722563 95.033 -10.0494
6.771278 95.027 -10.0660
6.820345 95.021 -10.0824
6.869768 95.016 -10.0990
6.919549 95.010 -10.1159
6.969691 95.005 -10.1330
7.020196 94.999 -10.1505
7.071068 94.994 -10.1680
7.122308 94.989 -10.1849
7.173919 94.984 -10.2020
7.225904 94.979 -10.2199
7.278266 94.973 -10.2380
7.331007 94.967 -10.2560
7.384131 94.962 -10.2740
7.437639 94.956 -10.2919
7.491535 94.951 -10.3100
7.545822 94.946 -10.3284
7.600502 94.940 -10.3470
7.655579 94.935 -10.3659
7.711054 94.929 -10.3850
7.766932 94.924 -10.4039
7.823214 94.918 -10.4230
7.879904 94.912 -10.4424
7.937005 94.907 -10.4620
7.994520 94.901 -10.4819
8.052452 94.896 -10.5020
8.110803 94.891 -10.5219
8.169578 94.886 -10.5420
8.228777 94.881 -10.5624
8.288406 94.875 -10.5830
8.348468 94.869 -10.6034
8.408964 94.864 -10.6240
8.469899 94.858 -10.6449
8.531276 94.853 -10.6660
8.593097 94.848 -10.6874
8.655366 94.842 -10.7090
8.718086 94.837 -10.7304
8.781260 94.831 -10.7520
8.844893 94.826 -10.7739
8.908987 94.820 -10.7960
8.973545 94.814 -10.8184
9.038571 94.809 -10.8410
9.104069 94.804 -10.8634
9.170040 94.799 -10.8860
9.236490 94.794 -10.9089
9.303422 94.788 -10.9320
9.370838 94.783 -10.9554
9.438744 94.777 -10.9790
9.507140 94.771 -11.0029
9.576033 94.766 -11.0270
9.645425 94.760 -11.0514
9.715320 94.755 -11.0760
9.785721 94.750 -11.1004
9.856632 94.744 -11.1250
9.928058 94.739 -11.1499
10.000000 94.733 -11.1750
10.072464 94.728 -11.2004
10.145453 94.722 -11.2260
10.218971 94.716 -11.2519
10.293022 94.711 -11.2780
10.367610 94.706 -11.3039
10.442738 94.701 -11.3300
10.518411 94.696 -11.3569
10.594631 94.690 -11.3840
10.671404 94.685 -11.4109
10.748734 94.679 -11.4380
10.826623 94.674 -11.4654
10.905077 94.668 -11.4930
10.984100 94.663 -11.5209
11.063695 94.657 -11.5490
11.143867 94.652 -11.5773
11.224621 94.646 -11.6060
11.305959 94.641 -11.6354
11.387886 94.635 -11.6650
11.470407 94.629 -11.6944
11.553527 94.624 -11.7240
11.637249 94.619 -11.7539
11.721577 94.614 -11.7840
11.806517 94.609 -11.8143
11.892071 94.603 -11.8450
11.978246 94.598 -11.8759
12.065045 94.592 -11.9070
12.152473 94.587 -11.9384
12.240536 94.581 -11.9700
12.329235 94.576 -12.0018
12.418578 94.570 -12.0340
12.508568 94.565 -12.0668
12.599211 94.559 -12.1000
12.690510 94.553 -12.1334
12.782471 94.548 -12.1670
12.875097 94.543 -12.2003
12.968395 94.537 -12.2340
13.062370 94.531 -12.2682
13.157025 94.526 -12.3030
13.252366 94.521 -12.3384
13.348398 94.516 -12.3740
13.445127 94.511 -12.4093
13.542556 94.505 -12.4450
13.640691 94.500 -12.4813
13.739536 94.494 -12.5180
13.839099 94.489 -12.5548
13.939383 94.483 -12.5920
14.040393 94.478 -12.6298
14.142136 94.472 -12.6680
14.244616 94.466 -12.7064
14.347837 94.461 -12.7450
14.451808 94.455 -12.7838
14.556532 94.450 -12.8230
14.662014 94.444 -12.8627
14.768262 94.439 -12.9030
14.875278 94.434 -12.9438
14.983070 94.429 -12.9850
15.091644 94.424 -13.0263
15.201005 94.418 -13.0680
15.311157 94.412 -13.1102
15.422109 94.407 -13.1530
15.533863 94.402 -13.1962
15.646428 94.396 -13.2400
15.759809 94.391 -13.2842
15.874010 94.385 -13.3290
15.989040 94.380 -13.3743
16.104904 94.374 -13.4200
16.221605 94.369 -13.4658
16.339155 94.363 -13.5119
16.457554 94.358 -13.5586
16.576813 94.352 -13.6060
16.696936 94.346 -13.6542
16.817928 94.341 -13.7030
16.939798 94.336 -13.7517
17.062551 94.331 -13.8009
17.186193 94.326 -13.8511
17.310732 94.320 -13.9020
17.436172 94.314 -13.9532
17.562521 94.309 -14.0050
17.689787 94.304 -14.0576
17.817974 94.298 -14.1109
17.947090 94.293 -14.1646
18.077143 94.287 -14.2190
18.208138 94.282 -14.2741
18.340080 94.276 -14.3299
18.472980 94.271 -14.3865
18.606844 94.265 -14.4440
18.741676 94.259 -14.5025
18.877487 94.254 -14.5619
19.014280 94.249 -14.6219
19.152065 94.244 -14.6829
19.290850 94.239 -14.7456
19.430639 94.233 -14.8100
19.571442 94.227 -14.8761
19.713264 94.221 -14.9439
19.856115 94.215 -15.0136
20.000000 94.209 -15.0839
20.144928 94.202 -15.1544
20.290907 94.194 -15.2229
20.437943 94.186 -15.2868
20.586044 94.177 -15.3470
20.735220 94.169 -15.4035
20.885475 94.161 -15.4569
21.036821 94.154 -15.5077
21.189262 94.148 -15.5569
21.342808 94.143 -15.6051
21.497467 94.139 -15.6549
21.653246 94.137 -15.7090
21.810154 94.135 -15.7689
21.968201 94.134 -15.8373
22.127390 94.133 -15.9139
22.287735 94.133 -15.9996
22.449242 94.132 -16.0939
22.611917 94.131 -16.1974
22.775772 94.128 -16.3079
22.940815 94.124 -16.4242
23.107054 94.119 -16.5438
23.274498 94.113 -16.6638
23.443153 94.105 -16.7848
23.613033 94.097 -16.9071
23.784142 94.088 -17.0289
23.956491 94.077 -17.1489
24.130091 94.066 -17.2659
24.304947 94.054 -17.3768
24.481071 94.042 -17.4849
24.658470 94.031 -17.5924
24.837156 94.020 -17.6989
25.017136 94.008 -17.8053
25.198421 93.995 -17.9099
25.381020 93.983 -18.0103
25.564941 93.970 -18.1089
25.750195 93.958 -18.2078
25.936790 93.945 -18.3059
26.124741 93.932 -18.4019
26.314051 93.920 -18.4979
26.504732 93.909 -18.5946
26.696796 93.898 -18.6939
26.890253 93.887 -18.7979
27.085112 93.875 -18.9059
27.281382 93.863 -19.0180
27.479073 93.851 -19.1328
27.678198 93.837 -19.2490
27.878765 93.823 -19.3658
28.080786 93.808 -19.4827
28.284271 93.792 -19.5978
28.489231 93.774 -19.7099
28.695675 93.756 -19.8179
28.903616 93.738 -19.9197
29.113064 93.720 -20.0169
29.324028 93.702 -20.1097
29.536524 93.684 -20.1999
29.750557 93.667 -20.2894
29.966141 93.651 -20.3779
30.183289 93.634 -20.4655
30.402010 93.617 -20.5529
30.622314 93.601 -20.6410
30.844217 93.584 -20.7289
31.067726 93.567 -20.8162
31.292856 93.550 -20.9029
31.519617 93.533 -20.9884
31.748020 93.517 -21.0739
31.978081 93.501 -21.1600
32.209808 93.485 -21.2469
32.443211 93.469 -21.3339
32.678310 93.454 -21.4239
32.915108 93.440 -21.5194
33.153625 93.426 -21.6209
33.393871 93.411 -21.7308
33.635857 93.395 -21.8458
33.879597 93.377 -21.9638
34.125103 93.358 -22.0828
34.372387 93.338 -22.2012
34.621464 93.316 -22.3158
34.872345 93.292 -22.4239
35.125042 93.266 -22.5229
35.379574 93.240 -22.6082
35.635948 93.215 -22.6829
35.894180 93.190 -22.7480
36.154285 93.167 -22.8059
36.416275 93.145 -22.8574
36.680161 93.126 -22.9079
36.945961 93.110 -22.9620
37.213688 93.095 -23.0229
37.483353 93.081 -23.0958
37.754974 93.067 -23.1789
38.028561 93.053 -23.2716
38.304131 93.038 -23.3749
38.581699 93.024 -23.4909
38.861279 93.008 -23.6158
39.142883 92.989 -23.7481
39.426529 92.967 -23.8828
39.712231 92.943 -24.0147
40.000000 92.918 -24.1438
40.289856 92.891 -24.2694
40.581814 92.862 -24.3878
40.875885 92.831 -24.4949
41.172089 92.799 -24.5909
41.470440 92.768 -24.6743
41.770950 92.736 -24.7459
42.073643 92.704 -24.8053
42.378525 92.673 -24.8549
42.685616 92.644 -24.8959
42.994934 92.616 -24.9319
43.306492 92.590 -24.9667
43.620308 92.566 -25.0019
43.936401 92.543 -25.0399
44.254780 92.521 -25.0829
44.575470 92.501 -25.1345
44.898483 92.480 -25.1929
45.223835 92.458 -25.2587
45.551544 92.435 -25.3289
45.881630 92.411 -25.4012
46.214108 92.387 -25.4739
46.548996 92.361 -25.5446
46.886307 92.335 -25.6129
47.226067 92.308 -25.6771
47.568283 92.281 -25.7389
47.912983 92.255 -25.7993
48.260181 92.229 -25.8589
48.609894 92.202 -25.9183
48.962143 92.175 -25.9779
49.316940 92.149 -26.0383
49.674313 92.122 -26.0989
50.034271 92.094 -26.1602
50.396843 92.065 -26.2189
50.762039 92.035 -26.2719
51.129883 92.004 -26.3189
51.500389 91.973 -26.3579
51.873581 91.943 -26.3909
52.249481 91.914 -26.4190
52.628101 91.885 -26.4440
53.009464 91.857 -26.4681
53.393593 91.830 -26.4920
53.780506 91.803 -26.5168
54.170223 91.776 -26.5420
54.562763 91.749 -26.5672
54.958145 91.723 -26.5930
55.356396 91.697 -26.6199
55.757530 91.670 -26.6470
56.161572 91.643 -26.6728
56.568542 91.616 -26.6990
56.978462 91.590 -26.7264
57.391350 91.564 -26.7549
57.807232 91.537 -26.7847
58.226128 91.510 -26.8149
58.648056 91.483 -26.8451
59.073048 91.455 -26.8750
59.501114 91.427 -26.9046
59.932281 91.399 -26.9320
60.366577 91.370 -26.9548
60.804020 91.340 -26.9740
61.244629 91.311 -26.9889
61.688435 91.283 -27.0020
62.135452 91.255 -27.0157
62.585712 91.228 -27.0300
63.039234 91.201 -27.0458
63.496040 91.173 -27.0630
63.956161 91.145 -27.0816
64.419617 91.117 -27.1010
64.886421 91.088 -27.1213
65.356621 91.059 -27.1400
65.830215 91.028 -27.1543
66.307251 90.997 -27.1640
66.787743 90.966 -27.1676
67.271713 90.935 -27.1660
67.759193 90.904 -27.1592
68.250206 90.874 -27.1490
68.744774 90.845 -27.1372
69.242928 90.816 -27.1240
69.744690 90.787 -27.1105
70.250084 90.758 -27.0960
70.759148 90.729 -27.0796
71.271896 90.701 -27.0630
71.788361 90.674 -27.0487
72.308571 90.646 -27.0340
72.832550 90.617 -27.0178
73.360321 90.588 -26.9990
73.891922 90.559 -26.9762
74.427376 90.531 -26.9501
74.966705 90.502 -26.9207
75.509949 90.474 -26.8881
76.057121 90.447 -26.8514
76.608261 90.420 -26.8131
77.163399 90.395 -26.7748
77.722557 90.371 -26.7381
78.285767 90.348 -26.7048
78.853058 90.325 -26.6761
79.424461 90.303 -26.6538
