* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\WF1000XM3_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:49:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\WF1000XM3_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: WF1000XM3_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 86.686 24.5220
5.036232 86.694 24.5148
5.072727 86.703 24.5070
5.109486 86.713 24.4976
5.146511 86.725 24.4870
5.183805 86.739 24.4749
5.221369 86.755 24.4620
5.259205 86.772 24.4488
5.297316 86.789 24.4350
5.335702 86.807 24.4206
5.374367 86.825 24.4060
5.413311 86.843 24.3915
5.452538 86.862 24.3770
5.492050 86.881 24.3625
5.531847 86.899 24.3480
5.571934 86.917 24.3336
5.612310 86.935 24.3190
5.652979 86.953 24.3041
5.693943 86.972 24.2890
5.735204 86.991 24.2741
5.776763 87.009 24.2590
5.818624 87.027 24.2436
5.860788 87.045 24.2280
5.903258 87.063 24.2125
5.946035 87.082 24.1970
5.989123 87.101 24.1816
6.032523 87.119 24.1660
6.076237 87.137 24.1501
6.120268 87.155 24.1340
6.164618 87.173 24.1181
6.209289 87.192 24.1020
6.254284 87.211 24.0856
6.299605 87.229 24.0690
6.345255 87.247 24.0526
6.391235 87.265 24.0360
6.437549 87.283 24.0191
6.484198 87.302 24.0020
6.531185 87.321 23.9850
6.578513 87.339 23.9680
6.626183 87.357 23.9511
6.674199 87.375 23.9340
6.722563 87.393 23.9166
6.771278 87.412 23.8990
6.820345 87.431 23.8811
6.869768 87.449 23.8630
6.919549 87.467 23.8451
6.969691 87.485 23.8270
7.020196 87.503 23.8086
7.071068 87.522 23.7900
7.122308 87.541 23.7715
7.173919 87.559 23.7530
7.225904 87.577 23.7346
7.278266 87.595 23.7160
7.331007 87.613 23.6966
7.384131 87.632 23.6770
7.437639 87.651 23.6581
7.491535 87.669 23.6390
7.545822 87.687 23.6191
7.600502 87.705 23.5990
7.655579 87.723 23.5790
7.711054 87.742 23.5590
7.766932 87.760 23.5391
7.823214 87.779 23.5190
7.879904 87.798 23.4986
7.937005 87.816 23.4780
7.994520 87.834 23.4571
8.052452 87.852 23.4360
8.110803 87.870 23.4151
8.169578 87.889 23.3940
8.228777 87.908 23.3726
8.288406 87.926 23.3510
8.348468 87.944 23.3291
8.408964 87.962 23.3070
8.469899 87.980 23.2851
8.531276 87.999 23.2630
8.593097 88.018 23.2406
8.655366 88.036 23.2180
8.718086 88.054 23.1956
8.781260 88.072 23.1730
8.844893 88.090 23.1501
8.908987 88.109 23.1270
8.973545 88.128 23.1036
9.038571 88.146 23.0800
9.104069 88.164 23.0561
9.170040 88.182 23.0320
9.236490 88.200 23.0081
9.303422 88.219 22.9840
9.370838 88.238 22.9596
9.438744 88.256 22.9350
9.507140 88.274 22.9101
9.576033 88.292 22.8850
9.645425 88.310 22.8601
9.715320 88.329 22.8350
9.785721 88.348 22.8091
9.856632 88.366 22.7830
9.928058 88.384 22.7571
10.000000 88.402 22.7310
10.072464 88.420 22.7046
10.145453 88.439 22.6780
10.218971 88.458 22.6516
10.293022 88.476 22.6250
10.367610 88.494 22.5976
10.442738 88.512 22.5700
10.518411 88.530 22.5426
10.594631 88.549 22.5150
10.671404 88.568 22.4871
10.748734 88.586 22.4590
10.826623 88.604 22.4306
10.905077 88.622 22.4020
10.984100 88.640 22.3731
11.063695 88.659 22.3440
11.143867 88.677 22.3146
11.224621 88.696 22.2850
11.305959 88.715 22.2556
11.387886 88.733 22.2260
11.470407 88.751 22.1956
11.553527 88.769 22.1650
11.637249 88.787 22.1346
11.721577 88.806 22.1040
11.806517 88.825 22.0727
11.892071 88.843 22.0410
11.978246 88.861 22.0096
12.065045 88.879 21.9780
12.152473 88.897 21.9456
12.240536 88.916 21.9130
12.329235 88.935 21.8806
12.418578 88.953 21.8480
12.508568 88.971 21.8146
12.599211 88.989 21.7810
12.690510 89.007 21.7477
12.782471 89.026 21.7140
12.875097 89.045 21.6797
12.968395 89.063 21.6450
13.062370 89.081 21.6101
13.157025 89.099 21.5750
13.252366 89.117 21.5401
13.348398 89.136 21.5050
13.445127 89.155 21.4693
13.542556 89.173 21.4330
13.640691 89.191 21.3962
13.739536 89.209 21.3590
13.839099 89.227 21.3221
13.939383 89.246 21.2850
14.040393 89.265 21.2477
14.142136 89.283 21.2100
14.244616 89.301 21.1717
14.347837 89.319 21.1330
14.451808 89.337 21.0942
14.556532 89.356 21.0550
14.662014 89.375 21.0152
14.768262 89.393 20.9750
14.875278 89.411 20.9352
14.983070 89.429 20.8950
15.091644 89.447 20.8543
15.201005 89.466 20.8130
15.311157 89.485 20.7712
15.422109 89.503 20.7290
15.533863 89.521 20.6867
15.646428 89.539 20.6440
15.759809 89.557 20.6012
15.874010 89.576 20.5580
15.989040 89.595 20.5142
16.104904 89.613 20.4700
16.221605 89.631 20.4257
16.339155 89.649 20.3811
16.457554 89.667 20.3358
16.576813 89.686 20.2900
16.696936 89.704 20.2437
16.817928 89.723 20.1970
16.939798 89.742 20.1502
17.062551 89.760 20.1031
17.186193 89.778 20.0553
17.310732 89.796 20.0070
17.436172 89.814 19.9582
17.562521 89.833 19.9090
17.689787 89.852 19.8597
17.817974 89.870 19.8101
17.947090 89.888 19.7598
18.077143 89.906 19.7090
18.208138 89.924 19.6577
18.340080 89.943 19.6061
18.472980 89.962 19.5542
18.606844 89.980 19.5020
18.741676 89.998 19.4497
18.877487 90.016 19.3971
19.014280 90.034 19.3441
19.152065 90.053 19.2911
19.290850 90.071 19.2386
19.430639 90.090 19.1860
19.571442 90.109 19.1332
19.713264 90.129 19.0791
19.856115 90.149 19.0235
20.000000 90.169 18.9641
20.144928 90.190 18.8984
20.290907 90.212 18.8261
20.437943 90.233 18.7449
20.586044 90.253 18.6581
20.735220 90.271 18.5670
20.885475 90.288 18.4741
21.036821 90.304 18.3814
21.189262 90.318 18.2921
21.342808 90.330 18.2104
21.497467 90.342 18.1361
21.653246 90.354 18.0721
21.810154 90.367 18.0141
21.968201 90.381 17.9585
22.127390 90.395 17.9061
22.287735 90.409 17.8560
22.449242 90.423 17.8090
22.611917 90.438 17.7654
22.775772 90.453 17.7250
22.940815 90.469 17.6882
23.107054 90.486 17.6550
23.274498 90.504 17.6285
23.443153 90.524 17.6010
23.613033 90.548 17.5675
23.784142 90.575 17.5230
23.956491 90.602 17.4601
24.130091 90.630 17.3811
24.304947 90.657 17.2858
24.481071 90.684 17.1742
24.658470 90.710 17.0439
24.837156 90.733 16.9022
25.017136 90.751 16.7536
25.198421 90.767 16.6032
25.381020 90.781 16.4588
25.564941 90.793 16.3161
25.750195 90.806 16.1721
25.936790 90.816 16.0312
26.124741 90.822 15.8953
26.314051 90.825 15.7692
26.504732 90.828 15.6590
26.696796 90.830 15.5621
26.890253 90.832 15.4772
27.085112 90.834 15.4061
27.281382 90.835 15.3511
27.479073 90.836 15.3100
27.678198 90.840 15.2839
27.878765 90.847 15.2660
28.080786 90.856 15.2506
28.284271 90.866 15.2360
28.489231 90.878 15.2175
28.695675 90.890 15.1990
28.903616 90.901 15.1824
29.113064 90.913 15.1690
29.324028 90.926 15.1619
29.536524 90.941 15.1580
29.750557 90.957 15.1555
29.966141 90.975 15.1540
30.183289 90.994 15.1541
30.402010 91.015 15.1510
30.622314 91.041 15.1412
30.844217 91.068 15.1210
31.067726 91.095 15.0842
31.292856 91.123 15.0351
31.519617 91.150 14.9765
31.748020 91.178 14.9061
31.978081 91.207 14.8209
32.209808 91.236 14.7251
32.443211 91.261 14.6211
32.678310 91.284 14.5111
32.915108 91.308 14.3990
33.153625 91.332 14.2831
33.393871 91.353 14.1618
33.635857 91.374 14.0402
33.879597 91.394 13.9254
34.125103 91.414 13.8102
34.372387 91.438 13.6913
34.621464 91.462 13.5642
34.872345 91.485 13.4216
35.125042 91.507 13.2682
35.379574 91.527 13.1066
35.635948 91.546 12.9362
35.894180 91.565 12.7547
36.154285 91.580 12.5703
36.416275 91.588 12.3876
36.680161 91.593 12.2143
36.945961 91.597 12.0599
37.213688 91.600 11.9222
37.483353 91.602 11.8025
37.754974 91.605 11.6991
38.028561 91.609 11.6118
38.304131 91.614 11.5371
38.581699 91.622 11.4731
38.861279 91.632 11.4151
39.142883 91.645 11.3586
39.426529 91.660 11.3011
39.712231 91.676 11.2371
40.000000 91.694 11.1701
40.289856 91.712 11.1025
40.581814 91.731 11.0321
40.875885 91.753 10.9604
41.172089 91.778 10.8791
41.470440 91.806 10.7810
41.770950 91.836 10.6652
42.073643 91.864 10.5280
42.378525 91.893 10.3702
42.685616 91.923 10.1911
42.994934 91.951 9.9913
43.306492 91.976 9.7687
43.620308 91.997 9.5314
43.936401 92.014 9.2848
44.254780 92.028 9.0344
44.575470 92.038 8.7861
44.898483 92.044 8.5434
45.223835 92.048 8.3117
45.551544 92.050 8.0903
45.881630 92.051 7.8807
46.214108 92.051 7.6813
46.548996 92.051 7.4914
46.886307 92.051 7.3093
47.226067 92.051 7.1335
47.568283 92.051 6.9633
47.912983 92.051 6.7978
48.260181 92.051 6.6363
48.609894 92.051 6.4777
48.962143 92.051 6.3222
49.316940 92.051 6.1699
49.674313 92.051 6.0202
50.034271 92.051 5.8732
50.396843 92.051 5.7282
50.762039 92.051 5.5844
51.129883 92.051 5.4422
51.500389 92.051 5.3020
51.873581 92.051 5.1632
52.249481 92.051 5.0259
52.628101 92.051 4.8892
53.009464 92.051 4.7527
53.393593 92.051 4.6162
53.780506 92.051 4.4792
54.170223 92.051 4.3422
54.562763 92.050 4.2057
54.958145 92.048 4.0702
55.356396 92.046 3.9352
55.757530 92.044 3.8042
56.161572 92.039 3.6802
56.568542 92.034 3.5642
56.978462 92.030 3.4603
57.391350 92.027 3.3622
57.807232 92.027 3.2646
58.226128 92.027 3.1682
58.648056 92.027 3.0723
59.073048 92.027 2.9752
59.501114 92.030 2.8761
59.932281 92.034 2.7702
60.366577 92.040 2.6506
60.804020 92.045 2.5222
61.244629 92.046 2.3864
61.688435 92.045 2.2472
62.135452 92.044 2.1077
62.585712 92.041 1.9722
63.039234 92.035 1.8446
63.496040 92.027 1.7292
63.956161 92.019 1.6339
64.419617 92.011 1.5521
64.886421 92.007 1.4814
65.356621 92.005 1.4171
65.830215 92.004 1.3539
66.307251 92.005 1.2911
66.787743 92.008 1.2286
67.271713 92.013 1.1601
67.759193 92.021 1.0791
68.250206 92.030 0.9862
68.744774 92.037 0.8775
69.242928 92.042 0.7602
69.744690 92.046 0.6399
70.250084 92.049 0.5182
70.759148 92.050 0.3985
71.271896 92.051 0.2812
71.788361 92.051 0.1683
72.308571 92.051 0.0592
72.832550 92.051 -0.0458
73.360321 92.051 -0.1468
73.891922 92.051 -0.2438
74.427376 92.052 -0.3368
74.966705 92.053 -0.4261
75.509949 92.054 -0.5119
76.057121 92.056 -0.5939
76.608261 92.060 -0.6738
77.163399 92.065 -0.7527
77.722557 92.072 -0.8318
78.285767 92.079 -0.9128
78.853058 92.088 -0.9968
79.424461 92.099 -1.0848
80.000000 92.111 -1.1798
80.579712 92.125 -1.2845
81.163628 92.140 -1.4018
81.751770 92.157 -1.5342
82.344177 92.176 -1.6857
82.940880 92.195 -1.8621
83.541901 92.213 -2.0596
84.147285 92.227 -2.2784
84.757050 92.238 -2.5115
85.371231 92.245 -2.7536
85.989868 92.249 -2.9995
86.612984 92.249 -3.2437
87.240616 92.246 -3.4815
87.872803 92.239 -3.7074
88.509560 92.231 -3.9186
89.150940 92.222 -4.1086
89.796967 92.213 -4.2836
90.447670 92.207 -4.4455
91.103088 92.204 -4.6017
91.763260 92.202 -4.7580
92.428215 92.203 -4.9207
93.097992 92.208 -5.0971
93.772614 92.213 -5.2896
94.452133 92.217 -5.5058
95.136566 92.219 -5.7375
