* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Soundcore Liberty Air 2_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:40:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Soundcore Liberty Air 2_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Soundcore Liberty Air 2_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 106.780 -11.6770
5.036232 106.777 -11.6832
5.072727 106.774 -11.6900
5.109486 106.770 -11.6979
5.146511 106.766 -11.7070
5.183805 106.761 -11.7179
5.221369 106.755 -11.7300
5.259205 106.749 -11.7430
5.297316 106.743 -11.7570
5.335702 106.736 -11.7722
5.374367 106.729 -11.7880
5.413311 106.723 -11.8035
5.452538 106.716 -11.8190
5.492050 106.709 -11.8344
5.531847 106.702 -11.8500
5.571934 106.696 -11.8659
5.612310 106.689 -11.8820
5.652979 106.682 -11.8984
5.693943 106.675 -11.9150
5.735204 106.668 -11.9315
5.776763 106.662 -11.9480
5.818624 106.656 -11.9644
5.860788 106.649 -11.9810
5.903258 106.642 -11.9979
5.946035 106.635 -12.0150
5.989123 106.629 -12.0324
6.032523 106.622 -12.0500
6.076237 106.615 -12.0674
6.120268 106.608 -12.0850
6.164618 106.602 -12.1029
6.209289 106.595 -12.1210
6.254284 106.588 -12.1390
6.299605 106.581 -12.1570
6.345255 106.574 -12.1749
6.391235 106.568 -12.1930
6.437549 106.562 -12.2119
6.484198 106.555 -12.2310
6.531185 106.548 -12.2494
6.578513 106.541 -12.2680
6.626183 106.535 -12.2874
6.674199 106.528 -12.3070
6.722563 106.521 -12.3265
6.771278 106.514 -12.3460
6.820345 106.507 -12.3654
6.869768 106.501 -12.3850
6.919549 106.494 -12.4049
6.969691 106.487 -12.4250
7.020196 106.480 -12.4454
7.071068 106.474 -12.4660
7.122308 106.468 -12.4864
7.173919 106.461 -12.5070
7.225904 106.454 -12.5279
7.278266 106.447 -12.5490
7.331007 106.440 -12.5699
7.384131 106.434 -12.5910
7.437639 106.427 -12.6129
7.491535 106.420 -12.6350
7.545822 106.413 -12.6564
7.600502 106.407 -12.6780
7.655579 106.400 -12.7004
7.711054 106.393 -12.7230
7.766932 106.386 -12.7454
7.823214 106.380 -12.7680
7.879904 106.374 -12.7909
7.937005 106.367 -12.8140
7.994520 106.360 -12.8369
8.052452 106.353 -12.8600
8.110803 106.346 -12.8834
8.169578 106.340 -12.9070
8.228777 106.333 -12.9309
8.288406 106.326 -12.9550
8.348468 106.320 -12.9789
8.408964 106.313 -13.0030
8.469899 106.306 -13.0279
8.531276 106.299 -13.0530
8.593097 106.292 -13.0780
8.655366 106.286 -13.1030
8.718086 106.280 -13.1279
8.781260 106.273 -13.1530
8.844893 106.266 -13.1789
8.908987 106.259 -13.2050
8.973545 106.253 -13.2309
9.038571 106.246 -13.2570
9.104069 106.239 -13.2834
9.170040 106.232 -13.3100
9.236490 106.226 -13.3369
9.303422 106.219 -13.3640
9.370838 106.212 -13.3909
9.438744 106.205 -13.4180
9.507140 106.198 -13.4459
9.576033 106.192 -13.4740
9.645425 106.186 -13.5019
9.715320 106.179 -13.5300
9.785721 106.172 -13.5584
9.856632 106.165 -13.5870
9.928058 106.159 -13.6159
10.000000 106.152 -13.6450
10.072464 106.145 -13.6744
10.145453 106.138 -13.7040
10.218971 106.132 -13.7334
10.293022 106.125 -13.7630
10.367610 106.118 -13.7934
10.442738 106.111 -13.8240
10.518411 106.104 -13.8544
10.594631 106.098 -13.8850
10.671404 106.092 -13.9159
10.748734 106.085 -13.9470
10.826623 106.078 -13.9784
10.905077 106.071 -14.0100
10.984100 106.065 -14.0418
11.063695 106.058 -14.0740
11.143867 106.051 -14.1069
11.224621 106.044 -14.1400
11.305959 106.037 -14.1729
11.387886 106.031 -14.2060
11.470407 106.025 -14.2394
11.553527 106.018 -14.2730
11.637249 106.011 -14.3069
11.721577 106.004 -14.3410
11.806517 105.998 -14.3753
11.892071 105.991 -14.4100
11.978246 105.984 -14.4449
12.065045 105.977 -14.4800
12.152473 105.970 -14.5154
12.240536 105.964 -14.5510
12.329235 105.957 -14.5869
12.418578 105.950 -14.6230
12.508568 105.943 -14.6593
12.599211 105.937 -14.6960
12.690510 105.931 -14.7328
12.782471 105.924 -14.7700
12.875097 105.917 -14.8073
12.968395 105.910 -14.8450
13.062370 105.904 -14.8834
13.157025 105.897 -14.9220
13.252366 105.890 -14.9604
13.348398 105.883 -14.9990
13.445127 105.877 -15.0383
13.542556 105.870 -15.0780
13.640691 105.863 -15.1173
13.739536 105.856 -15.1570
13.839099 105.849 -15.1973
13.939383 105.843 -15.2380
14.040393 105.837 -15.2788
14.142136 105.830 -15.3200
14.244616 105.823 -15.3613
14.347837 105.816 -15.4030
14.451808 105.810 -15.4454
14.556532 105.803 -15.4880
14.662014 105.796 -15.5303
14.768262 105.789 -15.5730
14.875278 105.783 -15.6163
14.983070 105.776 -15.6600
15.091644 105.769 -15.7038
15.201005 105.762 -15.7480
15.311157 105.755 -15.7923
15.422109 105.749 -15.8370
15.533863 105.743 -15.8823
15.646428 105.736 -15.9280
15.759809 105.729 -15.9739
15.874010 105.722 -16.0200
15.989040 105.716 -16.0658
16.104904 105.709 -16.1120
16.221605 105.702 -16.1588
16.339155 105.695 -16.2059
16.457554 105.689 -16.2533
16.576813 105.682 -16.3010
16.696936 105.675 -16.3493
16.817928 105.668 -16.3980
16.939798 105.661 -16.4464
17.062551 105.655 -16.4949
17.186193 105.649 -16.5438
17.310732 105.642 -16.5930
17.436172 105.635 -16.6424
17.562521 105.628 -16.6920
17.689787 105.622 -16.7414
17.817974 105.615 -16.7909
17.947090 105.608 -16.8409
18.077143 105.601 -16.8910
18.208138 105.595 -16.9410
18.340080 105.588 -16.9909
18.472980 105.581 -17.0406
18.606844 105.574 -17.0900
18.741676 105.567 -17.1393
18.877487 105.561 -17.1880
19.014280 105.555 -17.2355
19.152065 105.548 -17.2819
19.290850 105.541 -17.3270
19.430639 105.535 -17.3710
19.571442 105.530 -17.4140
19.713264 105.525 -17.4569
19.856115 105.521 -17.5008
20.000000 105.517 -17.5460
20.144928 105.514 -17.5930
20.290907 105.511 -17.6430
20.437943 105.510 -17.6965
20.586044 105.509 -17.7550
20.735220 105.508 -17.8198
20.885475 105.508 -17.8919
21.036821 105.508 -17.9728
21.189262 105.507 -18.0619
21.342808 105.506 -18.1595
21.497467 105.504 -18.2649
21.653246 105.501 -18.3788
21.810154 105.496 -18.4968
21.968201 105.487 -18.6166
22.127390 105.476 -18.7319
22.287735 105.463 -18.8354
22.449242 105.449 -18.9279
22.611917 105.435 -19.0074
22.775772 105.421 -19.0749
22.940815 105.407 -19.1304
23.107054 105.394 -19.1749
23.274498 105.383 -19.2069
23.443153 105.374 -19.2340
23.613033 105.369 -19.2626
23.784142 105.366 -19.2950
23.956491 105.364 -19.3359
24.130091 105.362 -19.3839
24.304947 105.362 -19.4394
24.481071 105.362 -19.5019
24.658470 105.362 -19.5718
24.837156 105.362 -19.6479
25.017136 105.362 -19.7290
25.198421 105.362 -19.8149
25.381020 105.362 -19.9051
25.564941 105.362 -19.9999
25.750195 105.362 -20.0996
25.936790 105.362 -20.2039
26.124741 105.362 -20.3122
26.314051 105.362 -20.4258
26.504732 105.362 -20.5455
26.696796 105.362 -20.6718
26.890253 105.362 -20.8053
27.085112 105.362 -20.9468
27.281382 105.361 -21.0976
27.479073 105.359 -21.2568
27.678198 105.356 -21.4251
27.878765 105.351 -21.5988
28.080786 105.342 -21.7760
28.284271 105.331 -21.9508
28.489231 105.317 -22.1160
28.695675 105.302 -22.2728
28.903616 105.287 -22.4200
29.113064 105.271 -22.5568
29.324028 105.254 -22.6818
29.536524 105.237 -22.7959
29.750557 105.222 -22.8970
29.966141 105.208 -22.9919
30.183289 105.197 -23.0866
30.402010 105.187 -23.1819
30.622314 105.178 -23.2808
30.844217 105.169 -23.3829
31.067726 105.161 -23.4892
31.292856 105.153 -23.5988
31.519617 105.145 -23.7117
31.748020 105.137 -23.8269
31.978081 105.129 -23.9435
32.209808 105.121 -24.0618
32.443211 105.113 -24.1818
32.678310 105.106 -24.3038
32.915108 105.099 -24.4282
33.153625 105.092 -24.5558
33.393871 105.086 -24.6881
33.635857 105.080 -24.8248
33.879597 105.073 -24.9665
34.125103 105.066 -25.1128
34.372387 105.059 -25.2638
34.621464 105.052 -25.4188
34.872345 105.044 -25.5771
35.125042 105.035 -25.7378
35.379574 105.025 -25.8999
35.635948 105.015 -26.0628
35.894180 105.005 -26.2255
36.154285 104.994 -26.3888
36.416275 104.984 -26.5525
36.680161 104.973 -26.7177
36.945961 104.962 -26.8853
37.213688 104.951 -27.0557
37.483353 104.940 -27.2306
37.754974 104.928 -27.4077
38.028561 104.915 -27.5857
38.304131 104.901 -27.7638
38.581699 104.886 -27.9408
38.861279 104.871 -28.1167
39.142883 104.856 -28.2909
39.426529 104.841 -28.4638
39.712231 104.826 -28.6351
40.000000 104.810 -28.8057
40.289856 104.795 -28.9766
40.581814 104.779 -29.1478
40.875885 104.763 -29.3196
41.172089 104.748 -29.4927
41.470440 104.733 -29.6683
41.770950 104.718 -29.8457
42.073643 104.702 -30.0245
42.378525 104.685 -30.2047
42.685616 104.669 -30.3862
42.994934 104.652 -30.5687
43.306492 104.635 -30.7520
43.620308 104.618 -30.9367
43.936401 104.601 -31.1233
44.254780 104.583 -31.3117
44.575470 104.565 -31.5028
44.898483 104.546 -31.6947
45.223835 104.526 -31.8862
45.551544 104.506 -32.0767
45.881630 104.486 -32.2649
46.214108 104.465 -32.4517
46.548996 104.444 -32.6376
46.886307 104.423 -32.8227
47.226067 104.402 -33.0070
47.568283 104.381 -33.1917
47.912983 104.360 -33.3779
48.260181 104.340 -33.5657
48.609894 104.320 -33.7555
48.962143 104.299 -33.9477
49.316940 104.278 -34.1429
49.674313 104.257 -34.3407
50.034271 104.235 -34.5409
50.396843 104.212 -34.7427
50.762039 104.189 -34.9454
51.129883 104.166 -35.1486
51.500389 104.142 -35.3521
51.873581 104.117 -35.5556
52.249481 104.092 -35.7590
52.628101 104.067 -35.9627
53.009464 104.042 -36.1670
53.393593 104.016 -36.3717
53.780506 103.990 -36.5769
54.170223 103.963 -36.7817
54.562763 103.935 -36.9851
54.958145 103.907 -37.1877
55.356396 103.880 -37.3890
55.757530 103.852 -37.5907
56.161572 103.824 -37.7946
56.568542 103.796 -37.9997
56.978462 103.767 -38.2051
57.391350 103.738 -38.4116
57.807232 103.709 -38.6192
58.226128 103.679 -38.8286
58.648056 103.649 -39.0418
59.073048 103.618 -39.2556
59.501114 103.586 -39.4679
59.932281 103.553 -39.6786
60.366577 103.520 -39.8866
60.804020 103.486 -40.0926
61.244629 103.452 -40.2969
61.688435 103.417 -40.4997
62.135452 103.382 -40.7010
62.585712 103.347 -40.9017
63.039234 103.312 -41.1022
63.496040 103.277 -41.3027
63.956161 103.241 -41.5032
64.419617 103.205 -41.7036
64.886421 103.168 -41.9041
65.356621 103.131 -42.1037
65.830215 103.093 -42.3014
66.307251 103.055 -42.4976
66.787743 103.016 -42.6926
67.271713 102.976 -42.8856
67.759193 102.937 -43.0763
68.250206 102.897 -43.2647
68.744774 102.857 -43.4507
69.242928 102.816 -43.6347
69.744690 102.775 -43.8166
70.250084 102.734 -43.9967
70.759148 102.693 -44.1750
71.271896 102.652 -44.3517
71.788361 102.611 -44.5267
72.308571 102.570 -44.7007
72.832550 102.529 -44.8743
73.360321 102.487 -45.0477
73.891922 102.446 -45.2209
74.427376 102.405 -45.3947
74.966705 102.364 -45.5695
75.509949 102.322 -45.7457
76.057121 102.280 -45.9239
76.608261 102.238 -46.1036
77.163399 102.195 -46.2852
77.722557 102.151 -46.4676
78.285767 102.107 -46.6499
78.853058 102.062 -46.8316
