* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Tozo T6_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:43:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Tozo T6_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Tozo T6_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 108.870 -17.7560
5.036232 108.866 -17.7665
5.072727 108.861 -17.7780
5.109486 108.855 -17.7918
5.146511 108.849 -17.8080
5.183805 108.841 -17.8275
5.221369 108.833 -17.8490
5.259205 108.824 -17.8712
5.297316 108.815 -17.8950
5.335702 108.805 -17.9211
5.374367 108.795 -17.9480
5.413311 108.785 -17.9744
5.452538 108.775 -18.0010
5.492050 108.765 -18.0284
5.531847 108.755 -18.0560
5.571934 108.745 -18.0834
5.612310 108.735 -18.1110
5.652979 108.725 -18.1394
5.693943 108.715 -18.1680
5.735204 108.705 -18.1964
5.776763 108.696 -18.2250
5.818624 108.686 -18.2539
5.860788 108.676 -18.2830
5.903258 108.666 -18.3124
5.946035 108.656 -18.3420
5.989123 108.646 -18.3719
6.032523 108.636 -18.4020
6.076237 108.626 -18.4319
6.120268 108.616 -18.4620
6.164618 108.606 -18.4928
6.209289 108.596 -18.5240
6.254284 108.586 -18.5554
6.299605 108.576 -18.5870
6.345255 108.566 -18.6184
6.391235 108.556 -18.6500
6.437549 108.547 -18.6824
6.484198 108.537 -18.7150
6.531185 108.527 -18.7474
6.578513 108.517 -18.7800
6.626183 108.507 -18.8134
6.674199 108.497 -18.8470
6.722563 108.487 -18.8804
6.771278 108.477 -18.9140
6.820345 108.467 -18.9484
6.869768 108.457 -18.9830
6.919549 108.447 -19.0174
6.969691 108.437 -19.0520
7.020196 108.427 -19.0873
7.071068 108.417 -19.1230
7.122308 108.408 -19.1589
7.173919 108.398 -19.1950
7.225904 108.388 -19.2314
7.278266 108.378 -19.2680
7.331007 108.368 -19.3049
7.384131 108.358 -19.3420
7.437639 108.348 -19.3794
7.491535 108.338 -19.4170
7.545822 108.328 -19.4548
7.600502 108.318 -19.4930
7.655579 108.308 -19.5319
7.711054 108.298 -19.5710
7.766932 108.288 -19.6099
7.823214 108.278 -19.6490
7.879904 108.269 -19.6888
7.937005 108.259 -19.7290
7.994520 108.249 -19.7693
8.052452 108.239 -19.8100
8.110803 108.229 -19.8514
8.169578 108.219 -19.8930
8.228777 108.209 -19.9344
8.288406 108.199 -19.9760
8.348468 108.189 -20.0183
8.408964 108.179 -20.0610
8.469899 108.169 -20.1038
8.531276 108.159 -20.1470
8.593097 108.149 -20.1908
8.655366 108.139 -20.2350
8.718086 108.129 -20.2794
8.781260 108.119 -20.3240
8.844893 108.110 -20.3688
8.908987 108.100 -20.4140
8.973545 108.090 -20.4598
9.038571 108.080 -20.5060
9.104069 108.070 -20.5523
9.170040 108.060 -20.5990
9.236490 108.050 -20.6463
9.303422 108.040 -20.6940
9.370838 108.030 -20.7418
9.438744 108.020 -20.7900
9.507140 108.010 -20.8388
9.576033 108.000 -20.8880
9.645425 107.990 -20.9373
9.715320 107.980 -20.9870
9.785721 107.971 -21.0373
9.856632 107.961 -21.0880
9.928058 107.951 -21.1388
10.000000 107.941 -21.1900
10.072464 107.931 -21.2417
10.145453 107.921 -21.2939
10.218971 107.911 -21.3468
10.293022 107.901 -21.4000
10.367610 107.891 -21.4533
10.442738 107.881 -21.5070
10.518411 107.871 -21.5612
10.594631 107.861 -21.6160
10.671404 107.851 -21.6712
10.748734 107.841 -21.7270
10.826623 107.832 -21.7833
10.905077 107.822 -21.8400
10.984100 107.812 -21.8967
11.063695 107.802 -21.9540
11.143867 107.792 -22.0122
11.224621 107.782 -22.0710
11.305959 107.772 -22.1298
11.387886 107.762 -22.1890
11.470407 107.752 -22.2487
11.553527 107.742 -22.3090
11.637249 107.732 -22.3697
11.721577 107.722 -22.4309
11.806517 107.712 -22.4932
11.892071 107.702 -22.5559
11.978246 107.692 -22.6188
12.065045 107.682 -22.6820
12.152473 107.673 -22.7457
12.240536 107.663 -22.8100
12.329235 107.653 -22.8752
12.418578 107.643 -22.9409
12.508568 107.633 -23.0067
12.599211 107.623 -23.0730
12.690510 107.613 -23.1401
12.782471 107.603 -23.2079
12.875097 107.593 -23.2761
12.968395 107.583 -23.3449
13.062370 107.573 -23.4147
13.157025 107.563 -23.4850
13.252366 107.553 -23.5552
13.348398 107.543 -23.6259
13.445127 107.534 -23.6981
13.542556 107.524 -23.7709
13.640691 107.514 -23.8442
13.739536 107.504 -23.9180
13.839099 107.494 -23.9921
13.939383 107.484 -24.0669
14.040393 107.474 -24.1426
14.142136 107.464 -24.2190
14.244616 107.454 -24.2957
14.347837 107.444 -24.3730
14.451808 107.434 -24.4510
14.556532 107.424 -24.5300
14.662014 107.414 -24.6101
14.768262 107.404 -24.6909
14.875278 107.395 -24.7721
14.983070 107.385 -24.8539
15.091644 107.375 -24.9366
15.201005 107.365 -25.0199
15.311157 107.355 -25.1041
15.422109 107.345 -25.1889
15.533863 107.335 -25.2746
15.646428 107.325 -25.3610
15.759809 107.315 -25.4480
15.874010 107.305 -25.5359
15.989040 107.295 -25.6250
16.104904 107.285 -25.7149
16.221605 107.275 -25.8055
16.339155 107.265 -25.8969
16.457554 107.255 -25.9890
16.576813 107.245 -26.0819
16.696936 107.236 -26.1755
16.817928 107.226 -26.2699
16.939798 107.216 -26.3654
17.062551 107.206 -26.4619
17.186193 107.196 -26.5595
17.310732 107.186 -26.6579
17.436172 107.176 -26.7571
17.562521 107.166 -26.8569
17.689787 107.156 -26.9575
17.817974 107.146 -27.0589
17.947090 107.136 -27.1615
18.077143 107.126 -27.2649
18.208138 107.116 -27.3691
18.340080 107.106 -27.4739
18.472980 107.097 -27.5791
18.606844 107.087 -27.6849
18.741676 107.077 -27.7917
18.877487 107.067 -27.8989
19.014280 107.057 -28.0064
19.152065 107.047 -28.1139
19.290850 107.037 -28.2204
19.430639 107.028 -28.3269
19.571442 107.019 -28.4338
19.713264 107.011 -28.5419
19.856115 107.003 -28.6516
20.000000 106.996 -28.7649
20.144928 106.990 -28.8842
20.290907 106.984 -29.0089
20.437943 106.977 -29.1401
20.586044 106.970 -29.2749
20.735220 106.963 -29.4099
20.885475 106.956 -29.5468
21.036821 106.950 -29.6866
21.189262 106.943 -29.8288
21.342808 106.936 -29.9731
21.497467 106.929 -30.1198
21.653246 106.923 -30.2672
21.810154 106.918 -30.4208
21.968201 106.916 -30.5849
22.127390 106.914 -30.7618
22.287735 106.911 -30.9558
22.449242 106.908 -31.1648
22.611917 106.904 -31.3896
22.775772 106.897 -31.6257
22.940815 106.887 -31.8724
23.107054 106.873 -32.1197
23.274498 106.854 -32.3569
23.443153 106.833 -32.5847
23.613033 106.814 -32.7977
23.784142 106.795 -33.0038
23.956491 106.777 -33.2095
24.130091 106.759 -33.4138
24.304947 106.740 -33.6171
24.481071 106.721 -33.8217
24.658470 106.704 -34.0286
24.837156 106.688 -34.2417
25.017136 106.671 -34.4686
25.198421 106.651 -34.6998
25.381020 106.627 -34.9293
25.564941 106.600 -35.1538
25.750195 106.574 -35.3669
25.936790 106.547 -35.5718
26.124741 106.520 -35.7692
26.314051 106.493 -35.9597
26.504732 106.467 -36.1428
26.696796 106.442 -36.3228
26.890253 106.419 -36.5035
27.085112 106.396 -36.6868
27.281382 106.373 -36.8768
27.479073 106.350 -37.0697
27.678198 106.325 -37.2629
27.878765 106.300 -37.4567
28.080786 106.276 -37.6500
28.284271 106.252 -37.8457
28.489231 106.228 -38.0479
28.695675 106.204 -38.2527
28.903616 106.177 -38.4575
29.113064 106.150 -38.6627
29.324028 106.124 -38.8675
29.536524 106.097 -39.0728
29.750557 106.069 -39.2799
29.966141 106.040 -39.4868
30.183289 106.010 -39.6915
30.402010 105.980 -39.8948
30.622314 105.950 -40.0968
30.844217 105.919 -40.2968
31.067726 105.887 -40.4940
31.292856 105.855 -40.6887
31.519617 105.823 -40.8807
31.748020 105.790 -41.0698
31.978081 105.757 -41.2558
32.209808 105.724 -41.4388
32.443211 105.692 -41.6181
32.678310 105.659 -41.7948
32.915108 105.626 -41.9691
33.153625 105.593 -42.1418
33.393871 105.561 -42.3131
33.635857 105.530 -42.4847
33.879597 105.499 -42.6589
34.125103 105.469 -42.8348
34.372387 105.438 -43.0112
34.621464 105.407 -43.1907
34.872345 105.378 -43.3751
35.125042 105.349 -43.5648
35.379574 105.319 -43.7624
35.635948 105.287 -43.9638
35.894180 105.254 -44.1651
36.154285 105.220 -44.3677
36.416275 105.187 -44.5720
36.680161 105.153 -44.7767
36.945961 105.117 -44.9814
37.213688 105.079 -45.1837
37.483353 105.042 -45.3803
37.754974 105.004 -45.5737
38.028561 104.966 -45.7655
38.304131 104.928 -45.9557
38.581699 104.890 -46.1452
38.861279 104.852 -46.3337
39.142883 104.813 -46.5216
39.426529 104.773 -46.7087
39.712231 104.735 -46.8946
40.000000 104.696 -47.0807
40.289856 104.656 -47.2691
40.581814 104.616 -47.4577
40.875885 104.575 -47.6455
41.172089 104.533 -47.8317
41.470440 104.491 -48.0154
41.770950 104.448 -48.1967
42.073643 104.405 -48.3762
42.378525 104.361 -48.5518
42.685616 104.316 -48.7214
42.994934 104.271 -48.8858
43.306492 104.227 -49.0446
43.620308 104.182 -49.1988
43.936401 104.137 -49.3487
44.254780 104.093 -49.4958
44.575470 104.051 -49.6408
44.898483 104.009 -49.7858
45.223835 103.967 -49.9332
45.551544 103.925 -50.0828
45.881630 103.884 -50.2348
46.214108 103.843 -50.3898
46.548996 103.802 -50.5482
46.886307 103.760 -50.7097
47.226067 103.718 -50.8744
47.568283 103.676 -51.0417
47.912983 103.634 -51.2115
48.260181 103.590 -51.3827
48.609894 103.545 -51.5549
48.962143 103.499 -51.7267
49.316940 103.453 -51.8970
49.674313 103.405 -52.0647
50.034271 103.356 -52.2289
50.396843 103.307 -52.3888
50.762039 103.258 -52.5432
51.129883 103.208 -52.6927
51.500389 103.158 -52.8373
51.873581 103.107 -52.9778
52.249481 103.057 -53.1147
52.628101 103.008 -53.2488
53.009464 102.959 -53.3807
53.393593 102.909 -53.5108
53.780506 102.860 -53.6398
54.170223 102.810 -53.7678
54.562763 102.761 -53.8953
54.958145 102.711 -54.0218
55.356396 102.662 -54.1470
55.757530 102.612 -54.2708
56.161572 102.562 -54.3932
56.568542 102.512 -54.5138
56.978462 102.462 -54.6322
57.391350 102.411 -54.7488
57.807232 102.361 -54.8636
58.226128 102.310 -54.9768
58.648056 102.260 -55.0886
59.073048 102.209 -55.1988
59.501114 102.159 -55.3071
59.932281 102.108 -55.4138
60.366577 102.058 -55.5194
60.804020 102.007 -55.6238
61.244629 101.957 -55.7273
61.688435 101.906 -55.8298
62.135452 101.856 -55.9314
62.585712 101.805 -56.0318
63.039234 101.755 -56.1308
63.496040 101.704 -56.2288
63.956161 101.654 -56.3267
64.419617 101.603 -56.4238
64.886421 101.553 -56.5197
65.356621 101.502 -56.6148
65.830215 101.452 -56.7096
66.307251 101.401 -56.8038
66.787743 101.351 -56.8971
67.271713 101.300 -56.9898
67.759193 101.249 -57.0820
68.250206 101.198 -57.1738
68.744774 101.148 -57.2655
69.242928 101.097 -57.3568
69.744690 101.047 -57.4479
70.250084 100.996 -57.5388
70.759148 100.946 -57.6298
71.271896 100.895 -57.7208
71.788361 100.845 -57.8118
72.308571 100.794 -57.9028
72.832550 100.744 -57.9941
73.360321 100.693 -58.0858
73.891922 100.643 -58.1780
74.427376 100.592 -58.2708
74.966705 100.542 -58.3643
75.509949 100.491 -58.4588
76.057121 100.441 -58.5546
76.608261 100.390 -58.6518
77.163399 100.340 -58.7506
77.722557 100.289 -58.8518
78.285767 100.239 -58.9560
78.853058 100.188 -59.0638
79.424461 100.137 -59.1755
