* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\TRI Starlight V4_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:46:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\TRI Starlight V4_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: TRI Starlight V4_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 85.516 28.5980
5.036232 85.526 28.5859
5.072727 85.537 28.5730
5.109486 85.550 28.5580
5.146511 85.564 28.5410
5.183805 85.581 28.5212
5.221369 85.600 28.5000
5.259205 85.619 28.4785
5.297316 85.640 28.4560
5.335702 85.662 28.4318
5.374367 85.684 28.4070
5.413311 85.706 28.3825
5.452538 85.728 28.3580
5.492050 85.750 28.3336
5.531847 85.772 28.3090
5.571934 85.794 28.2841
5.612310 85.816 28.2590
5.652979 85.838 28.2341
5.693943 85.860 28.2090
5.735204 85.882 28.1836
5.776763 85.904 28.1580
5.818624 85.926 28.1321
5.860788 85.949 28.1060
5.903258 85.971 28.0796
5.946035 85.993 28.0530
5.989123 86.015 28.0266
6.032523 86.037 28.0000
6.076237 86.059 27.9731
6.120268 86.081 27.9460
6.164618 86.103 27.9186
6.209289 86.125 27.8910
6.254284 86.147 27.8636
6.299605 86.169 27.8360
6.345255 86.191 27.8076
6.391235 86.213 27.7790
6.437549 86.235 27.7506
6.484198 86.257 27.7220
6.531185 86.280 27.6931
6.578513 86.302 27.6640
6.626183 86.324 27.6346
6.674199 86.346 27.6050
6.722563 86.368 27.5751
6.771278 86.390 27.5450
6.820345 86.412 27.5151
6.869768 86.434 27.4850
6.919549 86.456 27.4541
6.969691 86.478 27.4230
7.020196 86.500 27.3921
7.071068 86.522 27.3610
7.122308 86.544 27.3297
7.173919 86.566 27.2980
7.225904 86.588 27.2656
7.278266 86.610 27.2330
7.331007 86.632 27.2006
7.384131 86.655 27.1680
7.437639 86.677 27.1351
7.491535 86.699 27.1020
7.545822 86.721 27.0686
7.600502 86.743 27.0350
7.655579 86.765 27.0011
7.711054 86.787 26.9670
7.766932 86.809 26.9326
7.823214 86.831 26.8980
7.879904 86.853 26.8631
7.937005 86.875 26.8280
7.994520 86.897 26.7926
8.052452 86.919 26.7570
8.110803 86.941 26.7212
8.169578 86.964 26.6850
8.228777 86.986 26.6481
8.288406 87.008 26.6110
8.348468 87.030 26.5741
8.408964 87.052 26.5370
8.469899 87.074 26.4997
8.531276 87.096 26.4620
8.593097 87.118 26.4237
8.655366 87.140 26.3850
8.718086 87.162 26.3461
8.781260 87.184 26.3070
8.844893 87.206 26.2676
8.908987 87.228 26.2280
8.973545 87.250 26.1881
9.038571 87.272 26.1480
9.104069 87.294 26.1077
9.170040 87.317 26.0670
9.236490 87.339 26.0257
9.303422 87.361 25.9840
9.370838 87.383 25.9421
9.438744 87.405 25.9000
9.507140 87.427 25.8576
9.576033 87.449 25.8150
9.645425 87.471 25.7722
9.715320 87.493 25.7290
9.785721 87.515 25.6852
9.856632 87.537 25.6410
9.928058 87.559 25.5966
10.000000 87.581 25.5520
10.072464 87.603 25.5072
10.145453 87.625 25.4621
10.218971 87.647 25.4162
10.293022 87.670 25.3700
10.367610 87.692 25.3237
10.442738 87.714 25.2770
10.518411 87.736 25.2297
10.594631 87.758 25.1820
10.671404 87.780 25.1341
10.748734 87.802 25.0860
10.826623 87.824 25.0377
10.905077 87.846 24.9890
10.984100 87.868 24.9398
11.063695 87.890 24.8900
11.143867 87.912 24.8397
11.224621 87.934 24.7890
11.305959 87.956 24.7382
11.387886 87.978 24.6870
11.470407 88.000 24.6352
11.553527 88.023 24.5830
11.637249 88.045 24.5307
11.721577 88.067 24.4780
11.806517 88.089 24.4248
11.892071 88.111 24.3711
11.978246 88.133 24.3167
12.065045 88.155 24.2620
12.152473 88.177 24.2072
12.240536 88.199 24.1520
12.329235 88.221 24.0963
12.418578 88.243 24.0401
12.508568 88.265 23.9833
12.599211 88.287 23.9260
12.690510 88.309 23.8682
12.782471 88.331 23.8101
12.875097 88.353 23.7517
12.968395 88.376 23.6930
13.062370 88.398 23.6338
13.157025 88.420 23.5740
13.252366 88.442 23.5138
13.348398 88.464 23.4530
13.445127 88.486 23.3918
13.542556 88.508 23.3301
13.640691 88.530 23.2678
13.739536 88.552 23.2050
13.839099 88.574 23.1418
13.939383 88.596 23.0781
14.040393 88.618 23.0138
14.142136 88.640 22.9490
14.244616 88.662 22.8838
14.347837 88.684 22.8180
14.451808 88.706 22.7518
14.556532 88.729 22.6850
14.662014 88.751 22.6179
14.768262 88.773 22.5501
14.875278 88.795 22.4813
14.983070 88.817 22.4121
15.091644 88.839 22.3428
15.201005 88.861 22.2731
15.311157 88.883 22.2024
15.422109 88.905 22.1311
15.533863 88.927 22.0593
15.646428 88.949 21.9870
15.759809 88.971 21.9143
15.874010 88.993 21.8411
15.989040 89.015 21.7673
16.104904 89.037 21.6931
16.221605 89.059 21.6183
16.339155 89.082 21.5431
16.457554 89.104 21.4673
16.576813 89.126 21.3911
16.696936 89.148 21.3143
16.817928 89.170 21.2370
16.939798 89.192 21.1593
17.062551 89.214 21.0811
17.186193 89.236 21.0028
17.310732 89.258 20.9240
17.436172 89.280 20.8447
17.562521 89.302 20.7651
17.689787 89.324 20.6856
17.817974 89.346 20.6061
17.947090 89.368 20.5261
18.077143 89.391 20.4460
18.208138 89.413 20.3659
18.340080 89.435 20.2861
18.472980 89.457 20.2071
18.606844 89.479 20.1290
18.741676 89.501 20.0519
18.877487 89.523 19.9771
19.014280 89.545 19.9058
19.152065 89.567 19.8381
19.290850 89.590 19.7747
19.430639 89.614 19.7150
19.571442 89.639 19.6604
19.713264 89.666 19.6061
19.856115 89.697 19.5499
20.000000 89.731 19.4851
20.144928 89.767 19.4046
20.290907 89.804 19.3071
20.437943 89.842 19.1881
20.586044 89.879 19.0501
20.735220 89.915 18.8925
20.885475 89.949 18.7202
21.036821 89.980 18.5351
21.189262 90.007 18.3452
21.342808 90.031 18.1585
21.497467 90.052 17.9772
21.653246 90.072 17.8072
21.810154 90.093 17.6462
21.968201 90.115 17.4966
22.127390 90.138 17.3502
22.287735 90.164 17.2016
22.449242 90.192 17.0451
22.611917 90.221 16.8731
22.775772 90.251 16.6862
22.940815 90.279 16.4818
23.107054 90.306 16.2633
23.274498 90.330 16.0315
23.443153 90.352 15.7923
23.613033 90.369 15.5502
23.784142 90.383 15.3112
23.956491 90.394 15.0830
24.130091 90.404 14.8652
24.304947 90.413 14.6608
24.481071 90.422 14.4672
24.658470 90.431 14.2842
24.837156 90.441 14.1082
25.017136 90.452 13.9367
25.198421 90.465 13.7662
25.381020 90.479 13.5924
25.564941 90.493 13.4152
25.750195 90.507 13.2328
25.936790 90.520 13.0462
26.124741 90.534 12.8566
26.314051 90.547 12.6623
26.504732 90.560 12.4606
26.696796 90.572 12.2553
26.890253 90.581 12.0490
27.085112 90.589 11.8422
27.281382 90.597 11.6363
27.479073 90.604 11.4313
27.678198 90.610 11.2267
27.878765 90.614 11.0253
28.080786 90.616 10.8291
28.284271 90.617 10.6393
28.489231 90.618 10.4574
28.695675 90.619 10.2832
28.903616 90.619 10.1174
29.113064 90.619 9.9592
29.324028 90.620 9.8084
29.536524 90.621 9.6642
29.750557 90.623 9.5266
29.966141 90.625 9.3931
30.183289 90.629 9.2625
30.402010 90.634 9.1312
30.622314 90.641 8.9949
30.844217 90.648 8.8542
31.067726 90.655 8.7083
31.292856 90.661 8.5572
31.519617 90.667 8.4002
31.748020 90.673 8.2392
31.978081 90.677 8.0740
32.209808 90.679 7.9112
32.443211 90.678 7.7559
32.678310 90.675 7.6122
32.915108 90.671 7.4871
33.153625 90.668 7.3771
33.393871 90.667 7.2831
33.635857 90.669 7.1991
33.879597 90.674 7.1211
34.125103 90.682 7.0441
34.372387 90.693 6.9637
34.621464 90.707 6.8741
34.872345 90.724 6.7685
35.125042 90.743 6.6462
35.379574 90.761 6.5027
35.635948 90.779 6.3422
35.894180 90.795 6.1666
36.154285 90.810 5.9783
36.416275 90.824 5.7801
36.680161 90.837 5.5723
36.945961 90.847 5.3558
37.213688 90.856 5.1323
37.483353 90.863 4.9037
37.754974 90.868 4.6714
38.028561 90.870 4.4359
38.304131 90.870 4.2013
38.581699 90.866 3.9703
38.861279 90.860 3.7473
39.142883 90.851 3.5365
39.426529 90.840 3.3413
39.712231 90.827 3.1669
40.000000 90.814 3.0112
40.289856 90.802 2.8753
40.581814 90.792 2.7552
40.875885 90.784 2.6485
41.172089 90.778 2.5511
41.470440 90.775 2.4597
41.770950 90.774 2.3692
42.073643 90.776 2.2742
42.378525 90.781 2.1722
42.685616 90.787 2.0584
42.994934 90.793 1.9342
43.306492 90.800 1.7990
43.620308 90.807 1.6532
43.936401 90.813 1.4968
44.254780 90.819 1.3313
44.575470 90.823 1.1571
44.898483 90.826 0.9773
45.223835 90.828 0.7948
45.551544 90.828 0.6103
45.881630 90.827 0.4243
46.214108 90.824 0.2393
46.548996 90.820 0.0571
46.886307 90.814 -0.1207
47.226067 90.808 -0.2917
47.568283 90.801 -0.4567
47.912983 90.794 -0.6161
48.260181 90.787 -0.7698
48.609894 90.780 -0.9180
48.962143 90.772 -1.0608
49.316940 90.765 -1.1977
49.674313 90.758 -1.3298
50.034271 90.752 -1.4586
50.396843 90.746 -1.5828
50.762039 90.740 -1.7006
51.129883 90.735 -1.8148
51.500389 90.732 -1.9269
51.873581 90.731 -2.0398
52.249481 90.730 -2.1568
52.628101 90.731 -2.2788
53.009464 90.733 -2.4068
53.393593 90.736 -2.5438
53.780506 90.740 -2.6926
54.170223 90.745 -2.8537
54.562763 90.748 -3.0308
54.958145 90.750 -3.2177
55.356396 90.749 -3.4108
55.757530 90.746 -3.6067
56.161572 90.741 -3.8010
56.568542 90.735 -3.9937
56.978462 90.728 -4.1829
57.391350 90.720 -4.3697
57.807232 90.711 -4.5549
58.226128 90.702 -4.7377
58.648056 90.692 -4.9171
59.073048 90.681 -5.0937
59.501114 90.670 -5.2676
59.932281 90.659 -5.4397
60.366577 90.647 -5.6121
60.804020 90.635 -5.7817
61.244629 90.621 -5.9462
61.688435 90.607 -6.1057
62.135452 90.593 -6.2597
62.585712 90.578 -6.4087
63.039234 90.563 -6.5531
63.496040 90.548 -6.6928
63.956161 90.533 -6.8276
64.419617 90.519 -6.9588
64.886421 90.505 -7.0873
65.356621 90.491 -7.2128
65.830215 90.477 -7.3345
66.307251 90.464 -7.4538
66.787743 90.452 -7.5711
67.271713 90.440 -7.6888
67.759193 90.429 -7.8095
68.250206 90.418 -7.9318
68.744774 90.407 -8.0547
69.242928 90.395 -8.1788
69.744690 90.384 -8.3041
70.250084 90.373 -8.4308
70.759148 90.361 -8.5593
71.271896 90.349 -8.6878
71.788361 90.337 -8.8144
72.308571 90.324 -8.9398
72.832550 90.312 -9.0626
73.360321 90.300 -9.1858
73.891922 90.290 -9.3121
74.427376 90.279 -9.4408
74.966705 90.267 -9.5719
75.509949 90.255 -9.7058
76.057121 90.244 -9.8422
76.608261 90.232 -9.9817
77.163399 90.219 -10.1256
77.722557 90.205 -10.2707
78.285767 90.190 -10.4145
78.853058 90.175 -10.5567
79.424461 90.159 -10.6965
80.000000 90.142 -10.8337
80.579712 90.125 -10.9682
81.163628 90.108 -11.0998
81.751770 90.090 -11.2279
82.344177 90.072 -11.3537
82.940880 90.055 -11.4781
83.541901 90.038 -11.6008
84.147285 90.020 -11.7218
84.757050 90.002 -11.8418
85.371231 89.985 -11.9610
85.989868 89.967 -12.0798
86.612984 89.949 -12.1988
87.240616 89.931 -12.3178
87.872803 89.913 -12.4363
88.509560 89.895 -12.5548
89.150940 89.876 -12.6742
89.796967 89.857 -12.7928
90.447670 89.837 -12.9089
91.103088 89.817 -13.0228
91.763260 89.797 -13.1341
