* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Legacy 5_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:46:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Legacy 5_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Legacy 5_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 95.340 -13.4240
5.036232 95.336 -13.4288
5.072727 95.332 -13.4340
5.109486 95.327 -13.4400
5.146511 95.322 -13.4470
5.183805 95.316 -13.4555
5.221369 95.309 -13.4650
5.259205 95.302 -13.4751
5.297316 95.294 -13.4860
5.335702 95.286 -13.4978
5.374367 95.277 -13.5100
5.413311 95.269 -13.5219
5.452538 95.261 -13.5340
5.492050 95.253 -13.5464
5.531847 95.244 -13.5590
5.571934 95.236 -13.5714
5.612310 95.228 -13.5840
5.652979 95.219 -13.5969
5.693943 95.211 -13.6100
5.735204 95.203 -13.6229
5.776763 95.195 -13.6360
5.818624 95.187 -13.6494
5.860788 95.178 -13.6630
5.903258 95.170 -13.6764
5.946035 95.162 -13.6900
5.989123 95.154 -13.7040
6.032523 95.146 -13.7180
6.076237 95.138 -13.7314
6.120268 95.129 -13.7450
6.164618 95.121 -13.7594
6.209289 95.113 -13.7740
6.254284 95.104 -13.7885
6.299605 95.096 -13.8030
6.345255 95.088 -13.8174
6.391235 95.080 -13.8320
6.437549 95.072 -13.8469
6.484198 95.063 -13.8620
6.531185 95.055 -13.8770
6.578513 95.047 -13.8920
6.626183 95.038 -13.9069
6.674199 95.030 -13.9220
6.722563 95.022 -13.9379
6.771278 95.014 -13.9540
6.820345 95.006 -13.9695
6.869768 94.997 -13.9850
6.919549 94.989 -14.0009
6.969691 94.981 -14.0170
7.020196 94.973 -14.0334
7.071068 94.964 -14.0500
7.122308 94.956 -14.0664
7.173919 94.948 -14.0830
7.225904 94.940 -14.0999
7.278266 94.932 -14.1170
7.331007 94.924 -14.1339
7.384131 94.915 -14.1510
7.437639 94.907 -14.1684
7.491535 94.899 -14.1860
7.545822 94.891 -14.2034
7.600502 94.882 -14.2210
7.655579 94.874 -14.2389
7.711054 94.866 -14.2570
7.766932 94.857 -14.2749
7.823214 94.849 -14.2930
7.879904 94.841 -14.3114
7.937005 94.833 -14.3300
7.994520 94.825 -14.3489
8.052452 94.816 -14.3680
8.110803 94.808 -14.3869
8.169578 94.800 -14.4060
8.228777 94.792 -14.4254
8.288406 94.783 -14.4450
8.348468 94.775 -14.4649
8.408964 94.767 -14.4850
8.469899 94.758 -14.5050
8.531276 94.750 -14.5250
8.593097 94.742 -14.5449
8.655366 94.734 -14.5650
8.718086 94.726 -14.5859
8.781260 94.718 -14.6070
8.844893 94.710 -14.6279
8.908987 94.701 -14.6490
8.973545 94.693 -14.6704
9.038571 94.685 -14.6920
9.104069 94.676 -14.7134
9.170040 94.668 -14.7350
9.236490 94.660 -14.7569
9.303422 94.652 -14.7790
9.370838 94.644 -14.8014
9.438744 94.635 -14.8240
9.507140 94.627 -14.8469
9.576033 94.619 -14.8700
9.645425 94.611 -14.8929
9.715320 94.602 -14.9160
9.785721 94.594 -14.9399
9.856632 94.586 -14.9640
9.928058 94.577 -14.9880
10.000000 94.569 -15.0120
10.072464 94.561 -15.0359
10.145453 94.553 -15.0600
10.218971 94.545 -15.0849
10.293022 94.536 -15.1100
10.367610 94.528 -15.1349
10.442738 94.520 -15.1600
10.518411 94.512 -15.1859
10.594631 94.504 -15.2120
10.671404 94.495 -15.2379
10.748734 94.487 -15.2640
10.826623 94.479 -15.2904
10.905077 94.471 -15.3170
10.984100 94.463 -15.3439
11.063695 94.454 -15.3710
11.143867 94.446 -15.3984
11.224621 94.438 -15.4260
11.305959 94.430 -15.4539
11.387886 94.421 -15.4820
11.470407 94.413 -15.5104
11.553527 94.405 -15.5390
11.637249 94.397 -15.5679
11.721577 94.388 -15.5970
11.806517 94.380 -15.6263
11.892071 94.372 -15.6560
11.978246 94.364 -15.6859
12.065045 94.355 -15.7160
12.152473 94.347 -15.7464
12.240536 94.339 -15.7770
12.329235 94.331 -15.8079
12.418578 94.322 -15.8390
12.508568 94.314 -15.8703
12.599211 94.306 -15.9020
12.690510 94.298 -15.9344
12.782471 94.290 -15.9670
12.875097 94.282 -15.9993
12.968395 94.273 -16.0320
13.062370 94.265 -16.0652
13.157025 94.257 -16.0990
13.252366 94.249 -16.1334
13.348398 94.240 -16.1680
13.445127 94.232 -16.2023
13.542556 94.224 -16.2370
13.640691 94.216 -16.2723
13.739536 94.207 -16.3080
13.839099 94.199 -16.3438
13.939383 94.191 -16.3800
14.040393 94.183 -16.4168
14.142136 94.174 -16.4540
14.244616 94.166 -16.4913
14.347837 94.158 -16.5290
14.451808 94.149 -16.5673
14.556532 94.141 -16.6060
14.662014 94.133 -16.6447
14.768262 94.125 -16.6840
14.875278 94.117 -16.7242
14.983070 94.108 -16.7650
15.091644 94.100 -16.8058
15.201005 94.092 -16.8470
15.311157 94.084 -16.8887
15.422109 94.075 -16.9310
15.533863 94.067 -16.9737
15.646428 94.059 -17.0170
15.759809 94.051 -17.0607
15.874010 94.043 -17.1050
15.989040 94.035 -17.1497
16.104904 94.026 -17.1950
16.221605 94.018 -17.2412
16.339155 94.010 -17.2879
16.457554 94.002 -17.3347
16.576813 93.993 -17.3820
16.696936 93.985 -17.4302
16.817928 93.977 -17.4790
16.939798 93.969 -17.5281
17.062551 93.960 -17.5779
17.186193 93.952 -17.6286
17.310732 93.944 -17.6800
17.436172 93.936 -17.7321
17.562521 93.927 -17.7850
17.689787 93.919 -17.8385
17.817974 93.911 -17.8929
17.947090 93.903 -17.9485
18.077143 93.894 -18.0050
18.208138 93.886 -18.0620
18.340080 93.878 -18.1199
18.472980 93.870 -18.1793
18.606844 93.861 -18.2400
18.741676 93.853 -18.3021
18.877487 93.845 -18.3659
19.014280 93.837 -18.4318
19.152065 93.829 -18.4999
19.290850 93.821 -18.5706
19.430639 93.812 -18.6439
19.571442 93.802 -18.7206
19.713264 93.792 -18.7989
19.856115 93.782 -18.8786
20.000000 93.770 -18.9569
20.144928 93.756 -19.0318
20.290907 93.742 -19.1009
20.437943 93.727 -19.1606
20.586044 93.713 -19.2130
20.735220 93.700 -19.2582
20.885475 93.688 -19.2980
21.036821 93.676 -19.3331
21.189262 93.666 -19.3670
21.342808 93.659 -19.4014
21.497467 93.653 -19.4409
21.653246 93.649 -19.4907
21.810154 93.646 -19.5509
21.968201 93.643 -19.6246
22.127390 93.640 -19.7089
22.287735 93.635 -19.8032
22.449242 93.629 -19.9039
22.611917 93.622 -20.0078
22.775772 93.613 -20.1139
22.940815 93.604 -20.2209
23.107054 93.593 -20.3269
23.274498 93.580 -20.4296
23.443153 93.567 -20.5289
23.613033 93.555 -20.6223
23.784142 93.543 -20.7139
23.956491 93.533 -20.8063
24.130091 93.523 -20.9019
24.304947 93.514 -21.0042
24.481071 93.504 -21.1119
24.658470 93.493 -21.2243
24.837156 93.482 -21.3418
25.017136 93.470 -21.4648
25.198421 93.458 -21.5919
25.381020 93.444 -21.7226
25.564941 93.429 -21.8549
25.750195 93.413 -21.9866
25.936790 93.395 -22.1168
26.124741 93.376 -22.2444
26.314051 93.356 -22.3678
26.504732 93.335 -22.4852
26.696796 93.313 -22.5969
26.890253 93.292 -22.7024
27.085112 93.270 -22.8029
27.281382 93.248 -22.8998
27.479073 93.225 -22.9919
27.678198 93.203 -23.0779
27.878765 93.181 -23.1599
28.080786 93.161 -23.2388
28.284271 93.141 -23.3169
28.489231 93.121 -23.3967
28.695675 93.102 -23.4779
28.903616 93.082 -23.5610
29.113064 93.063 -23.6459
29.324028 93.044 -23.7327
29.536524 93.025 -23.8209
29.750557 93.005 -23.9103
29.966141 92.984 -23.9999
30.183289 92.964 -24.0882
30.402010 92.943 -24.1759
30.622314 92.922 -24.2621
30.844217 92.901 -24.3499
31.067726 92.882 -24.4415
31.292856 92.863 -24.5378
31.519617 92.842 -24.6414
31.748020 92.821 -24.7499
31.978081 92.799 -24.8620
32.209808 92.776 -24.9778
32.443211 92.751 -25.0980
32.678310 92.724 -25.2188
32.915108 92.694 -25.3388
33.153625 92.662 -25.4529
33.393871 92.627 -25.5566
33.635857 92.589 -25.6469
33.879597 92.550 -25.7207
34.125103 92.509 -25.7739
34.372387 92.466 -25.8022
34.621464 92.423 -25.8040
34.872345 92.381 -25.7752
35.125042 92.341 -25.7191
35.379574 92.305 -25.6344
35.635948 92.273 -25.5301
35.894180 92.248 -25.4105
36.154285 92.229 -25.2882
36.416275 92.218 -25.1736
36.680161 92.214 -25.0771
36.945961 92.215 -25.0123
37.213688 92.220 -24.9800
37.483353 92.225 -24.9876
37.754974 92.230 -25.0299
38.028561 92.233 -25.1070
38.304131 92.233 -25.2108
38.581699 92.229 -25.3374
38.861279 92.220 -25.4748
39.142883 92.204 -25.6105
39.426529 92.185 -25.7418
39.712231 92.165 -25.8610
40.000000 92.144 -25.9708
40.289856 92.122 -26.0712
40.581814 92.099 -26.1629
40.875885 92.076 -26.2454
41.172089 92.054 -26.3229
41.470440 92.034 -26.3982
41.770950 92.015 -26.4739
42.073643 91.996 -26.5529
42.378525 91.977 -26.6369
42.685616 91.960 -26.7286
42.994934 91.942 -26.8279
43.306492 91.922 -26.9373
43.620308 91.901 -27.0518
43.936401 91.879 -27.1663
44.254780 91.855 -27.2828
44.575470 91.831 -27.4031
44.898483 91.806 -27.5238
45.223835 91.777 -27.6436
45.551544 91.745 -27.7578
45.881630 91.713 -27.8606
46.214108 91.680 -27.9549
46.548996 91.647 -28.0422
46.886307 91.613 -28.1209
47.226067 91.578 -28.1894
47.568283 91.543 -28.2479
47.912983 91.509 -28.2950
48.260181 91.475 -28.3339
48.609894 91.442 -28.3670
48.962143 91.411 -28.3960
49.316940 91.382 -28.4229
49.674313 91.353 -28.4490
50.034271 91.325 -28.4751
50.396843 91.297 -28.5040
50.762039 91.271 -28.5380
51.129883 91.246 -28.5779
51.500389 91.220 -28.6265
51.873581 91.194 -28.6799
52.249481 91.166 -28.7358
52.628101 91.137 -28.7929
53.009464 91.107 -28.8495
53.393593 91.077 -28.9049
53.780506 91.046 -28.9585
54.170223 91.013 -29.0079
54.562763 90.979 -29.0501
54.958145 90.945 -29.0859
55.356396 90.912 -29.1151
55.757530 90.878 -29.1390
56.161572 90.844 -29.1592
56.568542 90.810 -29.1740
56.978462 90.776 -29.1814
57.391350 90.742 -29.1830
57.807232 90.710 -29.1789
58.226128 90.678 -29.1710
58.648056 90.647 -29.1615
59.073048 90.617 -29.1500
59.501114 90.588 -29.1360
59.932281 90.560 -29.1230
60.366577 90.534 -29.1143
60.804020 90.508 -29.1100
61.244629 90.482 -29.1125
61.688435 90.456 -29.1190
62.135452 90.429 -29.1275
62.585712 90.402 -29.1380
63.039234 90.375 -29.1499
63.496040 90.347 -29.1620
63.956161 90.318 -29.1733
64.419617 90.289 -29.1830
64.886421 90.260 -29.1894
65.356621 90.231 -29.1940
65.830215 90.202 -29.1973
66.307251 90.174 -29.2010
66.787743 90.147 -29.2065
67.271713 90.121 -29.2150
67.759193 90.094 -29.2286
68.250206 90.066 -29.2450
68.744774 90.037 -29.2625
69.242928 90.007 -29.2810
69.744690 89.977 -29.2998
70.250084 89.947 -29.3180
70.759148 89.916 -29.3353
71.271896 89.883 -29.3490
71.788361 89.849 -29.3560
72.308571 89.814 -29.3560
72.832550 89.780 -29.3465
73.360321 89.746 -29.3310
73.891922 89.714 -29.3115
74.427376 89.682 -29.2900
74.966705 89.651 -29.2694
75.509949 89.621 -29.2500
76.057121 89.591 -29.2335
76.608261 89.560 -29.2190
77.163399 89.529 -29.2073
77.722557 89.498 -29.1960
78.285767 89.466 -29.1845
78.853058 89.432 -29.1690
79.424461 89.397 -29.1463
