* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Red Gras Foam _SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:22:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Red Gras Foam _SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Red Gras Foam _SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 87.756 3.2810
5.036232 87.758 3.2728
5.072727 87.760 3.2640
5.109486 87.762 3.2538
5.146511 87.764 3.2420
5.183805 87.767 3.2276
5.221369 87.771 3.2120
5.259205 87.774 3.1964
5.297316 87.778 3.1800
5.335702 87.782 3.1618
5.374367 87.786 3.1430
5.413311 87.790 3.1246
5.452538 87.794 3.1060
5.492050 87.798 3.0871
5.531847 87.802 3.0680
5.571934 87.806 3.0491
5.612310 87.810 3.0300
5.652979 87.813 3.0106
5.693943 87.817 2.9910
5.735204 87.821 2.9716
5.776763 87.825 2.9520
5.818624 87.829 2.9321
5.860788 87.833 2.9120
5.903258 87.837 2.8916
5.946035 87.841 2.8710
5.989123 87.845 2.8506
6.032523 87.849 2.8300
6.076237 87.853 2.8091
6.120268 87.857 2.7880
6.164618 87.861 2.7671
6.209289 87.865 2.7460
6.254284 87.869 2.7246
6.299605 87.873 2.7030
6.345255 87.877 2.6811
6.391235 87.881 2.6590
6.437549 87.885 2.6371
6.484198 87.889 2.6150
6.531185 87.893 2.5926
6.578513 87.896 2.5700
6.626183 87.900 2.5476
6.674199 87.904 2.5250
6.722563 87.908 2.5016
6.771278 87.912 2.4780
6.820345 87.916 2.4551
6.869768 87.920 2.4320
6.919549 87.924 2.4082
6.969691 87.928 2.3840
7.020196 87.932 2.3596
7.071068 87.936 2.3350
7.122308 87.940 2.3105
7.173919 87.944 2.2860
7.225904 87.948 2.2616
7.278266 87.952 2.2370
7.331007 87.956 2.2116
7.384131 87.960 2.1860
7.437639 87.964 2.1606
7.491535 87.967 2.1350
7.545822 87.971 2.1086
7.600502 87.975 2.0820
7.655579 87.979 2.0555
7.711054 87.983 2.0290
7.766932 87.987 2.0026
7.823214 87.991 1.9760
7.879904 87.995 1.9486
7.937005 87.999 1.9210
7.994520 88.003 1.8936
8.052452 88.007 1.8660
8.110803 88.011 1.8382
8.169578 88.015 1.8100
8.228777 88.019 1.7811
8.288406 88.023 1.7520
8.348468 88.027 1.7230
8.408964 88.031 1.6940
8.469899 88.035 1.6651
8.531276 88.039 1.6360
8.593097 88.042 1.6062
8.655366 88.046 1.5760
8.718086 88.050 1.5456
8.781260 88.054 1.5150
8.844893 88.058 1.4841
8.908987 88.062 1.4530
8.973545 88.066 1.4221
9.038571 88.070 1.3910
9.104069 88.074 1.3591
9.170040 88.078 1.3270
9.236490 88.082 1.2951
9.303422 88.086 1.2630
9.370838 88.090 1.2301
9.438744 88.094 1.1970
9.507140 88.098 1.1641
9.576033 88.102 1.1310
9.645425 88.106 1.0972
9.715320 88.110 1.0630
9.785721 88.114 1.0286
9.856632 88.118 0.9940
9.928058 88.121 0.9591
10.000000 88.125 0.9240
10.072464 88.129 0.8892
10.145453 88.133 0.8540
10.218971 88.137 0.8183
10.293022 88.141 0.7820
10.367610 88.145 0.7451
10.442738 88.149 0.7080
10.518411 88.153 0.6711
10.594631 88.157 0.6340
10.671404 88.161 0.5967
10.748734 88.165 0.5590
10.826623 88.169 0.5207
10.905077 88.173 0.4820
10.984100 88.177 0.4432
11.063695 88.181 0.4040
11.143867 88.185 0.3647
11.224621 88.189 0.3250
11.305959 88.192 0.2846
11.387886 88.196 0.2440
11.470407 88.200 0.2036
11.553527 88.204 0.1630
11.637249 88.208 0.1218
11.721577 88.212 0.0800
11.806517 88.216 0.0377
11.892071 88.220 -0.0050
11.978246 88.224 -0.0479
12.065045 88.228 -0.0910
12.152473 88.232 -0.1343
12.240536 88.236 -0.1780
12.329235 88.240 -0.2223
12.418578 88.244 -0.2670
12.508568 88.248 -0.3118
12.599211 88.252 -0.3570
12.690510 88.256 -0.4028
12.782471 88.260 -0.4490
12.875097 88.264 -0.4953
12.968395 88.268 -0.5420
13.062370 88.271 -0.5893
13.157025 88.275 -0.6370
13.252366 88.279 -0.6848
13.348398 88.283 -0.7330
13.445127 88.287 -0.7817
13.542556 88.291 -0.8309
13.640691 88.295 -0.8808
13.739536 88.299 -0.9310
13.839099 88.303 -0.9813
13.939383 88.307 -1.0320
14.040393 88.311 -1.0832
14.142136 88.315 -1.1350
14.244616 88.319 -1.1872
14.347837 88.323 -1.2400
14.451808 88.327 -1.2933
14.556532 88.331 -1.3470
14.662014 88.335 -1.4007
14.768262 88.339 -1.4549
14.875278 88.342 -1.5102
14.983070 88.346 -1.5659
15.091644 88.350 -1.6217
15.201005 88.354 -1.6780
15.311157 88.358 -1.7352
15.422109 88.362 -1.7930
15.533863 88.366 -1.8507
15.646428 88.370 -1.9090
15.759809 88.374 -1.9682
15.874010 88.378 -2.0280
15.989040 88.382 -2.0882
16.104904 88.386 -2.1490
16.221605 88.390 -2.2102
16.339155 88.394 -2.2719
16.457554 88.398 -2.3342
16.576813 88.402 -2.3970
16.696936 88.406 -2.4601
16.817928 88.410 -2.5240
16.939798 88.414 -2.5886
17.062551 88.418 -2.6539
17.186193 88.422 -2.7197
17.310732 88.425 -2.7860
17.436172 88.429 -2.8526
17.562521 88.433 -2.9200
17.689787 88.437 -2.9881
17.817974 88.441 -3.0569
17.947090 88.445 -3.1262
18.077143 88.449 -3.1960
18.208138 88.453 -3.2662
18.340080 88.457 -3.3369
18.472980 88.461 -3.4082
18.606844 88.465 -3.4800
18.741676 88.469 -3.5524
18.877487 88.473 -3.6249
19.014280 88.477 -3.6965
19.152065 88.481 -3.7679
19.290850 88.485 -3.8394
19.430639 88.489 -3.9110
19.571442 88.494 -3.9821
19.713264 88.499 -4.0539
19.856115 88.505 -4.1269
20.000000 88.511 -4.2029
20.144928 88.518 -4.2846
20.290907 88.526 -4.3709
20.437943 88.533 -4.4620
20.586044 88.539 -4.5569
20.735220 88.545 -4.6550
20.885475 88.551 -4.7559
21.036821 88.556 -4.8594
21.189262 88.561 -4.9639
21.342808 88.565 -5.0672
21.497467 88.570 -5.1709
21.653246 88.575 -5.2748
21.810154 88.581 -5.3809
21.968201 88.586 -5.4909
22.127390 88.592 -5.6049
22.287735 88.598 -5.7231
22.449242 88.603 -5.8459
22.611917 88.608 -5.9743
22.775772 88.613 -6.1068
22.940815 88.617 -6.2431
23.107054 88.619 -6.3808
23.274498 88.620 -6.5176
23.443153 88.621 -6.6538
23.613033 88.622 -6.7888
23.784142 88.622 -6.9229
23.956491 88.622 -7.0562
24.130091 88.622 -7.1888
24.304947 88.622 -7.3206
24.481071 88.622 -7.4528
24.658470 88.622 -7.5865
24.837156 88.622 -7.7218
25.017136 88.622 -7.8591
25.198421 88.622 -7.9989
25.381020 88.622 -8.1418
25.564941 88.621 -8.2879
25.750195 88.620 -8.4375
25.936790 88.618 -8.5898
26.124741 88.615 -8.7444
26.314051 88.612 -8.8998
26.504732 88.607 -9.0544
26.696796 88.602 -9.2078
26.890253 88.596 -9.3589
27.085112 88.589 -9.5078
27.281382 88.582 -9.6548
27.479073 88.575 -9.7988
27.678198 88.567 -9.9392
27.878765 88.558 -10.0758
28.080786 88.550 -10.2075
28.284271 88.542 -10.3368
28.489231 88.534 -10.4660
28.695675 88.527 -10.5948
28.903616 88.520 -10.7244
29.113064 88.513 -10.8538
29.324028 88.505 -10.9825
29.536524 88.497 -11.1109
29.750557 88.489 -11.2392
29.966141 88.482 -11.3679
30.183289 88.475 -11.4979
30.402010 88.467 -11.6278
30.622314 88.458 -11.7575
30.844217 88.448 -11.8849
31.067726 88.439 -12.0071
31.292856 88.430 -12.1268
31.519617 88.422 -12.2448
31.748020 88.415 -12.3629
31.978081 88.408 -12.4832
32.209808 88.401 -12.6058
32.443211 88.395 -12.7315
32.678310 88.389 -12.8608
32.915108 88.383 -12.9953
33.153625 88.377 -13.1338
33.393871 88.370 -13.2760
33.635857 88.362 -13.4218
33.879597 88.355 -13.5713
34.125103 88.348 -13.7238
34.372387 88.338 -13.8792
34.621464 88.327 -14.0348
34.872345 88.316 -14.1872
35.125042 88.305 -14.3388
35.379574 88.293 -14.4911
35.635948 88.281 -14.6428
35.894180 88.268 -14.7932
36.154285 88.254 -14.9418
36.416275 88.240 -15.0875
36.680161 88.226 -15.2308
36.945961 88.212 -15.3718
37.213688 88.197 -15.5108
37.483353 88.182 -15.6480
37.754974 88.167 -15.7838
38.028561 88.153 -15.9182
38.304131 88.138 -16.0518
38.581699 88.123 -16.1849
38.861279 88.108 -16.3178
39.142883 88.094 -16.4507
39.426529 88.079 -16.5838
39.712231 88.064 -16.7174
40.000000 88.049 -16.8518
40.289856 88.034 -16.9873
40.581814 88.019 -17.1238
40.875885 88.003 -17.2618
41.172089 87.987 -17.3998
41.470440 87.970 -17.5365
41.770950 87.953 -17.6718
42.073643 87.936 -17.8049
42.378525 87.918 -17.9368
42.685616 87.901 -18.0688
42.994934 87.883 -18.1998
43.306492 87.865 -18.3286
43.620308 87.846 -18.4568
43.936401 87.829 -18.5854
44.254780 87.811 -18.7148
44.575470 87.793 -18.8462
44.898483 87.774 -18.9778
45.223835 87.754 -19.1078
45.551544 87.734 -19.2368
45.881630 87.715 -19.3649
46.214108 87.695 -19.4918
46.548996 87.674 -19.6174
46.886307 87.653 -19.7408
47.226067 87.631 -19.8603
47.568283 87.610 -19.9778
47.912983 87.590 -20.0943
48.260181 87.570 -20.2108
48.609894 87.550 -20.3292
48.962143 87.529 -20.4478
49.316940 87.508 -20.5658
49.674313 87.486 -20.6828
50.034271 87.464 -20.7978
50.396843 87.443 -20.9128
50.762039 87.423 -21.0298
51.129883 87.402 -21.1478
51.500389 87.380 -21.2667
51.873581 87.357 -21.3858
52.249481 87.335 -21.5042
52.628101 87.312 -21.6218
53.009464 87.289 -21.7383
53.393593 87.265 -21.8538
53.780506 87.241 -21.9686
54.170223 87.217 -22.0818
54.562763 87.193 -22.1923
54.958145 87.168 -22.3008
55.356396 87.143 -22.4071
55.757530 87.119 -22.5128
56.161572 87.096 -22.6198
56.568542 87.072 -22.7278
56.978462 87.048 -22.8379
57.391350 87.023 -22.9488
57.807232 86.998 -23.0598
58.226128 86.972 -23.1708
58.648056 86.946 -23.2819
59.073048 86.919 -23.3918
59.501114 86.891 -23.4993
59.932281 86.863 -23.6038
60.366577 86.835 -23.7043
60.804020 86.806 -23.8018
61.244629 86.778 -23.8976
61.688435 86.749 -23.9908
62.135452 86.720 -24.0811
62.585712 86.691 -24.1689
63.039234 86.662 -24.2540
63.496040 86.634 -24.3379
63.956161 86.606 -24.4215
64.419617 86.578 -24.5049
64.886421 86.549 -24.5887
65.356621 86.520 -24.6719
65.830215 86.491 -24.7532
66.307251 86.462 -24.8338
66.787743 86.433 -24.9147
67.271713 86.404 -24.9949
67.759193 86.374 -25.0745
68.250206 86.343 -25.1519
68.744774 86.313 -25.2248
69.242928 86.282 -25.2949
69.744690 86.252 -25.3629
70.250084 86.221 -25.4289
70.759148 86.190 -25.4929
71.271896 86.160 -25.5559
71.788361 86.130 -25.6184
72.308571 86.101 -25.6809
72.832550 86.072 -25.7439
73.360321 86.042 -25.8079
73.891922 86.012 -25.8733
74.427376 85.982 -25.9399
74.966705 85.952 -26.0079
75.509949 85.922 -26.0769
76.057121 85.891 -26.1468
76.608261 85.860 -26.2169
77.163399 85.828 -26.2865
77.722557 85.795 -26.3549
78.285767 85.761 -26.4211
78.853058 85.727 -26.4839
79.424461 85.693 -26.5413
80.000000 85.658 -26.5949
80.579712 85.624 -26.6452
81.163628 85.589 -26.6929
81.751770 85.555 -26.7390
82.344177 85.520 -26.7839
82.940880 85.486 -26.8281
83.541901 85.451 -26.8719
84.147285 85.417 -26.9162
