* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\RED GRAS Narrow Bore_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:21:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\RED GRAS Narrow Bore_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: RED GRAS Narrow Bore_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 86.457 4.7890
5.036232 86.459 4.7828
5.072727 86.461 4.7760
5.109486 86.463 4.7681
5.146511 86.466 4.7590
5.183805 86.470 4.7481
5.221369 86.474 4.7360
5.259205 86.478 4.7233
5.297316 86.482 4.7100
5.335702 86.487 4.6961
5.374367 86.492 4.6820
5.413311 86.497 4.6681
5.452538 86.501 4.6540
5.492050 86.506 4.6396
5.531847 86.510 4.6250
5.571934 86.514 4.6106
5.612310 86.519 4.5960
5.652979 86.523 4.5811
5.693943 86.528 4.5660
5.735204 86.533 4.5511
5.776763 86.538 4.5360
5.818624 86.543 4.5206
5.860788 86.547 4.5050
5.903258 86.551 4.4895
5.946035 86.556 4.4740
5.989123 86.560 4.4586
6.032523 86.565 4.4430
6.076237 86.570 4.4271
6.120268 86.575 4.4110
6.164618 86.580 4.3951
6.209289 86.584 4.3790
6.254284 86.589 4.3626
6.299605 86.593 4.3460
6.345255 86.597 4.3296
6.391235 86.602 4.3130
6.437549 86.607 4.2961
6.484198 86.612 4.2790
6.531185 86.617 4.2615
6.578513 86.621 4.2440
6.626183 86.625 4.2271
6.674199 86.630 4.2100
6.722563 86.634 4.1921
6.771278 86.639 4.1740
6.820345 86.643 4.1566
6.869768 86.648 4.1390
6.919549 86.653 4.1206
6.969691 86.658 4.1020
7.020196 86.663 4.0841
7.071068 86.667 4.0660
7.122308 86.672 4.0471
7.173919 86.676 4.0280
7.225904 86.680 4.0090
7.278266 86.685 3.9900
7.331007 86.690 3.9711
7.384131 86.695 3.9520
7.437639 86.700 3.9326
7.491535 86.704 3.9130
7.545822 86.708 3.8931
7.600502 86.713 3.8730
7.655579 86.717 3.8531
7.711054 86.722 3.8330
7.766932 86.727 3.8126
7.823214 86.732 3.7920
7.879904 86.737 3.7716
7.937005 86.741 3.7510
7.994520 86.745 3.7301
8.052452 86.750 3.7090
8.110803 86.755 3.6876
8.169578 86.759 3.6660
8.228777 86.763 3.6446
8.288406 86.768 3.6230
8.348468 86.773 3.6011
8.408964 86.778 3.5790
8.469899 86.783 3.5566
8.531276 86.787 3.5340
8.593097 86.791 3.5116
8.655366 86.796 3.4890
8.718086 86.800 3.4661
8.781260 86.805 3.4430
8.844893 86.810 3.4201
8.908987 86.815 3.3970
8.973545 86.820 3.3736
9.038571 86.824 3.3500
9.104069 86.828 3.3261
9.170040 86.833 3.3020
9.236490 86.838 3.2776
9.303422 86.842 3.2530
9.370838 86.846 3.2286
9.438744 86.851 3.2040
9.507140 86.856 3.1786
9.576033 86.861 3.1530
9.645425 86.866 3.1281
9.715320 86.870 3.1030
9.785721 86.874 3.0771
9.856632 86.879 3.0510
9.928058 86.883 3.0251
10.000000 86.888 2.9990
10.072464 86.893 2.9726
10.145453 86.898 2.9460
10.218971 86.903 2.9191
10.293022 86.907 2.8920
10.367610 86.911 2.8646
10.442738 86.916 2.8370
10.518411 86.920 2.8091
10.594631 86.925 2.7810
10.671404 86.930 2.7531
10.748734 86.935 2.7250
10.826623 86.940 2.6966
10.905077 86.944 2.6680
10.984100 86.949 2.6391
11.063695 86.953 2.6100
11.143867 86.957 2.5806
11.224621 86.962 2.5510
11.305959 86.966 2.5211
11.387886 86.971 2.4910
11.470407 86.976 2.4606
11.553527 86.981 2.4300
11.637249 86.986 2.3996
11.721577 86.990 2.3690
11.806517 86.994 2.3377
11.892071 86.999 2.3060
11.978246 87.003 2.2746
12.065045 87.008 2.2430
12.152473 87.013 2.2112
12.240536 87.018 2.1790
12.329235 87.023 2.1461
12.418578 87.027 2.1130
12.508568 87.032 2.0801
12.599211 87.036 2.0470
12.690510 87.040 2.0137
12.782471 87.045 1.9800
12.875097 87.050 1.9462
12.968395 87.055 1.9120
13.062370 87.060 1.8777
13.157025 87.064 1.8430
13.252366 87.068 1.8076
13.348398 87.073 1.7720
13.445127 87.077 1.7366
13.542556 87.082 1.7010
13.640691 87.086 1.6652
13.739536 87.091 1.6290
13.839099 87.096 1.5926
13.939383 87.101 1.5560
14.040393 87.106 1.5192
14.142136 87.110 1.4820
14.244616 87.115 1.4441
14.347837 87.119 1.4060
14.451808 87.123 1.3681
14.556532 87.128 1.3300
14.662014 87.133 1.2917
14.768262 87.138 1.2530
14.875278 87.143 1.2137
14.983070 87.147 1.1740
15.091644 87.151 1.1347
15.201005 87.156 1.0950
15.311157 87.160 1.0547
15.422109 87.165 1.0140
15.533863 87.170 0.9737
15.646428 87.175 0.9330
15.759809 87.180 0.8917
15.874010 87.184 0.8500
15.989040 87.188 0.8087
16.104904 87.193 0.7670
16.221605 87.197 0.7247
16.339155 87.202 0.6821
16.457554 87.206 0.6396
16.576813 87.211 0.5970
16.696936 87.216 0.5541
16.817928 87.221 0.5110
16.939798 87.226 0.4681
17.062551 87.230 0.4251
17.186193 87.234 0.3815
17.310732 87.239 0.3380
17.436172 87.243 0.2950
17.562521 87.248 0.2520
17.689787 87.253 0.2085
17.817974 87.258 0.1650
17.947090 87.263 0.1218
18.077143 87.267 0.0790
18.208138 87.271 0.0368
18.340080 87.276 -0.0050
18.472980 87.281 -0.0463
18.606844 87.285 -0.0870
18.741676 87.289 -0.1267
18.877487 87.294 -0.1650
19.014280 87.298 -0.2013
19.152065 87.303 -0.2350
19.290850 87.308 -0.2654
19.430639 87.313 -0.2920
19.571442 87.318 -0.3135
19.713264 87.325 -0.3310
19.856115 87.333 -0.3437
20.000000 87.343 -0.3560
20.144928 87.356 -0.3705
20.290907 87.371 -0.3910
20.437943 87.388 -0.4210
20.586044 87.407 -0.4640
20.735220 87.428 -0.5239
20.885475 87.449 -0.6029
21.036821 87.471 -0.7060
21.189262 87.491 -0.8288
21.342808 87.508 -0.9703
21.497467 87.523 -1.1258
21.653246 87.535 -1.2922
21.810154 87.543 -1.4638
21.968201 87.547 -1.6355
22.127390 87.548 -1.8018
22.287735 87.545 -1.9550
22.449242 87.541 -2.0959
22.611917 87.536 -2.2224
22.775772 87.531 -2.3359
22.940815 87.525 -2.4367
23.107054 87.520 -2.5259
23.274498 87.516 -2.6033
23.443153 87.512 -2.6719
23.613033 87.510 -2.7341
23.784142 87.509 -2.7910
23.956491 87.508 -2.8446
24.130091 87.509 -2.8949
24.304947 87.511 -2.9415
24.481071 87.515 -2.9869
24.658470 87.521 -3.0322
24.837156 87.529 -3.0819
25.017136 87.538 -3.1412
25.198421 87.549 -3.2099
25.381020 87.560 -3.2899
25.564941 87.572 -3.3809
25.750195 87.583 -3.4842
25.936790 87.594 -3.5979
26.124741 87.604 -3.7219
26.314051 87.612 -3.8518
26.504732 87.617 -3.9841
26.696796 87.621 -4.1158
26.890253 87.624 -4.2424
27.085112 87.626 -4.3649
27.281382 87.628 -4.4816
27.479073 87.631 -4.5958
27.678198 87.635 -4.7095
27.878765 87.640 -4.8248
28.080786 87.646 -4.9445
28.284271 87.652 -5.0688
28.489231 87.658 -5.1993
28.695675 87.663 -5.3358
28.903616 87.668 -5.4788
29.113064 87.673 -5.6278
29.324028 87.677 -5.7832
29.536524 87.680 -5.9428
29.750557 87.681 -6.1046
29.966141 87.681 -6.2678
30.183289 87.680 -6.4317
30.402010 87.678 -6.5948
30.622314 87.675 -6.7561
30.844217 87.670 -6.9138
31.067726 87.665 -7.0654
31.292856 87.659 -7.2118
31.519617 87.654 -7.3531
31.748020 87.648 -7.4898
31.978081 87.642 -7.6223
32.209808 87.637 -7.7518
32.443211 87.633 -7.8790
32.678310 87.629 -8.0068
32.915108 87.627 -8.1380
33.153625 87.625 -8.2738
33.393871 87.623 -8.4175
33.635857 87.620 -8.5668
33.879597 87.616 -8.7211
34.125103 87.611 -8.8778
34.372387 87.605 -9.0345
34.621464 87.597 -9.1898
34.872345 87.589 -9.3423
35.125042 87.579 -9.4898
35.379574 87.568 -9.6293
35.635948 87.557 -9.7618
35.894180 87.547 -9.8860
36.154285 87.538 -10.0058
36.416275 87.531 -10.1246
36.680161 87.524 -10.2438
36.945961 87.518 -10.3649
37.213688 87.512 -10.4908
37.483353 87.509 -10.6252
37.754974 87.505 -10.7678
38.028561 87.499 -10.9207
38.304131 87.492 -11.0798
38.581699 87.484 -11.2428
38.861279 87.475 -11.4068
39.142883 87.463 -11.5696
39.426529 87.448 -11.7258
39.712231 87.431 -11.8685
40.000000 87.414 -11.9998
40.289856 87.399 -12.1183
40.581814 87.384 -12.2278
40.875885 87.370 -12.3310
41.172089 87.358 -12.4299
41.470440 87.347 -12.5256
41.770950 87.338 -12.6238
42.073643 87.333 -12.7306
42.378525 87.328 -12.8458
42.685616 87.322 -12.9723
42.994934 87.315 -13.1078
43.306492 87.309 -13.2517
43.620308 87.302 -13.4018
43.936401 87.292 -13.5564
44.254780 87.281 -13.7128
44.575470 87.269 -13.8675
44.898483 87.257 -14.0208
45.223835 87.243 -14.1714
45.551544 87.229 -14.3198
45.881630 87.215 -14.4658
46.214108 87.200 -14.6098
46.548996 87.186 -14.7518
46.886307 87.171 -14.8928
47.226067 87.157 -15.0336
47.568283 87.142 -15.1748
47.912983 87.127 -15.3168
48.260181 87.111 -15.4598
48.609894 87.096 -15.6038
48.962143 87.080 -15.7488
49.316940 87.064 -15.8947
49.674313 87.047 -16.0408
50.034271 87.029 -16.1869
50.396843 87.010 -16.3308
50.762039 86.990 -16.4697
51.129883 86.969 -16.6048
51.500389 86.950 -16.7358
51.873581 86.930 -16.8638
52.249481 86.910 -16.9895
52.628101 86.889 -17.1128
53.009464 86.869 -17.2330
53.393593 86.850 -17.3528
53.780506 86.831 -17.4749
54.170223 86.812 -17.5988
54.562763 86.793 -17.7259
54.958145 86.773 -17.8538
55.356396 86.752 -17.9809
55.757530 86.730 -18.1068
56.161572 86.708 -18.2311
56.568542 86.686 -18.3528
56.978462 86.663 -18.4702
57.391350 86.640 -18.5848
57.807232 86.617 -18.6974
58.226128 86.594 -18.8078
58.648056 86.571 -18.9160
59.073048 86.547 -19.0218
59.501114 86.523 -19.1249
59.932281 86.500 -19.2258
60.366577 86.477 -19.3253
60.804020 86.454 -19.4228
61.244629 86.431 -19.5181
61.688435 86.408 -19.6118
62.135452 86.385 -19.7045
62.585712 86.363 -19.7968
63.039234 86.341 -19.8894
63.496040 86.320 -19.9838
63.956161 86.299 -20.0819
64.419617 86.279 -20.1838
64.886421 86.258 -20.2909
65.356621 86.237 -20.4018
65.830215 86.215 -20.5160
66.307251 86.193 -20.6328
66.787743 86.169 -20.7513
67.271713 86.145 -20.8708
67.759193 86.120 -20.9901
68.250206 86.094 -21.1088
68.744774 86.067 -21.2263
69.242928 86.039 -21.3418
69.744690 86.011 -21.4538
70.250084 85.982 -21.5628
70.759148 85.952 -21.6692
71.271896 85.922 -21.7718
71.788361 85.891 -21.8698
72.308571 85.859 -21.9628
72.832550 85.828 -22.0503
73.360321 85.797 -22.1329
73.891922 85.765 -22.2108
74.427376 85.733 -22.2839
74.966705 85.702 -22.3509
75.509949 85.671 -22.4149
76.057121 85.642 -22.4777
76.608261 85.613 -22.5409
77.163399 85.584 -22.6066
77.722557 85.555 -22.6749
78.285767 85.527 -22.7462
78.853058 85.498 -22.8208
79.424461 85.469 -22.9008
80.000000 85.439 -22.9818
80.579712 85.407 -23.0608
81.163628 85.373 -23.1369
81.751770 85.340 -23.2076
82.344177 85.306 -23.2739
82.940880 85.271 -23.3358
83.541901 85.236 -23.3929
84.147285 85.201 -23.4440
84.757050 85.166 -23.4909
85.371231 85.132 -23.5350
85.989868 85.098 -23.5769
