* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\RED GRAS Wide Bore_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:20:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\RED GRAS Wide Bore_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: RED GRAS Wide Bore_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 87.779 2.0000
5.036232 87.780 1.9928
5.072727 87.782 1.9850
5.109486 87.783 1.9762
5.146511 87.785 1.9660
5.183805 87.787 1.9536
5.221369 87.790 1.9400
5.259205 87.792 1.9259
5.297316 87.795 1.9110
5.335702 87.798 1.8948
5.374367 87.801 1.8780
5.413311 87.804 1.8615
5.452538 87.807 1.8450
5.492050 87.809 1.8286
5.531847 87.812 1.8120
5.571934 87.815 1.7951
5.612310 87.818 1.7780
5.652979 87.821 1.7611
5.693943 87.824 1.7440
5.735204 87.827 1.7266
5.776763 87.830 1.7090
5.818624 87.832 1.6910
5.860788 87.835 1.6730
5.903258 87.838 1.6556
5.946035 87.841 1.6380
5.989123 87.844 1.6196
6.032523 87.847 1.6010
6.076237 87.849 1.5825
6.120268 87.852 1.5640
6.164618 87.855 1.5456
6.209289 87.858 1.5270
6.254284 87.861 1.5081
6.299605 87.864 1.4890
6.345255 87.867 1.4696
6.391235 87.870 1.4500
6.437549 87.872 1.4306
6.484198 87.875 1.4110
6.531185 87.878 1.3911
6.578513 87.881 1.3710
6.626183 87.884 1.3511
6.674199 87.887 1.3310
6.722563 87.890 1.3106
6.771278 87.893 1.2900
6.820345 87.896 1.2691
6.869768 87.898 1.2480
6.919549 87.901 1.2271
6.969691 87.904 1.2060
7.020196 87.907 1.1846
7.071068 87.910 1.1630
7.122308 87.913 1.1416
7.173919 87.916 1.1200
7.225904 87.918 1.0981
7.278266 87.921 1.0760
7.331007 87.924 1.0536
7.384131 87.927 1.0310
7.437639 87.930 1.0081
7.491535 87.933 0.9850
7.545822 87.936 0.9621
7.600502 87.938 0.9390
7.655579 87.941 0.9156
7.711054 87.944 0.8920
7.766932 87.947 0.8686
7.823214 87.950 0.8450
7.879904 87.953 0.8211
7.937005 87.956 0.7970
7.994520 87.958 0.7726
8.052452 87.961 0.7480
8.110803 87.964 0.7231
8.169578 87.967 0.6980
8.228777 87.970 0.6726
8.288406 87.973 0.6470
8.348468 87.976 0.6216
8.408964 87.979 0.5960
8.469899 87.981 0.5701
8.531276 87.984 0.5440
8.593097 87.987 0.5176
8.655366 87.990 0.4910
8.718086 87.993 0.4646
8.781260 87.996 0.4380
8.844893 87.999 0.4106
8.908987 88.002 0.3830
8.973545 88.005 0.3556
9.038571 88.007 0.3280
9.104069 88.010 0.3001
9.170040 88.013 0.2720
9.236490 88.016 0.2436
9.303422 88.019 0.2150
9.370838 88.021 0.1861
9.438744 88.024 0.1570
9.507140 88.027 0.1276
9.576033 88.030 0.0980
9.645425 88.033 0.0681
9.715320 88.036 0.0380
9.785721 88.039 0.0076
9.856632 88.042 -0.0230
9.928058 88.044 -0.0534
10.000000 88.047 -0.0840
10.072464 88.050 -0.1153
10.145453 88.053 -0.1470
10.218971 88.056 -0.1784
10.293022 88.059 -0.2100
10.367610 88.062 -0.2424
10.442738 88.065 -0.2750
10.518411 88.068 -0.3074
10.594631 88.070 -0.3400
10.671404 88.073 -0.3734
10.748734 88.076 -0.4070
10.826623 88.079 -0.4404
10.905077 88.082 -0.4740
10.984100 88.085 -0.5083
11.063695 88.088 -0.5430
11.143867 88.090 -0.5779
11.224621 88.093 -0.6130
11.305959 88.096 -0.6484
11.387886 88.099 -0.6840
11.470407 88.102 -0.7199
11.553527 88.105 -0.7560
11.637249 88.108 -0.7924
11.721577 88.111 -0.8290
11.806517 88.113 -0.8658
11.892071 88.116 -0.9030
11.978246 88.119 -0.9409
12.065045 88.122 -0.9790
12.152473 88.125 -1.0169
12.240536 88.128 -1.0550
12.329235 88.131 -1.0938
12.418578 88.133 -1.1330
12.508568 88.136 -1.1723
12.599211 88.139 -1.2120
12.690510 88.142 -1.2523
12.782471 88.145 -1.2930
12.875097 88.148 -1.3338
12.968395 88.151 -1.3750
13.062370 88.153 -1.4164
13.157025 88.156 -1.4580
13.252366 88.159 -1.4998
13.348398 88.162 -1.5420
13.445127 88.165 -1.5848
13.542556 88.168 -1.6279
13.640691 88.171 -1.6713
13.739536 88.174 -1.7150
13.839099 88.176 -1.7593
13.939383 88.179 -1.8040
14.040393 88.182 -1.8488
14.142136 88.185 -1.8940
14.244616 88.188 -1.9398
14.347837 88.191 -1.9860
14.451808 88.194 -2.0324
14.556532 88.197 -2.0790
14.662014 88.200 -2.1258
14.768262 88.202 -2.1729
14.875278 88.205 -2.2207
14.983070 88.208 -2.2689
15.091644 88.211 -2.3178
15.201005 88.214 -2.3670
15.311157 88.216 -2.4163
15.422109 88.219 -2.4660
15.533863 88.222 -2.5162
15.646428 88.225 -2.5670
15.759809 88.228 -2.6183
15.874010 88.231 -2.6700
15.989040 88.234 -2.7218
16.104904 88.237 -2.7740
16.221605 88.239 -2.8268
16.339155 88.242 -2.8799
16.457554 88.245 -2.9333
16.576813 88.248 -2.9870
16.696936 88.251 -3.0412
16.817928 88.254 -3.0960
16.939798 88.257 -3.1513
17.062551 88.260 -3.2069
17.186193 88.262 -3.2628
17.310732 88.265 -3.3190
17.436172 88.268 -3.3753
17.562521 88.271 -3.4320
17.689787 88.274 -3.4893
17.817974 88.277 -3.5469
17.947090 88.280 -3.6049
18.077143 88.283 -3.6630
18.208138 88.285 -3.7209
18.340080 88.288 -3.7789
18.472980 88.291 -3.8375
18.606844 88.294 -3.8960
18.741676 88.297 -3.9537
18.877487 88.300 -4.0109
19.014280 88.303 -4.0679
19.152065 88.306 -4.1239
19.290850 88.309 -4.1781
19.430639 88.312 -4.2310
19.571442 88.316 -4.2827
19.713264 88.320 -4.3339
19.856115 88.325 -4.3851
20.000000 88.331 -4.4369
20.144928 88.337 -4.4899
20.290907 88.344 -4.5449
20.437943 88.352 -4.6035
20.586044 88.361 -4.6650
20.735220 88.370 -4.7279
20.885475 88.380 -4.7959
21.036821 88.392 -4.8711
21.189262 88.405 -4.9569
21.342808 88.419 -5.0584
21.497467 88.432 -5.1728
21.653246 88.444 -5.2993
21.810154 88.455 -5.4378
21.968201 88.466 -5.5889
22.127390 88.475 -5.7498
22.287735 88.480 -5.9208
22.449242 88.483 -6.0939
22.611917 88.482 -6.2617
22.775772 88.479 -6.4228
22.940815 88.475 -6.5730
23.107054 88.470 -6.7138
23.274498 88.464 -6.8451
23.443153 88.459 -6.9678
23.613033 88.455 -7.0819
23.784142 88.451 -7.1909
23.956491 88.449 -7.2980
24.130091 88.447 -7.4049
24.304947 88.446 -7.5141
24.481071 88.446 -7.6259
24.658470 88.446 -7.7410
24.837156 88.446 -7.8598
25.017136 88.446 -7.9828
25.198421 88.446 -8.1099
25.381020 88.445 -8.2411
25.564941 88.444 -8.3769
25.750195 88.443 -8.5182
25.936790 88.441 -8.6628
26.124741 88.437 -8.8099
26.314051 88.432 -8.9568
26.504732 88.426 -9.1015
26.696796 88.418 -9.2418
26.890253 88.408 -9.3755
27.085112 88.398 -9.5009
27.281382 88.387 -9.6152
27.479073 88.377 -9.7199
27.678198 88.368 -9.8136
27.878765 88.361 -9.9019
28.080786 88.357 -9.9888
28.284271 88.354 -10.0779
28.489231 88.353 -10.1736
28.695675 88.352 -10.2769
28.903616 88.352 -10.3904
29.113064 88.352 -10.5128
29.324028 88.352 -10.6440
29.536524 88.351 -10.7828
29.750557 88.350 -10.9287
29.966141 88.347 -11.0798
30.183289 88.343 -11.2348
30.402010 88.337 -11.3918
30.622314 88.331 -11.5484
30.844217 88.324 -11.7058
31.067726 88.317 -11.8645
31.292856 88.309 -12.0238
31.519617 88.299 -12.1835
31.748020 88.288 -12.3418
31.978081 88.276 -12.4964
32.209808 88.264 -12.6478
32.443211 88.251 -12.7963
32.678310 88.238 -12.9408
32.915108 88.224 -13.0806
33.153625 88.209 -13.2148
33.393871 88.194 -13.3415
33.635857 88.179 -13.4628
33.879597 88.165 -13.5798
34.125103 88.152 -13.6938
34.372387 88.139 -13.8066
34.621464 88.127 -13.9188
34.872345 88.116 -14.0313
35.125042 88.105 -14.1459
35.379574 88.095 -14.2639
35.635948 88.085 -14.3868
35.894180 88.076 -14.5165
36.154285 88.067 -14.6528
36.416275 88.057 -14.7974
36.680161 88.045 -14.9468
36.945961 88.032 -15.0983
37.213688 88.017 -15.2508
37.483353 88.001 -15.4033
37.754974 87.984 -15.5528
38.028561 87.965 -15.6963
38.304131 87.944 -15.8318
38.581699 87.923 -15.9551
38.861279 87.902 -16.0698
39.142883 87.883 -16.1773
39.426529 87.864 -16.2799
39.712231 87.846 -16.3798
40.000000 87.828 -16.4789
40.289856 87.812 -16.5788
40.581814 87.796 -16.6818
40.875885 87.781 -16.7915
41.172089 87.766 -16.9058
41.470440 87.749 -17.0257
41.770950 87.731 -17.1458
42.073643 87.711 -17.2616
42.378525 87.689 -17.3709
42.685616 87.667 -17.4691
42.994934 87.645 -17.5579
43.306492 87.623 -17.6362
43.620308 87.603 -17.7069
43.936401 87.585 -17.7703
44.254780 87.569 -17.8329
44.575470 87.556 -17.9005
44.898483 87.544 -17.9759
45.223835 87.533 -18.0649
45.551544 87.522 -18.1639
45.881630 87.510 -18.2719
46.214108 87.497 -18.3868
46.548996 87.483 -18.5062
46.886307 87.468 -18.6298
47.226067 87.452 -18.7578
47.568283 87.435 -18.8868
47.912983 87.416 -19.0144
48.260181 87.395 -19.1378
48.609894 87.373 -19.2527
48.962143 87.351 -19.3608
49.316940 87.329 -19.4613
49.674313 87.308 -19.5578
50.034271 87.288 -19.6545
50.396843 87.269 -19.7499
50.762039 87.248 -19.8433
51.129883 87.228 -19.9358
51.500389 87.209 -20.0275
51.873581 87.191 -20.1208
52.249481 87.174 -20.2191
52.628101 87.156 -20.3208
53.009464 87.138 -20.4258
53.393593 87.119 -20.5338
53.780506 87.101 -20.6443
54.170223 87.082 -20.7588
54.562763 87.063 -20.8807
54.958145 87.043 -21.0048
55.356396 87.020 -21.1268
55.757530 86.996 -21.2478
56.161572 86.973 -21.3675
56.568542 86.950 -21.4858
56.978462 86.924 -21.6043
57.391350 86.897 -21.7178
57.807232 86.869 -21.8201
58.226128 86.841 -21.9158
58.648056 86.815 -22.0074
59.073048 86.789 -22.0959
59.501114 86.763 -22.1839
59.932281 86.736 -22.2698
60.366577 86.709 -22.3524
60.804020 86.683 -22.4339
61.244629 86.658 -22.5162
61.688435 86.633 -22.5989
62.135452 86.607 -22.6826
62.585712 86.580 -22.7659
63.039234 86.554 -22.8469
63.496040 86.528 -22.9269
63.956161 86.501 -23.0063
64.419617 86.474 -23.0849
64.886421 86.447 -23.1616
65.356621 86.421 -23.2389
65.830215 86.395 -23.3198
66.307251 86.369 -23.4008
66.787743 86.340 -23.4795
67.271713 86.310 -23.5549
67.759193 86.282 -23.6238
68.250206 86.254 -23.6909
68.744774 86.227 -23.7609
69.242928 86.200 -23.8309
69.744690 86.171 -23.8995
70.250084 86.142 -23.9669
70.759148 86.114 -24.0315
71.271896 86.087 -24.0969
71.788361 86.059 -24.1667
72.308571 86.031 -24.2389
72.832550 86.002 -24.3127
73.360321 85.973 -24.3869
73.891922 85.943 -24.4601
74.427376 85.912 -24.5319
74.966705 85.881 -24.6013
75.509949 85.849 -24.6689
76.057121 85.817 -24.7352
76.608261 85.785 -24.7989
77.163399 85.751 -24.8589
77.722557 85.717 -24.9149
78.285767 85.683 -24.9653
78.853058 85.649 -25.0129
79.424461 85.616 -25.0607
80.000000 85.583 -25.1059
80.579712 85.547 -25.1470
81.163628 85.511 -25.1839
81.751770 85.476 -25.2151
82.344177 85.442 -25.2429
