* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\k371 gras_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:31:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\k371 gras_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: k371 gras_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 94.551 3.9150
5.036232 94.554 3.9021
5.072727 94.557 3.8880
5.109486 94.560 3.8714
5.146511 94.563 3.8520
5.183805 94.567 3.8286
5.221369 94.572 3.8030
5.259205 94.577 3.7767
5.297316 94.582 3.7490
5.335702 94.587 3.7194
5.374367 94.593 3.6890
5.413311 94.599 3.6591
5.452538 94.604 3.6290
5.492050 94.609 3.5981
5.531847 94.614 3.5670
5.571934 94.619 3.5361
5.612310 94.625 3.5050
5.652979 94.631 3.4737
5.693943 94.636 3.4420
5.735204 94.642 3.4096
5.776763 94.647 3.3770
5.818624 94.652 3.3446
5.860788 94.658 3.3120
5.903258 94.663 3.2791
5.946035 94.669 3.2460
5.989123 94.674 3.2126
6.032523 94.680 3.1790
6.076237 94.686 3.1451
6.120268 94.691 3.1110
6.164618 94.696 3.0767
6.209289 94.701 3.0420
6.254284 94.706 3.0066
6.299605 94.712 2.9710
6.345255 94.717 2.9356
6.391235 94.723 2.9000
6.437549 94.729 2.8642
6.484198 94.734 2.8280
6.531185 94.740 2.7911
6.578513 94.745 2.7540
6.626183 94.750 2.7171
6.674199 94.756 2.6800
6.722563 94.761 2.6421
6.771278 94.767 2.6040
6.820345 94.773 2.5661
6.869768 94.778 2.5280
6.919549 94.783 2.4893
6.969691 94.788 2.4500
7.020196 94.793 2.4101
7.071068 94.799 2.3700
7.122308 94.804 2.3301
7.173919 94.810 2.2900
7.225904 94.815 2.2497
7.278266 94.821 2.2090
7.331007 94.826 2.1677
7.384131 94.832 2.1260
7.437639 94.838 2.0842
7.491535 94.843 2.0420
7.545822 94.848 1.9991
7.600502 94.854 1.9560
7.655579 94.860 1.9131
7.711054 94.865 1.8700
7.766932 94.870 1.8263
7.823214 94.875 1.7820
7.879904 94.880 1.7371
7.937005 94.886 1.6920
7.994520 94.892 1.6472
8.052452 94.897 1.6020
8.110803 94.902 1.5557
8.169578 94.908 1.5090
8.228777 94.913 1.4626
8.288406 94.919 1.4160
8.348468 94.924 1.3688
8.408964 94.930 1.3210
8.469899 94.936 1.2727
8.531276 94.941 1.2240
8.593097 94.947 1.1751
8.655366 94.952 1.1260
8.718086 94.957 1.0767
8.781260 94.962 1.0270
8.844893 94.967 0.9768
8.908987 94.973 0.9260
8.973545 94.979 0.8747
9.038571 94.984 0.8230
9.104069 94.990 0.7712
9.170040 94.995 0.7190
9.236490 95.000 0.6663
9.303422 95.006 0.6130
9.370838 95.011 0.5592
9.438744 95.017 0.5050
9.507140 95.022 0.4507
9.576033 95.028 0.3960
9.645425 95.034 0.3408
9.715320 95.039 0.2850
9.785721 95.044 0.2288
9.856632 95.049 0.1720
9.928058 95.054 0.1147
10.000000 95.060 0.0570
10.072464 95.065 -0.0008
10.145453 95.071 -0.0589
10.218971 95.076 -0.1176
10.293022 95.082 -0.1770
10.367610 95.088 -0.2372
10.442738 95.093 -0.2980
10.518411 95.098 -0.3588
10.594631 95.104 -0.4200
10.671404 95.109 -0.4817
10.748734 95.115 -0.5440
10.826623 95.121 -0.6067
10.905077 95.126 -0.6699
10.984100 95.131 -0.7342
11.063695 95.136 -0.7990
11.143867 95.141 -0.8638
11.224621 95.147 -0.9290
11.305959 95.152 -0.9947
11.387886 95.158 -1.0609
11.470407 95.163 -1.1282
11.553527 95.169 -1.1960
11.637249 95.174 -1.2642
11.721577 95.180 -1.3329
11.806517 95.185 -1.4021
11.892071 95.191 -1.4719
11.978246 95.197 -1.5426
12.065045 95.202 -1.6140
12.152473 95.208 -1.6857
12.240536 95.213 -1.7580
12.329235 95.218 -1.8306
12.418578 95.223 -1.9039
12.508568 95.228 -1.9781
12.599211 95.234 -2.0530
12.690510 95.240 -2.1286
12.782471 95.245 -2.2049
12.875097 95.250 -2.2817
12.968395 95.256 -2.3589
13.062370 95.261 -2.4366
13.157025 95.267 -2.5150
13.252366 95.272 -2.5946
13.348398 95.278 -2.6749
13.445127 95.283 -2.7556
13.542556 95.289 -2.8369
13.640691 95.295 -2.9191
13.739536 95.300 -3.0020
13.839099 95.305 -3.0856
13.939383 95.310 -3.1699
14.040393 95.315 -3.2551
14.142136 95.321 -3.3410
14.244616 95.326 -3.4276
14.347837 95.332 -3.5150
14.451808 95.338 -3.6031
14.556532 95.343 -3.6920
14.662014 95.348 -3.7815
14.768262 95.354 -3.8719
14.875278 95.359 -3.9635
14.983070 95.365 -4.0559
15.091644 95.370 -4.1490
15.201005 95.376 -4.2429
15.311157 95.382 -4.3380
15.422109 95.387 -4.4339
15.533863 95.392 -4.5305
15.646428 95.397 -4.6279
15.759809 95.402 -4.7265
15.874010 95.408 -4.8259
15.989040 95.413 -4.9260
16.104904 95.419 -5.0269
16.221605 95.424 -5.1289
16.339155 95.430 -5.2319
16.457554 95.435 -5.3359
16.576813 95.441 -5.4409
16.696936 95.447 -5.5469
16.817928 95.452 -5.6539
16.939798 95.457 -5.7619
17.062551 95.463 -5.8709
17.186193 95.469 -5.9808
17.310732 95.474 -6.0919
17.436172 95.479 -6.2044
17.562521 95.484 -6.3179
17.689787 95.489 -6.4320
17.817974 95.495 -6.5469
17.947090 95.500 -6.6628
18.077143 95.506 -6.7799
18.208138 95.511 -6.8984
18.340080 95.517 -7.0179
18.472980 95.522 -7.1380
18.606844 95.528 -7.2589
18.741676 95.533 -7.3806
18.877487 95.539 -7.5029
19.014280 95.544 -7.6257
19.152065 95.550 -7.7489
19.290850 95.555 -7.8719
19.430639 95.561 -7.9949
19.571442 95.567 -8.1175
19.713264 95.574 -8.2408
19.856115 95.582 -8.3652
20.000000 95.590 -8.4929
20.144928 95.599 -8.6256
20.290907 95.609 -8.7649
20.437943 95.619 -8.9130
20.586044 95.630 -9.0689
20.735220 95.640 -9.2328
20.885475 95.649 -9.4028
21.036821 95.657 -9.5777
21.189262 95.664 -9.7558
21.342808 95.670 -9.9356
21.497467 95.675 -10.1148
21.653246 95.679 -10.2898
21.810154 95.683 -10.4628
21.968201 95.689 -10.6328
22.127390 95.696 -10.8048
22.287735 95.704 -10.9836
22.449242 95.712 -11.1688
22.611917 95.720 -11.3613
22.775772 95.729 -11.5617
22.940815 95.737 -11.7716
23.107054 95.745 -11.9897
23.274498 95.751 -12.2166
23.443153 95.756 -12.4487
23.613033 95.759 -12.6833
23.784142 95.761 -12.9188
23.956491 95.762 -13.1521
24.130091 95.763 -13.3847
24.304947 95.763 -13.6168
24.481071 95.763 -13.8487
24.658470 95.763 -14.0801
24.837156 95.763 -14.3127
25.017136 95.763 -14.5479
25.198421 95.763 -14.7858
25.381020 95.763 -15.0261
25.564941 95.763 -15.2708
25.750195 95.763 -15.5213
25.936790 95.763 -15.7777
26.124741 95.762 -16.0403
26.314051 95.761 -16.3096
26.504732 95.759 -16.5866
26.696796 95.756 -16.8696
26.890253 95.751 -17.1589
27.085112 95.745 -17.4507
27.281382 95.737 -17.7412
27.479073 95.727 -18.0316
27.678198 95.717 -18.3222
27.878765 95.706 -18.6116
28.080786 95.693 -18.8995
28.284271 95.678 -19.1836
28.489231 95.663 -19.4597
28.695675 95.649 -19.7336
28.903616 95.636 -20.0102
29.113064 95.623 -20.2886
29.324028 95.607 -20.5701
29.536524 95.591 -20.8527
29.750557 95.575 -21.1336
29.966141 95.559 -21.4157
30.183289 95.542 -21.7013
30.402010 95.525 -21.9886
30.622314 95.506 -22.2770
30.844217 95.486 -22.5657
31.067726 95.466 -22.8529
31.292856 95.445 -23.1406
31.519617 95.423 -23.4302
31.748020 95.401 -23.7216
31.978081 95.378 -24.0161
32.209808 95.354 -24.3116
32.443211 95.328 -24.6073
32.678310 95.301 -24.9016
32.915108 95.272 -25.1929
33.153625 95.242 -25.4807
33.393871 95.211 -25.7639
33.635857 95.179 -26.0416
33.879597 95.145 -26.3114
34.125103 95.111 -26.5756
34.372387 95.078 -26.8355
34.621464 95.044 -27.0916
34.872345 95.009 -27.3456
35.125042 94.974 -27.5957
35.379574 94.938 -27.8405
35.635948 94.902 -28.0807
35.894180 94.865 -28.3174
36.154285 94.828 -28.5477
36.416275 94.790 -28.7689
36.680161 94.751 -28.9817
36.945961 94.713 -29.1840
37.213688 94.677 -29.3807
37.483353 94.642 -29.5761
37.754974 94.609 -29.7707
38.028561 94.576 -29.9653
38.304131 94.545 -30.1637
38.581699 94.516 -30.3687
38.861279 94.488 -30.5837
39.142883 94.460 -30.8143
39.426529 94.432 -31.0567
39.712231 94.402 -31.3091
40.000000 94.370 -31.5706
40.289856 94.338 -31.8399
40.581814 94.304 -32.1166
40.875885 94.269 -32.4005
41.172089 94.232 -32.6896
41.470440 94.193 -32.9819
41.770950 94.151 -33.2775
42.073643 94.108 -33.5755
42.378525 94.063 -33.8766
42.685616 94.017 -34.1819
42.994934 93.968 -34.4896
43.306492 93.916 -34.7990
43.620308 93.860 -35.1065
43.936401 93.801 -35.4087
44.254780 93.739 -35.7035
44.575470 93.674 -35.9892
44.898483 93.606 -36.2616
45.223835 93.533 -36.5171
45.551544 93.458 -36.7527
45.881630 93.381 -36.9636
46.214108 93.303 -37.1517
46.548996 93.224 -37.3172
46.886307 93.145 -37.4608
47.226067 93.065 -37.5831
47.568283 92.986 -37.6848
47.912983 92.908 -37.7659
48.260181 92.831 -37.8299
48.609894 92.755 -37.8801
48.962143 92.680 -37.9170
49.316940 92.606 -37.9418
49.674313 92.534 -37.9560
50.034271 92.463 -37.9607
50.396843 92.393 -37.9570
50.762039 92.324 -37.9468
51.129883 92.256 -37.9290
51.500389 92.189 -37.9022
51.873581 92.122 -37.8691
52.249481 92.057 -37.8322
52.628101 91.993 -37.7911
53.009464 91.929 -37.7468
53.393593 91.866 -37.6971
53.780506 91.803 -37.6393
54.170223 91.740 -37.5751
54.562763 91.679 -37.5055
54.958145 91.618 -37.4301
55.356396 91.558 -37.3490
55.757530 91.499 -37.2621
56.161572 91.441 -37.1693
56.568542 91.383 -37.0712
56.978462 91.327 -36.9676
57.391350 91.273 -36.8612
57.807232 91.220 -36.7542
58.226128 91.169 -36.6472
58.648056 91.119 -36.5407
59.073048 91.070 -36.4372
59.501114 91.023 -36.3382
59.932281 90.977 -36.2472
60.366577 90.933 -36.1681
60.804020 90.889 -36.1001
61.244629 90.844 -36.0442
61.688435 90.797 -35.9991
62.135452 90.750 -35.9642
62.585712 90.701 -35.9380
63.039234 90.649 -35.9216
63.496040 90.592 -35.9060
63.956161 90.531 -35.8845
64.419617 90.465 -35.8511
64.886421 90.396 -35.7974
65.356621 90.325 -35.7231
65.830215 90.252 -35.6265
66.307251 90.176 -35.5043
66.787743 90.098 -35.3525
67.271713 90.020 -35.1714
67.759193 89.943 -34.9589
68.250206 89.866 -34.7175
68.744774 89.790 -34.4490
69.242928 89.715 -34.1526
69.744690 89.642 -33.8279
70.250084 89.570 -33.4747
70.759148 89.501 -33.0925
71.271896 89.435 -32.6818
71.788361 89.372 -32.2423
72.308571 89.313 -31.7759
72.832550 89.259 -31.2830
73.360321 89.210 -30.7680
73.891922 89.167 -30.2343
74.427376 89.131 -29.6851
74.966705 89.101 -29.1218
75.509949 89.079 -28.5520
76.057121 89.066 -27.9815
76.608261 89.061 -27.4171
77.163399 89.062 -26.8667
77.722557 89.071 -26.3331
78.285767 89.087 -25.8195
78.853058 89.110 -25.3320
79.424461 89.139 -24.8765
80.000000 89.173 -24.4558
80.579712 89.211 -24.0740
81.163628 89.253 -23.7326
81.751770 89.298 -23.4341
82.344177 89.346 -23.1795
82.940880 89.395 -22.9706
83.541901 89.445 -22.8073
