* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\N700NCM2_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:14:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\N700NCM2_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: N700NCM2_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 82.726 60.2030
5.036232 82.747 60.1771
5.072727 82.769 60.1490
5.109486 82.795 60.1159
5.146511 82.826 60.0780
5.183805 82.863 60.0332
5.221369 82.903 59.9850
5.259205 82.944 59.9366
5.297316 82.988 59.8860
5.335702 83.034 59.8316
5.374367 83.081 59.7760
5.413311 83.128 59.7215
5.452538 83.175 59.6670
5.492050 83.221 59.6122
5.531847 83.268 59.5570
5.571934 83.315 59.5013
5.612310 83.362 59.4450
5.652979 83.409 59.3882
5.693943 83.455 59.3310
5.735204 83.502 59.2736
5.776763 83.549 59.2160
5.818624 83.595 59.1583
5.860788 83.642 59.1000
5.903258 83.689 59.0407
5.946035 83.736 58.9810
5.989123 83.782 58.9217
6.032523 83.829 58.8620
6.076237 83.876 58.8013
6.120268 83.923 58.7400
6.164618 83.969 58.6787
6.209289 84.016 58.6170
6.254284 84.063 58.5548
6.299605 84.110 58.4920
6.345255 84.156 58.4288
6.391235 84.203 58.3650
6.437549 84.250 58.3008
6.484198 84.297 58.2360
6.531185 84.343 58.1707
6.578513 84.390 58.1050
6.626183 84.437 58.0393
6.674199 84.484 57.9730
6.722563 84.530 57.9058
6.771278 84.577 57.8380
6.820345 84.624 57.7702
6.869768 84.671 57.7020
6.919549 84.717 57.6333
6.969691 84.764 57.5640
7.020196 84.811 57.4938
7.071068 84.858 57.4230
7.122308 84.904 57.3523
7.173919 84.951 57.2810
7.225904 84.998 57.2088
7.278266 85.045 57.1360
7.331007 85.091 57.0628
7.384131 85.138 56.9890
7.437639 85.185 56.9148
7.491535 85.232 56.8400
7.545822 85.278 56.7648
7.600502 85.325 56.6890
7.655579 85.372 56.6128
7.711054 85.419 56.5360
7.766932 85.465 56.4583
7.823214 85.512 56.3800
7.879904 85.559 56.3013
7.937005 85.606 56.2220
7.994520 85.652 56.1423
8.052452 85.699 56.0620
8.110803 85.746 55.9808
8.169578 85.793 55.8990
8.228777 85.839 55.8168
8.288406 85.886 55.7340
8.348468 85.933 55.6503
8.408964 85.980 55.5660
8.469899 86.026 55.4813
8.531276 86.073 55.3960
8.593097 86.120 55.3099
8.655366 86.167 55.2230
8.718086 86.213 55.1353
8.781260 86.260 55.0470
8.844893 86.307 54.9583
8.908987 86.354 54.8690
8.973545 86.400 54.7789
9.038571 86.447 54.6880
9.104069 86.494 54.5969
9.170040 86.541 54.5050
9.236490 86.587 54.4119
9.303422 86.634 54.3180
9.370838 86.681 54.2239
9.438744 86.728 54.1290
9.507140 86.774 54.0329
9.576033 86.821 53.9360
9.645425 86.868 53.8389
9.715320 86.915 53.7411
9.785721 86.961 53.6425
9.856632 87.008 53.5430
9.928058 87.055 53.4424
10.000000 87.102 53.3410
10.072464 87.148 53.2395
10.145453 87.195 53.1371
10.218971 87.242 53.0335
10.293022 87.289 52.9290
10.367610 87.336 52.8239
10.442738 87.382 52.7180
10.518411 87.429 52.6114
10.594631 87.476 52.5040
10.671404 87.522 52.3954
10.748734 87.569 52.2860
10.826623 87.616 52.1759
10.905077 87.663 52.0651
10.984100 87.709 51.9536
11.063695 87.756 51.8411
11.143867 87.803 51.7270
11.224621 87.850 51.6120
11.305959 87.896 51.4970
11.387886 87.943 51.3811
11.470407 87.990 51.2636
11.553527 88.037 51.1450
11.637249 88.083 51.0260
11.721577 88.130 50.9061
11.806517 88.177 50.7852
11.892071 88.224 50.6631
11.978246 88.270 50.5396
12.065045 88.317 50.4150
12.152473 88.364 50.2899
12.240536 88.411 50.1640
12.329235 88.457 50.0371
12.418578 88.504 49.9091
12.508568 88.551 49.7802
12.599211 88.598 49.6501
12.690510 88.644 49.5187
12.782471 88.691 49.3861
12.875097 88.738 49.2526
12.968395 88.785 49.1181
13.062370 88.831 48.9826
13.157025 88.878 48.8461
13.252366 88.925 48.7081
13.348398 88.972 48.5691
13.445127 89.018 48.4293
13.542556 89.065 48.2882
13.640691 89.112 48.1452
13.739536 89.159 48.0010
13.839099 89.205 47.8561
13.939383 89.252 47.7101
14.040393 89.299 47.5627
14.142136 89.346 47.4141
14.244616 89.392 47.2642
14.347837 89.439 47.1131
14.451808 89.486 46.9607
14.556532 89.533 46.8071
14.662014 89.579 46.6523
14.768262 89.626 46.4962
14.875278 89.673 46.3384
14.983070 89.720 46.1792
15.091644 89.766 46.0183
15.201005 89.813 45.8561
15.311157 89.860 45.6928
15.422109 89.907 45.5281
15.533863 89.953 45.3619
15.646428 90.000 45.1941
15.759809 90.047 45.0249
15.874010 90.094 44.8541
15.989040 90.140 44.6819
16.104904 90.187 44.5081
16.221605 90.234 44.3329
16.339155 90.281 44.1562
16.457554 90.327 43.9779
16.576813 90.374 43.7981
16.696936 90.421 43.6169
16.817928 90.468 43.4341
16.939798 90.514 43.2496
17.062551 90.561 43.0632
17.186193 90.608 42.8750
17.310732 90.655 42.6851
17.436172 90.701 42.4939
17.562521 90.748 42.3011
17.689787 90.795 42.1071
17.817974 90.842 41.9112
17.947090 90.888 41.7130
18.077143 90.935 41.5131
18.208138 90.982 41.3124
18.340080 91.029 41.1102
18.472980 91.075 40.9059
18.606844 91.122 40.7001
18.741676 91.169 40.4933
18.877487 91.216 40.2852
19.014280 91.263 40.0756
19.152065 91.309 39.8653
19.290850 91.355 39.6551
19.430639 91.402 39.4451
19.571442 91.450 39.2359
19.713264 91.498 39.0273
19.856115 91.546 38.8199
20.000000 91.595 38.6112
20.144928 91.647 38.4002
20.290907 91.700 38.1832
20.437943 91.754 37.9563
20.586044 91.809 37.7192
20.735220 91.865 37.4708
20.885475 91.921 37.2093
21.036821 91.977 36.9312
21.189262 92.033 36.6404
21.342808 92.086 36.3393
21.497467 92.139 36.0294
21.653246 92.191 35.7137
21.810154 92.243 35.3894
21.968201 92.294 35.0525
22.127390 92.343 34.7094
22.287735 92.388 34.3649
22.449242 92.431 34.0203
22.611917 92.475 33.6799
22.775772 92.520 33.3384
22.940815 92.564 32.9904
23.107054 92.608 32.6405
23.274498 92.649 32.2921
23.443153 92.689 31.9435
23.613033 92.732 31.5956
23.784142 92.775 31.2433
23.956491 92.818 30.8811
24.130091 92.861 30.5114
24.304947 92.902 30.1344
24.481071 92.942 29.7515
24.658470 92.981 29.3641
24.837156 93.019 28.9725
25.017136 93.056 28.5767
25.198421 93.091 28.1794
25.381020 93.125 27.7841
25.564941 93.158 27.3894
25.750195 93.191 26.9960
25.936790 93.225 26.6005
26.124741 93.259 26.1995
26.314051 93.292 25.7936
26.504732 93.324 25.3813
26.696796 93.355 24.9645
26.890253 93.385 24.5445
27.085112 93.414 24.1215
27.281382 93.442 23.6954
27.479073 93.468 23.2676
27.678198 93.492 22.8391
27.878765 93.516 22.4106
28.080786 93.539 21.9835
28.284271 93.562 21.5566
28.489231 93.584 21.1295
28.695675 93.605 20.7016
28.903616 93.625 20.2718
29.113064 93.645 19.8406
29.324028 93.663 19.4079
29.536524 93.681 18.9745
29.750557 93.698 18.5419
29.966141 93.715 18.1075
30.183289 93.731 17.6679
30.402010 93.746 17.2265
30.622314 93.758 16.7852
30.844217 93.768 16.3455
31.067726 93.778 15.9099
31.292856 93.786 15.4777
31.519617 93.793 15.0477
31.748020 93.799 14.6235
31.978081 93.803 14.2084
32.209808 93.807 13.8015
32.443211 93.812 13.4049
32.678310 93.817 13.0135
32.915108 93.824 12.6239
33.153625 93.831 12.2335
33.393871 93.839 11.8391
33.635857 93.848 11.4396
33.879597 93.857 11.0328
34.125103 93.865 10.6186
34.372387 93.873 10.1954
34.621464 93.880 9.7647
34.872345 93.884 9.3261
35.125042 93.887 8.8835
35.379574 93.888 8.4399
35.635948 93.886 7.9975
35.894180 93.882 7.5588
36.154285 93.875 7.1266
36.416275 93.867 6.7058
36.680161 93.858 6.2936
36.945961 93.850 5.8892
37.213688 93.841 5.4916
37.483353 93.832 5.1002
37.754974 93.822 4.7136
38.028561 93.813 4.3312
38.304131 93.805 3.9505
38.581699 93.797 3.5680
38.861279 93.789 3.1856
39.142883 93.779 2.8036
39.426529 93.768 2.4225
39.712231 93.758 2.0422
40.000000 93.746 1.6646
40.289856 93.732 1.2904
40.581814 93.717 0.9225
40.875885 93.702 0.5657
41.172089 93.688 0.2145
41.470440 93.676 -0.1341
41.770950 93.664 -0.4824
42.073643 93.652 -0.8348
42.378525 93.639 -1.1885
42.685616 93.626 -1.5416
42.994934 93.612 -1.8955
43.306492 93.599 -2.2512
43.620308 93.586 -2.6085
43.936401 93.571 -2.9683
44.254780 93.555 -3.3274
44.575470 93.537 -3.6827
44.898483 93.519 -4.0354
45.223835 93.501 -4.3857
45.551544 93.483 -4.7335
45.881630 93.463 -5.0801
46.214108 93.442 -5.4215
46.548996 93.420 -5.7529
46.886307 93.398 -6.0775
47.226067 93.378 -6.3961
47.568283 93.359 -6.7115
47.912983 93.339 -7.0263
48.260181 93.320 -7.3415
48.609894 93.302 -7.6570
48.962143 93.285 -7.9775
49.316940 93.270 -8.3078
49.674313 93.254 -8.6475
50.034271 93.237 -8.9986
50.396843 93.218 -9.3584
50.762039 93.198 -9.7271
51.129883 93.176 -10.0984
51.500389 93.148 -10.4678
51.873581 93.118 -10.8304
52.249481 93.086 -11.1777
52.628101 93.054 -11.5154
53.009464 93.023 -11.8459
53.393593 92.992 -12.1705
53.780506 92.959 -12.4914
54.170223 92.925 -12.8085
54.562763 92.893 -13.1218
54.958145 92.860 -13.4325
55.356396 92.826 -13.7432
55.757530 92.790 -14.0495
56.161572 92.752 -14.3481
56.568542 92.713 -14.6385
56.978462 92.674 -14.9200
57.391350 92.635 -15.1905
57.807232 92.594 -15.4480
58.226128 92.552 -15.6926
58.648056 92.513 -15.9216
59.073048 92.475 -16.1416
59.501114 92.439 -16.3579
59.932281 92.405 -16.5716
60.366577 92.371 -16.7867
60.804020 92.337 -17.0006
61.244629 92.304 -17.2107
61.688435 92.273 -17.4206
62.135452 92.243 -17.6325
62.585712 92.214 -17.8486
63.039234 92.186 -18.0722
63.496040 92.159 -18.3026
63.956161 92.131 -18.5392
64.419617 92.104 -18.7846
64.886421 92.077 -19.0412
65.356621 92.050 -19.3085
65.830215 92.021 -19.5885
66.307251 91.989 -19.8764
66.787743 91.956 -20.1691
67.271713 91.920 -20.4635
67.759193 91.881 -20.7571
68.250206 91.839 -21.0455
68.744774 91.795 -21.3218
69.242928 91.749 -21.5895
69.744690 91.705 -21.8501
70.250084 91.659 -22.1025
70.759148 91.611 -22.3462
71.271896 91.562 -22.5816
71.788361 91.515 -22.8065
72.308571 91.469 -23.0286
72.832550 91.424 -23.2562
73.360321 91.378 -23.4846
73.891922 91.329 -23.7118
74.427376 91.279 -23.9376
74.966705 91.230 -24.1618
75.509949 91.179 -24.3826
76.057121 91.124 -24.6000
76.608261 91.067 -24.8086
77.163399 91.009 -25.0029
77.722557 90.950 -25.1836
78.285767 90.890 -25.3497
78.853058 90.830 -25.5007
79.424461 90.769 -25.6345
80.000000 90.709 -25.7548
80.579712 90.651 -25.8635
81.163628 90.595 -25.9638
81.751770 90.539 -26.0589
82.344177 90.484 -26.1498
82.940880 90.431 -26.2376
83.541901 90.379 -26.3258
84.147285 90.328 -26.4206
84.757050 90.275 -26.5158
85.371231 90.219 -26.6079
85.989868 90.162 -26.6948
86.612984 90.106 -26.7732
87.240616 90.050 -26.8429
87.872803 89.992 -26.9035
88.509560 89.933 -26.9519
89.150940 89.874 -26.9844
89.796967 89.815 -27.0020
90.447670 89.758 -27.0018
91.103088 89.702 -26.9910
91.763260 89.651 -26.9750
