* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Abyss AB1266_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:15:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Abyss AB1266_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Abyss AB1266_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 78.201 73.9620
5.036232 78.227 73.9331
5.072727 78.255 73.9020
5.109486 78.287 73.8656
5.146511 78.324 73.8240
5.183805 78.368 73.7749
5.221369 78.417 73.7220
5.259205 78.467 73.6691
5.297316 78.520 73.6140
5.335702 78.576 73.5552
5.374367 78.633 73.4950
5.413311 78.689 73.4356
5.452538 78.746 73.3760
5.492050 78.803 73.3161
5.531847 78.860 73.2560
5.571934 78.916 73.1957
5.612310 78.973 73.1350
5.652979 79.030 73.0738
5.693943 79.087 73.0120
5.735204 79.143 72.9498
5.776763 79.200 72.8870
5.818624 79.257 72.8237
5.860788 79.314 72.7600
5.903258 79.371 72.6963
5.946035 79.427 72.6320
5.989123 79.483 72.5668
6.032523 79.540 72.5010
6.076237 79.597 72.4352
6.120268 79.654 72.3690
6.164618 79.710 72.3023
6.209289 79.767 72.2350
6.254284 79.824 72.1673
6.299605 79.881 72.0990
6.345255 79.937 72.0303
6.391235 79.994 71.9610
6.437549 80.051 71.8913
6.484198 80.108 71.8210
6.531185 80.165 71.7503
6.578513 80.221 71.6790
6.626183 80.277 71.6073
6.674199 80.334 71.5350
6.722563 80.391 71.4623
6.771278 80.448 71.3890
6.820345 80.504 71.3148
6.869768 80.561 71.2400
6.919549 80.618 71.1653
6.969691 80.675 71.0900
7.020196 80.731 71.0138
7.071068 80.788 70.9370
7.122308 80.845 70.8598
7.173919 80.902 70.7820
7.225904 80.959 70.7033
7.278266 81.015 70.6240
7.331007 81.071 70.5443
7.384131 81.128 70.4640
7.437639 81.185 70.3833
7.491535 81.242 70.3020
7.545822 81.298 70.2198
7.600502 81.355 70.1370
7.655579 81.412 70.0538
7.711054 81.469 69.9700
7.766932 81.525 69.8854
7.823214 81.582 69.8000
7.879904 81.639 69.7138
7.937005 81.696 69.6270
7.994520 81.753 69.5398
8.052452 81.809 69.4520
8.110803 81.865 69.3633
8.169578 81.922 69.2740
8.228777 81.979 69.1844
8.288406 82.036 69.0940
8.348468 82.092 69.0024
8.408964 82.149 68.9100
8.469899 82.206 68.8173
8.531276 82.263 68.7240
8.593097 82.319 68.6299
8.655366 82.376 68.5350
8.718086 82.433 68.4394
8.781260 82.490 68.3430
8.844893 82.547 68.2460
8.908987 82.603 68.1480
8.973545 82.659 68.0489
9.038571 82.716 67.9490
9.104069 82.773 67.8489
9.170040 82.830 67.7480
9.236490 82.886 67.6460
9.303422 82.943 67.5430
9.370838 83.000 67.4394
9.438744 83.057 67.3350
9.507140 83.114 67.2299
9.576033 83.170 67.1240
9.645425 83.226 67.0175
9.715320 83.283 66.9101
9.785721 83.340 66.8016
9.856632 83.397 66.6921
9.928058 83.453 66.5815
10.000000 83.510 66.4701
10.072464 83.567 66.3580
10.145453 83.624 66.2451
10.218971 83.680 66.1311
10.293022 83.737 66.0160
10.367610 83.794 65.8999
10.442738 83.851 65.7830
10.518411 83.908 65.6655
10.594631 83.964 65.5470
10.671404 84.020 65.4270
10.748734 84.077 65.3060
10.826623 84.134 65.1846
10.905077 84.191 65.0621
10.984100 84.247 64.9381
11.063695 84.304 64.8131
11.143867 84.361 64.6876
11.224621 84.418 64.5610
11.305959 84.474 64.4332
11.387886 84.531 64.3041
11.470407 84.588 64.1736
11.553527 84.645 64.0420
11.637249 84.702 63.9101
11.721577 84.758 63.7771
11.806517 84.814 63.6423
11.892071 84.871 63.5061
11.978246 84.928 63.3691
12.065045 84.985 63.2310
12.152473 85.041 63.0916
12.240536 85.098 62.9510
12.329235 85.155 62.8091
12.418578 85.212 62.6661
12.508568 85.268 62.5222
12.599211 85.325 62.3771
12.690510 85.382 62.2304
12.782471 85.439 62.0821
12.875097 85.496 61.9323
12.968395 85.552 61.7811
13.062370 85.608 61.6293
13.157025 85.665 61.4761
13.252366 85.722 61.3208
13.348398 85.779 61.1641
13.445127 85.835 61.0068
13.542556 85.892 60.8482
13.640691 85.949 60.6874
13.739536 86.006 60.5251
13.839099 86.062 60.3613
13.939383 86.119 60.1961
14.040393 86.176 60.0294
14.142136 86.233 59.8611
14.244616 86.290 59.6909
14.347837 86.346 59.5191
14.451808 86.402 59.3459
14.556532 86.459 59.1711
14.662014 86.516 58.9945
14.768262 86.573 58.8162
14.875278 86.629 58.6366
14.983070 86.686 58.4552
15.091644 86.743 58.2711
15.201005 86.800 58.0851
15.311157 86.856 57.8981
15.422109 86.913 57.7091
15.533863 86.970 57.5176
15.646428 87.027 57.3241
15.759809 87.084 57.1291
15.874010 87.140 56.9321
15.989040 87.196 56.7327
16.104904 87.253 56.5312
16.221605 87.310 56.3278
16.339155 87.367 56.1223
16.457554 87.423 55.9144
16.576813 87.480 55.7041
16.696936 87.537 55.4913
16.817928 87.594 55.2761
16.939798 87.650 55.0590
17.062551 87.707 54.8393
17.186193 87.764 54.6165
17.310732 87.821 54.3911
17.436172 87.878 54.1635
17.562521 87.934 53.9332
17.689787 87.990 53.7002
17.817974 88.047 53.4643
17.947090 88.104 53.2253
18.077143 88.161 52.9831
18.208138 88.217 52.7379
18.340080 88.274 52.4893
18.472980 88.331 52.2370
18.606844 88.388 51.9812
18.741676 88.444 51.7221
18.877487 88.501 51.4593
19.014280 88.558 51.1921
19.152065 88.615 50.9203
19.290850 88.671 50.6436
19.430639 88.727 50.3622
19.571442 88.783 50.0763
19.713264 88.839 49.7864
19.856115 88.895 49.4924
20.000000 88.950 49.1953
20.144928 89.004 48.8964
20.290907 89.058 48.5943
20.437943 89.114 48.2895
20.586044 89.170 47.9782
20.735220 89.226 47.6565
20.885475 89.282 47.3254
21.036821 89.337 46.9841
21.189262 89.391 46.6335
21.342808 89.444 46.2731
21.497467 89.495 45.9065
21.653246 89.542 45.5341
21.810154 89.587 45.1645
21.968201 89.628 44.8056
22.127390 89.668 44.4594
22.287735 89.708 44.1309
22.449242 89.749 43.8192
22.611917 89.790 43.5273
22.775772 89.834 43.2483
22.940815 89.884 42.9810
23.107054 89.940 42.7124
23.274498 90.002 42.4325
23.443153 90.070 42.1314
23.613033 90.143 41.7989
23.784142 90.219 41.4263
23.956491 90.299 41.0018
24.130091 90.379 40.5256
24.304947 90.456 39.9919
24.481071 90.529 39.4078
24.658470 90.597 38.7758
24.837156 90.658 38.1030
25.017136 90.711 37.3918
25.198421 90.755 36.6588
25.381020 90.786 35.9177
25.564941 90.808 35.1787
25.750195 90.823 34.4564
25.936790 90.832 33.7509
26.124741 90.835 33.0663
26.314051 90.832 32.4039
26.504732 90.826 31.7671
26.696796 90.816 31.1527
26.890253 90.805 30.5603
27.085112 90.791 29.9857
27.281382 90.776 29.4248
27.479073 90.759 28.8767
27.678198 90.739 28.3365
27.878765 90.714 27.8127
28.080786 90.683 27.3089
28.284271 90.647 26.8346
28.489231 90.607 26.3999
28.695675 90.564 26.0065
28.903616 90.519 25.6584
29.113064 90.472 25.3594
29.324028 90.423 25.1153
29.536524 90.376 24.9242
29.750557 90.334 24.7898
29.966141 90.298 24.7001
30.183289 90.269 24.6472
30.402010 90.248 24.6220
30.622314 90.235 24.6163
30.844217 90.230 24.6200
31.067726 90.235 24.6234
31.292856 90.248 24.6170
31.519617 90.268 24.5893
31.748020 90.295 24.5361
31.978081 90.326 24.4498
32.209808 90.361 24.3292
32.443211 90.399 24.1695
32.678310 90.438 23.9733
32.915108 90.475 23.7396
33.153625 90.511 23.4743
33.393871 90.545 23.1821
33.635857 90.578 22.8655
33.879597 90.608 22.5273
34.125103 90.635 22.1715
34.372387 90.658 21.8026
34.621464 90.678 21.4226
34.872345 90.697 21.0359
35.125042 90.714 20.6395
35.379574 90.729 20.2302
35.635948 90.741 19.8135
35.894180 90.748 19.3929
36.154285 90.751 18.9716
36.416275 90.753 18.5546
36.680161 90.752 18.1396
36.945961 90.749 17.7253
37.213688 90.743 17.3146
37.483353 90.734 16.9098
37.754974 90.723 16.5116
38.028561 90.710 16.1215
38.304131 90.695 15.7395
38.581699 90.678 15.3660
38.861279 90.659 15.0015
39.142883 90.639 14.6466
39.426529 90.617 14.3025
39.712231 90.593 13.9690
40.000000 90.566 13.6505
40.289856 90.537 13.3519
40.581814 90.508 13.0704
40.875885 90.480 12.8049
41.172089 90.452 12.5544
41.470440 90.423 12.3169
41.770950 90.394 12.0934
42.073643 90.366 11.8845
42.378525 90.338 11.6883
42.685616 90.311 11.5027
42.994934 90.285 11.3282
43.306492 90.260 11.1649
43.620308 90.235 11.0122
43.936401 90.211 10.8700
44.254780 90.189 10.7372
44.575470 90.168 10.6134
44.898483 90.148 10.4962
45.223835 90.131 10.3845
45.551544 90.117 10.2742
45.881630 90.105 10.1609
46.214108 90.095 10.0432
46.548996 90.086 9.9196
46.886307 90.078 9.7862
47.226067 90.073 9.6383
47.568283 90.068 9.4773
47.912983 90.061 9.3012
48.260181 90.051 9.1163
48.609894 90.039 8.9270
48.962143 90.025 8.7363
49.316940 90.009 8.5470
49.674313 89.991 8.3643
50.034271 89.969 8.1938
50.396843 89.946 8.0372
50.762039 89.923 7.9000
51.129883 89.901 7.7772
51.500389 89.881 7.6667
51.873581 89.862 7.5652
52.249481 89.845 7.4697
52.628101 89.829 7.3762
53.009464 89.816 7.2804
53.393593 89.805 7.1802
53.780506 89.794 7.0712
54.170223 89.783 6.9562
54.562763 89.772 6.8364
54.958145 89.760 6.7112
55.356396 89.749 6.5791
55.757530 89.737 6.4432
56.161572 89.722 6.3052
56.568542 89.705 6.1682
56.978462 89.688 6.0370
57.391350 89.670 5.9092
57.807232 89.652 5.7833
58.226128 89.633 5.6612
58.648056 89.612 5.5439
59.073048 89.591 5.4332
59.501114 89.569 5.3310
59.932281 89.547 5.2372
60.366577 89.525 5.1523
60.804020 89.502 5.0761
61.244629 89.479 5.0085
61.688435 89.457 4.9491
62.135452 89.436 4.8985
62.585712 89.415 4.8541
63.039234 89.396 4.8137
63.496040 89.378 4.7771
63.956161 89.360 4.7431
64.419617 89.343 4.7121
64.886421 89.326 4.6853
65.356621 89.311 4.6590
65.830215 89.298 4.6305
66.307251 89.286 4.5981
66.787743 89.274 4.5582
67.271713 89.262 4.5141
67.759193 89.249 4.4679
68.250206 89.235 4.4191
68.744774 89.221 4.3673
69.242928 89.207 4.3141
69.744690 89.191 4.2593
70.250084 89.173 4.2081
70.759148 89.154 4.1653
71.271896 89.133 4.1321
71.788361 89.112 4.1114
72.308571 89.091 4.1030
72.832550 89.070 4.1087
73.360321 89.051 4.1250
73.891922 89.034 4.1505
74.427376 89.019 4.1809
74.966705 89.006 4.2119
75.509949 88.994 4.2419
76.057121 88.984 4.2686
76.608261 88.975 4.2910
77.163399 88.967 4.3061
77.722557 88.959 4.3170
78.285767 88.950 4.3253
78.853058 88.940 4.3320
79.424461 88.932 4.3386
80.000000 88.923 4.3450
80.579712 88.913 4.3512
81.163628 88.903 4.3580
81.751770 88.894 4.3669
82.344177 88.886 4.3760
82.940880 88.877 4.3829
83.541901 88.868 4.3900
84.147285 88.859 4.3993
84.757050 88.849 4.4100
85.371231 88.840 4.4218
85.989868 88.831 4.4350
86.612984 88.821 4.4495
87.240616 88.811 4.4660
87.872803 88.802 4.4853
88.509560 88.793 4.5060
89.150940 88.785 4.5261
89.796967 88.776 4.5480
90.447670 88.766 4.5732
91.103088 88.756 4.6019
91.763260 88.747 4.6347
92.428215 88.738 4.6719
93.097992 88.729 4.7142
93.772614 88.721 4.7609
94.452133 88.714 4.8131
95.136566 88.708 4.8669
95.825966 88.704 4.9193
96.520363 88.702 4.9679
