* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Airpods Max BT ANC_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 2:47:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Airpods Max BT ANC_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Airpods Max BT ANC_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 98.209 -24.4630
5.036232 98.201 -24.4639
5.072727 98.193 -24.4650
5.109486 98.184 -24.4664
5.146511 98.173 -24.4680
5.183805 98.160 -24.4697
5.221369 98.146 -24.4720
5.259205 98.131 -24.4752
5.297316 98.116 -24.4790
5.335702 98.100 -24.4834
5.374367 98.083 -24.4880
5.413311 98.067 -24.4924
5.452538 98.050 -24.4970
5.492050 98.034 -24.5020
5.531847 98.017 -24.5070
5.571934 98.001 -24.5115
5.612310 97.984 -24.5160
5.652979 97.967 -24.5209
5.693943 97.950 -24.5260
5.735204 97.933 -24.5309
5.776763 97.917 -24.5360
5.818624 97.901 -24.5415
5.860788 97.884 -24.5470
5.903258 97.868 -24.5520
5.946035 97.851 -24.5570
5.989123 97.835 -24.5624
6.032523 97.818 -24.5680
6.076237 97.802 -24.5735
6.120268 97.785 -24.5790
6.164618 97.768 -24.5845
6.209289 97.751 -24.5900
6.254284 97.734 -24.5954
6.299605 97.718 -24.6010
6.345255 97.702 -24.6070
6.391235 97.685 -24.6130
6.437549 97.669 -24.6185
6.484198 97.652 -24.6240
6.531185 97.636 -24.6299
6.578513 97.619 -24.6360
6.626183 97.603 -24.6419
6.674199 97.586 -24.6480
6.722563 97.569 -24.6545
6.771278 97.552 -24.6610
6.820345 97.535 -24.6670
6.869768 97.519 -24.6730
6.919549 97.503 -24.6794
6.969691 97.486 -24.6860
7.020196 97.470 -24.6925
7.071068 97.453 -24.6990
7.122308 97.437 -24.7055
7.173919 97.420 -24.7120
7.225904 97.404 -24.7184
7.278266 97.387 -24.7250
7.331007 97.370 -24.7319
7.384131 97.353 -24.7390
7.437639 97.336 -24.7460
7.491535 97.320 -24.7530
7.545822 97.304 -24.7600
7.600502 97.287 -24.7670
7.655579 97.271 -24.7739
7.711054 97.254 -24.7810
7.766932 97.238 -24.7885
7.823214 97.221 -24.7960
7.879904 97.204 -24.8030
7.937005 97.187 -24.8100
7.994520 97.170 -24.8174
8.052452 97.154 -24.8250
8.110803 97.138 -24.8330
8.169578 97.121 -24.8410
8.228777 97.105 -24.8485
8.288406 97.088 -24.8560
8.348468 97.072 -24.8639
8.408964 97.055 -24.8720
8.469899 97.039 -24.8800
8.531276 97.022 -24.8880
8.593097 97.005 -24.8960
8.655366 96.988 -24.9040
8.718086 96.971 -24.9119
8.781260 96.955 -24.9200
8.844893 96.939 -24.9284
8.908987 96.922 -24.9370
8.973545 96.906 -24.9455
9.038571 96.889 -24.9540
9.104069 96.873 -24.9624
9.170040 96.856 -24.9710
9.236490 96.840 -24.9799
9.303422 96.823 -24.9890
9.370838 96.806 -24.9980
9.438744 96.789 -25.0070
9.507140 96.772 -25.0160
9.576033 96.756 -25.0250
9.645425 96.740 -25.0339
9.715320 96.723 -25.0430
9.785721 96.707 -25.0524
9.856632 96.690 -25.0620
9.928058 96.674 -25.0714
10.000000 96.657 -25.0810
10.072464 96.640 -25.0910
10.145453 96.623 -25.1010
10.218971 96.606 -25.1105
10.293022 96.590 -25.1200
10.367610 96.574 -25.1299
10.442738 96.557 -25.1400
10.518411 96.541 -25.1505
10.594631 96.524 -25.1610
10.671404 96.507 -25.1710
10.748734 96.491 -25.1810
10.826623 96.475 -25.1914
10.905077 96.458 -25.2020
10.984100 96.441 -25.2124
11.063695 96.424 -25.2230
11.143867 96.407 -25.2339
11.224621 96.391 -25.2450
11.305959 96.375 -25.2559
11.387886 96.358 -25.2670
11.470407 96.342 -25.2785
11.553527 96.325 -25.2900
11.637249 96.309 -25.3010
11.721577 96.292 -25.3120
11.806517 96.276 -25.3234
11.892071 96.259 -25.3350
11.978246 96.242 -25.3469
12.065045 96.225 -25.3590
12.152473 96.208 -25.3710
12.240536 96.192 -25.3830
12.329235 96.176 -25.3949
12.418578 96.159 -25.4070
12.508568 96.143 -25.4194
12.599211 96.126 -25.4320
12.690510 96.110 -25.4445
12.782471 96.093 -25.4570
12.875097 96.077 -25.4694
12.968395 96.060 -25.4820
13.062370 96.043 -25.4949
13.157025 96.026 -25.5080
13.252366 96.009 -25.5209
13.348398 95.993 -25.5340
13.445127 95.977 -25.5474
13.542556 95.960 -25.5610
13.640691 95.944 -25.5745
13.739536 95.927 -25.5880
13.839099 95.911 -25.6014
13.939383 95.894 -25.6150
14.040393 95.877 -25.6289
14.142136 95.860 -25.6430
14.244616 95.843 -25.6574
14.347837 95.827 -25.6720
14.451808 95.811 -25.6865
14.556532 95.794 -25.7010
14.662014 95.778 -25.7154
14.768262 95.761 -25.7300
14.875278 95.745 -25.7449
14.983070 95.728 -25.7600
15.091644 95.712 -25.7749
15.201005 95.695 -25.7900
15.311157 95.678 -25.8054
15.422109 95.661 -25.8210
15.533863 95.644 -25.8365
15.646428 95.628 -25.8520
15.759809 95.612 -25.8674
15.874010 95.595 -25.8830
15.989040 95.579 -25.8989
16.104904 95.562 -25.9150
16.221605 95.546 -25.9315
16.339155 95.529 -25.9480
16.457554 95.513 -25.9640
16.576813 95.496 -25.9800
16.696936 95.479 -25.9964
16.817928 95.462 -26.0130
16.939798 95.445 -26.0294
17.062551 95.429 -26.0460
17.186193 95.413 -26.0630
17.310732 95.396 -26.0800
17.436172 95.380 -26.0966
17.562521 95.363 -26.1130
17.689787 95.347 -26.1295
17.817974 95.330 -26.1460
17.947090 95.314 -26.1620
18.077143 95.297 -26.1780
18.208138 95.280 -26.1941
18.340080 95.263 -26.2100
18.472980 95.246 -26.2252
18.606844 95.230 -26.2400
18.741676 95.214 -26.2545
18.877487 95.197 -26.2680
19.014280 95.181 -26.2798
19.152065 95.164 -26.2900
19.290850 95.147 -26.2984
19.430639 95.131 -26.3050
19.571442 95.116 -26.3091
19.713264 95.101 -26.3120
19.856115 95.087 -26.3136
20.000000 95.075 -26.3170
20.144928 95.064 -26.3242
20.290907 95.054 -26.3380
20.437943 95.045 -26.3617
20.586044 95.037 -26.3960
20.735220 95.028 -26.4428
20.885475 95.019 -26.5009
21.036821 95.009 -26.5707
21.189262 94.997 -26.6489
21.342808 94.982 -26.7345
21.497467 94.965 -26.8209
21.653246 94.944 -26.9030
21.810154 94.921 -26.9759
21.968201 94.895 -27.0331
22.127390 94.869 -27.0750
22.287735 94.843 -27.0985
22.449242 94.819 -27.1080
22.611917 94.796 -27.1050
22.775772 94.776 -27.0950
22.940815 94.759 -27.0821
23.107054 94.745 -27.0720
23.274498 94.734 -27.0711
23.443153 94.724 -27.0820
23.613033 94.715 -27.1108
23.784142 94.705 -27.1540
23.956491 94.693 -27.2111
24.130091 94.680 -27.2779
24.304947 94.665 -27.3528
24.481071 94.647 -27.4269
24.658470 94.623 -27.4926
24.837156 94.597 -27.5439
25.017136 94.569 -27.5710
25.198421 94.542 -27.5780
25.381020 94.517 -27.5648
25.564941 94.494 -27.5340
25.750195 94.472 -27.4865
25.936790 94.454 -27.4271
26.124741 94.441 -27.3572
26.314051 94.433 -27.2881
26.504732 94.432 -27.2294
26.696796 94.435 -27.1870
26.890253 94.441 -27.1698
27.085112 94.450 -27.1790
27.281382 94.461 -27.2179
27.479073 94.474 -27.2899
27.678198 94.487 -27.4011
27.878765 94.497 -27.5458
28.080786 94.503 -27.7233
28.284271 94.504 -27.9237
28.489231 94.500 -28.1399
28.695675 94.491 -28.3627
28.903616 94.475 -28.5834
29.113064 94.454 -28.7937
29.324028 94.429 -28.9818
29.536524 94.401 -29.1488
29.750557 94.374 -29.2891
29.966141 94.348 -29.4109
30.183289 94.324 -29.5177
30.402010 94.303 -29.6179
30.622314 94.286 -29.7177
30.844217 94.273 -29.8269
31.067726 94.263 -29.9568
31.292856 94.255 -30.1087
31.519617 94.245 -30.2895
31.748020 94.234 -30.4937
31.978081 94.220 -30.7195
32.209808 94.203 -30.9627
32.443211 94.181 -31.2202
32.678310 94.155 -31.4867
32.915108 94.124 -31.7573
33.153625 94.089 -32.0267
33.393871 94.048 -32.2896
33.635857 94.002 -32.5396
33.879597 93.952 -32.7694
34.125103 93.898 -32.9767
34.372387 93.841 -33.1575
34.621464 93.783 -33.3108
34.872345 93.724 -33.4324
35.125042 93.665 -33.5279
35.379574 93.609 -33.5989
35.635948 93.556 -33.6539
35.894180 93.506 -33.7011
36.154285 93.458 -33.7439
36.416275 93.412 -33.7879
36.680161 93.367 -33.8349
36.945961 93.324 -33.8898
37.213688 93.280 -33.9499
37.483353 93.234 -34.0168
37.754974 93.185 -34.0829
38.028561 93.134 -34.1413
38.304131 93.081 -34.1909
38.581699 93.027 -34.2288
38.861279 92.972 -34.2540
39.142883 92.916 -34.2649
39.426529 92.859 -34.2600
39.712231 92.801 -34.2367
40.000000 92.744 -34.1961
40.289856 92.688 -34.1381
40.581814 92.633 -34.0641
40.875885 92.580 -33.9750
41.172089 92.528 -33.8722
41.470440 92.478 -33.7556
41.770950 92.431 -33.6312
42.073643 92.388 -33.5031
42.378525 92.348 -33.3772
42.685616 92.311 -33.2610
42.994934 92.275 -33.1531
43.306492 92.239 -33.0559
43.620308 92.203 -32.9661
43.936401 92.166 -32.8841
44.254780 92.128 -32.8021
44.575470 92.086 -32.7143
44.898483 92.041 -32.6152
45.223835 91.996 -32.4963
45.551544 91.951 -32.3602
45.881630 91.907 -32.2066
46.214108 91.865 -32.0353
46.548996 91.824 -31.8442
46.886307 91.785 -31.6383
47.226067 91.751 -31.4189
47.568283 91.722 -31.1954
47.912983 91.698 -30.9781
48.260181 91.676 -30.7653
48.609894 91.656 -30.5592
48.962143 91.637 -30.3583
49.316940 91.621 -30.1609
49.674313 91.607 -29.9703
50.034271 91.596 -29.7898
50.396843 91.586 -29.6183
50.762039 91.577 -29.4558
51.129883 91.570 -29.3023
51.500389 91.564 -29.1566
51.873581 91.559 -29.0212
52.249481 91.556 -28.8980
52.628101 91.555 -28.7872
53.009464 91.554 -28.6896
53.393593 91.553 -28.6051
53.780506 91.553 -28.5340
54.170223 91.553 -28.4761
54.562763 91.553 -28.4312
54.958145 91.553 -28.3990
55.356396 91.552 -28.3791
55.757530 91.551 -28.3710
56.161572 91.549 -28.3745
56.568542 91.547 -28.3880
56.978462 91.543 -28.4108
57.391350 91.537 -28.4399
57.807232 91.530 -28.4719
58.226128 91.522 -28.5079
58.648056 91.514 -28.5477
59.073048 91.506 -28.5919
59.501114 91.497 -28.6415
59.932281 91.487 -28.6959
60.366577 91.476 -28.7544
60.804020 91.465 -28.8179
61.244629 91.454 -28.8868
61.688435 91.442 -28.9619
62.135452 91.429 -29.0450
62.585712 91.415 -29.1338
63.039234 91.399 -29.2264
63.496040 91.382 -29.3238
63.956161 91.365 -29.4268
64.419617 91.346 -29.5348
64.886421 91.325 -29.6495
65.356621 91.302 -29.7648
65.830215 91.275 -29.8745
66.307251 91.246 -29.9808
66.787743 91.218 -30.0846
67.271713 91.189 -30.1838
67.759193 91.156 -30.2786
68.250206 91.120 -30.3639
68.744774 91.084 -30.4317
69.242928 91.048 -30.4899
69.744690 91.014 -30.5435
70.250084 90.981 -30.5929
70.759148 90.946 -30.6410
71.271896 90.911 -30.6859
71.788361 90.876 -30.7261
72.308571 90.841 -30.7639
72.832550 90.807 -30.8017
73.360321 90.772 -30.8379
73.891922 90.735 -30.8719
74.427376 90.698 -30.9029
74.966705 90.661 -30.9296
75.509949 90.624 -30.9530
76.057121 90.586 -30.9733
76.608261 90.548 -30.9910
77.163399 90.510 -31.0059
77.722557 90.472 -31.0190
78.285767 90.433 -31.0312
78.853058 90.394 -31.0420
