* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\airpods max wired_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 2:46:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\airpods max wired_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: airpods max wired_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 95.697 -14.1530
5.036232 95.693 -14.1578
5.072727 95.689 -14.1630
5.109486 95.684 -14.1694
5.146511 95.679 -14.1770
5.183805 95.672 -14.1860
5.221369 95.665 -14.1960
5.259205 95.657 -14.2066
5.297316 95.649 -14.2180
5.335702 95.641 -14.2302
5.374367 95.632 -14.2430
5.413311 95.623 -14.2559
5.452538 95.614 -14.2690
5.492050 95.605 -14.2819
5.531847 95.597 -14.2950
5.571934 95.588 -14.3084
5.612310 95.579 -14.3220
5.652979 95.570 -14.3354
5.693943 95.562 -14.3490
5.735204 95.554 -14.3629
5.776763 95.545 -14.3770
5.818624 95.536 -14.3910
5.860788 95.527 -14.4050
5.903258 95.518 -14.4189
5.946035 95.510 -14.4330
5.989123 95.502 -14.4474
6.032523 95.493 -14.4620
6.076237 95.484 -14.4764
6.120268 95.475 -14.4910
6.164618 95.466 -14.5059
6.209289 95.458 -14.5210
6.254284 95.450 -14.5359
6.299605 95.441 -14.5510
6.345255 95.432 -14.5664
6.391235 95.423 -14.5820
6.437549 95.414 -14.5974
6.484198 95.406 -14.6130
6.531185 95.397 -14.6289
6.578513 95.388 -14.6450
6.626183 95.379 -14.6609
6.674199 95.371 -14.6770
6.722563 95.363 -14.6934
6.771278 95.354 -14.7100
6.820345 95.345 -14.7264
6.869768 95.336 -14.7430
6.919549 95.327 -14.7599
6.969691 95.319 -14.7770
7.020196 95.311 -14.7939
7.071068 95.302 -14.8110
7.122308 95.293 -14.8284
7.173919 95.284 -14.8460
7.225904 95.275 -14.8639
7.278266 95.267 -14.8820
7.331007 95.259 -14.9000
7.384131 95.250 -14.9180
7.437639 95.241 -14.9359
7.491535 95.232 -14.9540
7.545822 95.224 -14.9724
7.600502 95.215 -14.9910
7.655579 95.206 -15.0099
7.711054 95.197 -15.0290
7.766932 95.188 -15.0479
7.823214 95.180 -15.0670
7.879904 95.172 -15.0864
7.937005 95.163 -15.1060
7.994520 95.154 -15.1259
8.052452 95.145 -15.1460
8.110803 95.136 -15.1660
8.169578 95.128 -15.1860
8.228777 95.120 -15.2059
8.288406 95.111 -15.2260
8.348468 95.102 -15.2469
8.408964 95.093 -15.2680
8.469899 95.085 -15.2889
8.531276 95.076 -15.3100
8.593097 95.067 -15.3314
8.655366 95.058 -15.3530
8.718086 95.049 -15.3744
8.781260 95.041 -15.3960
8.844893 95.033 -15.4179
8.908987 95.024 -15.4400
8.973545 95.015 -15.4624
9.038571 95.006 -15.4850
9.104069 94.997 -15.5079
9.170040 94.989 -15.5310
9.236490 94.981 -15.5539
9.303422 94.972 -15.5770
9.370838 94.963 -15.6004
9.438744 94.954 -15.6240
9.507140 94.945 -15.6479
9.576033 94.937 -15.6720
9.645425 94.929 -15.6964
9.715320 94.920 -15.7210
9.785721 94.911 -15.7454
9.856632 94.902 -15.7700
9.928058 94.894 -15.7954
10.000000 94.885 -15.8210
10.072464 94.876 -15.8464
10.145453 94.867 -15.8720
10.218971 94.858 -15.8979
10.293022 94.850 -15.9240
10.367610 94.842 -15.9499
10.442738 94.833 -15.9760
10.518411 94.824 -16.0028
10.594631 94.815 -16.0300
10.671404 94.806 -16.0574
10.748734 94.798 -16.0850
10.826623 94.790 -16.1124
10.905077 94.781 -16.1400
10.984100 94.772 -16.1684
11.063695 94.763 -16.1970
11.143867 94.755 -16.2254
11.224621 94.746 -16.2540
11.305959 94.737 -16.2834
11.387886 94.728 -16.3130
11.470407 94.719 -16.3424
11.553527 94.711 -16.3720
11.637249 94.703 -16.4024
11.721577 94.694 -16.4330
11.806517 94.685 -16.4633
11.892071 94.676 -16.4940
11.978246 94.667 -16.5253
12.065045 94.659 -16.5570
12.152473 94.651 -16.5889
12.240536 94.642 -16.6210
12.329235 94.633 -16.6529
12.418578 94.624 -16.6850
12.508568 94.615 -16.7177
12.599211 94.607 -16.7510
12.690510 94.599 -16.7848
12.782471 94.590 -16.8190
12.875097 94.581 -16.8528
12.968395 94.572 -16.8870
13.062370 94.564 -16.9218
13.157025 94.555 -16.9570
13.252366 94.546 -16.9924
13.348398 94.537 -17.0280
13.445127 94.528 -17.0638
13.542556 94.520 -17.1000
13.640691 94.512 -17.1363
13.739536 94.503 -17.1730
13.839099 94.494 -17.2102
13.939383 94.485 -17.2480
14.040393 94.476 -17.2863
14.142136 94.468 -17.3250
14.244616 94.460 -17.3639
14.347837 94.451 -17.4030
14.451808 94.442 -17.4423
14.556532 94.433 -17.4820
14.662014 94.424 -17.5222
14.768262 94.416 -17.5630
14.875278 94.408 -17.6043
14.983070 94.399 -17.6460
15.091644 94.390 -17.6878
15.201005 94.381 -17.7300
15.311157 94.373 -17.7727
15.422109 94.364 -17.8160
15.533863 94.355 -17.8597
15.646428 94.346 -17.9040
15.759809 94.337 -17.9488
15.874010 94.329 -17.9940
15.989040 94.321 -18.0392
16.104904 94.312 -18.0850
16.221605 94.303 -18.1317
16.339155 94.294 -18.1789
16.457554 94.285 -18.2262
16.576813 94.277 -18.2740
16.696936 94.269 -18.3227
16.817928 94.260 -18.3720
16.939798 94.251 -18.4217
17.062551 94.242 -18.4719
17.186193 94.234 -18.5226
17.310732 94.225 -18.5740
17.436172 94.216 -18.6262
17.562521 94.207 -18.6790
17.689787 94.198 -18.7321
17.817974 94.190 -18.7859
17.947090 94.182 -18.8405
18.077143 94.173 -18.8960
18.208138 94.164 -18.9525
18.340080 94.155 -19.0099
18.472980 94.146 -19.0680
18.606844 94.138 -19.1270
18.741676 94.130 -19.1873
18.877487 94.121 -19.2489
19.014280 94.112 -19.3121
19.152065 94.103 -19.3769
19.290850 94.094 -19.4438
19.430639 94.085 -19.5120
19.571442 94.075 -19.5817
19.713264 94.064 -19.6509
19.856115 94.052 -19.7184
20.000000 94.040 -19.7819
20.144928 94.027 -19.8381
20.290907 94.015 -19.8890
20.437943 94.004 -19.9348
20.586044 93.994 -19.9770
20.735220 93.984 -20.0160
20.885475 93.975 -20.0540
21.036821 93.968 -20.0920
21.189262 93.963 -20.1339
21.342808 93.961 -20.1837
21.497467 93.959 -20.2429
21.653246 93.957 -20.3146
21.810154 93.955 -20.3979
21.968201 93.953 -20.4934
22.127390 93.951 -20.5989
22.287735 93.947 -20.7136
22.449242 93.941 -20.8339
22.611917 93.933 -20.9556
22.775772 93.924 -21.0798
22.940815 93.915 -21.2074
23.107054 93.905 -21.3358
23.274498 93.893 -21.4638
23.443153 93.879 -21.5888
23.613033 93.865 -21.7073
23.784142 93.850 -21.8219
23.956491 93.835 -21.9345
24.130091 93.820 -22.0439
24.304947 93.803 -22.1489
24.481071 93.787 -22.2509
24.658470 93.772 -22.3501
24.837156 93.758 -22.4479
25.017136 93.743 -22.5465
25.198421 93.727 -22.6439
25.381020 93.711 -22.7379
25.564941 93.696 -22.8309
25.750195 93.682 -22.9257
25.936790 93.667 -23.0199
26.124741 93.651 -23.1120
26.314051 93.634 -23.2019
26.504732 93.619 -23.2882
26.696796 93.605 -23.3729
26.890253 93.590 -23.4580
27.085112 93.576 -23.5419
27.281382 93.562 -23.6224
27.479073 93.549 -23.7039
27.678198 93.539 -23.7899
27.878765 93.529 -23.8809
28.080786 93.519 -23.9789
28.284271 93.508 -24.0819
28.489231 93.498 -24.1870
28.695675 93.488 -24.2978
28.903616 93.479 -24.4170
29.113064 93.471 -24.5438
29.324028 93.462 -24.6782
29.536524 93.453 -24.8208
29.750557 93.444 -24.9723
29.966141 93.434 -25.1328
30.183289 93.424 -25.3035
30.402010 93.412 -25.4828
30.622314 93.399 -25.6695
30.844217 93.385 -25.8638
31.067726 93.370 -26.0668
31.292856 93.352 -26.2747
31.519617 93.330 -26.4855
31.748020 93.306 -26.6947
31.978081 93.281 -26.8970
32.209808 93.254 -27.0938
32.443211 93.226 -27.2844
32.678310 93.197 -27.4698
32.915108 93.167 -27.6502
33.153625 93.137 -27.8268
33.393871 93.107 -28.0001
33.635857 93.077 -28.1717
33.879597 93.046 -28.3431
34.125103 93.015 -28.5148
34.372387 92.983 -28.6882
34.621464 92.950 -28.8617
34.872345 92.915 -29.0350
35.125042 92.879 -29.2058
35.379574 92.842 -29.3719
35.635948 92.803 -29.5328
35.894180 92.763 -29.6871
36.154285 92.722 -29.8348
36.416275 92.681 -29.9745
36.680161 92.639 -30.1098
36.945961 92.598 -30.2447
37.213688 92.557 -30.3768
37.483353 92.513 -30.5058
37.754974 92.467 -30.6298
38.028561 92.422 -30.7462
38.304131 92.376 -30.8569
38.581699 92.329 -30.9649
38.861279 92.280 -31.0649
39.142883 92.228 -31.1524
39.426529 92.176 -31.2279
39.712231 92.125 -31.2900
40.000000 92.074 -31.3399
40.289856 92.022 -31.3790
40.581814 91.969 -31.4060
40.875885 91.917 -31.4187
41.172089 91.867 -31.4220
41.470440 91.819 -31.4202
41.770950 91.772 -31.4130
42.073643 91.724 -31.4021
42.378525 91.675 -31.3860
42.685616 91.628 -31.3632
42.994934 91.581 -31.3350
43.306492 91.534 -31.3031
43.620308 91.487 -31.2651
43.936401 91.440 -31.2193
44.254780 91.392 -31.1651
44.575470 91.345 -31.1015
44.898483 91.298 -31.0281
45.223835 91.252 -30.9453
45.551544 91.205 -30.8501
45.881630 91.158 -30.7396
46.214108 91.111 -30.6142
46.548996 91.068 -30.4717
46.886307 91.027 -30.3173
47.226067 90.989 -30.1554
47.568283 90.954 -29.9863
47.912983 90.921 -29.8099
48.260181 90.892 -29.6313
48.609894 90.867 -29.4535
48.962143 90.846 -29.2822
49.316940 90.828 -29.1249
49.674313 90.812 -28.9792
50.034271 90.796 -28.8453
50.396843 90.782 -28.7242
50.762039 90.771 -28.6173
51.129883 90.760 -28.5232
51.500389 90.747 -28.4418
51.873581 90.734 -28.3691
52.249481 90.721 -28.2995
52.628101 90.709 -28.2371
53.009464 90.699 -28.1847
53.393593 90.688 -28.1411
53.780506 90.676 -28.1066
54.170223 90.663 -28.0790
54.562763 90.651 -28.0553
54.958145 90.638 -28.0380
55.356396 90.626 -28.0294
55.757530 90.613 -28.0280
56.161572 90.599 -28.0340
56.568542 90.583 -28.0440
56.978462 90.567 -28.0541
57.391350 90.550 -28.0650
57.807232 90.532 -28.0757
58.226128 90.514 -28.0870
58.648056 90.497 -28.0992
59.073048 90.479 -28.1120
59.501114 90.460 -28.1247
59.932281 90.441 -28.1380
60.366577 90.423 -28.1514
60.804020 90.406 -28.1670
61.244629 90.389 -28.1868
61.688435 90.372 -28.2110
62.135452 90.355 -28.2398
62.585712 90.338 -28.2749
63.039234 90.322 -28.3177
63.496040 90.305 -28.3699
63.956161 90.288 -28.4351
64.419617 90.270 -28.5099
64.886421 90.250 -28.5922
65.356621 90.228 -28.6808
65.830215 90.205 -28.7749
66.307251 90.179 -28.8718
66.787743 90.150 -28.9698
67.271713 90.118 -29.0648
67.759193 90.084 -29.1524
68.250206 90.049 -29.2319
68.744774 90.012 -29.3005
69.242928 89.974 -29.3599
69.744690 89.936 -29.4104
70.250084 89.898 -29.4529
70.759148 89.859 -29.4887
71.271896 89.820 -29.5180
71.788361 89.781 -29.5411
72.308571 89.741 -29.5590
72.832550 89.702 -29.5726
73.360321 89.663 -29.5820
73.891922 89.623 -29.5879
74.427376 89.582 -29.5890
74.966705 89.541 -29.5843
75.509949 89.499 -29.5730
76.057121 89.457 -29.5546
76.608261 89.414 -29.5281
77.163399 89.371 -29.4920
77.722557 89.328 -29.4471
78.285767 89.286 -29.3923
78.853058 89.244 -29.3311
79.424461 89.204 -29.2673
