* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\audeze crbn_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 2:56:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\audeze crbn_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: audeze crbn_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 84.052 0.5710
5.036232 84.052 0.5729
5.072727 84.052 0.5750
5.109486 84.052 0.5773
5.146511 84.052 0.5800
5.183805 84.052 0.5833
5.221369 84.052 0.5870
5.259205 84.052 0.5909
5.297316 84.052 0.5950
5.335702 84.052 0.5989
5.374367 84.052 0.6030
5.413311 84.052 0.6074
5.452538 84.052 0.6120
5.492050 84.052 0.6165
5.531847 84.052 0.6210
5.571934 84.052 0.6254
5.612310 84.052 0.6300
5.652979 84.052 0.6350
5.693943 84.052 0.6400
5.735204 84.052 0.6445
5.776763 84.052 0.6490
5.818624 84.052 0.6540
5.860788 84.052 0.6590
5.903258 84.052 0.6635
5.946035 84.052 0.6680
5.989123 84.052 0.6729
6.032523 84.052 0.6780
6.076237 84.052 0.6830
6.120268 84.052 0.6880
6.164618 84.052 0.6929
6.209289 84.052 0.6980
6.254284 84.052 0.7035
6.299605 84.052 0.7090
6.345255 84.052 0.7140
6.391235 84.052 0.7190
6.437549 84.052 0.7244
6.484198 84.052 0.7300
6.531185 84.052 0.7356
6.578513 84.052 0.7410
6.626183 84.052 0.7459
6.674199 84.052 0.7510
6.722563 84.052 0.7569
6.771278 84.052 0.7630
6.820345 84.052 0.7686
6.869768 84.052 0.7740
6.919549 84.052 0.7794
6.969691 84.052 0.7850
7.020196 84.052 0.7909
7.071068 84.052 0.7970
7.122308 84.052 0.8030
7.173919 84.052 0.8090
7.225904 84.052 0.8150
7.278266 84.052 0.8210
7.331007 84.052 0.8270
7.384131 84.052 0.8330
7.437639 84.052 0.8389
7.491535 84.052 0.8450
7.545822 84.052 0.8515
7.600502 84.052 0.8580
7.655579 84.052 0.8640
7.711054 84.052 0.8700
7.766932 84.052 0.8764
7.823214 84.052 0.8830
7.879904 84.052 0.8894
7.937005 84.052 0.8960
7.994520 84.052 0.9030
8.052452 84.052 0.9100
8.110803 84.052 0.9165
8.169578 84.052 0.9230
8.228777 84.052 0.9299
8.288406 84.052 0.9370
8.348468 84.052 0.9440
8.408964 84.052 0.9510
8.469899 84.052 0.9579
8.531276 84.052 0.9650
8.593097 84.052 0.9725
8.655366 84.052 0.9800
8.718086 84.052 0.9870
8.781260 84.052 0.9940
8.844893 84.052 1.0014
8.908987 84.052 1.0090
8.973545 84.052 1.0165
9.038571 84.052 1.0240
9.104069 84.052 1.0314
9.170040 84.052 1.0390
9.236490 84.052 1.0469
9.303422 84.052 1.0550
9.370838 84.052 1.0630
9.438744 84.052 1.0710
9.507140 84.052 1.0790
9.576033 84.052 1.0870
9.645425 84.052 1.0949
9.715320 84.052 1.1030
9.785721 84.052 1.1115
9.856632 84.052 1.1200
9.928058 84.052 1.1279
10.000000 84.052 1.1360
10.072464 84.052 1.1449
10.145453 84.052 1.1540
10.218971 84.052 1.1625
10.293022 84.052 1.1710
10.367610 84.052 1.1799
10.442738 84.052 1.1890
10.518411 84.052 1.1980
10.594631 84.052 1.2070
10.671404 84.052 1.2160
10.748734 84.052 1.2250
10.826623 84.052 1.2339
10.905077 84.052 1.2430
10.984100 84.052 1.2524
11.063695 84.052 1.2620
11.143867 84.052 1.2714
11.224621 84.052 1.2810
11.305959 84.052 1.2910
11.387886 84.052 1.3010
11.470407 84.052 1.3104
11.553527 84.052 1.3200
11.637249 84.052 1.3304
11.721577 84.052 1.3410
11.806517 84.052 1.3510
11.892071 84.052 1.3610
11.978246 84.052 1.3714
12.065045 84.052 1.3820
12.152473 84.052 1.3925
12.240536 84.052 1.4030
12.329235 84.052 1.4134
12.418578 84.052 1.4240
12.508568 84.052 1.4349
12.599211 84.052 1.4460
12.690510 84.052 1.4575
12.782471 84.052 1.4690
12.875097 84.052 1.4800
12.968395 84.052 1.4910
13.062370 84.052 1.5024
13.157025 84.052 1.5140
13.252366 84.052 1.5259
13.348398 84.052 1.5380
13.445127 84.052 1.5500
13.542556 84.052 1.5620
13.640691 84.052 1.5739
13.739536 84.052 1.5860
13.839099 84.052 1.5984
13.939383 84.052 1.6110
14.040393 84.052 1.6235
14.142136 84.052 1.6360
14.244616 84.052 1.6484
14.347837 84.052 1.6610
14.451808 84.052 1.6739
14.556532 84.052 1.6870
14.662014 84.052 1.7004
14.768262 84.052 1.7140
14.875278 84.052 1.7275
14.983070 84.052 1.7410
15.091644 84.052 1.7544
15.201005 84.052 1.7680
15.311157 84.052 1.7819
15.422109 84.052 1.7960
15.533863 84.052 1.8104
15.646428 84.052 1.8250
15.759809 84.052 1.8394
15.874010 84.052 1.8540
15.989040 84.052 1.8689
16.104904 84.052 1.8840
16.221605 84.052 1.8989
16.339155 84.052 1.9140
16.457554 84.052 1.9294
16.576813 84.052 1.9450
16.696936 84.052 1.9604
16.817928 84.052 1.9760
16.939798 84.052 1.9919
17.062551 84.052 2.0080
17.186193 84.052 2.0244
17.310732 84.052 2.0410
17.436172 84.052 2.0574
17.562521 84.052 2.0740
17.689787 84.052 2.0914
17.817974 84.052 2.1090
17.947090 84.052 2.1264
18.077143 84.052 2.1440
18.208138 84.052 2.1619
18.340080 84.052 2.1800
18.472980 84.052 2.1979
18.606844 84.052 2.2160
18.741676 84.052 2.2348
18.877487 84.052 2.2540
19.014280 84.052 2.2734
19.152065 84.052 2.2930
19.290850 84.052 2.3124
19.430639 84.052 2.3320
19.571442 84.052 2.3524
19.713264 84.052 2.3730
19.856115 84.052 2.3934
20.000000 84.052 2.4140
20.144928 84.052 2.4353
20.290907 84.052 2.4570
20.437943 84.052 2.4788
20.586044 84.052 2.5010
20.735220 84.052 2.5238
20.885475 84.052 2.5470
21.036821 84.052 2.5703
21.189262 84.052 2.5940
21.342808 84.052 2.6183
21.497467 84.052 2.6430
21.653246 84.052 2.6678
21.810154 84.052 2.6930
21.968201 84.052 2.7187
22.127390 84.052 2.7450
22.287735 84.052 2.7722
22.449242 84.052 2.8000
22.611917 84.052 2.8282
22.775772 84.052 2.8570
22.940815 84.052 2.8866
23.107054 84.052 2.9170
23.274498 84.052 2.9480
23.443153 84.052 2.9800
23.613033 84.052 3.0133
23.784142 84.052 3.0480
23.956491 84.052 3.0837
24.130091 84.052 3.1210
24.304947 84.052 3.1597
24.481071 84.052 3.2009
24.658470 84.052 3.2458
24.837156 84.052 3.2939
25.017136 84.053 3.3453
25.198421 84.054 3.3999
25.381020 84.055 3.4588
25.564941 84.058 3.5189
25.750195 84.063 3.5793
25.936790 84.070 3.6359
26.124741 84.078 3.6845
26.314051 84.087 3.7259
26.504732 84.095 3.7597
26.696796 84.103 3.7860
26.890253 84.112 3.8044
27.085112 84.120 3.8160
27.281382 84.126 3.8199
27.479073 84.131 3.8210
27.678198 84.134 3.8234
27.878765 84.136 3.8290
28.080786 84.137 3.8410
28.284271 84.138 3.8590
28.489231 84.139 3.8835
28.695675 84.140 3.9140
28.903616 84.142 3.9509
29.113064 84.145 3.9909
29.324028 84.150 4.0323
29.536524 84.156 4.0710
29.750557 84.164 4.1023
29.966141 84.173 4.1270
30.183289 84.181 4.1442
30.402010 84.189 4.1540
30.622314 84.198 4.1556
30.844217 84.206 4.1500
31.067726 84.212 4.1367
31.292856 84.217 4.1200
31.519617 84.220 4.1038
31.748020 84.222 4.0890
31.978081 84.223 4.0783
32.209808 84.224 4.0710
32.443211 84.224 4.0673
32.678310 84.224 4.0670
32.915108 84.224 4.0706
33.153625 84.224 4.0770
33.393871 84.224 4.0855
33.635857 84.224 4.0960
33.879597 84.224 4.1077
34.125103 84.224 4.1210
34.372387 84.224 4.1363
34.621464 84.224 4.1530
34.872345 84.224 4.1704
35.125042 84.224 4.1890
35.379574 84.224 4.2092
35.635948 84.224 4.2310
35.894180 84.224 4.2543
36.154285 84.224 4.2790
36.416275 84.224 4.3047
36.680161 84.224 4.3320
36.945961 84.224 4.3610
37.213688 84.224 4.3920
37.483353 84.224 4.4251
37.754974 84.224 4.4609
38.028561 84.224 4.5003
38.304131 84.224 4.5429
38.581699 84.225 4.5892
38.861279 84.226 4.6389
39.142883 84.228 4.6932
39.426529 84.231 4.7489
39.712231 84.236 4.8047
40.000000 84.243 4.8569
40.289856 84.251 4.9016
40.581814 84.259 4.9390
40.875885 84.267 4.9679
41.172089 84.276 4.9890
41.470440 84.284 5.0020
41.770950 84.292 5.0080
42.073643 84.299 5.0061
42.378525 84.304 5.0010
42.685616 84.307 4.9967
42.994934 84.308 4.9940
43.306492 84.309 4.9952
43.620308 84.310 5.0000
43.936401 84.310 5.0090
44.254780 84.310 5.0220
44.575470 84.310 5.0393
44.898483 84.310 5.0600
45.223835 84.310 5.0832
45.551544 84.310 5.1090
45.881630 84.310 5.1371
46.214108 84.310 5.1680
46.548996 84.310 5.2018
46.886307 84.310 5.2389
47.226067 84.310 5.2799
47.568283 84.310 5.3249
47.912983 84.311 5.3749
48.260181 84.312 5.4289
48.609894 84.314 5.4869
48.962143 84.317 5.5469
49.316940 84.322 5.6083
49.674313 84.329 5.6669
50.034271 84.337 5.7182
50.396843 84.345 5.7629
50.762039 84.353 5.8004
51.129883 84.362 5.8310
51.500389 84.370 5.8539
51.873581 84.378 5.8710
52.249481 84.385 5.8821
52.628101 84.390 5.8920
53.009464 84.393 5.9048
53.393593 84.395 5.9220
53.780506 84.397 5.9467
54.170223 84.399 5.9779
54.562763 84.400 6.0167
54.958145 84.403 6.0599
55.356396 84.408 6.1066
55.757530 84.415 6.1519
56.161572 84.423 6.1908
56.568542 84.431 6.2240
56.978462 84.439 6.2503
57.391350 84.448 6.2700
57.807232 84.456 6.2825
58.226128 84.464 6.2890
58.648056 84.471 6.2887
59.073048 84.476 6.2860
59.501114 84.479 6.2847
59.932281 84.481 6.2860
60.366577 84.482 6.2921
60.804020 84.483 6.3030
61.244629 84.483 6.3195
61.688435 84.483 6.3410
62.135452 84.483 6.3672
62.585712 84.483 6.3979
63.039234 84.483 6.4326
63.496040 84.483 6.4719
63.956161 84.483 6.5164
64.419617 84.483 6.5659
64.886421 84.483 6.6208
65.356621 84.484 6.6809
65.830215 84.485 6.7470
66.307251 84.488 6.8169
66.787743 84.492 6.8895
67.271713 84.498 6.9619
67.759193 84.506 7.0307
68.250206 84.514 7.0959
68.744774 84.522 7.1559
69.242928 84.530 7.2119
69.744690 84.539 7.2642
70.250084 84.547 7.3139
70.759148 84.555 7.3608
71.271896 84.562 7.4089
71.788361 84.567 7.4625
72.308571 84.573 7.5209
72.832550 84.580 7.5862
73.360321 84.588 7.6549
73.891922 84.597 7.7244
74.427376 84.608 7.7939
74.966705 84.619 7.8621
75.509949 84.632 7.9269
76.057121 84.647 7.9862
76.608261 84.662 8.0389
77.163399 84.677 8.0814
77.722557 84.692 8.1189
78.285767 84.705 8.1561
78.853058 84.718 8.1919
79.424461 84.733 8.2279
80.000000 84.748 8.2619
80.579712 84.763 8.2921
81.163628 84.778 8.3199
81.751770 84.794 8.3474
82.344177 84.810 8.3710
82.940880 84.828 8.3871
83.541901 84.847 8.3970
84.147285 84.864 8.4002
84.757050 84.880 8.3980
85.371231 84.897 8.3923
85.989868 84.915 8.3810
86.612984 84.932 8.3622
87.240616 84.949 8.3381
87.872803 84.964 8.3111
88.509560 84.979 8.2791
89.150940 84.996 8.2412
89.796967 85.013 8.1961
90.447670 85.027 8.1404
91.103088 85.040 8.0791
91.763260 85.051 8.0156
92.428215 85.061 7.9511
93.097992 85.069 7.8871
93.772614 85.076 7.8261
94.452133 85.081 7.7710
95.136566 85.085 7.7231
95.825966 85.088 7.6856
96.520363 85.092 7.6551
97.219788 85.098 7.6304
