* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\LCD2_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:34:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\LCD2_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: LCD2_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 78.857 41.9270
5.036232 78.871 41.9144
5.072727 78.886 41.9010
5.109486 78.904 41.8856
5.146511 78.925 41.8680
5.183805 78.949 41.8468
5.221369 78.976 41.8240
5.259205 79.004 41.8019
5.297316 79.033 41.7790
5.335702 79.064 41.7543
5.374367 79.095 41.7290
5.413311 79.126 41.7044
5.452538 79.158 41.6800
5.492050 79.190 41.6556
5.531847 79.221 41.6310
5.571934 79.252 41.6061
5.612310 79.283 41.5810
5.652979 79.314 41.5556
5.693943 79.346 41.5300
5.735204 79.378 41.5041
5.776763 79.409 41.4780
5.818624 79.440 41.4521
5.860788 79.471 41.4260
5.903258 79.502 41.3996
5.946035 79.534 41.3730
5.989123 79.566 41.3461
6.032523 79.597 41.3190
6.076237 79.628 41.2921
6.120268 79.659 41.2650
6.164618 79.690 41.2371
6.209289 79.722 41.2090
6.254284 79.754 41.1811
6.299605 79.785 41.1530
6.345255 79.816 41.1246
6.391235 79.847 41.0960
6.437549 79.878 41.0676
6.484198 79.910 41.0390
6.531185 79.942 41.0096
6.578513 79.973 40.9800
6.626183 80.004 40.9506
6.674199 80.035 40.9210
6.722563 80.066 40.8906
6.771278 80.098 40.8600
6.820345 80.130 40.8296
6.869768 80.161 40.7990
6.919549 80.192 40.7681
6.969691 80.223 40.7370
7.020196 80.254 40.7056
7.071068 80.286 40.6740
7.122308 80.318 40.6421
7.173919 80.349 40.6100
7.225904 80.380 40.5776
7.278266 80.411 40.5450
7.331007 80.442 40.5121
7.384131 80.474 40.4790
7.437639 80.506 40.4461
7.491535 80.537 40.4130
7.545822 80.568 40.3792
7.600502 80.599 40.3450
7.655579 80.630 40.3106
7.711054 80.662 40.2760
7.766932 80.694 40.2411
7.823214 80.725 40.2060
7.879904 80.756 40.1707
7.937005 80.787 40.1350
7.994520 80.818 40.0986
8.052452 80.850 40.0620
8.110803 80.882 40.0256
8.169578 80.913 39.9890
8.228777 80.944 39.9522
8.288406 80.975 39.9150
8.348468 81.006 39.8772
8.408964 81.038 39.8390
8.469899 81.070 39.8006
8.531276 81.101 39.7620
8.593097 81.132 39.7231
8.655366 81.163 39.6840
8.718086 81.194 39.6447
8.781260 81.226 39.6050
8.844893 81.258 39.5647
8.908987 81.289 39.5240
8.973545 81.320 39.4831
9.038571 81.351 39.4420
9.104069 81.382 39.4006
9.170040 81.414 39.3590
9.236490 81.446 39.3172
9.303422 81.477 39.2750
9.370838 81.508 39.2322
9.438744 81.539 39.1890
9.507140 81.570 39.1457
9.576033 81.602 39.1020
9.645425 81.634 39.0577
9.715320 81.665 39.0130
9.785721 81.696 38.9682
9.856632 81.727 38.9230
9.928058 81.758 38.8772
10.000000 81.790 38.8310
10.072464 81.822 38.7847
10.145453 81.853 38.7381
10.218971 81.884 38.6907
10.293022 81.915 38.6430
10.367610 81.946 38.5952
10.442738 81.978 38.5470
10.518411 82.010 38.4982
10.594631 82.041 38.4490
10.671404 82.072 38.3998
10.748734 82.103 38.3500
10.826623 82.134 38.2993
10.905077 82.166 38.2480
10.984100 82.198 38.1967
11.063695 82.229 38.1450
11.143867 82.260 38.0927
11.224621 82.291 38.0400
11.305959 82.322 37.9873
11.387886 82.354 37.9340
11.470407 82.386 37.8798
11.553527 82.417 37.8250
11.637249 82.448 37.7702
11.721577 82.479 37.7150
11.806517 82.510 37.6594
11.892071 82.542 37.6031
11.978246 82.574 37.5458
12.065045 82.605 37.4880
12.152473 82.636 37.4303
12.240536 82.667 37.3720
12.329235 82.698 37.3128
12.418578 82.730 37.2531
12.508568 82.762 37.1928
12.599211 82.793 37.1320
12.690510 82.824 37.0708
12.782471 82.855 37.0091
12.875097 82.886 36.9469
12.968395 82.918 36.8840
13.062370 82.950 36.8203
13.157025 82.981 36.7560
13.252366 83.012 36.6913
13.348398 83.043 36.6260
13.445127 83.074 36.5599
13.542556 83.106 36.4931
13.640691 83.138 36.4259
13.739536 83.169 36.3580
13.839099 83.200 36.2894
13.939383 83.231 36.2201
14.040393 83.262 36.1499
14.142136 83.294 36.0790
14.244616 83.326 36.0074
14.347837 83.357 35.9350
14.451808 83.388 35.8619
14.556532 83.419 35.7880
14.662014 83.450 35.7134
14.768262 83.482 35.6381
14.875278 83.514 35.5620
14.983070 83.545 35.4851
15.091644 83.576 35.4075
15.201005 83.607 35.3291
15.311157 83.638 35.2496
15.422109 83.670 35.1691
15.533863 83.702 35.0875
15.646428 83.733 35.0050
15.759809 83.764 34.9221
15.874010 83.795 34.8381
15.989040 83.826 34.7526
16.104904 83.858 34.6661
16.221605 83.890 34.5791
16.339155 83.921 34.4911
16.457554 83.952 34.4017
16.576813 83.983 34.3111
16.696936 84.014 34.2192
16.817928 84.046 34.1261
16.939798 84.078 34.0317
17.062551 84.109 33.9361
17.186193 84.140 33.8393
17.310732 84.171 33.7411
17.436172 84.202 33.6413
17.562521 84.234 33.5401
17.689787 84.266 33.4374
17.817974 84.297 33.3331
17.947090 84.328 33.2270
18.077143 84.359 33.1191
18.208138 84.390 33.0095
18.340080 84.422 32.8981
18.472980 84.454 32.7847
18.606844 84.485 32.6691
18.741676 84.516 32.5508
18.877487 84.547 32.4301
19.014280 84.578 32.3071
19.152065 84.610 32.1812
19.290850 84.642 32.0519
19.430639 84.673 31.9191
19.571442 84.704 31.7828
19.713264 84.735 31.6422
19.856115 84.766 31.4967
20.000000 84.798 31.3452
20.144928 84.830 31.1867
20.290907 84.861 31.0192
20.437943 84.892 30.8405
20.586044 84.922 30.6501
20.735220 84.950 30.4459
20.885475 84.976 30.2303
21.036821 84.999 30.0013
21.189262 85.017 29.7693
21.342808 85.029 29.5393
21.497467 85.035 29.3243
21.653246 85.035 29.1360
21.810154 85.030 28.9822
21.968201 85.022 28.8733
22.127390 85.014 28.8120
22.287735 85.007 28.8074
22.449242 85.004 28.8509
22.611917 85.010 28.9438
22.775772 85.025 29.0658
22.940815 85.053 29.2058
23.107054 85.094 29.3388
23.274498 85.150 29.4425
23.443153 85.216 29.4990
23.613033 85.291 29.4834
23.784142 85.370 29.3941
23.956491 85.449 29.2182
24.130091 85.526 28.9643
24.304947 85.597 28.6315
24.481071 85.659 28.2355
24.658470 85.709 27.7836
24.837156 85.746 27.3007
25.017136 85.768 26.8077
25.198421 85.777 26.3245
25.381020 85.773 25.8748
25.564941 85.760 25.4674
25.750195 85.739 25.1202
25.936790 85.715 24.8293
26.124741 85.691 24.5991
26.314051 85.667 24.4222
26.504732 85.646 24.2974
26.696796 85.629 24.2111
26.890253 85.621 24.1552
27.085112 85.619 24.1120
27.281382 85.625 24.0621
27.479073 85.635 24.0031
27.678198 85.646 23.9246
27.878765 85.659 23.8311
28.080786 85.671 23.7220
28.284271 85.683 23.6022
28.489231 85.692 23.4734
28.695675 85.699 23.3452
28.903616 85.702 23.2269
29.113064 85.703 23.1211
29.324028 85.705 23.0358
29.536524 85.708 22.9641
29.750557 85.714 22.9043
29.966141 85.724 22.8491
30.183289 85.737 22.7923
30.402010 85.753 22.7281
30.622314 85.771 22.6498
30.844217 85.791 22.5541
31.067726 85.812 22.4336
31.292856 85.831 22.2942
31.519617 85.846 22.1360
31.748020 85.858 21.9692
31.978081 85.866 21.8026
32.209808 85.870 21.6402
32.443211 85.872 21.4878
32.678310 85.872 21.3482
32.915108 85.869 21.2264
33.153625 85.866 21.1221
33.393871 85.863 21.0394
33.635857 85.862 20.9701
33.879597 85.865 20.9092
34.125103 85.870 20.8521
34.372387 85.876 20.7927
34.621464 85.884 20.7301
34.872345 85.892 20.6609
35.125042 85.901 20.5861
35.379574 85.909 20.5047
35.635948 85.917 20.4191
35.894180 85.924 20.3300
36.154285 85.930 20.2411
36.416275 85.933 20.1559
36.680161 85.936 20.0761
36.945961 85.939 20.0047
37.213688 85.941 19.9411
37.483353 85.943 19.8870
37.754974 85.946 19.8391
38.028561 85.952 19.7959
38.304131 85.959 19.7531
38.581699 85.968 19.7053
38.861279 85.977 19.6531
39.142883 85.985 19.5949
39.426529 85.994 19.5311
39.712231 86.003 19.4612
40.000000 86.012 19.3861
40.289856 86.019 19.3049
40.581814 86.024 19.2221
40.875885 86.027 19.1416
41.172089 86.029 19.0641
41.470440 86.030 18.9919
41.770950 86.031 18.9241
42.073643 86.030 18.8606
42.378525 86.029 18.8021
42.685616 86.027 18.7484
42.994934 86.024 18.7021
43.306492 86.019 18.6637
43.620308 86.012 18.6380
43.936401 86.003 18.6299
44.254780 85.994 18.6400
44.575470 85.985 18.6700
44.898483 85.977 18.7209
45.223835 85.968 18.7939
45.551544 85.961 18.8898
45.881630 85.956 19.0119
46.214108 85.955 19.1538
46.548996 85.959 19.3124
46.886307 85.967 19.4817
47.226067 85.980 19.6553
47.568283 85.998 19.8317
47.912983 86.020 20.0093
48.260181 86.046 20.1827
48.609894 86.078 20.3474
48.962143 86.114 20.4988
49.316940 86.154 20.6304
49.674313 86.198 20.7428
50.034271 86.244 20.8347
50.396843 86.292 20.9049
50.762039 86.343 20.9533
51.129883 86.397 20.9750
51.500389 86.453 20.9654
51.873581 86.510 20.9231
52.249481 86.567 20.8443
52.628101 86.623 20.7322
53.009464 86.677 20.5876
53.393593 86.728 20.4133
53.780506 86.776 20.2097
54.170223 86.820 19.9844
54.562763 86.858 19.7422
54.958145 86.891 19.4914
55.356396 86.919 19.2418
55.757530 86.943 18.9944
56.161572 86.964 18.7528
56.568542 86.983 18.5194
56.978462 86.998 18.2988
57.391350 87.012 18.0874
57.807232 87.028 17.8849
58.226128 87.044 17.6853
58.648056 87.060 17.4817
59.073048 87.074 17.2773
59.501114 87.086 17.0729
59.932281 87.097 16.8694
60.366577 87.108 16.6684
60.804020 87.117 16.4693
61.244629 87.124 16.2708
61.688435 87.129 16.0773
62.135452 87.132 15.8931
62.585712 87.134 15.7183
63.039234 87.136 15.5551
63.496040 87.137 15.4023
63.956161 87.139 15.2599
64.419617 87.141 15.1262
64.886421 87.144 15.0010
65.356621 87.149 14.8792
65.830215 87.155 14.7564
66.307251 87.163 14.6303
66.787743 87.172 14.4973
67.271713 87.181 14.3573
67.759193 87.190 14.2085
68.250206 87.198 14.0513
68.744774 87.206 13.8847
69.242928 87.212 13.7113
69.744690 87.215 13.5317
70.250084 87.216 13.3513
70.759148 87.214 13.1752
71.271896 87.210 13.0053
71.788361 87.204 12.8450
72.308571 87.196 12.6953
72.832550 87.188 12.5587
73.360321 87.179 12.4342
73.891922 87.171 12.3226
74.427376 87.163 12.2212
74.966705 87.156 12.1285
75.509949 87.150 12.0421
76.057121 87.146 11.9600
76.608261 87.142 11.8792
77.163399 87.139 11.7959
77.722557 87.137 11.7102
78.285767 87.135 11.6201
78.853058 87.132 11.5272
79.424461 87.129 11.4314
80.000000 87.124 11.3362
80.579712 87.117 11.2438
81.163628 87.109 11.1572
81.751770 87.101 11.0801
82.344177 87.092 11.0121
82.940880 87.083 10.9540
83.541901 87.074 10.9051
84.147285 87.066 10.8660
84.757050 87.059 10.8341
85.371231 87.053 10.8077
85.989868 87.049 10.7840
86.612984 87.046 10.7602
87.240616 87.045 10.7351
87.872803 87.044 10.7061
88.509560 87.044 10.6741
89.150940 87.044 10.6387
89.796967 87.044 10.6001
90.447670 87.044 10.5582
91.103088 87.044 10.5131
91.763260 87.044 10.4651
92.428215 87.043 10.4141
93.097992 87.042 10.3594
93.772614 87.040 10.3031
94.452133 87.037 10.2464
95.136566 87.032 10.1921
95.825966 87.025 10.1425
96.520363 87.017 10.1001
97.219788 87.008 10.0684
