* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\lcD-4_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:43:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\lcD-4_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: lcD-4_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 82.658 21.7720
5.036232 82.665 21.7662
5.072727 82.673 21.7600
5.109486 82.682 21.7529
5.146511 82.693 21.7450
5.183805 82.705 21.7358
5.221369 82.719 21.7260
5.259205 82.733 21.7162
5.297316 82.748 21.7060
5.335702 82.764 21.6951
5.374367 82.780 21.6840
5.413311 82.796 21.6735
5.452538 82.812 21.6630
5.492050 82.828 21.6521
5.531847 82.845 21.6410
5.571934 82.861 21.6300
5.612310 82.877 21.6190
5.652979 82.893 21.6081
5.693943 82.909 21.5970
5.735204 82.925 21.5855
5.776763 82.941 21.5740
5.818624 82.957 21.5631
5.860788 82.973 21.5520
5.903258 82.989 21.5401
5.946035 83.006 21.5280
5.989123 83.022 21.5165
6.032523 83.038 21.5050
6.076237 83.054 21.4931
6.120268 83.070 21.4810
6.164618 83.086 21.4690
6.209289 83.102 21.4570
6.254284 83.118 21.4451
6.299605 83.134 21.4330
6.345255 83.150 21.4206
6.391235 83.167 21.4080
6.437549 83.183 21.3955
6.484198 83.199 21.3830
6.531185 83.215 21.3706
6.578513 83.231 21.3580
6.626183 83.247 21.3451
6.674199 83.263 21.3320
6.722563 83.279 21.3191
6.771278 83.295 21.3060
6.820345 83.311 21.2926
6.869768 83.328 21.2790
6.919549 83.344 21.2655
6.969691 83.360 21.2520
7.020196 83.376 21.2386
7.071068 83.392 21.2250
7.122308 83.408 21.2111
7.173919 83.424 21.1970
7.225904 83.440 21.1830
7.278266 83.456 21.1690
7.331007 83.472 21.1551
7.384131 83.489 21.1410
7.437639 83.505 21.1266
7.491535 83.521 21.1120
7.545822 83.537 21.0971
7.600502 83.553 21.0820
7.655579 83.569 21.0670
7.711054 83.585 21.0520
7.766932 83.601 21.0370
7.823214 83.617 21.0220
7.879904 83.633 21.0071
7.937005 83.649 20.9920
7.994520 83.665 20.9761
8.052452 83.682 20.9600
8.110803 83.698 20.9445
8.169578 83.714 20.9290
8.228777 83.730 20.9131
8.288406 83.746 20.8970
8.348468 83.762 20.8806
8.408964 83.778 20.8640
8.469899 83.794 20.8475
8.531276 83.810 20.8310
8.593097 83.826 20.8146
8.655366 83.843 20.7980
8.718086 83.859 20.7806
8.781260 83.875 20.7630
8.844893 83.891 20.7460
8.908987 83.907 20.7290
8.973545 83.923 20.7116
9.038571 83.939 20.6940
9.104069 83.955 20.6761
9.170040 83.971 20.6580
9.236490 83.987 20.6401
9.303422 84.004 20.6220
9.370838 84.020 20.6036
9.438744 84.036 20.5850
9.507140 84.052 20.5666
9.576033 84.068 20.5480
9.645425 84.084 20.5291
9.715320 84.100 20.5100
9.785721 84.116 20.4906
9.856632 84.132 20.4710
9.928058 84.148 20.4515
10.000000 84.165 20.4320
10.072464 84.181 20.4126
10.145453 84.197 20.3930
10.218971 84.213 20.3726
10.293022 84.229 20.3520
10.367610 84.245 20.3315
10.442738 84.261 20.3110
10.518411 84.277 20.2906
10.594631 84.293 20.2700
10.671404 84.309 20.2486
10.748734 84.326 20.2270
10.826623 84.342 20.2055
10.905077 84.358 20.1840
10.984100 84.374 20.1626
11.063695 84.390 20.1410
11.143867 84.406 20.1186
11.224621 84.422 20.0960
11.305959 84.438 20.0735
11.387886 84.454 20.0510
11.470407 84.470 20.0286
11.553527 84.487 20.0060
11.637249 84.503 19.9826
11.721577 84.519 19.9590
11.806517 84.535 19.9356
11.892071 84.551 19.9120
11.978246 84.567 19.8881
12.065045 84.583 19.8640
12.152473 84.599 19.8396
12.240536 84.615 19.8150
12.329235 84.631 19.7901
12.418578 84.648 19.7650
12.508568 84.664 19.7396
12.599211 84.680 19.7140
12.690510 84.696 19.6886
12.782471 84.712 19.6630
12.875097 84.728 19.6371
12.968395 84.744 19.6110
13.062370 84.760 19.5846
13.157025 84.776 19.5580
13.252366 84.792 19.5312
13.348398 84.809 19.5040
13.445127 84.825 19.4762
13.542556 84.841 19.4480
13.640691 84.857 19.4201
13.739536 84.873 19.3920
13.839099 84.889 19.3636
13.939383 84.905 19.3350
14.040393 84.921 19.3061
14.142136 84.937 19.2770
14.244616 84.953 19.2476
14.347837 84.970 19.2180
14.451808 84.986 19.1881
14.556532 85.002 19.1580
14.662014 85.018 19.1277
14.768262 85.034 19.0970
14.875278 85.050 19.0657
14.983070 85.066 19.0340
15.091644 85.082 19.0022
15.201005 85.098 18.9700
15.311157 85.114 18.9377
15.422109 85.130 18.9050
15.533863 85.146 18.8717
15.646428 85.163 18.8380
15.759809 85.179 18.8041
15.874010 85.195 18.7700
15.989040 85.211 18.7357
16.104904 85.227 18.7010
16.221605 85.243 18.6658
16.339155 85.259 18.6300
16.457554 85.275 18.5937
16.576813 85.291 18.5570
16.696936 85.307 18.5202
16.817928 85.324 18.4830
16.939798 85.340 18.4453
17.062551 85.356 18.4070
17.186193 85.372 18.3684
17.310732 85.388 18.3290
17.436172 85.404 18.2888
17.562521 85.420 18.2480
17.689787 85.436 18.2069
17.817974 85.452 18.1650
17.947090 85.468 18.1225
18.077143 85.485 18.0790
18.208138 85.501 18.0345
18.340080 85.517 17.9890
18.472980 85.533 17.9432
18.606844 85.549 17.8960
18.741676 85.565 17.8470
18.877487 85.581 17.7961
19.014280 85.597 17.7433
19.152065 85.613 17.6881
19.290850 85.629 17.6296
19.430639 85.645 17.5680
19.571442 85.660 17.5029
19.713264 85.675 17.4351
19.856115 85.688 17.3641
20.000000 85.700 17.2931
20.144928 85.710 17.2239
20.290907 85.719 17.1591
20.437943 85.727 17.1007
20.586044 85.734 17.0510
20.735220 85.740 17.0131
20.885475 85.745 16.9860
21.036821 85.751 16.9710
21.189262 85.759 16.9650
21.342808 85.768 16.9664
21.497467 85.779 16.9730
21.653246 85.792 16.9830
21.810154 85.806 16.9930
21.968201 85.822 16.9992
22.127390 85.839 17.0010
22.287735 85.856 16.9961
22.449242 85.874 16.9860
22.611917 85.892 16.9705
22.775772 85.909 16.9530
22.940815 85.925 16.9360
23.107054 85.940 16.9220
23.274498 85.955 16.9148
23.443153 85.971 16.9130
23.613033 85.988 16.9162
23.784142 86.006 16.9260
23.956491 86.023 16.9459
24.130091 86.043 16.9690
24.304947 86.069 16.9917
24.481071 86.099 17.0080
24.658470 86.129 17.0104
24.837156 86.161 16.9990
25.017136 86.196 16.9725
25.198421 86.232 16.9271
25.381020 86.269 16.8575
25.564941 86.305 16.7671
25.750195 86.338 16.6555
25.936790 86.370 16.5292
26.124741 86.399 16.3944
26.314051 86.427 16.2512
26.504732 86.453 16.1005
26.696796 86.478 15.9452
26.890253 86.500 15.7884
27.085112 86.520 15.6302
27.281382 86.540 15.4722
27.479073 86.559 15.3122
27.678198 86.577 15.1475
27.878765 86.593 14.9812
28.080786 86.607 14.8150
28.284271 86.620 14.6512
28.489231 86.632 14.4925
28.695675 86.642 14.3392
28.903616 86.651 14.1932
29.113064 86.660 14.0532
29.324028 86.669 13.9204
29.536524 86.680 13.7892
29.750557 86.693 13.6550
29.966141 86.706 13.5152
30.183289 86.719 13.3648
30.402010 86.731 13.2062
30.622314 86.741 13.0388
30.844217 86.750 12.8662
31.067726 86.756 12.6902
31.292856 86.759 12.5153
31.519617 86.760 12.3452
31.748020 86.758 12.1842
31.978081 86.754 12.0383
32.209808 86.749 11.9062
32.443211 86.744 11.7898
32.678310 86.740 11.6851
32.915108 86.738 11.5899
33.153625 86.736 11.5011
33.393871 86.735 11.4149
33.635857 86.735 11.3311
33.879597 86.735 11.2486
34.125103 86.736 11.1661
34.372387 86.738 11.0822
34.621464 86.740 10.9971
34.872345 86.741 10.9102
35.125042 86.742 10.8231
35.379574 86.742 10.7374
35.635948 86.742 10.6531
35.894180 86.742 10.5705
36.154285 86.742 10.4901
36.416275 86.741 10.4117
36.680161 86.740 10.3371
36.945961 86.738 10.2684
37.213688 86.736 10.2041
37.483353 86.735 10.1436
37.754974 86.735 10.0861
38.028561 86.734 10.0302
38.304131 86.734 9.9771
38.581699 86.734 9.9276
38.861279 86.734 9.8811
39.142883 86.734 9.8372
39.426529 86.735 9.7961
39.712231 86.736 9.7581
40.000000 86.739 9.7211
40.289856 86.743 9.6837
40.581814 86.749 9.6431
40.875885 86.756 9.5958
41.172089 86.764 9.5411
41.470440 86.771 9.4767
41.770950 86.778 9.4031
42.073643 86.785 9.3198
42.378525 86.791 9.2281
42.685616 86.795 9.1274
42.994934 86.797 9.0231
43.306492 86.796 8.9191
43.620308 86.792 8.8201
43.936401 86.786 8.7329
44.254780 86.779 8.6561
44.575470 86.772 8.5905
44.898483 86.765 8.5361
45.223835 86.757 8.4936
45.551544 86.750 8.4610
45.881630 86.744 8.4380
46.214108 86.740 8.4210
46.548996 86.738 8.4068
46.886307 86.736 8.3940
47.226067 86.735 8.3803
47.568283 86.734 8.3660
47.912983 86.734 8.3508
48.260181 86.734 8.3350
48.609894 86.734 8.3183
48.962143 86.734 8.3020
49.316940 86.734 8.2872
49.674313 86.734 8.2740
50.034271 86.734 8.2627
50.396843 86.734 8.2540
50.762039 86.734 8.2487
51.129883 86.734 8.2470
51.500389 86.735 8.2494
51.873581 86.736 8.2560
52.249481 86.737 8.2679
52.628101 86.740 8.2830
53.009464 86.744 8.3006
53.393593 86.750 8.3180
53.780506 86.757 8.3319
54.170223 86.766 8.3430
54.562763 86.775 8.3518
54.958145 86.785 8.3560
55.356396 86.797 8.3542
55.757530 86.811 8.3440
56.161572 86.825 8.3219
56.568542 86.839 8.2901
56.978462 86.852 8.2504
57.391350 86.866 8.2011
57.807232 86.881 8.1415
58.226128 86.896 8.0701
58.648056 86.909 7.9840
59.073048 86.920 7.8872
59.501114 86.929 7.7821
59.932281 86.937 7.6702
60.366577 86.943 7.5521
60.804020 86.947 7.4322
61.244629 86.946 7.3136
61.688435 86.943 7.2012
62.135452 86.938 7.1016
62.585712 86.931 7.0131
63.039234 86.924 6.9365
63.496040 86.917 6.8711
63.956161 86.910 6.8175
64.419617 86.903 6.7731
64.886421 86.897 6.7369
65.356621 86.892 6.7051
65.830215 86.889 6.6738
66.307251 86.886 6.6421
66.787743 86.883 6.6064
67.271713 86.880 6.5701
67.759193 86.876 6.5337
68.250206 86.870 6.5011
68.744774 86.863 6.4762
69.242928 86.856 6.4590
69.744690 86.849 6.4506
70.250084 86.841 6.4520
70.759148 86.833 6.4652
71.271896 86.826 6.4889
71.788361 86.821 6.5237
72.308571 86.818 6.5659
72.832550 86.817 6.6133
73.360321 86.818 6.6629
73.891922 86.821 6.7120
74.427376 86.826 6.7579
74.966705 86.834 6.7967
75.509949 86.843 6.8289
76.057121 86.852 6.8541
76.608261 86.862 6.8710
77.163399 86.874 6.8792
77.722557 86.886 6.8760
78.285767 86.899 6.8571
78.853058 86.911 6.8271
79.424461 86.921 6.7890
80.000000 86.930 6.7441
80.579712 86.938 6.6944
81.163628 86.946 6.6401
81.751770 86.952 6.5812
82.344177 86.957 6.5211
82.940880 86.960 6.4633
83.541901 86.961 6.4081
84.147285 86.962 6.3572
84.757050 86.963 6.3101
85.371231 86.963 6.2668
85.989868 86.963 6.2271
86.612984 86.963 6.1907
87.240616 86.963 6.1571
87.872803 86.963 6.1257
88.509560 86.963 6.0961
89.150940 86.963 6.0674
89.796967 86.963 6.0401
90.447670 86.963 6.0144
91.103088 86.963 5.9901
91.763260 86.963 5.9665
92.428215 86.963 5.9440
93.097992 86.963 5.9226
93.772614 86.963 5.9020
94.452133 86.963 5.8821
95.136566 86.963 5.8630
95.825966 86.963 5.8452
96.520363 86.963 5.8280
97.219788 86.963 5.8112
