* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\audeze lcd-5_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:01:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\audeze lcd-5_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: audeze lcd-5_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 82.824 9.7190
5.036232 82.827 9.7195
5.072727 82.830 9.7200
5.109486 82.834 9.7204
5.146511 82.838 9.7210
5.183805 82.843 9.7219
5.221369 82.848 9.7230
5.259205 82.854 9.7244
5.297316 82.860 9.7260
5.335702 82.866 9.7279
5.374367 82.873 9.7300
5.413311 82.880 9.7320
5.452538 82.887 9.7340
5.492050 82.894 9.7360
5.531847 82.900 9.7380
5.571934 82.907 9.7400
5.612310 82.913 9.7420
5.652979 82.920 9.7440
5.693943 82.926 9.7460
5.735204 82.933 9.7479
5.776763 82.939 9.7500
5.818624 82.945 9.7525
5.860788 82.952 9.7550
5.903258 82.959 9.7571
5.946035 82.966 9.7590
5.989123 82.973 9.7609
6.032523 82.979 9.7630
6.076237 82.985 9.7654
6.120268 82.992 9.7680
6.164618 82.998 9.7706
6.209289 83.005 9.7730
6.254284 83.011 9.7750
6.299605 83.018 9.7770
6.345255 83.024 9.7794
6.391235 83.031 9.7820
6.437549 83.037 9.7845
6.484198 83.044 9.7870
6.531185 83.051 9.7895
6.578513 83.058 9.7920
6.626183 83.065 9.7945
6.674199 83.071 9.7970
6.722563 83.077 9.7995
6.771278 83.084 9.8020
6.820345 83.090 9.8044
6.869768 83.097 9.8070
6.919549 83.104 9.8100
6.969691 83.110 9.8130
7.020196 83.116 9.8156
7.071068 83.123 9.8180
7.122308 83.130 9.8204
7.173919 83.137 9.8230
7.225904 83.144 9.8259
7.278266 83.150 9.8290
7.331007 83.157 9.8321
7.384131 83.163 9.8350
7.437639 83.170 9.8375
7.491535 83.176 9.8400
7.545822 83.183 9.8429
7.600502 83.189 9.8460
7.655579 83.195 9.8490
7.711054 83.202 9.8520
7.766932 83.209 9.8550
7.823214 83.216 9.8580
7.879904 83.223 9.8610
7.937005 83.229 9.8640
7.994520 83.235 9.8670
8.052452 83.242 9.8700
8.110803 83.248 9.8729
8.169578 83.255 9.8760
8.228777 83.261 9.8795
8.288406 83.268 9.8830
8.348468 83.274 9.8860
8.408964 83.281 9.8890
8.469899 83.287 9.8925
8.531276 83.294 9.8960
8.593097 83.301 9.8990
8.655366 83.308 9.9020
8.718086 83.315 9.9054
8.781260 83.321 9.9090
8.844893 83.327 9.9125
8.908987 83.334 9.9160
8.973545 83.340 9.9195
9.038571 83.347 9.9230
9.104069 83.354 9.9265
9.170040 83.360 9.9300
9.236490 83.366 9.9335
9.303422 83.373 9.9370
9.370838 83.380 9.9405
9.438744 83.387 9.9440
9.507140 83.394 9.9474
9.576033 83.400 9.9510
9.645425 83.407 9.9550
9.715320 83.413 9.9590
9.785721 83.420 9.9625
9.856632 83.426 9.9660
9.928058 83.433 9.9699
10.000000 83.439 9.9740
10.072464 83.445 9.9781
10.145453 83.452 9.9820
10.218971 83.459 9.9855
10.293022 83.466 9.9890
10.367610 83.473 9.9929
10.442738 83.479 9.9970
10.518411 83.485 10.0009
10.594631 83.492 10.0050
10.671404 83.498 10.0095
10.748734 83.505 10.0140
10.826623 83.511 10.0181
10.905077 83.518 10.0220
10.984100 83.524 10.0259
11.063695 83.531 10.0300
11.143867 83.537 10.0345
11.224621 83.544 10.0390
11.305959 83.551 10.0430
11.387886 83.558 10.0470
11.470407 83.565 10.0514
11.553527 83.571 10.0560
11.637249 83.577 10.0605
11.721577 83.584 10.0650
11.806517 83.590 10.0695
11.892071 83.597 10.0740
11.978246 83.604 10.0785
12.065045 83.610 10.0830
12.152473 83.616 10.0875
12.240536 83.623 10.0920
12.329235 83.630 10.0965
12.418578 83.637 10.1010
12.508568 83.644 10.1054
12.599211 83.650 10.1100
12.690510 83.656 10.1150
12.782471 83.663 10.1200
12.875097 83.669 10.1245
12.968395 83.676 10.1290
13.062370 83.683 10.1339
13.157025 83.689 10.1390
13.252366 83.696 10.1440
13.348398 83.702 10.1490
13.445127 83.708 10.1540
13.542556 83.715 10.1590
13.640691 83.722 10.1640
13.739536 83.729 10.1690
13.839099 83.736 10.1740
13.939383 83.742 10.1790
14.040393 83.748 10.1840
14.142136 83.755 10.1890
14.244616 83.761 10.1940
14.347837 83.768 10.1990
14.451808 83.774 10.2040
14.556532 83.781 10.2090
14.662014 83.787 10.2139
14.768262 83.794 10.2190
14.875278 83.801 10.2245
14.983070 83.808 10.2300
15.091644 83.815 10.2351
15.201005 83.821 10.2400
15.311157 83.827 10.2449
15.422109 83.834 10.2500
15.533863 83.840 10.2555
15.646428 83.847 10.2610
15.759809 83.853 10.2661
15.874010 83.860 10.2710
15.989040 83.866 10.2759
16.104904 83.873 10.2810
16.221605 83.880 10.2865
16.339155 83.887 10.2920
16.457554 83.894 10.2971
16.576813 83.900 10.3020
16.696936 83.906 10.3070
16.817928 83.913 10.3120
16.939798 83.919 10.3171
17.062551 83.926 10.3220
17.186193 83.932 10.3265
17.310732 83.939 10.3310
17.436172 83.946 10.3360
17.562521 83.952 10.3410
17.689787 83.958 10.3456
17.817974 83.965 10.3500
17.947090 83.972 10.3541
18.077143 83.979 10.3580
18.208138 83.986 10.3621
18.340080 83.992 10.3660
18.472980 83.998 10.3697
18.606844 84.005 10.3730
18.741676 84.011 10.3757
18.877487 84.018 10.3780
19.014280 84.024 10.3802
19.152065 84.031 10.3820
19.290850 84.037 10.3830
19.430639 84.044 10.3830
19.571442 84.051 10.3816
19.713264 84.057 10.3790
19.856115 84.063 10.3754
20.000000 84.069 10.3710
20.144928 84.075 10.3655
20.290907 84.080 10.3600
20.437943 84.084 10.3549
20.586044 84.088 10.3520
20.735220 84.091 10.3534
20.885475 84.093 10.3590
21.036821 84.096 10.3695
21.189262 84.099 10.3850
21.342808 84.102 10.4063
21.497467 84.106 10.4310
21.653246 84.111 10.4580
21.810154 84.118 10.4840
21.968201 84.126 10.5047
22.127390 84.134 10.5210
22.287735 84.142 10.5321
22.449242 84.150 10.5390
22.611917 84.158 10.5423
22.775772 84.165 10.5430
22.940815 84.171 10.5411
23.107054 84.177 10.5400
23.274498 84.181 10.5439
23.443153 84.186 10.5510
23.613033 84.192 10.5626
23.784142 84.199 10.5740
23.956491 84.206 10.5806
24.130091 84.214 10.5830
24.304947 84.222 10.5803
24.481071 84.231 10.5720
24.658470 84.239 10.5570
24.837156 84.246 10.5360
25.017136 84.253 10.5081
25.198421 84.258 10.4770
25.381020 84.261 10.4461
25.564941 84.262 10.4160
25.750195 84.263 10.3891
25.936790 84.264 10.3640
26.124741 84.264 10.3403
26.314051 84.263 10.3180
26.504732 84.262 10.2969
26.696796 84.259 10.2780
26.890253 84.255 10.2613
27.085112 84.250 10.2500
27.281382 84.243 10.2472
27.479073 84.235 10.2530
27.678198 84.227 10.2682
27.878765 84.219 10.2930
28.080786 84.211 10.3282
28.284271 84.203 10.3719
28.489231 84.196 10.4234
28.695675 84.190 10.4799
28.903616 84.186 10.5392
29.113064 84.182 10.5989
29.324028 84.179 10.6552
29.536524 84.175 10.7109
29.750557 84.170 10.7663
29.966141 84.163 10.8249
30.183289 84.155 10.8907
30.402010 84.147 10.9639
30.622314 84.138 11.0457
30.844217 84.129 11.1369
31.067726 84.119 11.2377
31.292856 84.108 11.3508
31.519617 84.097 11.4791
31.748020 84.086 11.6228
31.978081 84.075 11.7831
32.209808 84.065 11.9608
32.443211 84.055 12.1561
32.678310 84.047 12.3717
32.915108 84.040 12.6099
33.153625 84.035 12.8717
33.393871 84.033 13.1611
33.635857 84.036 13.4715
33.879597 84.046 13.8011
34.125103 84.064 14.1385
34.372387 84.090 14.4747
34.621464 84.123 14.8015
34.872345 84.165 15.1122
35.125042 84.214 15.3937
35.379574 84.272 15.6330
35.635948 84.335 15.8228
35.894180 84.401 15.9506
36.154285 84.468 16.0189
36.416275 84.532 16.0240
36.680161 84.593 15.9731
36.945961 84.649 15.8681
37.213688 84.698 15.7212
37.483353 84.736 15.5404
37.754974 84.765 15.3413
38.028561 84.783 15.1382
38.304131 84.792 14.9442
38.581699 84.791 14.7738
38.861279 84.782 14.6372
39.142883 84.767 14.5485
39.426529 84.747 14.5100
39.712231 84.725 14.5294
40.000000 84.703 14.6038
40.289856 84.683 14.7355
40.581814 84.666 14.9167
40.875885 84.656 15.1446
41.172089 84.652 15.4076
41.470440 84.657 15.6959
41.770950 84.670 16.0005
42.073643 84.691 16.3115
42.378525 84.721 16.6216
42.685616 84.758 16.9228
42.994934 84.803 17.2076
43.306492 84.855 17.4671
43.620308 84.914 17.6977
43.936401 84.977 17.8937
44.254780 85.045 18.0518
44.575470 85.117 18.1679
44.898483 85.192 18.2379
45.223835 85.269 18.2554
45.551544 85.345 18.2231
45.881630 85.419 18.1397
46.214108 85.490 18.0112
46.548996 85.556 17.8406
46.886307 85.618 17.6354
47.226067 85.674 17.4012
47.568283 85.724 17.1464
47.912983 85.767 16.8799
48.260181 85.805 16.6055
48.609894 85.839 16.3296
48.962143 85.868 16.0534
49.316940 85.894 15.7810
49.674313 85.916 15.5104
50.034271 85.936 15.2417
50.396843 85.953 14.9734
50.762039 85.968 14.7037
51.129883 85.979 14.4345
51.500389 85.986 14.1655
51.873581 85.988 13.9014
52.249481 85.987 13.6453
52.628101 85.981 13.4024
53.009464 85.970 13.1773
53.393593 85.954 12.9753
53.780506 85.935 12.8028
54.170223 85.913 12.6612
54.562763 85.889 12.5540
54.958145 85.864 12.4821
55.356396 85.838 12.4476
55.757530 85.813 12.4510
56.161572 85.789 12.4949
56.568542 85.768 12.5748
56.978462 85.751 12.6886
57.391350 85.739 12.8317
57.807232 85.732 13.0007
58.226128 85.730 13.1897
58.648056 85.735 13.3942
59.073048 85.748 13.6056
59.501114 85.768 13.8155
59.932281 85.795 14.0186
60.366577 85.828 14.2091
60.804020 85.868 14.3807
61.244629 85.915 14.5273
61.688435 85.967 14.6428
62.135452 86.023 14.7200
62.585712 86.083 14.7560
63.039234 86.146 14.7460
63.496040 86.211 14.6881
63.956161 86.276 14.5781
64.419617 86.339 14.4183
64.886421 86.399 14.2075
65.356621 86.454 13.9525
65.830215 86.503 13.6567
66.307251 86.546 13.3297
66.787743 86.581 12.9783
67.271713 86.609 12.6137
67.759193 86.627 12.2464
68.250206 86.638 11.8847
68.744774 86.642 11.5401
69.242928 86.642 11.2126
69.744690 86.639 10.9058
70.250084 86.632 10.6195
70.759148 86.622 10.3547
71.271896 86.610 10.1114
71.788361 86.597 9.8915
72.308571 86.583 9.6904
72.832550 86.571 9.5042
73.360321 86.558 9.3323
73.891922 86.544 9.1720
74.427376 86.529 9.0253
74.966705 86.514 8.8945
75.509949 86.499 8.7762
76.057121 86.486 8.6685
76.608261 86.474 8.5692
77.163399 86.462 8.4753
77.722557 86.450 8.3872
78.285767 86.438 8.3044
78.853058 86.427 8.2272
79.424461 86.415 8.1558
80.000000 86.404 8.0891
80.579712 86.393 8.0250
81.163628 86.382 7.9671
81.751770 86.369 7.9173
82.344177 86.355 7.8791
82.940880 86.340 7.8579
83.541901 86.327 7.8500
84.147285 86.317 7.8540
84.757050 86.309 7.8680
85.371231 86.301 7.8902
85.989868 86.295 7.9179
86.612984 86.293 7.9503
87.240616 86.295 7.9799
87.872803 86.300 7.9992
88.509560 86.307 8.0080
89.150940 86.314 8.0032
89.796967 86.321 7.9860
90.447670 86.329 7.9565
91.103088 86.337 7.9151
91.763260 86.343 7.8612
92.428215 86.348 7.7991
93.097992 86.351 7.7326
93.772614 86.353 7.6631
94.452133 86.354 7.5934
95.136566 86.353 7.5231
95.825966 86.351 7.4523
96.520363 86.348 7.3831
