* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\lcd-r_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:44:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\lcd-r_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: lcd-r_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 80.127 27.6510
5.036232 80.136 27.6462
5.072727 80.146 27.6410
5.109486 80.157 27.6344
5.146511 80.170 27.6270
5.183805 80.186 27.6187
5.221369 80.203 27.6100
5.259205 80.221 27.6016
5.297316 80.239 27.5930
5.335702 80.259 27.5841
5.374367 80.279 27.5750
5.413311 80.299 27.5660
5.452538 80.319 27.5570
5.492050 80.339 27.5480
5.531847 80.359 27.5390
5.571934 80.379 27.5301
5.612310 80.399 27.5210
5.652979 80.419 27.5115
5.693943 80.439 27.5020
5.735204 80.459 27.4930
5.776763 80.479 27.4840
5.818624 80.499 27.4746
5.860788 80.519 27.4650
5.903258 80.539 27.4555
5.946035 80.559 27.4460
5.989123 80.579 27.4365
6.032523 80.600 27.4270
6.076237 80.620 27.4176
6.120268 80.640 27.4080
6.164618 80.660 27.3981
6.209289 80.680 27.3880
6.254284 80.700 27.3780
6.299605 80.720 27.3680
6.345255 80.740 27.3581
6.391235 80.760 27.3480
6.437549 80.780 27.3375
6.484198 80.800 27.3270
6.531185 80.820 27.3170
6.578513 80.840 27.3070
6.626183 80.860 27.2966
6.674199 80.880 27.2860
6.722563 80.900 27.2750
6.771278 80.920 27.2640
6.820345 80.940 27.2535
6.869768 80.960 27.2430
6.919549 80.980 27.2321
6.969691 81.000 27.2210
7.020196 81.020 27.2100
7.071068 81.040 27.1990
7.122308 81.060 27.1881
7.173919 81.080 27.1770
7.225904 81.100 27.1656
7.278266 81.120 27.1540
7.331007 81.140 27.1426
7.384131 81.160 27.1310
7.437639 81.180 27.1190
7.491535 81.200 27.1070
7.545822 81.220 27.0955
7.600502 81.241 27.0840
7.655579 81.261 27.0721
7.711054 81.281 27.0600
7.766932 81.301 27.0481
7.823214 81.321 27.0360
7.879904 81.341 27.0236
7.937005 81.361 27.0110
7.994520 81.381 26.9985
8.052452 81.401 26.9860
8.110803 81.421 26.9736
8.169578 81.441 26.9610
8.228777 81.461 26.9481
8.288406 81.481 26.9350
8.348468 81.501 26.9220
8.408964 81.521 26.9090
8.469899 81.541 26.8961
8.531276 81.561 26.8830
8.593097 81.581 26.8696
8.655366 81.601 26.8560
8.718086 81.621 26.8425
8.781260 81.641 26.8290
8.844893 81.661 26.8156
8.908987 81.681 26.8020
8.973545 81.701 26.7881
9.038571 81.721 26.7740
9.104069 81.741 26.7600
9.170040 81.761 26.7460
9.236490 81.781 26.7321
9.303422 81.801 26.7180
9.370838 81.821 26.7036
9.438744 81.841 26.6890
9.507140 81.861 26.6746
9.576033 81.882 26.6600
9.645425 81.902 26.6451
9.715320 81.922 26.6300
9.785721 81.942 26.6151
9.856632 81.962 26.6000
9.928058 81.982 26.5845
10.000000 82.002 26.5690
10.072464 82.022 26.5541
10.145453 82.042 26.5390
10.218971 82.062 26.5231
10.293022 82.082 26.5070
10.367610 82.102 26.4915
10.442738 82.122 26.4760
10.518411 82.142 26.4601
10.594631 82.162 26.4440
10.671404 82.182 26.4276
10.748734 82.202 26.4110
10.826623 82.222 26.3945
10.905077 82.242 26.3780
10.984100 82.262 26.3616
11.063695 82.282 26.3450
11.143867 82.302 26.3281
11.224621 82.322 26.3110
11.305959 82.342 26.2941
11.387886 82.362 26.2770
11.470407 82.382 26.2596
11.553527 82.402 26.2420
11.637249 82.422 26.2246
11.721577 82.442 26.2070
11.806517 82.462 26.1891
11.892071 82.482 26.1710
11.978246 82.502 26.1530
12.065045 82.522 26.1350
12.152473 82.543 26.1171
12.240536 82.563 26.0990
12.329235 82.583 26.0806
12.418578 82.603 26.0620
12.508568 82.623 26.0436
12.599211 82.643 26.0250
12.690510 82.663 26.0061
12.782471 82.683 25.9870
12.875097 82.703 25.9675
12.968395 82.723 25.9480
13.062370 82.743 25.9290
13.157025 82.763 25.9100
13.252366 82.783 25.8906
13.348398 82.803 25.8710
13.445127 82.823 25.8511
13.542556 82.843 25.8310
13.640691 82.863 25.8111
13.739536 82.883 25.7910
13.839099 82.903 25.7705
13.939383 82.923 25.7500
14.040393 82.943 25.7301
14.142136 82.963 25.7100
14.244616 82.983 25.6891
14.347837 83.003 25.6680
14.451808 83.023 25.6470
14.556532 83.043 25.6260
14.662014 83.063 25.6051
14.768262 83.083 25.5840
14.875278 83.103 25.5626
14.983070 83.123 25.5410
15.091644 83.143 25.5195
15.201005 83.163 25.4980
15.311157 83.183 25.4766
15.422109 83.204 25.4550
15.533863 83.224 25.4331
15.646428 83.244 25.4110
15.759809 83.264 25.3885
15.874010 83.284 25.3660
15.989040 83.304 25.3440
16.104904 83.324 25.3220
16.221605 83.344 25.2996
16.339155 83.364 25.2770
16.457554 83.384 25.2545
16.576813 83.404 25.2320
16.696936 83.424 25.2095
16.817928 83.444 25.1870
16.939798 83.464 25.1645
17.062551 83.484 25.1420
17.186193 83.504 25.1195
17.310732 83.524 25.0970
17.436172 83.544 25.0745
17.562521 83.564 25.0520
17.689787 83.584 25.0295
17.817974 83.604 25.0070
17.947090 83.624 24.9849
18.077143 83.644 24.9630
18.208138 83.664 24.9414
18.340080 83.684 24.9200
18.472980 83.704 24.8988
18.606844 83.724 24.8780
18.741676 83.744 24.8581
18.877487 83.764 24.8390
19.014280 83.784 24.8209
19.152065 83.804 24.8040
19.290850 83.825 24.7889
19.430639 83.846 24.7750
19.571442 83.867 24.7626
19.713264 83.888 24.7500
19.856115 83.911 24.7363
20.000000 83.934 24.7200
20.144928 83.957 24.6995
20.290907 83.981 24.6750
20.437943 84.005 24.6463
20.586044 84.028 24.6140
20.735220 84.051 24.5787
20.885475 84.074 24.5410
21.036821 84.096 24.5024
21.189262 84.118 24.4621
21.342808 84.140 24.4193
21.497467 84.161 24.3761
21.653246 84.180 24.3329
21.810154 84.199 24.2930
21.968201 84.217 24.2616
22.127390 84.235 24.2340
22.287735 84.255 24.2072
22.449242 84.276 24.1820
22.611917 84.294 24.1575
22.775772 84.312 24.1360
22.940815 84.331 24.1210
23.107054 84.351 24.1090
23.274498 84.371 24.0980
23.443153 84.392 24.0880
23.613033 84.413 24.0777
23.784142 84.433 24.0700
23.956491 84.453 24.0672
24.130091 84.473 24.0700
24.304947 84.494 24.0797
24.481071 84.515 24.0970
24.658470 84.537 24.1233
24.837156 84.560 24.1569
25.017136 84.587 24.1987
25.198421 84.617 24.2420
25.381020 84.650 24.2813
25.564941 84.687 24.3140
25.750195 84.726 24.3372
25.936790 84.768 24.3460
26.124741 84.814 24.3365
26.314051 84.863 24.3021
26.504732 84.914 24.2337
26.696796 84.964 24.1351
26.890253 85.011 24.0059
27.085112 85.056 23.8502
27.281382 85.099 23.6706
27.479073 85.138 23.4723
27.678198 85.172 23.2590
27.878765 85.201 23.0373
28.080786 85.227 22.8149
28.284271 85.249 22.5923
28.489231 85.268 22.3712
28.695675 85.284 22.1553
28.903616 85.295 21.9490
29.113064 85.303 21.7523
29.324028 85.311 21.5663
29.536524 85.316 21.3922
29.750557 85.317 21.2290
29.966141 85.316 21.0841
30.183289 85.312 20.9647
30.402010 85.307 20.8701
30.622314 85.302 20.8025
30.844217 85.297 20.7600
31.067726 85.293 20.7427
31.292856 85.291 20.7470
31.519617 85.292 20.7706
31.748020 85.296 20.8099
31.978081 85.302 20.8607
32.209808 85.311 20.9219
32.443211 85.322 20.9912
32.678310 85.336 21.0679
32.915108 85.352 21.1499
33.153625 85.371 21.2399
33.393871 85.391 21.3414
33.635857 85.415 21.4498
33.879597 85.444 21.5637
34.125103 85.478 21.6768
34.372387 85.516 21.7833
34.621464 85.559 21.8809
34.872345 85.605 21.9670
35.125042 85.656 22.0369
35.379574 85.711 22.0853
35.635948 85.770 22.1110
35.894180 85.830 22.1108
36.154285 85.893 22.0851
36.416275 85.958 22.0337
36.680161 86.025 21.9541
36.945961 86.093 21.8447
37.213688 86.162 21.7032
37.483353 86.232 21.5282
37.754974 86.303 21.3164
38.028561 86.374 21.0641
38.304131 86.443 20.7704
38.581699 86.510 20.4311
38.861279 86.573 20.0526
39.142883 86.630 19.6369
39.426529 86.681 19.1926
39.712231 86.725 18.7279
40.000000 86.762 18.2457
40.289856 86.795 17.7486
40.581814 86.820 17.2457
40.875885 86.835 16.7439
41.172089 86.843 16.2527
41.470440 86.845 15.7861
41.770950 86.844 15.3387
42.073643 86.841 14.9104
42.378525 86.836 14.4996
42.685616 86.827 14.1038
42.994934 86.816 13.7255
43.306492 86.803 13.3679
43.620308 86.788 13.0265
43.936401 86.774 12.6983
44.254780 86.759 12.3815
44.575470 86.743 12.0717
44.898483 86.725 11.7735
45.223835 86.704 11.4893
45.551544 86.681 11.2204
45.881630 86.658 10.9694
46.214108 86.635 10.7344
46.548996 86.611 10.5141
46.886307 86.586 10.3093
47.226067 86.561 10.1205
47.568283 86.536 9.9463
47.912983 86.512 9.7864
48.260181 86.489 9.6382
48.609894 86.467 9.4995
48.962143 86.445 9.3692
49.316940 86.424 9.2451
49.674313 86.404 9.1282
50.034271 86.383 9.0184
50.396843 86.363 8.9162
50.762039 86.343 8.8215
51.129883 86.323 8.7351
51.500389 86.302 8.6574
51.873581 86.282 8.5891
52.249481 86.263 8.5327
52.628101 86.246 8.4841
53.009464 86.231 8.4394
53.393593 86.216 8.4001
53.780506 86.201 8.3675
54.170223 86.188 8.3380
54.562763 86.179 8.3101
54.958145 86.171 8.2791
55.356396 86.164 8.2378
55.757530 86.156 8.1921
56.161572 86.146 8.1448
56.568542 86.136 8.0981
56.978462 86.126 8.0551
57.391350 86.116 8.0151
57.807232 86.106 7.9773
58.226128 86.096 7.9441
58.648056 86.085 7.9173
59.073048 86.074 7.8970
59.501114 86.065 7.8862
59.932281 86.057 7.8780
60.366577 86.052 7.8661
60.804020 86.048 7.8520
61.244629 86.042 7.8336
61.688435 86.035 7.8150
62.135452 86.029 7.8011
62.585712 86.024 7.7880
63.039234 86.020 7.7720
63.496040 86.015 7.7570
63.956161 86.009 7.7454
64.419617 86.002 7.7380
64.886421 85.997 7.7380
65.356621 85.993 7.7410
65.830215 85.991 7.7438
66.307251 85.989 7.7460
66.787743 85.988 7.7461
67.271713 85.987 7.7440
67.759193 85.987 7.7393
68.250206 85.987 7.7320
68.744774 85.987 7.7220
69.242928 85.987 7.7100
69.744690 85.987 7.6970
70.250084 85.987 7.6830
70.759148 85.987 7.6683
71.271896 85.987 7.6530
71.788361 85.987 7.6372
72.308571 85.987 7.6210
72.832550 85.987 7.6046
73.360321 85.987 7.5880
73.891922 85.987 7.5716
74.427376 85.987 7.5550
74.966705 85.987 7.5381
75.509949 85.987 7.5210
76.057121 85.987 7.5040
76.608261 85.987 7.4870
77.163399 85.987 7.4705
77.722557 85.987 7.4540
78.285767 85.987 7.4375
78.853058 85.987 7.4210
79.424461 85.987 7.4048
80.000000 85.987 7.3890
80.579712 85.987 7.3739
81.163628 85.987 7.3590
81.751770 85.987 7.3439
82.344177 85.987 7.3290
82.940880 85.987 7.3148
83.541901 85.987 7.3010
84.147285 85.987 7.2878
84.757050 85.987 7.2750
85.371231 85.987 7.2623
85.989868 85.987 7.2500
86.612984 85.987 7.2383
87.240616 85.987 7.2270
87.872803 85.987 7.2163
88.509560 85.987 7.2060
89.150940 85.987 7.1962
89.796967 85.987 7.1870
90.447670 85.987 7.1787
91.103088 85.987 7.1710
91.763260 85.987 7.1636
92.428215 85.987 7.1570
93.097992 85.987 7.1516
93.772614 85.987 7.1470
94.452133 85.987 7.1430
95.136566 85.987 7.1400
95.825966 85.987 7.1384
96.520363 85.987 7.1380
97.219788 85.987 7.1390
