* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Audeze_LCD-X_2021_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:20:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Audeze_LCD-X_2021_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Audeze_LCD-X_2021_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 90.307 40.7090
5.036232 90.320 40.6999
5.072727 90.335 40.6900
5.109486 90.352 40.6778
5.146511 90.371 40.6640
5.183805 90.394 40.6484
5.221369 90.420 40.6320
5.259205 90.446 40.6158
5.297316 90.474 40.5990
5.335702 90.504 40.5811
5.374367 90.534 40.5630
5.413311 90.563 40.5455
5.452538 90.593 40.5280
5.492050 90.623 40.5101
5.531847 90.653 40.4920
5.571934 90.683 40.4740
5.612310 90.713 40.4560
5.652979 90.743 40.4381
5.693943 90.773 40.4200
5.735204 90.803 40.4016
5.776763 90.833 40.3830
5.818624 90.862 40.3646
5.860788 90.892 40.3460
5.903258 90.922 40.3271
5.946035 90.952 40.3080
5.989123 90.982 40.2891
6.032523 91.012 40.2700
6.076237 91.042 40.2506
6.120268 91.072 40.2310
6.164618 91.101 40.2111
6.209289 91.131 40.1910
6.254284 91.161 40.1710
6.299605 91.191 40.1510
6.345255 91.221 40.1311
6.391235 91.251 40.1110
6.437549 91.281 40.0906
6.484198 91.311 40.0700
6.531185 91.340 40.0491
6.578513 91.370 40.0280
6.626183 91.400 40.0070
6.674199 91.430 39.9860
6.722563 91.460 39.9651
6.771278 91.490 39.9440
6.820345 91.520 39.9221
6.869768 91.550 39.9000
6.919549 91.580 39.8780
6.969691 91.610 39.8560
7.020196 91.639 39.8341
7.071068 91.669 39.8120
7.122308 91.699 39.7896
7.173919 91.729 39.7670
7.225904 91.759 39.7441
7.278266 91.789 39.7210
7.331007 91.819 39.6976
7.384131 91.849 39.6740
7.437639 91.878 39.6506
7.491535 91.908 39.6270
7.545822 91.938 39.6031
7.600502 91.968 39.5790
7.655579 91.998 39.5551
7.711054 92.028 39.5310
7.766932 92.058 39.5061
7.823214 92.088 39.4810
7.879904 92.117 39.4560
7.937005 92.147 39.4310
7.994520 92.177 39.4061
8.052452 92.207 39.3810
8.110803 92.237 39.3551
8.169578 92.267 39.3290
8.228777 92.297 39.3031
8.288406 92.327 39.2770
8.348468 92.357 39.2506
8.408964 92.387 39.2240
8.469899 92.416 39.1971
8.531276 92.446 39.1700
8.593097 92.476 39.1431
8.655366 92.506 39.1160
8.718086 92.536 39.0881
8.781260 92.566 39.0600
8.844893 92.596 39.0321
8.908987 92.626 39.0040
8.973545 92.655 38.9756
9.038571 92.685 38.9470
9.104069 92.715 38.9181
9.170040 92.745 38.8890
9.236490 92.775 38.8596
9.303422 92.805 38.8300
9.370838 92.835 38.8006
9.438744 92.865 38.7710
9.507140 92.894 38.7406
9.576033 92.924 38.7100
9.645425 92.954 38.6796
9.715320 92.984 38.6490
9.785721 93.014 38.6176
9.856632 93.044 38.5860
9.928058 93.074 38.5546
10.000000 93.104 38.5230
10.072464 93.134 38.4912
10.145453 93.164 38.4590
10.218971 93.193 38.4261
10.293022 93.223 38.3930
10.367610 93.253 38.3601
10.442738 93.283 38.3270
10.518411 93.313 38.2937
10.594631 93.343 38.2600
10.671404 93.373 38.2256
10.748734 93.403 38.1910
10.826623 93.432 38.1566
10.905077 93.462 38.1220
10.984100 93.492 38.0872
11.063695 93.522 38.0520
11.143867 93.552 38.0162
11.224621 93.582 37.9800
11.305959 93.612 37.9436
11.387886 93.642 37.9070
11.470407 93.671 37.8701
11.553527 93.701 37.8330
11.637249 93.731 37.7956
11.721577 93.761 37.7580
11.806517 93.791 37.7202
11.892071 93.821 37.6820
11.978246 93.851 37.6437
12.065045 93.881 37.6050
12.152473 93.911 37.5657
12.240536 93.941 37.5260
12.329235 93.970 37.4861
12.418578 94.000 37.4460
12.508568 94.030 37.4057
12.599211 94.060 37.3650
12.690510 94.090 37.3237
12.782471 94.120 37.2820
12.875097 94.150 37.2402
12.968395 94.180 37.1980
13.062370 94.209 37.1557
13.157025 94.239 37.1130
13.252366 94.269 37.0697
13.348398 94.299 37.0260
13.445127 94.329 36.9822
13.542556 94.359 36.9380
13.640691 94.389 36.8933
13.739536 94.419 36.8480
13.839099 94.448 36.8022
13.939383 94.478 36.7560
14.040393 94.508 36.7102
14.142136 94.538 36.6640
14.244616 94.568 36.6168
14.347837 94.598 36.5690
14.451808 94.628 36.5212
14.556532 94.658 36.4730
14.662014 94.688 36.4243
14.768262 94.718 36.3751
14.875278 94.747 36.3253
14.983070 94.777 36.2751
15.091644 94.807 36.2243
15.201005 94.837 36.1730
15.311157 94.867 36.1213
15.422109 94.897 36.0690
15.533863 94.927 36.0163
15.646428 94.957 35.9630
15.759809 94.986 35.9093
15.874010 95.016 35.8550
15.989040 95.046 35.7999
16.104904 95.076 35.7440
16.221605 95.106 35.6878
16.339155 95.136 35.6311
16.457554 95.166 35.5739
16.576813 95.196 35.5160
16.696936 95.225 35.4574
16.817928 95.255 35.3980
16.939798 95.285 35.3379
17.062551 95.315 35.2771
17.186193 95.345 35.2155
17.310732 95.375 35.1530
17.436172 95.405 35.0895
17.562521 95.435 35.0250
17.689787 95.464 34.9601
17.817974 95.494 34.8941
17.947090 95.524 34.8267
18.077143 95.554 34.7580
18.208138 95.584 34.6878
18.340080 95.614 34.6161
18.472980 95.644 34.5429
18.606844 95.674 34.4680
18.741676 95.704 34.3914
18.877487 95.734 34.3121
19.014280 95.764 34.2294
19.152065 95.793 34.1431
19.290850 95.823 34.0531
19.430639 95.852 33.9591
19.571442 95.881 33.8602
19.713264 95.909 33.7571
19.856115 95.935 33.6497
20.000000 95.960 33.5401
20.144928 95.984 33.4303
20.290907 96.006 33.3211
20.437943 96.026 33.2126
20.586044 96.045 33.1091
20.735220 96.061 33.0131
20.885475 96.075 32.9291
21.036821 96.087 32.8623
21.189262 96.099 32.8121
21.342808 96.111 32.7789
21.497467 96.124 32.7640
21.653246 96.136 32.7691
21.810154 96.150 32.7930
21.968201 96.167 32.8372
22.127390 96.188 32.8949
22.287735 96.213 32.9621
22.449242 96.243 33.0309
22.611917 96.277 33.0939
22.775772 96.316 33.1469
22.940815 96.358 33.1846
23.107054 96.403 33.2030
23.274498 96.451 33.1959
23.443153 96.499 33.1641
23.613033 96.545 33.1033
23.784142 96.590 33.0221
23.956491 96.632 32.9255
24.130091 96.671 32.8191
24.304947 96.707 32.7088
24.481071 96.740 32.5991
24.658470 96.771 32.4969
24.837156 96.801 32.4021
25.017136 96.831 32.3188
25.198421 96.862 32.2411
25.381020 96.895 32.1654
25.564941 96.929 32.0881
25.750195 96.964 32.0042
25.936790 96.999 31.9131
26.124741 97.034 31.8118
26.314051 97.068 31.7022
26.504732 97.100 31.5826
26.696796 97.130 31.4611
26.890253 97.155 31.3436
27.085112 97.178 31.2351
27.281382 97.200 31.1430
27.479073 97.221 31.0671
27.678198 97.242 31.0104
27.878765 97.264 30.9710
28.080786 97.288 30.9500
28.284271 97.314 30.9410
28.489231 97.344 30.9395
28.695675 97.378 30.9410
28.903616 97.414 30.9396
29.113064 97.452 30.9350
29.324028 97.493 30.9252
29.536524 97.535 30.9100
29.750557 97.579 30.8880
29.966141 97.624 30.8610
30.183289 97.670 30.8310
30.402010 97.718 30.7970
30.622314 97.768 30.7593
30.844217 97.820 30.7161
31.067726 97.874 30.6672
31.292856 97.932 30.6081
31.519617 97.994 30.5358
31.748020 98.059 30.4451
31.978081 98.127 30.3306
32.209808 98.197 30.1902
32.443211 98.269 30.0216
32.678310 98.343 29.8203
32.915108 98.419 29.5819
33.153625 98.495 29.3044
33.393871 98.570 28.9840
33.635857 98.643 28.6216
33.879597 98.714 28.2149
34.125103 98.781 27.7696
34.372387 98.841 27.2888
34.621464 98.896 26.7778
34.872345 98.945 26.2414
35.125042 98.987 25.6847
35.379574 99.022 25.1122
35.635948 99.049 24.5307
35.894180 99.069 23.9465
36.154285 99.081 23.3648
36.416275 99.087 22.7917
36.680161 99.086 22.2309
36.945961 99.079 21.6862
37.213688 99.065 21.1628
37.483353 99.046 20.6660
37.754974 99.022 20.1987
38.028561 98.993 19.7649
38.304131 98.961 19.3665
38.581699 98.926 19.0070
38.861279 98.890 18.6855
39.142883 98.853 18.4039
39.426529 98.817 18.1573
39.712231 98.783 17.9425
40.000000 98.750 17.7553
40.289856 98.719 17.5915
40.581814 98.691 17.4482
40.875885 98.665 17.3227
41.172089 98.641 17.2102
41.470440 98.621 17.1053
41.770950 98.603 17.0072
42.073643 98.585 16.9120
42.378525 98.567 16.8221
42.685616 98.551 16.7385
42.994934 98.535 16.6611
43.306492 98.520 16.5893
43.620308 98.505 16.5261
43.936401 98.489 16.4741
44.254780 98.474 16.4331
44.575470 98.461 16.4042
44.898483 98.450 16.3850
45.223835 98.440 16.3733
45.551544 98.431 16.3690
45.881630 98.424 16.3720
46.214108 98.419 16.3800
46.548996 98.416 16.3906
46.886307 98.415 16.4040
47.226067 98.414 16.4187
47.568283 98.415 16.4370
47.912983 98.416 16.4606
48.260181 98.419 16.4890
48.609894 98.424 16.5223
48.962143 98.432 16.5589
49.316940 98.441 16.5974
49.674313 98.453 16.6369
50.034271 98.467 16.6778
50.396843 98.485 16.7149
50.762039 98.507 16.7449
51.129883 98.533 16.7630
51.500389 98.561 16.7635
51.873581 98.591 16.7460
52.249481 98.623 16.7093
52.628101 98.656 16.6501
53.009464 98.691 16.5642
53.393593 98.727 16.4532
53.780506 98.760 16.3160
54.170223 98.791 16.1563
54.562763 98.821 15.9768
54.958145 98.849 15.7793
55.356396 98.874 15.5648
55.757530 98.896 15.3384
56.161572 98.914 15.1045
56.568542 98.928 14.8664
56.978462 98.940 14.6290
57.391350 98.949 14.3924
57.807232 98.957 14.1579
58.226128 98.962 13.9264
58.648056 98.965 13.6995
59.073048 98.966 13.4774
59.501114 98.966 13.2613
59.932281 98.965 13.0494
60.366577 98.963 12.8391
60.804020 98.959 12.6333
61.244629 98.953 12.4338
61.688435 98.945 12.2413
62.135452 98.936 12.0569
62.585712 98.926 11.8823
63.039234 98.914 11.7188
63.496040 98.900 11.5692
63.956161 98.885 11.4381
64.419617 98.871 11.3222
64.886421 98.858 11.2210
65.356621 98.847 11.1311
65.830215 98.837 11.0497
66.307251 98.828 10.9741
66.787743 98.821 10.9021
67.271713 98.816 10.8301
67.759193 98.813 10.7539
68.250206 98.810 10.6732
68.744774 98.807 10.5852
69.242928 98.803 10.4932
69.744690 98.799 10.3979
70.250084 98.793 10.3032
70.759148 98.786 10.2131
71.271896 98.778 10.1272
71.788361 98.770 10.0463
72.308571 98.762 9.9701
72.832550 98.753 9.8988
73.360321 98.745 9.8321
73.891922 98.737 9.7709
74.427376 98.730 9.7131
74.966705 98.723 9.6559
75.509949 98.715 9.6021
76.057121 98.707 9.5540
76.608261 98.698 9.5111
77.163399 98.690 9.4738
77.722557 98.683 9.4421
78.285767 98.675 9.4160
78.853058 98.668 9.3960
79.424461 98.662 9.3838
80.000000 98.657 9.3750
80.579712 98.654 9.3660
81.163628 98.653 9.3560
81.751770 98.652 9.3433
82.344177 98.651 9.3280
82.940880 98.651 9.3097
83.541901 98.651 9.2890
84.147285 98.651 9.2663
84.757050 98.651 9.2420
85.371231 98.651 9.2169
85.989868 98.651 9.1911
86.612984 98.651 9.1652
87.240616 98.651 9.1391
87.872803 98.651 9.1126
88.509560 98.651 9.0861
89.150940 98.651 9.0595
89.796967 98.651 9.0331
90.447670 98.651 9.0068
91.103088 98.651 8.9811
91.763260 98.651 8.9563
92.428215 98.651 8.9320
93.097992 98.651 8.9077
93.772614 98.651 8.8840
94.452133 98.651 8.8616
95.136566 98.651 8.8400
95.825966 98.651 8.8190
