* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\LCDX_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:45:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\LCDX_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: LCDX_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 79.765 0.9560
5.036232 79.765 0.9579
5.072727 79.765 0.9600
5.109486 79.765 0.9623
5.146511 79.766 0.9650
5.183805 79.766 0.9683
5.221369 79.766 0.9720
5.259205 79.766 0.9758
5.297316 79.766 0.9800
5.335702 79.766 0.9849
5.374367 79.767 0.9900
5.413311 79.767 0.9946
5.452538 79.767 0.9990
5.492050 79.767 1.0035
5.531847 79.768 1.0080
5.571934 79.768 1.0124
5.612310 79.768 1.0170
5.652979 79.768 1.0219
5.693943 79.769 1.0270
5.735204 79.769 1.0321
5.776763 79.769 1.0370
5.818624 79.769 1.0415
5.860788 79.770 1.0460
5.903258 79.770 1.0509
5.946035 79.770 1.0560
5.989123 79.771 1.0609
6.032523 79.771 1.0660
6.076237 79.771 1.0715
6.120268 79.771 1.0770
6.164618 79.771 1.0820
6.209289 79.772 1.0870
6.254284 79.772 1.0925
6.299605 79.772 1.0980
6.345255 79.772 1.1030
6.391235 79.773 1.1080
6.437549 79.773 1.1134
6.484198 79.773 1.1190
6.531185 79.773 1.1245
6.578513 79.774 1.1300
6.626183 79.774 1.1354
6.674199 79.774 1.1410
6.722563 79.774 1.1470
6.771278 79.775 1.1530
6.820345 79.775 1.1585
6.869768 79.775 1.1640
6.919549 79.775 1.1700
6.969691 79.776 1.1760
7.020196 79.776 1.1815
7.071068 79.776 1.1870
7.122308 79.776 1.1929
7.173919 79.777 1.1990
7.225904 79.777 1.2055
7.278266 79.777 1.2120
7.331007 79.777 1.2181
7.384131 79.778 1.2240
7.437639 79.778 1.2299
7.491535 79.778 1.2360
7.545822 79.778 1.2424
7.600502 79.779 1.2490
7.655579 79.779 1.2555
7.711054 79.779 1.2620
7.766932 79.779 1.2685
7.823214 79.780 1.2750
7.879904 79.780 1.2815
7.937005 79.780 1.2880
7.994520 79.780 1.2944
8.052452 79.781 1.3010
8.110803 79.781 1.3080
8.169578 79.781 1.3150
8.228777 79.781 1.3215
8.288406 79.782 1.3280
8.348468 79.782 1.3349
8.408964 79.782 1.3420
8.469899 79.782 1.3490
8.531276 79.783 1.3560
8.593097 79.783 1.3629
8.655366 79.783 1.3700
8.718086 79.783 1.3775
8.781260 79.784 1.3850
8.844893 79.784 1.3920
8.908987 79.784 1.3990
8.973545 79.785 1.4064
9.038571 79.785 1.4140
9.104069 79.785 1.4215
9.170040 79.785 1.4290
9.236490 79.785 1.4364
9.303422 79.786 1.4440
9.370838 79.786 1.4520
9.438744 79.786 1.4600
9.507140 79.786 1.4675
9.576033 79.787 1.4750
9.645425 79.787 1.4829
9.715320 79.787 1.4910
9.785721 79.787 1.4990
9.856632 79.788 1.5070
9.928058 79.788 1.5149
10.000000 79.788 1.5230
10.072464 79.788 1.5315
10.145453 79.789 1.5400
10.218971 79.789 1.5480
10.293022 79.789 1.5560
10.367610 79.789 1.5644
10.442738 79.790 1.5730
10.518411 79.790 1.5815
10.594631 79.790 1.5900
10.671404 79.790 1.5985
10.748734 79.791 1.6070
10.826623 79.791 1.6154
10.905077 79.791 1.6240
10.984100 79.791 1.6330
11.063695 79.792 1.6420
11.143867 79.792 1.6505
11.224621 79.792 1.6590
11.305959 79.792 1.6679
11.387886 79.793 1.6770
11.470407 79.793 1.6860
11.553527 79.793 1.6950
11.637249 79.793 1.7039
11.721577 79.794 1.7130
11.806517 79.794 1.7225
11.892071 79.794 1.7320
11.978246 79.794 1.7410
12.065045 79.795 1.7500
12.152473 79.795 1.7595
12.240536 79.795 1.7690
12.329235 79.795 1.7780
12.418578 79.796 1.7870
12.508568 79.796 1.7964
12.599211 79.796 1.8060
12.690510 79.796 1.8155
12.782471 79.797 1.8250
12.875097 79.797 1.8344
12.968395 79.797 1.8440
13.062370 79.797 1.8540
13.157025 79.798 1.8640
13.252366 79.798 1.8736
13.348398 79.798 1.8830
13.445127 79.799 1.8925
13.542556 79.799 1.9020
13.640691 79.799 1.9114
13.739536 79.799 1.9210
13.839099 79.799 1.9310
13.939383 79.800 1.9410
14.040393 79.800 1.9506
14.142136 79.800 1.9600
14.244616 79.800 1.9695
14.347837 79.801 1.9790
14.451808 79.801 1.9885
14.556532 79.801 1.9980
14.662014 79.801 2.0076
14.768262 79.802 2.0170
14.875278 79.802 2.0261
14.983070 79.802 2.0350
15.091644 79.802 2.0440
15.201005 79.803 2.0530
15.311157 79.803 2.0621
15.422109 79.803 2.0710
15.533863 79.803 2.0796
15.646428 79.804 2.0880
15.759809 79.804 2.0966
15.874010 79.804 2.1050
15.989040 79.804 2.1131
16.104904 79.805 2.1210
16.221605 79.805 2.1286
16.339155 79.805 2.1360
16.457554 79.805 2.1432
16.576813 79.806 2.1500
16.696936 79.806 2.1562
16.817928 79.806 2.1620
16.939798 79.806 2.1677
17.062551 79.807 2.1730
17.186193 79.807 2.1777
17.310732 79.807 2.1820
17.436172 79.807 2.1859
17.562521 79.808 2.1890
17.689787 79.808 2.1909
17.817974 79.808 2.1920
17.947090 79.808 2.1924
18.077143 79.809 2.1920
18.208138 79.809 2.1906
18.340080 79.809 2.1880
18.472980 79.809 2.1838
18.606844 79.810 2.1780
18.741676 79.810 2.1705
18.877487 79.810 2.1610
19.014280 79.810 2.1494
19.152065 79.811 2.1350
19.290850 79.811 2.1173
19.430639 79.811 2.0960
19.571442 79.811 2.0712
19.713264 79.812 2.0410
19.856115 79.812 2.0045
20.000000 79.812 1.9591
20.144928 79.813 1.9026
20.290907 79.813 1.8331
20.437943 79.811 1.7476
20.586044 79.807 1.6471
20.735220 79.801 1.5283
20.885475 79.789 1.4011
21.036821 79.769 1.2685
21.189262 79.742 1.1481
21.342808 79.707 1.0566
21.497467 79.666 1.0000
21.653246 79.623 0.9922
21.810154 79.579 1.0269
21.968201 79.537 1.1071
22.127390 79.498 1.2199
22.287735 79.465 1.3594
22.449242 79.438 1.5069
22.611917 79.419 1.6429
22.775772 79.401 1.7639
22.940815 79.381 1.8527
23.107054 79.357 1.9299
23.274498 79.324 1.9984
23.443153 79.281 2.0938
23.613033 79.223 2.2436
23.784142 79.156 2.4758
23.956491 79.083 2.8284
24.130091 79.012 3.2994
24.304947 78.950 3.9114
24.481071 78.906 4.6280
24.658470 78.888 5.4398
24.837156 78.900 6.2888
25.017136 78.949 7.1301
25.198421 79.027 7.9152
25.381020 79.133 8.5879
25.564941 79.259 9.1276
25.750195 79.397 9.4921
25.936790 79.539 9.6899
26.124741 79.676 9.7033
26.314051 79.803 9.5673
26.504732 79.910 9.2979
26.696796 80.000 8.9335
26.890253 80.070 8.5096
27.085112 80.121 8.0505
27.281382 80.154 7.5876
27.479073 80.172 7.1346
27.678198 80.177 6.7154
27.878765 80.171 6.3305
28.080786 80.159 5.9903
28.284271 80.141 5.6894
28.489231 80.119 5.4262
28.695675 80.093 5.2003
28.903616 80.063 5.0112
29.113064 80.031 4.8572
29.324028 79.998 4.7369
29.536524 79.964 4.6491
29.750557 79.928 4.5905
29.966141 79.890 4.5660
30.183289 79.850 4.5785
30.402010 79.810 4.6299
30.622314 79.771 4.7244
30.844217 79.733 4.8578
31.067726 79.699 5.0292
31.292856 79.669 5.2327
31.519617 79.643 5.4647
31.748020 79.623 5.7177
31.978081 79.609 5.9847
32.209808 79.600 6.2596
32.443211 79.597 6.5325
32.678310 79.596 6.8076
32.915108 79.596 7.0830
33.153625 79.597 7.3676
33.393871 79.600 7.6697
33.635857 79.607 7.9895
33.879597 79.618 8.3321
34.125103 79.635 8.6915
34.372387 79.661 9.0700
34.621464 79.699 9.4474
34.872345 79.751 9.8129
35.125042 79.816 10.1416
35.379574 79.894 10.4092
35.635948 79.980 10.6038
35.894180 80.071 10.7053
36.154285 80.164 10.7151
36.416275 80.254 10.6226
36.680161 80.338 10.4433
36.945961 80.411 10.1806
37.213688 80.473 9.8605
37.483353 80.518 9.5041
37.754974 80.550 9.1306
38.028561 80.571 8.7636
38.304131 80.581 8.4105
38.581699 80.582 8.0855
38.861279 80.577 7.7914
39.142883 80.566 7.5377
39.426529 80.553 7.3183
39.712231 80.540 7.1336
40.000000 80.527 6.9732
40.289856 80.516 6.8283
40.581814 80.505 6.6942
40.875885 80.494 6.5638
41.172089 80.482 6.4352
41.470440 80.470 6.3014
41.770950 80.454 6.1702
42.073643 80.432 6.0432
42.378525 80.405 5.9321
42.685616 80.373 5.8464
42.994934 80.336 5.7940
43.306492 80.295 5.7845
43.620308 80.251 5.8229
43.936401 80.205 5.9186
44.254780 80.161 6.0677
44.575470 80.122 6.2733
44.898483 80.089 6.5246
45.223835 80.063 6.8159
45.551544 80.044 7.1355
45.881630 80.035 7.4730
46.214108 80.035 7.8185
46.548996 80.044 8.1607
46.886307 80.060 8.4935
47.226067 80.083 8.8083
47.568283 80.113 9.1015
47.912983 80.147 9.3667
48.260181 80.186 9.6036
48.609894 80.228 9.8104
48.962143 80.272 9.9858
49.316940 80.318 10.1270
49.674313 80.365 10.2369
50.034271 80.410 10.3155
50.396843 80.455 10.3679
50.762039 80.498 10.3994
51.129883 80.541 10.4100
51.500389 80.582 10.3998
51.873581 80.622 10.3741
52.249481 80.658 10.3378
52.628101 80.693 10.2911
53.009464 80.728 10.2369
53.393593 80.763 10.1721
53.780506 80.796 10.0936
54.170223 80.827 10.0042
54.562763 80.857 9.9047
54.958145 80.885 9.7972
55.356396 80.911 9.6827
55.757530 80.934 9.5642
56.161572 80.955 9.4445
56.568542 80.974 9.3252
56.978462 80.991 9.2091
57.391350 81.008 9.0952
57.807232 81.024 8.9848
58.226128 81.040 8.8742
58.648056 81.056 8.7609
59.073048 81.072 8.6432
59.501114 81.087 8.5177
59.932281 81.101 8.3862
60.366577 81.113 8.2479
60.804020 81.122 8.1082
61.244629 81.127 7.9699
61.688435 81.129 7.8402
62.135452 81.128 7.7281
62.585712 81.126 7.6322
63.039234 81.125 7.5558
63.496040 81.124 7.4941
63.956161 81.125 7.4438
64.419617 81.127 7.4031
64.886421 81.130 7.3716
65.356621 81.136 7.3421
65.830215 81.146 7.3088
66.307251 81.159 7.2671
66.787743 81.172 7.2084
67.271713 81.184 7.1381
67.759193 81.195 7.0586
68.250206 81.205 6.9712
68.744774 81.215 6.8777
69.242928 81.223 6.7792
69.744690 81.229 6.6757
70.250084 81.234 6.5712
70.759148 81.237 6.4697
71.271896 81.239 6.3712
71.788361 81.240 6.2774
72.308571 81.241 6.1872
72.832550 81.241 6.1003
73.360321 81.241 6.0162
73.891922 81.241 5.9342
74.427376 81.241 5.8532
74.966705 81.240 5.7712
75.509949 81.239 5.6891
76.057121 81.237 5.6065
76.608261 81.234 5.5252
77.163399 81.229 5.4457
77.722557 81.223 5.3721
78.285767 81.215 5.3089
78.853058 81.207 5.2551
79.424461 81.199 5.2112
80.000000 81.191 5.1771
80.579712 81.183 5.1530
81.163628 81.175 5.1380
81.751770 81.168 5.1324
82.344177 81.163 5.1320
82.940880 81.160 5.1333
83.541901 81.159 5.1350
84.147285 81.158 5.1343
84.757050 81.157 5.1320
85.371231 81.157 5.1279
85.989868 81.157 5.1220
86.612984 81.157 5.1140
87.240616 81.157 5.1050
87.872803 81.157 5.0961
88.509560 81.157 5.0870
89.150940 81.157 5.0780
89.796967 81.157 5.0690
90.447670 81.157 5.0603
91.103088 81.157 5.0520
91.763260 81.157 5.0442
92.428215 81.157 5.0370
93.097992 81.157 5.0306
93.772614 81.157 5.0250
94.452133 81.157 5.0201
95.136566 81.157 5.0160
95.825966 81.157 5.0125
96.520363 81.157 5.0100
97.219788 81.157 5.0088
