* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\LCDX Pre 2021_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:44:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\LCDX Pre 2021_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: LCDX Pre 2021_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 77.814 20.7170
5.036232 77.821 20.7122
5.072727 77.828 20.7070
5.109486 77.837 20.7009
5.146511 77.847 20.6940
5.183805 77.858 20.6858
5.221369 77.871 20.6770
5.259205 77.885 20.6686
5.297316 77.899 20.6600
5.335702 77.914 20.6506
5.374367 77.929 20.6410
5.413311 77.944 20.6315
5.452538 77.960 20.6220
5.492050 77.975 20.6125
5.531847 77.990 20.6030
5.571934 78.006 20.5935
5.612310 78.021 20.5840
5.652979 78.036 20.5745
5.693943 78.051 20.5650
5.735204 78.066 20.5556
5.776763 78.082 20.5460
5.818624 78.097 20.5361
5.860788 78.112 20.5260
5.903258 78.127 20.5160
5.946035 78.143 20.5060
5.989123 78.158 20.4961
6.032523 78.173 20.4860
6.076237 78.188 20.4756
6.120268 78.203 20.4650
6.164618 78.218 20.4545
6.209289 78.234 20.4440
6.254284 78.249 20.4335
6.299605 78.264 20.4230
6.345255 78.279 20.4126
6.391235 78.295 20.4020
6.437549 78.310 20.3911
6.484198 78.325 20.3800
6.531185 78.340 20.3690
6.578513 78.356 20.3580
6.626183 78.371 20.3471
6.674199 78.386 20.3360
6.722563 78.401 20.3246
6.771278 78.417 20.3130
6.820345 78.432 20.3016
6.869768 78.447 20.2900
6.919549 78.462 20.2780
6.969691 78.478 20.2660
7.020196 78.493 20.2545
7.071068 78.508 20.2430
7.122308 78.523 20.2311
7.173919 78.538 20.2190
7.225904 78.553 20.2066
7.278266 78.569 20.1940
7.331007 78.584 20.1815
7.384131 78.599 20.1690
7.437639 78.614 20.1566
7.491535 78.630 20.1440
7.545822 78.645 20.1311
7.600502 78.660 20.1180
7.655579 78.675 20.1050
7.711054 78.691 20.0920
7.766932 78.706 20.0791
7.823214 78.721 20.0660
7.879904 78.736 20.0526
7.937005 78.752 20.0390
7.994520 78.767 20.0256
8.052452 78.782 20.0120
8.110803 78.797 19.9981
8.169578 78.812 19.9840
8.228777 78.827 19.9701
8.288406 78.843 19.9560
8.348468 78.858 19.9416
8.408964 78.873 19.9270
8.469899 78.888 19.9126
8.531276 78.904 19.8980
8.593097 78.919 19.8831
8.655366 78.934 19.8680
8.718086 78.949 19.8530
8.781260 78.965 19.8380
8.844893 78.980 19.8231
8.908987 78.995 19.8080
8.973545 79.010 19.7926
9.038571 79.026 19.7770
9.104069 79.041 19.7611
9.170040 79.056 19.7450
9.236490 79.071 19.7291
9.303422 79.087 19.7130
9.370838 79.102 19.6966
9.438744 79.117 19.6800
9.507140 79.132 19.6636
9.576033 79.147 19.6470
9.645425 79.162 19.6301
9.715320 79.178 19.6130
9.785721 79.193 19.5961
9.856632 79.208 19.5790
9.928058 79.223 19.5616
10.000000 79.239 19.5440
10.072464 79.254 19.5261
10.145453 79.269 19.5080
10.218971 79.284 19.4901
10.293022 79.300 19.4720
10.367610 79.315 19.4536
10.442738 79.330 19.4350
10.518411 79.345 19.4166
10.594631 79.361 19.3980
10.671404 79.376 19.3786
10.748734 79.391 19.3590
10.826623 79.406 19.3401
10.905077 79.421 19.3210
10.984100 79.436 19.3011
11.063695 79.452 19.2810
11.143867 79.467 19.2611
11.224621 79.482 19.2410
11.305959 79.497 19.2201
11.387886 79.513 19.1990
11.470407 79.528 19.1786
11.553527 79.543 19.1580
11.637249 79.558 19.1367
11.721577 79.574 19.1150
11.806517 79.589 19.0931
11.892071 79.604 19.0710
11.978246 79.619 19.0491
12.065045 79.635 19.0270
12.152473 79.650 19.0047
12.240536 79.665 18.9820
12.329235 79.680 18.9586
12.418578 79.696 18.9350
12.508568 79.711 18.9116
12.599211 79.726 18.8880
12.690510 79.741 18.8641
12.782471 79.756 18.8400
12.875097 79.771 18.8156
12.968395 79.787 18.7910
13.062370 79.802 18.7662
13.157025 79.817 18.7410
13.252366 79.832 18.7151
13.348398 79.848 18.6890
13.445127 79.863 18.6632
13.542556 79.878 18.6370
13.640691 79.893 18.6102
13.739536 79.909 18.5830
13.839099 79.924 18.5556
13.939383 79.939 18.5280
14.040393 79.954 18.5002
14.142136 79.970 18.4720
14.244616 79.985 18.4432
14.347837 80.000 18.4140
14.451808 80.015 18.3846
14.556532 80.030 18.3550
14.662014 80.045 18.3252
14.768262 80.061 18.2950
14.875278 80.076 18.2643
14.983070 80.091 18.2330
15.091644 80.106 18.2013
15.201005 80.122 18.1690
15.311157 80.137 18.1362
15.422109 80.152 18.1030
15.533863 80.167 18.0698
15.646428 80.183 18.0360
15.759809 80.198 18.0013
15.874010 80.213 17.9660
15.989040 80.228 17.9302
16.104904 80.244 17.8940
16.221605 80.259 17.8579
16.339155 80.274 17.8210
16.457554 80.289 17.7829
16.576813 80.305 17.7440
16.696936 80.320 17.7048
16.817928 80.335 17.6650
16.939798 80.350 17.6244
17.062551 80.365 17.5831
17.186193 80.380 17.5410
17.310732 80.396 17.4980
17.436172 80.411 17.4540
17.562521 80.426 17.4090
17.689787 80.441 17.3630
17.817974 80.457 17.3161
17.947090 80.472 17.2681
18.077143 80.487 17.2190
18.208138 80.502 17.1687
18.340080 80.518 17.1171
18.472980 80.533 17.0638
18.606844 80.548 17.0090
18.741676 80.563 16.9530
18.877487 80.579 16.8951
19.014280 80.594 16.8346
19.152065 80.609 16.7721
19.290850 80.624 16.7079
19.430639 80.639 16.6410
19.571442 80.654 16.5708
19.713264 80.670 16.4971
19.856115 80.685 16.4203
20.000000 80.700 16.3391
20.144928 80.715 16.2530
20.290907 80.731 16.1601
20.437943 80.746 16.0582
20.586044 80.761 15.9471
20.735220 80.775 15.8255
20.885475 80.787 15.6942
21.036821 80.798 15.5510
21.189262 80.805 15.4032
21.342808 80.807 15.2547
21.497467 80.805 15.1132
21.653246 80.800 14.9893
21.810154 80.795 14.8781
21.968201 80.791 14.7812
22.127390 80.788 14.6891
22.287735 80.786 14.5953
22.449242 80.785 14.4931
22.611917 80.784 14.3736
22.775772 80.781 14.2372
22.940815 80.773 14.0744
23.107054 80.756 13.9062
23.274498 80.726 13.7383
23.443153 80.684 13.6071
23.613033 80.626 13.5412
23.784142 80.557 13.5699
23.956491 80.479 13.7330
24.130091 80.401 14.0286
24.304947 80.332 14.4791
24.481071 80.278 15.0512
24.658470 80.249 15.7381
24.837156 80.250 16.4819
25.017136 80.290 17.2423
25.198421 80.363 17.9603
25.381020 80.468 18.5710
25.564941 80.595 19.0516
25.750195 80.734 19.3548
25.936790 80.879 19.4889
26.124741 81.021 19.4370
26.314051 81.154 19.2284
26.504732 81.269 18.8724
26.696796 81.365 18.4126
26.890253 81.438 17.8860
27.085112 81.492 17.3217
27.281382 81.527 16.7573
27.479073 81.547 16.2037
27.678198 81.553 15.6839
27.878765 81.548 15.1996
28.080786 81.536 14.7621
28.284271 81.518 14.3665
28.489231 81.495 14.0132
28.695675 81.469 13.6984
28.903616 81.440 13.4182
29.113064 81.409 13.1733
29.324028 81.374 12.9620
29.536524 81.337 12.7872
29.750557 81.298 12.6506
29.966141 81.257 12.5541
30.183289 81.215 12.4994
30.402010 81.172 12.4880
30.622314 81.130 12.5230
30.844217 81.091 12.6009
31.067726 81.055 12.7221
31.292856 81.024 12.8777
31.519617 80.999 13.0622
31.748020 80.981 13.2657
31.978081 80.970 13.4781
32.209808 80.964 13.6947
32.443211 80.962 13.9059
32.678310 80.962 14.1167
32.915108 80.964 14.3264
33.153625 80.968 14.5427
33.393871 80.972 14.7718
33.635857 80.978 15.0186
33.879597 80.987 15.2926
34.125103 81.003 15.5866
34.372387 81.028 15.9027
34.621464 81.063 16.2215
34.872345 81.112 16.5317
35.125042 81.173 16.8107
35.379574 81.247 17.0378
35.635948 81.330 17.1969
35.894180 81.421 17.2643
36.154285 81.514 17.2421
36.416275 81.603 17.1187
36.680161 81.687 16.9104
36.945961 81.760 16.6220
37.213688 81.823 16.2765
37.483353 81.871 15.8921
37.754974 81.907 15.4886
38.028561 81.930 15.0892
38.304131 81.943 14.7025
38.581699 81.948 14.3442
38.861279 81.946 14.0155
39.142883 81.940 13.7256
39.426529 81.932 13.4653
39.712231 81.926 13.2323
40.000000 81.920 13.0153
40.289856 81.915 12.8029
40.581814 81.910 12.5933
40.875885 81.903 12.3798
41.172089 81.893 12.1653
41.470440 81.880 11.9476
41.770950 81.861 11.7363
42.073643 81.836 11.5362
42.378525 81.804 11.3602
42.685616 81.766 11.2207
42.994934 81.723 11.1251
43.306492 81.676 11.0851
43.620308 81.628 11.1009
43.936401 81.581 11.1786
44.254780 81.537 11.3117
44.575470 81.498 11.4995
44.898483 81.466 11.7306
45.223835 81.443 11.9978
45.551544 81.428 12.2886
45.881630 81.422 12.5906
46.214108 81.425 12.8965
46.548996 81.436 13.1973
46.886307 81.455 13.4856
47.226067 81.481 13.7517
47.568283 81.513 13.9936
47.912983 81.549 14.2063
48.260181 81.588 14.3897
48.609894 81.630 14.5419
48.962143 81.673 14.6638
49.316940 81.717 14.7545
49.674313 81.761 14.8179
50.034271 81.803 14.8566
50.396843 81.845 14.8740
50.762039 81.886 14.8738
51.129883 81.927 14.8570
51.500389 81.966 14.8254
51.873581 82.003 14.7811
52.249481 82.039 14.7274
52.628101 82.075 14.6631
53.009464 82.111 14.5888
53.393593 82.147 14.5022
53.780506 82.182 14.4010
54.170223 82.216 14.2862
54.562763 82.248 14.1569
54.958145 82.278 14.0162
55.356396 82.305 13.8657
55.757530 82.330 13.7093
56.161572 82.353 13.5505
56.568542 82.373 13.3913
56.978462 82.391 13.2346
57.391350 82.407 13.0803
57.807232 82.423 12.9298
58.226128 82.438 12.7813
58.648056 82.452 12.6332
59.073048 82.466 12.4852
59.501114 82.478 12.3362
59.932281 82.490 12.1863
60.366577 82.501 12.0345
60.804020 82.510 11.8833
61.244629 82.517 11.7331
61.688435 82.522 11.5882
62.135452 82.524 11.4529
62.585712 82.526 11.3272
63.039234 82.528 11.2132
63.496040 82.530 11.1102
63.956161 82.531 11.0188
64.419617 82.533 10.9361
64.886421 82.537 10.8604
65.356621 82.543 10.7881
65.830215 82.550 10.7157
66.307251 82.559 10.6412
66.787743 82.569 10.5623
67.271713 82.579 10.4762
67.759193 82.591 10.3788
68.250206 82.602 10.2712
68.744774 82.612 10.1516
69.242928 82.621 10.0242
69.744690 82.628 9.8916
70.250084 82.632 9.7573
70.759148 82.634 9.6248
71.271896 82.634 9.4972
71.788361 82.632 9.3792
72.308571 82.630 9.2692
72.832550 82.628 9.1684
73.360321 82.627 9.0732
73.891922 82.626 8.9805
74.427376 82.625 8.8902
74.966705 82.624 8.8010
75.509949 82.622 8.7132
76.057121 82.621 8.6265
76.608261 82.619 8.5402
77.163399 82.617 8.4517
77.722557 82.613 8.3662
78.285767 82.607 8.2870
78.853058 82.600 8.2161
79.424461 82.593 8.1570
80.000000 82.586 8.1091
80.579712 82.579 8.0741
81.163628 82.573 8.0480
81.751770 82.570 8.0283
82.344177 82.568 8.0120
82.940880 82.567 7.9953
83.541901 82.568 7.9780
84.147285 82.569 7.9597
84.757050 82.572 7.9380
85.371231 82.576 7.9106
85.989868 82.581 7.8771
86.612984 82.585 7.8350
87.240616 82.588 7.7881
87.872803 82.590 7.7385
88.509560 82.592 7.6881
89.150940 82.593 7.6394
89.796967 82.593 7.5921
90.447670 82.593 7.5467
91.103088 82.593 7.5031
91.763260 82.593 7.4618
92.428215 82.593 7.4221
93.097992 82.593 7.3835
93.772614 82.593 7.3461
94.452133 82.593 7.3101
95.136566 82.593 7.2751
95.825966 82.593 7.2406
96.520363 82.593 7.2071
