* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Audeze lcd xc_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 2:59:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Audeze lcd xc_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Audeze lcd xc_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 80.515 23.9790
5.036232 80.523 23.9752
5.072727 80.531 23.9710
5.109486 80.541 23.9658
5.146511 80.552 23.9600
5.183805 80.565 23.9536
5.221369 80.580 23.9470
5.259205 80.595 23.9411
5.297316 80.611 23.9350
5.335702 80.628 23.9281
5.374367 80.646 23.9210
5.413311 80.663 23.9144
5.452538 80.680 23.9080
5.492050 80.697 23.9016
5.531847 80.715 23.8950
5.571934 80.732 23.8880
5.612310 80.749 23.8810
5.652979 80.766 23.8745
5.693943 80.784 23.8680
5.735204 80.801 23.8611
5.776763 80.818 23.8540
5.818624 80.835 23.8470
5.860788 80.853 23.8400
5.903258 80.870 23.8330
5.946035 80.887 23.8260
5.989123 80.904 23.8190
6.032523 80.922 23.8120
6.076237 80.939 23.8050
6.120268 80.956 23.7980
6.164618 80.973 23.7911
6.209289 80.991 23.7840
6.254284 81.009 23.7766
6.299605 81.026 23.7690
6.345255 81.043 23.7615
6.391235 81.060 23.7540
6.437549 81.077 23.7465
6.484198 81.095 23.7390
6.531185 81.112 23.7315
6.578513 81.129 23.7240
6.626183 81.146 23.7166
6.674199 81.164 23.7090
6.722563 81.181 23.7010
6.771278 81.198 23.6930
6.820345 81.215 23.6855
6.869768 81.233 23.6780
6.919549 81.250 23.6701
6.969691 81.267 23.6620
7.020196 81.284 23.6541
7.071068 81.302 23.6460
7.122308 81.319 23.6375
7.173919 81.336 23.6290
7.225904 81.353 23.6210
7.278266 81.371 23.6130
7.331007 81.388 23.6046
7.384131 81.405 23.5960
7.437639 81.422 23.5875
7.491535 81.440 23.5790
7.545822 81.458 23.5705
7.600502 81.475 23.5620
7.655579 81.492 23.5536
7.711054 81.509 23.5450
7.766932 81.526 23.5361
7.823214 81.544 23.5270
7.879904 81.561 23.5180
7.937005 81.578 23.5090
7.994520 81.595 23.5000
8.052452 81.613 23.4910
8.110803 81.630 23.4821
8.169578 81.647 23.4730
8.228777 81.664 23.4635
8.288406 81.682 23.4540
8.348468 81.699 23.4450
8.408964 81.716 23.4360
8.469899 81.733 23.4266
8.531276 81.751 23.4170
8.593097 81.768 23.4076
8.655366 81.785 23.3980
8.718086 81.802 23.3881
8.781260 81.820 23.3780
8.844893 81.837 23.3680
8.908987 81.854 23.3580
8.973545 81.871 23.3480
9.038571 81.889 23.3380
9.104069 81.907 23.3280
9.170040 81.924 23.3180
9.236490 81.941 23.3081
9.303422 81.958 23.2980
9.370838 81.975 23.2876
9.438744 81.993 23.2770
9.507140 82.010 23.2665
9.576033 82.027 23.2560
9.645425 82.044 23.2455
9.715320 82.062 23.2350
9.785721 82.079 23.2246
9.856632 82.096 23.2140
9.928058 82.113 23.2031
10.000000 82.131 23.1920
10.072464 82.148 23.1810
10.145453 82.165 23.1700
10.218971 82.182 23.1591
10.293022 82.200 23.1480
10.367610 82.217 23.1366
10.442738 82.234 23.1250
10.518411 82.251 23.1135
10.594631 82.269 23.1020
10.671404 82.286 23.0905
10.748734 82.303 23.0790
10.826623 82.320 23.0676
10.905077 82.338 23.0560
10.984100 82.356 23.0441
11.063695 82.373 23.0320
11.143867 82.390 23.0200
11.224621 82.407 23.0080
11.305959 82.424 22.9960
11.387886 82.442 22.9840
11.470407 82.459 22.9721
11.553527 82.476 22.9600
11.637249 82.493 22.9476
11.721577 82.511 22.9350
11.806517 82.528 22.9225
11.892071 82.545 22.9100
11.978246 82.562 22.8975
12.065045 82.580 22.8850
12.152473 82.597 22.8726
12.240536 82.614 22.8600
12.329235 82.631 22.8471
12.418578 82.649 22.8340
12.508568 82.666 22.8211
12.599211 82.683 22.8080
12.690510 82.700 22.7945
12.782471 82.718 22.7810
12.875097 82.735 22.7680
12.968395 82.752 22.7550
13.062370 82.769 22.7416
13.157025 82.787 22.7280
13.252366 82.805 22.7145
13.348398 82.822 22.7010
13.445127 82.839 22.6876
13.542556 82.856 22.6740
13.640691 82.873 22.6601
13.739536 82.891 22.6460
13.839099 82.908 22.6320
13.939383 82.925 22.6180
14.040393 82.942 22.6040
14.142136 82.960 22.5900
14.244616 82.977 22.5761
14.347837 82.994 22.5620
14.451808 83.011 22.5476
14.556532 83.029 22.5330
14.662014 83.046 22.5185
14.768262 83.063 22.5040
14.875278 83.080 22.4895
14.983070 83.098 22.4750
15.091644 83.115 22.4606
15.201005 83.132 22.4460
15.311157 83.149 22.4311
15.422109 83.167 22.4160
15.533863 83.184 22.4010
15.646428 83.201 22.3860
15.759809 83.218 22.3710
15.874010 83.236 22.3560
15.989040 83.254 22.3410
16.104904 83.271 22.3260
16.221605 83.288 22.3111
16.339155 83.305 22.2960
16.457554 83.322 22.2806
16.576813 83.340 22.2650
16.696936 83.357 22.2495
16.817928 83.374 22.2340
16.939798 83.391 22.2186
17.062551 83.409 22.2030
17.186193 83.426 22.1871
17.310732 83.443 22.1710
17.436172 83.460 22.1550
17.562521 83.478 22.1390
17.689787 83.495 22.1231
17.817974 83.512 22.1070
17.947090 83.529 22.0906
18.077143 83.547 22.0740
18.208138 83.564 22.0571
18.340080 83.581 22.0400
18.472980 83.598 22.0231
18.606844 83.616 22.0060
18.741676 83.633 21.9882
18.877487 83.650 21.9700
19.014280 83.667 21.9518
19.152065 83.685 21.9330
19.290850 83.702 21.9134
19.430639 83.719 21.8930
19.571442 83.736 21.8721
19.713264 83.754 21.8500
19.856115 83.772 21.8265
20.000000 83.789 21.8010
20.144928 83.806 21.7731
20.290907 83.823 21.7420
20.437943 83.840 21.7074
20.586044 83.857 21.6680
20.735220 83.874 21.6222
20.885475 83.889 21.5711
21.036821 83.902 21.5144
21.189262 83.913 21.4551
21.342808 83.922 21.3935
21.497467 83.927 21.3371
21.653246 83.928 21.2907
21.810154 83.925 21.2620
21.968201 83.920 21.2594
22.127390 83.913 21.2850
22.287735 83.906 21.3446
22.449242 83.899 21.4349
22.611917 83.895 21.5567
22.775772 83.895 21.7038
22.940815 83.899 21.8733
23.107054 83.909 22.0557
23.274498 83.925 22.2430
23.443153 83.945 22.4277
23.613033 83.970 22.5996
23.784142 83.998 22.7589
23.956491 84.027 22.9008
24.130091 84.057 23.0309
24.304947 84.085 23.1500
24.481071 84.111 23.2668
24.658470 84.136 23.3884
24.837156 84.159 23.5208
25.017136 84.181 23.6713
25.198421 84.203 23.8438
25.381020 84.227 24.0436
25.564941 84.253 24.2738
25.750195 84.281 24.5424
25.936790 84.316 24.8396
26.124741 84.363 25.1627
26.314051 84.420 25.4975
26.504732 84.488 25.8324
26.696796 84.567 26.1576
26.890253 84.658 26.4662
27.085112 84.763 26.7387
27.281382 84.882 26.9593
27.479073 85.014 27.1108
27.678198 85.155 27.1744
27.878765 85.305 27.1391
28.080786 85.460 26.9898
28.284271 85.618 26.7205
28.489231 85.775 26.3190
28.695675 85.927 25.7878
28.903616 86.070 25.1216
29.113064 86.200 24.3312
29.324028 86.315 23.4159
29.536524 86.409 22.4052
29.750557 86.475 21.3153
29.966141 86.515 20.1852
30.183289 86.525 19.0469
30.402010 86.508 17.9373
30.622314 86.462 16.8943
30.844217 86.392 15.9481
31.067726 86.299 15.1379
31.292856 86.191 14.4749
31.519617 86.072 13.9873
31.748020 85.951 13.6623
31.978081 85.835 13.5060
32.209808 85.729 13.4889
32.443211 85.639 13.5955
32.678310 85.567 13.7897
32.915108 85.518 14.0408
33.153625 85.490 14.3177
33.393871 85.482 14.5847
33.635857 85.491 14.8237
33.879597 85.515 15.0068
34.125103 85.550 15.1269
34.372387 85.591 15.1643
34.621464 85.634 15.1281
34.872345 85.674 15.0160
35.125042 85.709 14.8432
35.379574 85.737 14.6198
35.635948 85.758 14.3593
35.894180 85.770 14.0724
36.154285 85.773 13.7784
36.416275 85.763 13.4980
36.680161 85.745 13.2384
36.945961 85.724 13.0140
37.213688 85.700 12.8243
37.483353 85.671 12.6727
37.754974 85.641 12.5611
38.028561 85.611 12.4955
38.304131 85.583 12.4670
38.581699 85.560 12.4713
38.861279 85.540 12.5009
39.142883 85.524 12.5478
39.426529 85.513 12.6099
39.712231 85.506 12.6856
40.000000 85.503 12.7659
40.289856 85.507 12.8424
40.581814 85.516 12.9109
40.875885 85.527 12.9646
41.172089 85.542 13.0030
41.470440 85.559 13.0244
41.770950 85.579 13.0250
42.073643 85.600 12.9989
42.378525 85.621 12.9501
42.685616 85.640 12.8787
42.994934 85.657 12.7901
43.306492 85.672 12.6889
43.620308 85.685 12.5772
43.936401 85.695 12.4574
44.254780 85.703 12.3332
44.575470 85.708 12.2081
44.898483 85.711 12.0842
45.223835 85.712 11.9646
45.551544 85.711 11.8492
45.881630 85.709 11.7377
46.214108 85.704 11.6332
46.548996 85.697 11.5373
46.886307 85.688 11.4541
47.226067 85.677 11.3883
47.568283 85.666 11.3401
47.912983 85.655 11.3115
48.260181 85.644 11.3020
48.609894 85.633 11.3122
48.962143 85.624 11.3399
49.316940 85.618 11.3866
49.674313 85.615 11.4429
50.034271 85.618 11.5020
50.396843 85.625 11.5579
50.762039 85.634 11.6017
51.129883 85.645 11.6350
51.500389 85.656 11.6558
51.873581 85.667 11.6660
52.249481 85.678 11.6651
52.628101 85.689 11.6570
53.009464 85.698 11.6432
53.393593 85.705 11.6300
53.780506 85.710 11.6234
54.170223 85.714 11.6260
54.562763 85.718 11.6436
54.958145 85.723 11.6719
55.356396 85.731 11.7106
55.757530 85.742 11.7539
56.161572 85.755 11.7975
56.568542 85.771 11.8379
56.978462 85.789 11.8716
57.391350 85.809 11.8950
57.807232 85.831 11.9026
58.226128 85.854 11.8970
58.648056 85.875 11.8765
59.073048 85.895 11.8481
59.501114 85.913 11.8184
59.932281 85.930 11.7871
60.366577 85.948 11.7561
60.804020 85.967 11.7251
61.244629 85.984 11.6945
61.688435 86.002 11.6641
62.135452 86.022 11.6360
62.585712 86.044 11.6031
63.039234 86.068 11.5586
63.496040 86.093 11.5031
63.956161 86.117 11.4346
64.419617 86.140 11.3542
64.886421 86.164 11.2620
65.356621 86.187 11.1582
65.830215 86.209 11.0409
66.307251 86.228 10.9163
66.787743 86.243 10.7892
67.271713 86.256 10.6622
67.759193 86.269 10.5395
68.250206 86.281 10.4212
68.744774 86.290 10.3081
69.242928 86.298 10.2022
69.744690 86.307 10.1075
70.250084 86.316 10.0192
70.759148 86.327 9.9340
71.271896 86.338 9.8512
71.788361 86.349 9.7687
72.308571 86.360 9.6862
72.832550 86.372 9.6023
73.360321 86.385 9.5172
73.891922 86.397 9.4303
74.427376 86.410 9.3422
74.966705 86.423 9.2535
75.509949 86.436 9.1632
76.057121 86.449 9.0696
76.608261 86.462 8.9742
77.163399 86.474 8.8778
77.722557 86.487 8.7802
78.285767 86.500 8.6820
78.853058 86.514 8.5812
79.424461 86.528 8.4758
80.000000 86.541 8.3672
80.579712 86.554 8.2558
81.163628 86.567 8.1422
81.751770 86.579 8.0270
82.344177 86.592 7.9102
82.940880 86.605 7.7923
83.541901 86.618 7.6722
84.147285 86.631 7.5496
84.757050 86.644 7.4232
85.371231 86.657 7.2925
85.989868 86.671 7.1563
86.612984 86.684 7.0134
87.240616 86.697 6.8643
87.872803 86.709 6.7090
88.509560 86.721 6.5473
89.150940 86.733 6.3789
89.796967 86.743 6.2044
90.447670 86.751 6.0230
91.103088 86.758 5.8394
91.763260 86.762 5.6574
92.428215 86.764 5.4784
93.097992 86.765 5.3049
93.772614 86.766 5.1363
94.452133 86.766 4.9733
95.136566 86.766 4.8143
95.825966 86.766 4.6587
96.520363 86.766 4.5053
