* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\mm500_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:13:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\mm500_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: mm500_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 88.472 6.0280
5.036232 88.474 6.0309
5.072727 88.476 6.0340
5.109486 88.478 6.0372
5.146511 88.480 6.0410
5.183805 88.483 6.0457
5.221369 88.486 6.0510
5.259205 88.489 6.0568
5.297316 88.493 6.0630
5.335702 88.496 6.0694
5.374367 88.500 6.0760
5.413311 88.504 6.0824
5.452538 88.507 6.0890
5.492050 88.510 6.0959
5.531847 88.514 6.1030
5.571934 88.517 6.1100
5.612310 88.521 6.1170
5.652979 88.525 6.1240
5.693943 88.529 6.1310
5.735204 88.533 6.1379
5.776763 88.536 6.1450
5.818624 88.539 6.1524
5.860788 88.543 6.1600
5.903258 88.547 6.1675
5.946035 88.550 6.1750
5.989123 88.553 6.1825
6.032523 88.557 6.1900
6.076237 88.560 6.1974
6.120268 88.564 6.2050
6.164618 88.568 6.2130
6.209289 88.572 6.2210
6.254284 88.576 6.2285
6.299605 88.579 6.2360
6.345255 88.582 6.2439
6.391235 88.586 6.2520
6.437549 88.590 6.2605
6.484198 88.593 6.2690
6.531185 88.596 6.2770
6.578513 88.600 6.2850
6.626183 88.604 6.2934
6.674199 88.608 6.3020
6.722563 88.612 6.3110
6.771278 88.615 6.3200
6.820345 88.618 6.3285
6.869768 88.622 6.3370
6.919549 88.625 6.3459
6.969691 88.629 6.3550
7.020196 88.632 6.3640
7.071068 88.636 6.3730
7.122308 88.640 6.3819
7.173919 88.644 6.3910
7.225904 88.648 6.4004
7.278266 88.651 6.4100
7.331007 88.654 6.4195
7.384131 88.658 6.4290
7.437639 88.661 6.4385
7.491535 88.665 6.4480
7.545822 88.668 6.4574
7.600502 88.672 6.4670
7.655579 88.676 6.4769
7.711054 88.680 6.4870
7.766932 88.684 6.4975
7.823214 88.687 6.5080
7.879904 88.690 6.5180
7.937005 88.694 6.5280
7.994520 88.697 6.5384
8.052452 88.701 6.5490
8.110803 88.704 6.5594
8.169578 88.708 6.5700
8.228777 88.712 6.5809
8.288406 88.716 6.5920
8.348468 88.720 6.6029
8.408964 88.723 6.6140
8.469899 88.727 6.6255
8.531276 88.730 6.6370
8.593097 88.733 6.6479
8.655366 88.737 6.6590
8.718086 88.741 6.6709
8.781260 88.744 6.6830
8.844893 88.747 6.6945
8.908987 88.751 6.7060
8.973545 88.755 6.7179
9.038571 88.759 6.7300
9.104069 88.763 6.7425
9.170040 88.766 6.7550
9.236490 88.770 6.7669
9.303422 88.773 6.7790
9.370838 88.776 6.7919
9.438744 88.780 6.8050
9.507140 88.783 6.8180
9.576033 88.787 6.8310
9.645425 88.791 6.8440
9.715320 88.795 6.8570
9.785721 88.799 6.8699
9.856632 88.802 6.8830
9.928058 88.805 6.8969
10.000000 88.809 6.9110
10.072464 88.812 6.9244
10.145453 88.816 6.9380
10.218971 88.819 6.9524
10.293022 88.823 6.9670
10.367610 88.827 6.9809
10.442738 88.831 6.9950
10.518411 88.835 7.0099
10.594631 88.838 7.0250
10.671404 88.841 7.0394
10.748734 88.845 7.0540
10.826623 88.848 7.0694
10.905077 88.852 7.0850
10.984100 88.855 7.1005
11.063695 88.859 7.1160
11.143867 88.863 7.1314
11.224621 88.867 7.1470
11.305959 88.871 7.1634
11.387886 88.874 7.1800
11.470407 88.877 7.1965
11.553527 88.881 7.2130
11.637249 88.884 7.2294
11.721577 88.888 7.2460
11.806517 88.891 7.2629
11.892071 88.895 7.2800
11.978246 88.899 7.2974
12.065045 88.903 7.3150
12.152473 88.907 7.3329
12.240536 88.910 7.3510
12.329235 88.913 7.3689
12.418578 88.917 7.3870
12.508568 88.921 7.4054
12.599211 88.924 7.4240
12.690510 88.927 7.4429
12.782471 88.931 7.4620
12.875097 88.935 7.4814
12.968395 88.939 7.5010
13.062370 88.943 7.5204
13.157025 88.946 7.5400
13.252366 88.950 7.5604
13.348398 88.953 7.5810
13.445127 88.956 7.6014
13.542556 88.960 7.6220
13.640691 88.964 7.6429
13.739536 88.967 7.6640
13.839099 88.970 7.6853
13.939383 88.974 7.7070
14.040393 88.978 7.7294
14.142136 88.982 7.7520
14.244616 88.986 7.7744
14.347837 88.989 7.7970
14.451808 88.993 7.8198
14.556532 88.996 7.8430
14.662014 88.999 7.8669
14.768262 89.003 7.8910
14.875278 89.006 7.9148
14.983070 89.010 7.9390
15.091644 89.014 7.9638
15.201005 89.018 7.9890
15.311157 89.022 8.0143
15.422109 89.025 8.0400
15.533863 89.028 8.0663
15.646428 89.032 8.0930
15.759809 89.035 8.1199
15.874010 89.039 8.1470
15.989040 89.042 8.1743
16.104904 89.046 8.2020
16.221605 89.050 8.2302
16.339155 89.054 8.2590
16.457554 89.058 8.2883
16.576813 89.061 8.3180
16.696936 89.064 8.3478
16.817928 89.068 8.3780
16.939798 89.071 8.4087
17.062551 89.075 8.4400
17.186193 89.078 8.4717
17.310732 89.082 8.5040
17.436172 89.086 8.5367
17.562521 89.090 8.5700
17.689787 89.094 8.6037
17.817974 89.097 8.6380
17.947090 89.100 8.6727
18.077143 89.104 8.7080
18.208138 89.107 8.7442
18.340080 89.111 8.7810
18.472980 89.114 8.8182
18.606844 89.118 8.8560
18.741676 89.122 8.8946
18.877487 89.126 8.9340
19.014280 89.130 8.9741
19.152065 89.133 9.0150
19.290850 89.137 9.0561
19.430639 89.140 9.0980
19.571442 89.143 9.1406
19.713264 89.146 9.1849
19.856115 89.149 9.2321
20.000000 89.152 9.2819
20.144928 89.155 9.3347
20.290907 89.158 9.3909
20.437943 89.161 9.4522
20.586044 89.165 9.5160
20.735220 89.170 9.5811
20.885475 89.177 9.6449
21.036821 89.185 9.7044
21.189262 89.193 9.7599
21.342808 89.201 9.8106
21.497467 89.208 9.8569
21.653246 89.216 9.8989
21.810154 89.223 9.9370
21.968201 89.229 9.9702
22.127390 89.233 10.0030
22.287735 89.235 10.0388
22.449242 89.237 10.0790
22.611917 89.238 10.1261
22.775772 89.239 10.1799
22.940815 89.239 10.2406
23.107054 89.239 10.3089
23.274498 89.239 10.3858
23.443153 89.239 10.4709
23.613033 89.240 10.5639
23.784142 89.241 10.6649
23.956491 89.242 10.7743
24.130091 89.245 10.8909
24.304947 89.250 11.0145
24.481071 89.256 11.1418
24.658470 89.264 11.2689
24.837156 89.273 11.3968
25.017136 89.282 11.5260
25.198421 89.292 11.6549
25.381020 89.304 11.7821
25.564941 89.317 11.9069
25.750195 89.330 12.0261
25.936790 89.342 12.1459
26.124741 89.353 12.2700
26.314051 89.363 12.4018
26.504732 89.374 12.5464
26.696796 89.386 12.7028
26.890253 89.399 12.8725
27.085112 89.415 13.0538
27.281382 89.434 13.2476
27.479073 89.457 13.4477
27.678198 89.485 13.6509
27.878765 89.518 13.8487
28.080786 89.557 14.0335
28.284271 89.600 14.1998
28.489231 89.647 14.3400
28.695675 89.696 14.4529
28.903616 89.748 14.5345
29.113064 89.800 14.5859
29.324028 89.852 14.6056
29.536524 89.902 14.5980
29.750557 89.950 14.5665
29.966141 89.997 14.5141
30.183289 90.042 14.4450
30.402010 90.085 14.3591
30.622314 90.127 14.2569
30.844217 90.166 14.1401
31.067726 90.203 14.0099
31.292856 90.237 13.8682
31.519617 90.269 13.7163
31.748020 90.297 13.5572
31.978081 90.322 13.3931
32.209808 90.343 13.2282
32.443211 90.361 13.0664
32.678310 90.377 12.9102
32.915108 90.390 12.7636
33.153625 90.401 12.6262
33.393871 90.412 12.4992
33.635857 90.422 12.3812
33.879597 90.431 12.2714
34.125103 90.439 12.1691
34.372387 90.448 12.0738
34.621464 90.457 11.9841
34.872345 90.465 11.8991
35.125042 90.474 11.8171
35.379574 90.483 11.7363
35.635948 90.493 11.6561
35.894180 90.503 11.5752
36.154285 90.512 11.4941
36.416275 90.520 11.4127
36.680161 90.528 11.3311
36.945961 90.535 11.2496
37.213688 90.542 11.1681
37.483353 90.548 11.0858
37.754974 90.553 11.0061
38.028561 90.556 10.9316
38.304131 90.557 10.8641
38.581699 90.558 10.8064
38.861279 90.559 10.7581
39.142883 90.559 10.7194
39.426529 90.560 10.6900
39.712231 90.562 10.6705
40.000000 90.564 10.6590
40.289856 90.568 10.6550
40.581814 90.573 10.6550
40.875885 90.580 10.6556
41.172089 90.589 10.6560
41.470440 90.598 10.6548
41.770950 90.609 10.6500
42.073643 90.621 10.6400
42.378525 90.634 10.6220
42.685616 90.648 10.5916
42.994934 90.661 10.5531
43.306492 90.672 10.5085
43.620308 90.681 10.4601
43.936401 90.690 10.4101
44.254780 90.698 10.3601
44.575470 90.704 10.3109
44.898483 90.709 10.2671
45.223835 90.711 10.2329
45.551544 90.713 10.2100
45.881630 90.714 10.2016
46.214108 90.716 10.2070
46.548996 90.718 10.2273
46.886307 90.723 10.2599
47.226067 90.731 10.3055
47.568283 90.742 10.3559
47.912983 90.757 10.4050
48.260181 90.776 10.4479
48.609894 90.798 10.4778
48.962143 90.822 10.4940
49.316940 90.847 10.4940
49.674313 90.873 10.4760
50.034271 90.901 10.4378
50.396843 90.929 10.3791
50.762039 90.956 10.2974
51.129883 90.981 10.1982
51.500389 91.003 10.0851
51.873581 91.023 9.9612
52.249481 91.041 9.8307
52.628101 91.056 9.6942
53.009464 91.070 9.5527
53.393593 91.081 9.4092
53.780506 91.089 9.2660
54.170223 91.095 9.1262
54.562763 91.099 8.9939
54.958145 91.101 8.8692
55.356396 91.102 8.7541
55.757530 91.102 8.6472
56.161572 91.102 8.5482
56.568542 91.102 8.4561
56.978462 91.102 8.3705
57.391350 91.102 8.2901
57.807232 91.102 8.2136
58.226128 91.102 8.1411
58.648056 91.102 8.0724
59.073048 91.102 8.0071
59.501114 91.102 7.9446
59.932281 91.102 7.8851
60.366577 91.102 7.8287
60.804020 91.102 7.7751
61.244629 91.102 7.7240
61.688435 91.102 7.6761
62.135452 91.102 7.6322
62.585712 91.102 7.5921
63.039234 91.102 7.5556
63.496040 91.103 7.5231
63.956161 91.104 7.4950
64.419617 91.106 7.4700
64.886421 91.109 7.4477
65.356621 91.114 7.4250
65.830215 91.120 7.3992
66.307251 91.126 7.3691
66.787743 91.133 7.3323
67.271713 91.141 7.2891
67.759193 91.149 7.2384
68.250206 91.156 7.1811
68.744774 91.163 7.1170
69.242928 91.169 7.0481
69.744690 91.173 6.9756
70.250084 91.176 6.9021
70.759148 91.178 6.8311
71.271896 91.179 6.7621
71.788361 91.180 6.6961
72.308571 91.180 6.6331
72.832550 91.180 6.5737
73.360321 91.180 6.5171
73.891922 91.180 6.4627
74.427376 91.180 6.4101
74.966705 91.180 6.3585
75.509949 91.180 6.3081
76.057121 91.180 6.2587
76.608261 91.180 6.2101
77.163399 91.180 6.1619
77.722557 91.180 6.1141
78.285767 91.180 6.0667
78.853058 91.180 6.0191
79.424461 91.180 5.9710
80.000000 91.180 5.9221
80.579712 91.180 5.8720
81.163628 91.180 5.8201
81.751770 91.179 5.7655
82.344177 91.178 5.7091
82.940880 91.177 5.6506
83.541901 91.174 5.5921
84.147285 91.170 5.5349
84.757050 91.164 5.4821
85.371231 91.157 5.4372
85.989868 91.149 5.4001
86.612984 91.142 5.3719
87.240616 91.134 5.3520
87.872803 91.126 5.3402
88.509560 91.119 5.3360
89.150940 91.113 5.3403
89.796967 91.109 5.3490
90.447670 91.106 5.3585
91.103088 91.104 5.3680
91.763260 91.103 5.3750
92.428215 91.102 5.3800
93.097992 91.102 5.3825
93.772614 91.102 5.3830
94.452133 91.102 5.3817
95.136566 91.102 5.3790
95.825966 91.102 5.3754
96.520363 91.102 5.3710
97.219788 91.102 5.3661
97.924286 91.102 5.3610
