* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\ATH-M50x_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:54:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\ATH-M50x_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: ATH-M50x_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 75.308 91.7080
5.036232 75.339 91.6771
5.072727 75.373 91.6440
5.109486 75.412 91.6062
5.146511 75.458 91.5630
5.183805 75.512 91.5115
5.221369 75.571 91.4560
5.259205 75.632 91.4005
5.297316 75.697 91.3430
5.335702 75.765 91.2821
5.374367 75.835 91.2200
5.413311 75.904 91.1586
5.452538 75.974 91.0970
5.492050 76.043 91.0351
5.531847 76.112 90.9730
5.571934 76.181 90.9107
5.612310 76.251 90.8480
5.652979 76.320 90.7848
5.693943 76.389 90.7210
5.735204 76.458 90.6567
5.776763 76.527 90.5920
5.818624 76.596 90.5273
5.860788 76.666 90.4620
5.903258 76.735 90.3958
5.946035 76.804 90.3290
5.989123 76.873 90.2622
6.032523 76.943 90.1950
6.076237 77.012 90.1273
6.120268 77.081 90.0590
6.164618 77.150 89.9903
6.209289 77.220 89.9210
6.254284 77.289 89.8513
6.299605 77.358 89.7810
6.345255 77.427 89.7102
6.391235 77.497 89.6390
6.437549 77.566 89.5678
6.484198 77.635 89.4960
6.531185 77.704 89.4228
6.578513 77.774 89.3490
6.626183 77.843 89.2752
6.674199 77.912 89.2010
6.722563 77.981 89.1263
6.771278 78.051 89.0510
6.820345 78.120 88.9753
6.869768 78.189 88.8990
6.919549 78.258 88.8218
6.969691 78.328 88.7440
7.020196 78.397 88.6658
7.071068 78.466 88.5870
7.122308 78.535 88.5078
7.173919 78.605 88.4280
7.225904 78.674 88.3473
7.278266 78.743 88.2660
7.331007 78.812 88.1843
7.384131 78.882 88.1020
7.437639 78.951 88.0193
7.491535 79.020 87.9360
7.545822 79.089 87.8518
7.600502 79.159 87.7670
7.655579 79.228 87.6818
7.711054 79.297 87.5960
7.766932 79.366 87.5094
7.823214 79.436 87.4220
7.879904 79.505 87.3338
7.937005 79.574 87.2450
7.994520 79.643 87.1558
8.052452 79.713 87.0660
8.110803 79.782 86.9754
8.169578 79.851 86.8840
8.228777 79.920 86.7919
8.288406 79.989 86.6990
8.348468 80.058 86.6053
8.408964 80.128 86.5110
8.469899 80.197 86.4164
8.531276 80.266 86.3210
8.593097 80.335 86.2250
8.655366 80.405 86.1280
8.718086 80.474 86.0299
8.781260 80.543 85.9310
8.844893 80.612 85.8319
8.908987 80.682 85.7320
8.973545 80.751 85.6315
9.038571 80.820 85.5300
9.104069 80.889 85.4275
9.170040 80.959 85.3240
9.236490 81.028 85.2199
9.303422 81.097 85.1150
9.370838 81.166 85.0100
9.438744 81.236 84.9040
9.507140 81.305 84.7965
9.576033 81.374 84.6880
9.645425 81.443 84.5794
9.715320 81.513 84.4701
9.785721 81.582 84.3596
9.856632 81.651 84.2481
9.928058 81.720 84.1355
10.000000 81.790 84.0221
10.072464 81.859 83.9080
10.145453 81.928 83.7931
10.218971 81.997 83.6776
10.293022 82.067 83.5610
10.367610 82.136 83.4430
10.442738 82.205 83.3240
10.518411 82.274 83.2044
10.594631 82.344 83.0840
10.671404 82.413 82.9625
10.748734 82.482 82.8400
10.826623 82.551 82.7165
10.905077 82.621 82.5921
10.984100 82.690 82.4671
11.063695 82.759 82.3411
11.143867 82.828 82.2136
11.224621 82.898 82.0850
11.305959 82.967 81.9556
11.387886 83.036 81.8251
11.470407 83.105 81.6931
11.553527 83.174 81.5600
11.637249 83.243 81.4266
11.721577 83.313 81.2921
11.806517 83.382 81.1563
11.892071 83.451 81.0191
11.978246 83.520 80.8806
12.065045 83.590 80.7410
12.152473 83.659 80.6006
12.240536 83.728 80.4590
12.329235 83.797 80.3162
12.418578 83.867 80.1721
12.508568 83.936 80.0267
12.599211 84.005 79.8801
12.690510 84.074 79.7327
12.782471 84.144 79.5841
12.875097 84.213 79.4338
12.968395 84.282 79.2821
13.062370 84.351 79.1292
13.157025 84.421 78.9751
13.252366 84.490 78.8197
13.348398 84.559 78.6631
13.445127 84.628 78.5053
13.542556 84.698 78.3462
13.640691 84.767 78.1853
13.739536 84.836 78.0231
13.839099 84.905 77.8598
13.939383 84.975 77.6951
14.040393 85.044 77.5284
14.142136 85.113 77.3601
14.244616 85.182 77.1908
14.347837 85.252 77.0201
14.451808 85.321 76.8479
14.556532 85.390 76.6741
14.662014 85.459 76.4985
14.768262 85.529 76.3212
14.875278 85.598 76.1425
14.983070 85.667 75.9622
15.091644 85.736 75.7800
15.201005 85.806 75.5961
15.311157 85.875 75.4110
15.422109 85.944 75.2241
15.533863 86.013 75.0350
15.646428 86.083 74.8441
15.759809 86.152 74.6520
15.874010 86.221 74.4581
15.989040 86.290 74.2621
16.104904 86.359 74.0642
16.221605 86.428 73.8647
16.339155 86.498 73.6632
16.457554 86.567 73.4592
16.576813 86.636 73.2532
16.696936 86.705 73.0456
16.817928 86.775 72.8361
16.939798 86.844 72.6248
17.062551 86.913 72.4113
17.186193 86.982 72.1953
17.310732 87.052 71.9771
17.436172 87.121 71.7572
17.562521 87.190 71.5352
17.689787 87.259 71.3109
17.817974 87.329 71.0843
17.947090 87.398 70.8549
18.077143 87.467 70.6231
18.208138 87.536 70.3893
18.340080 87.606 70.1533
18.472980 87.675 69.9149
18.606844 87.744 69.6741
18.741676 87.813 69.4307
18.877487 87.883 69.1852
19.014280 87.952 68.9385
19.152065 88.021 68.6893
19.290850 88.091 68.4370
19.430639 88.161 68.1812
19.571442 88.231 67.9219
19.713264 88.302 67.6573
19.856115 88.373 67.3859
20.000000 88.445 67.1073
20.144928 88.516 66.8184
20.290907 88.585 66.5253
20.437943 88.651 66.2325
20.586044 88.717 65.9412
20.735220 88.784 65.6546
20.885475 88.851 65.3703
21.036821 88.918 65.0869
21.189262 88.985 64.8054
21.342808 89.053 64.5281
21.497467 89.124 64.2494
21.653246 89.197 63.9663
21.810154 89.273 63.6724
21.968201 89.351 63.3606
22.127390 89.430 63.0304
22.287735 89.508 62.6781
22.449242 89.585 62.3063
22.611917 89.661 61.9149
22.775772 89.735 61.5085
22.940815 89.805 61.0904
23.107054 89.873 60.6646
23.274498 89.939 60.2358
23.443153 90.003 59.8046
23.613033 90.065 59.3732
23.784142 90.127 58.9414
23.956491 90.188 58.5101
24.130091 90.248 58.0775
24.304947 90.308 57.6425
24.481071 90.368 57.2036
24.658470 90.427 56.7582
24.837156 90.485 56.3076
25.017136 90.541 55.8526
25.198421 90.597 55.3925
25.381020 90.653 54.9271
25.564941 90.708 54.4564
25.750195 90.761 53.9793
25.936790 90.812 53.4986
26.124741 90.861 53.0172
26.314051 90.910 52.5337
26.504732 90.959 52.0483
26.696796 91.007 51.5586
26.890253 91.054 51.0611
27.085112 91.100 50.5586
27.281382 91.143 50.0528
27.479073 91.185 49.5437
27.678198 91.227 49.0327
27.878765 91.268 48.5167
28.080786 91.308 47.9922
28.284271 91.346 47.4617
28.489231 91.381 46.9268
28.695675 91.414 46.3877
28.903616 91.446 45.8442
29.113064 91.475 45.2988
29.324028 91.500 44.7525
29.536524 91.521 44.2106
29.750557 91.540 43.6786
29.966141 91.557 43.1566
30.183289 91.572 42.6470
30.402010 91.586 42.1486
30.622314 91.599 41.6623
30.844217 91.612 41.1836
31.067726 91.627 40.7088
31.292856 91.641 40.2367
31.519617 91.654 39.7652
31.748020 91.666 39.2926
31.978081 91.679 38.8171
32.209808 91.691 38.3376
32.443211 91.701 37.8508
32.678310 91.709 37.3616
32.915108 91.712 36.8738
33.153625 91.713 36.3886
33.393871 91.713 35.9077
33.635857 91.709 35.4337
33.879597 91.700 34.9677
34.125103 91.688 34.5156
34.372387 91.673 34.0830
34.621464 91.656 33.6716
34.872345 91.636 33.2828
35.125042 91.614 32.9224
35.379574 91.589 32.5973
35.635948 91.564 32.3053
35.894180 91.542 32.0488
36.154285 91.522 31.8213
36.416275 91.504 31.6185
36.680161 91.490 31.4373
36.945961 91.479 31.2752
37.213688 91.473 31.1262
37.483353 91.471 30.9847
37.754974 91.474 30.8462
38.028561 91.480 30.7051
38.304131 91.489 30.5592
38.581699 91.502 30.4040
38.861279 91.517 30.2413
39.142883 91.532 30.0721
39.426529 91.550 29.8943
39.712231 91.571 29.7070
40.000000 91.594 29.5063
40.289856 91.618 29.2866
40.581814 91.643 29.0514
40.875885 91.667 28.8033
41.172089 91.692 28.5384
41.470440 91.718 28.2530
41.770950 91.744 27.9485
42.073643 91.767 27.6231
42.378525 91.787 27.2835
42.685616 91.804 26.9351
42.994934 91.818 26.5795
43.306492 91.830 26.2181
43.620308 91.839 25.8566
43.936401 91.844 25.5007
44.254780 91.846 25.1515
44.575470 91.848 24.8126
44.898483 91.849 24.4815
45.223835 91.849 24.1577
45.551544 91.849 23.8395
45.881630 91.849 23.5256
46.214108 91.849 23.2145
46.548996 91.849 22.9046
46.886307 91.849 22.5935
47.226067 91.849 22.2788
47.568283 91.849 21.9595
47.912983 91.848 21.6342
48.260181 91.846 21.3016
48.609894 91.843 20.9584
48.962143 91.837 20.6085
49.316940 91.828 20.2521
49.674313 91.814 19.8966
50.034271 91.796 19.5475
50.396843 91.773 19.2105
50.762039 91.746 18.8910
51.129883 91.715 18.5955
51.500389 91.681 18.3324
51.873581 91.645 18.1014
52.249481 91.610 17.9079
52.628101 91.577 17.7423
53.009464 91.548 17.5997
53.393593 91.523 17.4712
53.780506 91.502 17.3490
54.170223 91.484 17.2242
54.562763 91.470 17.0872
54.958145 91.458 16.9333
55.356396 91.446 16.7516
55.757530 91.431 16.5503
56.161572 91.411 16.3304
56.568542 91.385 16.1024
56.978462 91.353 15.8720
57.391350 91.312 15.6544
57.807232 91.261 15.4611
58.226128 91.202 15.3082
58.648056 91.135 15.2131
59.073048 91.062 15.1830
59.501114 90.986 15.2294
59.932281 90.908 15.3567
60.366577 90.830 15.5739
60.804020 90.754 15.8794
61.244629 90.685 16.2787
61.688435 90.625 16.7591
62.135452 90.578 17.3130
62.585712 90.544 17.9299
63.039234 90.524 18.6035
63.496040 90.522 19.3128
63.956161 90.542 20.0423
64.419617 90.582 20.7687
64.886421 90.642 21.4674
65.356621 90.719 22.1259
65.830215 90.811 22.7273
66.307251 90.917 23.2600
66.787743 91.036 23.7076
67.271713 91.164 24.0674
67.759193 91.296 24.3293
68.250206 91.431 24.4998
68.744774 91.566 24.5804
69.242928 91.702 24.5761
69.744690 91.835 24.4904
70.250084 91.965 24.3284
70.759148 92.090 24.0931
71.271896 92.210 23.7946
71.788361 92.321 23.4405
72.308571 92.425 23.0408
72.832550 92.520 22.6055
73.360321 92.608 22.1429
73.891922 92.688 21.6625
74.427376 92.761 21.1700
74.966705 92.827 20.6718
75.509949 92.888 20.1739
76.057121 92.943 19.6850
76.608261 92.994 19.2029
77.163399 93.044 18.7311
77.722557 93.093 18.2620
78.285767 93.142 17.7889
78.853058 93.189 17.3130
79.424461 93.233 16.8329
80.000000 93.275 16.3490
80.579712 93.316 15.8627
81.163628 93.357 15.3690
81.751770 93.397 14.8630
82.344177 93.435 14.3451
82.940880 93.470 13.8142
83.541901 93.503 13.2701
84.147285 93.533 12.7120
84.757050 93.560 12.1411
85.371231 93.582 11.5553
85.989868 93.598 10.9632
86.612984 93.607 10.3707
87.240616 93.609 9.7842
87.872803 93.606 9.2093
88.509560 93.597 8.6541
89.150940 93.581 8.1259
89.796967 93.559 7.6320
90.447670 93.534 7.1825
91.103088 93.506 6.7768
91.763260 93.477 6.4180
92.428215 93.449 6.1046
93.097992 93.423 5.8395
93.772614 93.402 5.6124
94.452133 93.387 5.4173
95.136566 93.378 5.2443
95.825966 93.375 5.0841
96.520363 93.379 4.9303
97.219788 93.389 4.7767
