* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\ATH-R70x_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:18:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\ATH-R70x_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: ATH-R70x_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 74.423 83.1360
5.036232 74.450 83.1216
5.072727 74.479 83.1060
5.109486 74.513 83.0877
5.146511 74.553 83.0670
5.183805 74.600 83.0431
5.221369 74.651 83.0180
5.259205 74.704 82.9938
5.297316 74.760 82.9690
5.335702 74.819 82.9426
5.374367 74.880 82.9160
5.413311 74.940 82.8909
5.452538 75.000 82.8660
5.492050 75.060 82.8401
5.531847 75.121 82.8140
5.571934 75.181 82.7885
5.612310 75.241 82.7630
5.652979 75.301 82.7371
5.693943 75.361 82.7110
5.735204 75.421 82.6846
5.776763 75.481 82.6580
5.818624 75.541 82.6316
5.860788 75.601 82.6050
5.903258 75.661 82.5776
5.946035 75.721 82.5500
5.989123 75.781 82.5231
6.032523 75.842 82.4960
6.076237 75.902 82.4681
6.120268 75.962 82.4400
6.164618 76.022 82.4120
6.209289 76.082 82.3840
6.254284 76.142 82.3561
6.299605 76.202 82.3280
6.345255 76.262 82.2991
6.391235 76.322 82.2700
6.437549 76.382 82.2411
6.484198 76.442 82.2120
6.531185 76.502 82.1826
6.578513 76.563 82.1530
6.626183 76.623 82.1231
6.674199 76.683 82.0930
6.722563 76.743 82.0631
6.771278 76.803 82.0330
6.820345 76.863 82.0021
6.869768 76.923 81.9710
6.919549 76.983 81.9401
6.969691 77.043 81.9090
7.020196 77.103 81.8776
7.071068 77.163 81.8460
7.122308 77.223 81.8141
7.173919 77.284 81.7820
7.225904 77.344 81.7496
7.278266 77.404 81.7170
7.331007 77.464 81.6841
7.384131 77.524 81.6510
7.437639 77.584 81.6181
7.491535 77.644 81.5850
7.545822 77.704 81.5517
7.600502 77.764 81.5180
7.655579 77.824 81.4836
7.711054 77.884 81.4490
7.766932 77.944 81.4146
7.823214 78.005 81.3800
7.879904 78.065 81.3451
7.937005 78.125 81.3100
7.994520 78.185 81.2747
8.052452 78.245 81.2390
8.110803 78.305 81.2026
8.169578 78.365 81.1660
8.228777 78.425 81.1296
8.288406 78.485 81.0930
8.348468 78.545 81.0561
8.408964 78.605 81.0190
8.469899 78.665 80.9817
8.531276 78.726 80.9440
8.593097 78.786 80.9056
8.655366 78.846 80.8670
8.718086 78.906 80.8286
8.781260 78.966 80.7900
8.844893 79.026 80.7506
8.908987 79.086 80.7110
8.973545 79.146 80.6716
9.038571 79.206 80.6320
9.104069 79.266 80.5917
9.170040 79.326 80.5510
9.236490 79.386 80.5101
9.303422 79.447 80.4690
9.370838 79.507 80.4276
9.438744 79.567 80.3860
9.507140 79.627 80.3441
9.576033 79.687 80.3020
9.645425 79.747 80.2597
9.715320 79.807 80.2170
9.785721 79.867 80.1742
9.856632 79.927 80.1310
9.928058 79.987 80.0872
10.000000 80.047 80.0430
10.072464 80.107 79.9987
10.145453 80.168 79.9541
10.218971 80.228 79.9092
10.293022 80.288 79.8640
10.367610 80.348 79.8181
10.442738 80.408 79.7720
10.518411 80.468 79.7261
10.594631 80.528 79.6800
10.671404 80.588 79.6333
10.748734 80.648 79.5860
10.826623 80.708 79.5381
10.905077 80.768 79.4900
10.984100 80.828 79.4422
11.063695 80.889 79.3940
11.143867 80.949 79.3453
11.224621 81.009 79.2960
11.305959 81.069 79.2462
11.387886 81.129 79.1960
11.470407 81.189 79.1461
11.553527 81.249 79.0960
11.637249 81.309 79.0453
11.721577 81.369 78.9940
11.806517 81.429 78.9422
11.892071 81.489 78.8901
11.978246 81.549 78.8377
12.065045 81.610 78.7850
12.152473 81.670 78.7322
12.240536 81.730 78.6790
12.329235 81.790 78.6253
12.418578 81.850 78.5710
12.508568 81.910 78.5162
12.599211 81.970 78.4610
12.690510 82.030 78.4062
12.782471 82.090 78.3511
12.875097 82.150 78.2948
12.968395 82.210 78.2380
13.062370 82.270 78.1812
13.157025 82.331 78.1240
13.252366 82.391 78.0667
13.348398 82.451 78.0090
13.445127 82.511 77.9507
13.542556 82.571 77.8921
13.640691 82.631 77.8332
13.739536 82.691 77.7740
13.839099 82.751 77.7143
13.939383 82.811 77.6541
14.040393 82.871 77.5932
14.142136 82.931 77.5320
14.244616 82.991 77.4707
14.347837 83.052 77.4090
14.451808 83.112 77.3467
14.556532 83.172 77.2840
14.662014 83.232 77.2212
14.768262 83.292 77.1581
14.875278 83.352 77.0943
14.983070 83.412 77.0301
15.091644 83.472 76.9652
15.201005 83.532 76.9000
15.311157 83.592 76.8347
15.422109 83.652 76.7690
15.533863 83.712 76.7032
15.646428 83.773 76.6370
15.759809 83.833 76.5703
15.874010 83.893 76.5030
15.989040 83.953 76.4352
16.104904 84.013 76.3671
16.221605 84.073 76.2987
16.339155 84.133 76.2301
16.457554 84.193 76.1612
16.576813 84.253 76.0921
16.696936 84.313 76.0227
16.817928 84.373 75.9530
16.939798 84.433 75.8828
17.062551 84.494 75.8121
17.186193 84.554 75.7411
17.310732 84.614 75.6700
17.436172 84.674 75.5991
17.562521 84.734 75.5281
17.689787 84.794 75.4566
17.817974 84.854 75.3851
17.947090 84.914 75.3135
18.077143 84.974 75.2420
18.208138 85.034 75.1710
18.340080 85.094 75.1001
18.472980 85.154 75.0289
18.606844 85.215 74.9580
18.741676 85.275 74.8880
18.877487 85.335 74.8191
19.014280 85.395 74.7518
19.152065 85.455 74.6861
19.290850 85.515 74.6216
19.430639 85.576 74.5590
19.571442 85.637 74.4991
19.713264 85.698 74.4411
19.856115 85.760 74.3853
20.000000 85.824 74.3301
20.144928 85.888 74.2739
20.290907 85.953 74.2171
20.437943 86.019 74.1596
20.586044 86.086 74.1000
20.735220 86.155 74.0381
20.885475 86.225 73.9701
21.036821 86.297 73.8928
21.189262 86.370 73.8041
21.342808 86.444 73.7015
21.497467 86.519 73.5832
21.653246 86.594 73.4464
21.810154 86.668 73.2912
21.968201 86.740 73.1154
22.127390 86.810 72.9232
22.287735 86.876 72.7154
22.449242 86.937 72.5012
22.611917 86.993 72.2870
22.775772 87.044 72.0822
22.940815 87.090 71.8970
23.107054 87.134 71.7352
23.274498 87.176 71.6047
23.443153 87.217 71.5041
23.613033 87.259 71.4371
23.784142 87.305 71.3960
23.956491 87.356 71.3783
24.130091 87.412 71.3720
24.304947 87.474 71.3672
24.481071 87.542 71.3560
24.658470 87.614 71.3284
24.837156 87.689 71.2811
25.017136 87.766 71.2066
25.198421 87.843 71.1081
25.381020 87.919 70.9834
25.564941 87.993 70.8411
25.750195 88.063 70.6876
25.936790 88.131 70.5282
26.124741 88.197 70.3704
26.314051 88.261 70.2142
26.504732 88.324 70.0616
26.696796 88.387 69.9142
26.890253 88.449 69.7750
27.085112 88.511 69.6412
27.281382 88.576 69.5118
27.479073 88.642 69.3832
27.678198 88.709 69.2504
27.878765 88.776 69.1152
28.080786 88.843 68.9782
28.284271 88.912 68.8372
28.489231 88.982 68.6906
28.695675 89.053 68.5372
28.903616 89.124 68.3746
29.113064 89.195 68.2042
29.324028 89.265 68.0270
29.536524 89.336 67.8422
29.750557 89.407 67.6495
29.966141 89.478 67.4482
30.183289 89.548 67.2368
30.402010 89.618 67.0183
30.622314 89.686 66.7953
30.844217 89.753 66.5673
31.067726 89.820 66.3349
31.292856 89.887 66.0974
31.519617 89.953 65.8528
31.748020 90.018 65.6043
31.978081 90.081 65.3547
32.209808 90.143 65.1033
32.443211 90.205 64.8506
32.678310 90.267 64.5963
32.915108 90.327 64.3400
33.153625 90.386 64.0833
33.393871 90.445 63.8285
33.635857 90.504 63.5734
33.879597 90.563 63.3169
34.125103 90.621 63.0583
34.372387 90.679 62.7962
34.621464 90.736 62.5324
34.872345 90.792 62.2688
35.125042 90.848 62.0043
35.379574 90.904 61.7383
35.635948 90.959 61.4713
35.894180 91.013 61.2035
36.154285 91.066 60.9364
36.416275 91.118 60.6725
36.680161 91.171 60.4094
36.945961 91.225 60.1454
37.213688 91.278 59.8804
37.483353 91.330 59.6128
37.754974 91.381 59.3454
38.028561 91.431 59.0807
38.304131 91.482 58.8173
38.581699 91.533 58.5551
38.861279 91.584 58.2934
39.142883 91.634 58.0316
39.426529 91.684 57.7704
39.712231 91.735 57.5118
40.000000 91.786 57.2514
40.289856 91.838 56.9846
40.581814 91.891 56.7134
40.875885 91.942 56.4377
41.172089 91.992 56.1584
41.470440 92.043 55.8768
41.770950 92.093 55.5925
42.073643 92.142 55.3048
42.378525 92.190 55.0164
42.685616 92.237 54.7301
42.994934 92.284 54.4454
43.306492 92.331 54.1636
43.620308 92.379 53.8824
43.936401 92.426 53.6006
44.254780 92.474 53.3165
44.575470 92.523 53.0285
44.898483 92.572 52.7355
45.223835 92.621 52.4353
45.551544 92.669 52.1294
45.881630 92.716 51.8186
46.214108 92.763 51.5035
46.548996 92.808 51.1847
46.886307 92.853 50.8635
47.226067 92.897 50.5413
47.568283 92.940 50.2185
47.912983 92.982 49.8967
48.260181 93.024 49.5745
48.609894 93.065 49.2518
48.962143 93.107 48.9275
49.316940 93.149 48.6001
49.674313 93.190 48.2705
50.034271 93.230 47.9392
50.396843 93.269 47.6055
50.762039 93.308 47.2685
51.129883 93.347 46.9296
51.500389 93.384 46.5888
51.873581 93.420 46.2486
52.249481 93.455 45.9122
52.628101 93.490 45.5776
53.009464 93.525 45.2441
53.393593 93.560 44.9106
53.780506 93.595 44.5759
54.170223 93.630 44.2396
54.562763 93.665 43.9012
54.958145 93.700 43.5595
55.356396 93.734 43.2122
55.757530 93.768 42.8616
56.161572 93.800 42.5097
56.568542 93.831 42.1556
56.978462 93.864 41.7993
57.391350 93.896 41.4397
57.807232 93.926 41.0750
58.226128 93.956 40.7076
58.648056 93.985 40.3403
59.073048 94.013 39.9696
59.501114 94.042 39.5933
59.932281 94.071 39.2107
60.366577 94.098 38.8196
60.804020 94.123 38.4227
61.244629 94.147 38.0224
61.688435 94.170 37.6177
62.135452 94.191 37.2079
62.585712 94.210 36.7947
63.039234 94.226 36.3785
63.496040 94.240 35.9627
63.956161 94.252 35.5508
64.419617 94.261 35.1427
64.886421 94.268 34.7385
65.356621 94.274 34.3407
65.830215 94.277 33.9525
66.307251 94.279 33.5727
66.787743 94.280 33.2017
67.271713 94.281 32.8377
67.759193 94.281 32.4794
68.250206 94.279 32.1257
68.744774 94.277 31.7740
69.242928 94.273 31.4266
69.744690 94.267 31.0833
70.250084 94.259 30.7486
70.759148 94.248 30.4265
71.271896 94.234 30.1186
71.788361 94.220 29.8277
72.308571 94.204 29.5545
72.832550 94.187 29.3006
73.360321 94.170 29.0654
73.891922 94.154 28.8496
74.427376 94.138 28.6504
74.966705 94.123 28.4652
75.509949 94.109 28.2943
76.057121 94.096 28.1380
76.608261 94.084 27.9933
77.163399 94.074 27.8573
77.722557 94.065 27.7303
78.285767 94.056 27.6114
78.853058 94.048 27.5012
79.424461 94.042 27.4013
80.000000 94.037 27.3082
80.579712 94.034 27.2192
81.163628 94.032 27.1342
81.751770 94.031 27.0515
82.344177 94.030 26.9732
82.940880 94.030 26.8996
83.541901 94.030 26.8331
84.147285 94.030 26.7757
84.757050 94.031 26.7291
85.371231 94.033 26.6955
85.989868 94.036 26.6750
86.612984 94.042 26.6701
87.240616 94.051 26.6760
87.872803 94.064 26.6908
88.509560 94.082 26.7080
89.150940 94.105 26.7218
89.796967 94.132 26.7280
90.447670 94.163 26.7218
91.103088 94.197 26.6991
91.763260 94.236 26.6548
92.428215 94.277 26.5872
93.097992 94.319 26.4919
93.772614 94.362 26.3713
94.452133 94.404 26.2257
95.136566 94.447 26.0564
95.825966 94.489 25.8644
96.520363 94.531 25.6505
