* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\aurorus borealis_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:05:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\aurorus borealis_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: aurorus borealis_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 68.198 62.5730
5.036232 68.219 62.5589
5.072727 68.241 62.5440
5.109486 68.267 62.5271
5.146511 68.297 62.5080
5.183805 68.333 62.4852
5.221369 68.372 62.4610
5.259205 68.412 62.4373
5.297316 68.455 62.4130
5.335702 68.500 62.3877
5.374367 68.546 62.3620
5.413311 68.592 62.3365
5.452538 68.638 62.3110
5.492050 68.683 62.2856
5.531847 68.729 62.2600
5.571934 68.775 62.2341
5.612310 68.821 62.2080
5.652979 68.867 62.1821
5.693943 68.912 62.1560
5.735204 68.958 62.1296
5.776763 69.004 62.1030
5.818624 69.049 62.0766
5.860788 69.095 62.0500
5.903258 69.141 62.0231
5.946035 69.187 61.9960
5.989123 69.232 61.9686
6.032523 69.278 61.9410
6.076237 69.324 61.9131
6.120268 69.370 61.8850
6.164618 69.415 61.8571
6.209289 69.461 61.8290
6.254284 69.507 61.8001
6.299605 69.553 61.7710
6.345255 69.599 61.7420
6.391235 69.645 61.7130
6.437549 69.690 61.6841
6.484198 69.736 61.6550
6.531185 69.782 61.6251
6.578513 69.828 61.5950
6.626183 69.873 61.5651
6.674199 69.919 61.5350
6.722563 69.965 61.5046
6.771278 70.011 61.4740
6.820345 70.056 61.4431
6.869768 70.102 61.4120
6.919549 70.148 61.3806
6.969691 70.194 61.3490
7.020196 70.239 61.3171
7.071068 70.285 61.2850
7.122308 70.331 61.2526
7.173919 70.377 61.2200
7.225904 70.422 61.1871
7.278266 70.468 61.1540
7.331007 70.514 61.1211
7.384131 70.560 61.0880
7.437639 70.605 61.0541
7.491535 70.651 61.0200
7.545822 70.697 60.9861
7.600502 70.743 60.9520
7.655579 70.789 60.9171
7.711054 70.835 60.8820
7.766932 70.880 60.8471
7.823214 70.926 60.8120
7.879904 70.972 60.7761
7.937005 71.018 60.7400
7.994520 71.063 60.7041
8.052452 71.109 60.6680
8.110803 71.155 60.6312
8.169578 71.201 60.5940
8.228777 71.246 60.5566
8.288406 71.292 60.5190
8.348468 71.338 60.4811
8.408964 71.384 60.4430
8.469899 71.429 60.4046
8.531276 71.475 60.3660
8.593097 71.521 60.3271
8.655366 71.567 60.2880
8.718086 71.612 60.2486
8.781260 71.658 60.2090
8.844893 71.704 60.1692
8.908987 71.750 60.1290
8.973545 71.795 60.0882
9.038571 71.841 60.0470
9.104069 71.887 60.0056
9.170040 71.933 59.9640
9.236490 71.979 59.9221
9.303422 72.025 59.8800
9.370838 72.070 59.8377
9.438744 72.116 59.7950
9.507140 72.162 59.7517
9.576033 72.208 59.7080
9.645425 72.253 59.6641
9.715320 72.299 59.6200
9.785721 72.345 59.5757
9.856632 72.391 59.5310
9.928058 72.436 59.4857
10.000000 72.482 59.4400
10.072464 72.528 59.3942
10.145453 72.574 59.3481
10.218971 72.619 59.3012
10.293022 72.665 59.2540
10.367610 72.711 59.2066
10.442738 72.757 59.1590
10.518411 72.802 59.1112
10.594631 72.848 59.0630
10.671404 72.894 59.0142
10.748734 72.940 58.9650
10.826623 72.985 58.9157
10.905077 73.031 58.8660
10.984100 73.077 58.8158
11.063695 73.123 58.7650
11.143867 73.169 58.7137
11.224621 73.215 58.6620
11.305959 73.260 58.6102
11.387886 73.306 58.5580
11.470407 73.352 58.5058
11.553527 73.398 58.4530
11.637249 73.443 58.3993
11.721577 73.489 58.3451
11.806517 73.535 58.2907
11.892071 73.581 58.2361
11.978246 73.626 58.1808
12.065045 73.672 58.1250
12.152473 73.718 58.0687
12.240536 73.764 58.0120
12.329235 73.809 57.9553
12.418578 73.855 57.8980
12.508568 73.901 57.8398
12.599211 73.947 57.7810
12.690510 73.992 57.7222
12.782471 74.038 57.6631
12.875097 74.084 57.6034
12.968395 74.130 57.5430
13.062370 74.175 57.4818
13.157025 74.221 57.4200
13.252366 74.267 57.3582
13.348398 74.313 57.2960
13.445127 74.359 57.2334
13.542556 74.405 57.1701
13.640691 74.450 57.1059
13.739536 74.496 57.0410
13.839099 74.542 56.9758
13.939383 74.588 56.9101
14.040393 74.633 56.8438
14.142136 74.679 56.7770
14.244616 74.725 56.7098
14.347837 74.771 56.6420
14.451808 74.816 56.5734
14.556532 74.862 56.5040
14.662014 74.908 56.4339
14.768262 74.954 56.3631
14.875278 74.999 56.2919
14.983070 75.045 56.2201
15.091644 75.091 56.1474
15.201005 75.137 56.0741
15.311157 75.182 56.0004
15.422109 75.228 55.9261
15.533863 75.274 55.8504
15.646428 75.320 55.7740
15.759809 75.365 55.6974
15.874010 75.411 55.6201
15.989040 75.457 55.5414
16.104904 75.503 55.4621
16.221605 75.549 55.3825
16.339155 75.595 55.3021
16.457554 75.640 55.2201
16.576813 75.686 55.1371
16.696936 75.732 55.0535
16.817928 75.778 54.9691
16.939798 75.823 54.8836
17.062551 75.869 54.7971
17.186193 75.915 54.7096
17.310732 75.961 54.6211
17.436172 76.006 54.5311
17.562521 76.052 54.4401
17.689787 76.098 54.3482
17.817974 76.144 54.2551
17.947090 76.189 54.1603
18.077143 76.235 54.0641
18.208138 76.281 53.9664
18.340080 76.327 53.8671
18.472980 76.372 53.7660
18.606844 76.418 53.6631
18.741676 76.464 53.5581
18.877487 76.510 53.4511
19.014280 76.556 53.3419
19.152065 76.602 53.2301
19.290850 76.647 53.1157
19.430639 76.693 52.9981
19.571442 76.739 52.8773
19.713264 76.785 52.7522
19.856115 76.830 52.6218
20.000000 76.876 52.4851
20.144928 76.922 52.3411
20.290907 76.968 52.1882
20.437943 77.013 52.0242
20.586044 77.056 51.8491
20.735220 77.098 51.6607
20.885475 77.137 51.4632
21.036821 77.171 51.2573
21.189262 77.201 51.0523
21.342808 77.225 50.8556
21.497467 77.244 50.6742
21.653246 77.260 50.5155
21.810154 77.272 50.3862
21.968201 77.280 50.2944
22.127390 77.286 50.2430
22.287735 77.294 50.2405
22.449242 77.305 50.2780
22.611917 77.322 50.3534
22.775772 77.345 50.4549
22.940815 77.375 50.5733
23.107054 77.413 50.6978
23.274498 77.458 50.8168
23.443153 77.509 50.9239
23.613033 77.566 51.0094
23.784142 77.626 51.0710
23.956491 77.688 51.1015
24.130091 77.752 51.1050
24.304947 77.815 51.0809
24.481071 77.876 51.0361
24.658470 77.934 50.9755
24.837156 77.991 50.9051
25.017136 78.045 50.8317
25.198421 78.098 50.7581
25.381020 78.150 50.6892
25.564941 78.202 50.6251
25.750195 78.254 50.5684
25.936790 78.308 50.5161
26.124741 78.363 50.4674
26.314051 78.421 50.4181
26.504732 78.481 50.3646
26.696796 78.543 50.3041
26.890253 78.607 50.2327
27.085112 78.673 50.1491
27.281382 78.740 50.0511
27.479073 78.808 49.9372
27.678198 78.878 49.8053
27.878765 78.948 49.6552
28.080786 79.017 49.4854
28.284271 79.086 49.2973
28.489231 79.153 49.0922
28.695675 79.220 48.8693
28.903616 79.286 48.6277
29.113064 79.351 48.3684
29.324028 79.413 48.0910
29.536524 79.472 47.7993
29.750557 79.527 47.4963
29.966141 79.579 47.1843
30.183289 79.628 46.8649
30.402010 79.673 46.5434
30.622314 79.713 46.2241
30.844217 79.749 45.9124
31.067726 79.782 45.6151
31.292856 79.812 45.3324
31.519617 79.840 45.0662
31.748020 79.867 44.8183
31.978081 79.892 44.5916
32.209808 79.916 44.3853
32.443211 79.942 44.2012
32.678310 79.969 44.0342
32.915108 79.999 43.8814
33.153625 80.031 43.7382
33.393871 80.066 43.5999
33.635857 80.104 43.4632
33.879597 80.144 43.3240
34.125103 80.185 43.1802
34.372387 80.228 43.0292
34.621464 80.273 42.8693
34.872345 80.319 42.6970
35.125042 80.365 42.5142
35.379574 80.410 42.3207
35.635948 80.455 42.1192
35.894180 80.498 41.9125
36.154285 80.541 41.7013
36.416275 80.583 41.4872
36.680161 80.624 41.2713
36.945961 80.664 41.0551
37.213688 80.704 40.8393
37.483353 80.744 40.6257
37.754974 80.784 40.4133
38.028561 80.824 40.2025
38.304131 80.864 39.9913
38.581699 80.906 39.7776
38.861279 80.948 39.5613
39.142883 80.990 39.3422
39.426529 81.032 39.1193
39.712231 81.075 38.8925
40.000000 81.119 38.6594
40.289856 81.164 38.4172
40.581814 81.209 38.1664
40.875885 81.254 37.9067
41.172089 81.298 37.6374
41.470440 81.342 37.3580
41.770950 81.386 37.0675
42.073643 81.429 36.7641
42.378525 81.471 36.4495
42.685616 81.511 36.1239
42.994934 81.550 35.7895
43.306492 81.587 35.4479
43.620308 81.621 35.1005
43.936401 81.653 34.7479
44.254780 81.682 34.3936
44.575470 81.709 34.0411
44.898483 81.733 33.6916
45.223835 81.756 33.3474
45.551544 81.777 33.0085
45.881630 81.797 32.6754
46.214108 81.815 32.3485
46.548996 81.832 32.0281
46.886307 81.848 31.7145
47.226067 81.863 31.4085
47.568283 81.878 31.1095
47.912983 81.893 30.8174
48.260181 81.907 30.5315
48.609894 81.921 30.2509
48.962143 81.934 29.9764
49.316940 81.947 29.7087
49.674313 81.960 29.4464
50.034271 81.973 29.1887
50.396843 81.987 28.9354
50.762039 82.000 28.6860
51.129883 82.014 28.4404
51.500389 82.027 28.1988
51.873581 82.041 27.9604
52.249481 82.056 27.7247
52.628101 82.071 27.4914
53.009464 82.086 27.2603
53.393593 82.101 27.0304
53.780506 82.118 26.8008
54.170223 82.135 26.5704
54.562763 82.153 26.3383
54.958145 82.171 26.1024
55.356396 82.190 25.8603
55.757530 82.210 25.6124
56.161572 82.228 25.3574
56.568542 82.246 25.0974
56.978462 82.263 24.8342
57.391350 82.279 24.5675
57.807232 82.295 24.2974
58.226128 82.310 24.0255
58.648056 82.323 23.7525
59.073048 82.335 23.4804
59.501114 82.346 23.2126
59.932281 82.357 22.9465
60.366577 82.369 22.6800
60.804020 82.380 22.4145
61.244629 82.390 22.1511
61.688435 82.399 21.8885
62.135452 82.410 21.6263
62.585712 82.420 21.3625
63.039234 82.429 21.0939
63.496040 82.438 20.8235
63.956161 82.445 20.5530
64.419617 82.452 20.2825
64.886421 82.458 20.0127
65.356621 82.464 19.7435
65.830215 82.469 19.4739
66.307251 82.472 19.2065
66.787743 82.474 18.9437
67.271713 82.475 18.6855
67.759193 82.476 18.4331
68.250206 82.476 18.1855
68.744774 82.476 17.9418
69.242928 82.476 17.7024
69.744690 82.476 17.4678
70.250084 82.476 17.2364
70.759148 82.476 17.0072
71.271896 82.476 16.7804
71.788361 82.476 16.5560
72.308571 82.476 16.3334
72.832550 82.476 16.1118
73.360321 82.476 15.8914
73.891922 82.476 15.6725
74.427376 82.476 15.4544
74.966705 82.476 15.2368
75.509949 82.476 15.0194
76.057121 82.476 14.8017
76.608261 82.476 14.5834
77.163399 82.476 14.3643
77.722557 82.476 14.1435
78.285767 82.476 13.9200
78.853058 82.475 13.6945
79.424461 82.474 13.4667
80.000000 82.472 13.2375
80.579712 82.469 13.0065
81.163628 82.464 12.7764
81.751770 82.458 12.5501
82.344177 82.452 12.3265
82.940880 82.445 12.1050
83.541901 82.438 11.8874
84.147285 82.429 11.6749
84.757050 82.420 11.4684
85.371231 82.411 11.2704
85.989868 82.402 11.0774
86.612984 82.394 10.8869
87.240616 82.387 10.6974
87.872803 82.380 10.5060
88.509560 82.372 10.3144
89.150940 82.364 10.1235
89.796967 82.355 9.9324
90.447670 82.347 9.7402
91.103088 82.339 9.5474
91.763260 82.329 9.3537
92.428215 82.318 9.1614
93.097992 82.306 8.9726
93.772614 82.294 8.7874
94.452133 82.281 8.6069
95.136566 82.268 8.4304
95.825966 82.255 8.2570
96.520363 82.242 8.0874
97.219788 82.228 7.9220
